一一	iq5 iq3
秦岭	zin2 lin4
秦嶺	zin2 lin4
秦巴	zin2 pa4
秦昭王	zin2 tsau4 waon4
秦書田	zin2 sy4 di4
秦朝	zin2 zau4
秦桧	zin2 kue4
秦檜	zin2 kue4
秦汉	zin2 hoe4
秦河	zin2 wu4
秦淮河	zin2 wa4 wu4
秦漢	zin2 hoe4
秦王	zin2 waon4
秦皇岛	zin2 waon4 tau4
秦皇島	zin2 waon4 tau4
秦紅棉	zin2 ghon4 mi4
秦红棉	zin2 ghon4 mi4
秦置南	zin2 tsy4 noe4
秦腔	zin2 chian4
秦良玉	zin2 lian4 gnioq4
秦軍	zin2 ciun4
秦鍾英	zin2 tson4 in4
秦钟英	zin2 tson4 in4
秦雍西	zin2 ion4 si4
秦雲飛	zin2 yun4 fi4
秧歌	ian5 ku3
秩序	zeq2 ziu4
秩序井然	zeq2 ziu4 tsin4 zoe4
秭归	tsy5 kue3
秭归县	tsy5 kue9 yoe3
秭歸	tsy5 kue3
秭歸縣	tsy5 kue9 yoe3
积习	tsiq5 ziq3
积储	tsiq5 zy3
积分	tsiq5 fen3
积分榜	tsiq5 fen9 paon3
积压	tsiq5 aq3
积存	tsiq5 zen3
积弊	tsiq5 bi3
积德	tsiq5 teq3
积攒	tsiq5 tsoe3
积木	tsiq5 moq3
积极	tsiq5 jiq3
积极分子	tsiq5 jiq9 fen9 tsy3
积极性	tsiq5 jiq9 sin3
积欠	tsiq5 chi3
积水	tsiq5 sy3
积淀	tsiq5 di3
积温	tsiq5 uen3
积累	tsiq5 le3
积聚	tsiq5 ziu3
积蓄	tsiq5 shioq3
积雪	tsiq5 siq3
称为	tshen5 we3
称之为	tshen5 tsy9 we3
称作	tshen5 tsoq3
称做	tshen5 tsu3
称兄道弟	tshen5 shion9 dau9 di3
称号	tshen5 ghau3
称呼	tshen5 hu3
称奇	tshen5 ji3
称帝	tshen5 ti3
称得上	tshen5 teq9 zaon3
称心	tshen5 sin3
称王	tshen5 waon3
称病	tshen5 bin3
称职	tshen5 tseq3
称臣	tshen5 zen3
称誉	tshen5 yu3
称谓	tshen5 we3
称谢	tshen5 zia3
称赞	tshen5 tse3
称道	tshen5 dau3
称量	tshen5 lian3
称雄	tshen5 yon3
称霸	tshen5 pa3
称颂	tshen5 son3
秸秆	ciq5 koe3
秸稈	ciq5 koe3
移下	yi2 gho4
移交	yi2 ciau4
移位	yi2 we4
移入	yi2 zeq4
移动	yi2 don4
移動	yi2 don4
移去	yi2 chi4
移居	yi2 ciu4
移情	yi2 zin4
移植	yi2 zeq4
移步	yi2 bu4
移民	yi2 min4
移行	yi2 yin4
移調	yi2 diau4
移送	yi2 son4
移防	yi2 vaon4
移駕	yi2 ka4
稀世	shi5 sy3
稀土	shi5 thu3
稀土元素	shi5 thu9 gnioe9 su3
稀奇	shi5 ji3
稀奇古怪	shi5 ji9 ku9 kua3
稀少	shi5 sau3
稀有	shi5 yeu3
稀有金属	shi5 yeu9 cin9 zoq3
稀有金屬	shi5 yeu9 cin9 zoq3
稀松	shi5 son3
稀烂	shi5 le3
稀爛	shi5 le3
稀疏	shi5 su3
稀粥	shi5 tsoq3
稀缺	shi5 chioq3
稀罕	shi5 hoe3
稀薄	shi5 boq3
稀裏糊塗	shi5 li9 wu9 du3
稀释	shi5 seq3
稀釋	shi5 seq3
稀里糊涂	shi5 li9 wu9 du3
稀飯	shi5 ve3
稀饭	shi5 ve3
稅制	soe5 tsy3
稅前	soe5 zi3
稅務	soe5 wu3
稅後	soe5 gheu3
稅收	soe5 seu3
稅款	soe5 khue3
稅法	soe5 faq3
稅率	soe5 liq3
稅費	soe5 fi3
稅金	soe5 cin3
稅額	soe5 ngaq3
程先生	zen2 si4 san4
程序	zen2 ziu4
程序员	zen2 ziu4 yoe4
程序員	zen2 ziu4 yoe4
程度	zen2 du4
程式	zen2 seq4
程志	zen2 tsy4
程控	zen2 khon4
程朱	zen2 tsy4
程灵素	zen2 lin4 su4
程瑤迦	zen2 yau4 ka4
程瑶迦	zen2 yau4 ka4
程貽舉	zen2 yi4 ciu4
程贻举	zen2 yi4 ciu4
程靈素	zen2 lin4 su4
程青竹	zen2 tshin4 tsoq4
稍不	sau5 peq3
稍事	sau5 zy3
稍候	sau5 gheu3
稍加	sau5 ka3
稍后	sau5 gheu3
稍大	sau5 da3
稍差	sau5 tsha3
稍後	sau5 gheu3
稍微	sau5 vi3
稍爲	sau5 we3
稍稍	sau5 sau3
稍縱即逝	sau5 tson9 tsiq9 zy3
稍纵即逝	sau5 tson9 tsiq9 zy3
稍胖	sau5 phaon3
稍許	sau5 shiu3
稍頃	sau5 chin3
税制	soe5 tsy3
税前	soe5 zi3
税务	soe5 wu3
税后	soe5 gheu3
税收	soe5 seu3
税款	soe5 khue3
税法	soe5 faq3
税率	soe5 se3
税费	soe5 fi3
税金	soe5 cin3
税额	soe5 ngaq3
稚女	zy2 gniu4
稚嫩	zy2 nen4
稚气	zy2 chi4
稚氣	zy2 chi4
稟告	pin5 kau3
稟報	pin5 pau3
稟明	pin5 min3
稟見	pin5 ci3
稟賦	pin5 fu3
稠密	zeu2 miq4
種下	tson5 gho3
種些	tson5 si3
種地	tson5 di3
種姓	tson5 sin3
種子	tson5 tsy3
種屬	tson5 zoq3
種師道	tson5 sy9 dau3
種族	tson5 zoq3
種族主義	tson5 zoq9 tsy9 gni3
種族歧視	tson5 zoq9 ji9 zy3
種植	tson5 zeq3
種植園	tson5 zeq9 yoe3
種植業	tson5 zeq9 gniq3
種瓜	tson5 ko3
種田	tson5 di3
種種	tson5 tson3
種羣	tson5 jiun3
種菜	tson5 tshe3
種質	tson5 tseq3
種類	tson5 le3
種馬	tson5 mo3
稱之爲	tshen5 tsy9 we3
稱作	tshen5 tsoq3
稱做	tshen5 tsu3
稱兄道弟	tshen5 shion9 dau9 di3
稱其	tshen5 ji3
稱呼	tshen5 hu3
稱奇	tshen5 ji3
稱帝	tshen5 ti3
稱得上	tshen5 teq9 zaon3
稱心	tshen5 sin3
稱爲	tshen5 we3
稱王	tshen5 waon3
稱病	tshen5 bin3
稱職	tshen5 tseq3
稱臣	tshen5 zen3
稱號	tshen5 ghau3
稱許	tshen5 shiu3
稱說	tshen5 seq3
稱謂	tshen5 we3
稱謝	tshen5 zia3
稱譽	tshen5 yu3
稱贊	tshen5 tse3
稱道	tshen5 dau3
稱量	tshen5 lian3
稱雄	tshen5 yon3
稱霸	tshen5 pa3
稱頌	tshen5 son3
稳产	uen5 tshe3
稳住	uen5 zy3
稳健	uen5 ji3
稳固	uen5 ku3
稳妥	uen5 thu3
稳定	uen5 din3
稳定性	uen5 din9 sin3
稳当	uen5 taon3
稳态	uen5 the3
稳扎稳打	uen5 tsaq9 uen9 tan3
稳步	uen5 bu3
稳稳地	uen5 uen9 di3
稳重	uen5 zon3
稻田	dau2 di4
稻米	dau2 mi4
稻草	dau2 tshau4
稻谷	dau2 koq4
稽察	ci5 tshaq3
稽征	ci5 tsen3
稽徵	ci5 tsen3
稽查	ci5 zo3
稽核	ci5 gheq3
稽留	ci5 lieu3
稿件	kau5 ji3
稿子	kau5 tsy3
稿紙	kau5 tsy3
稿纸	kau5 tsy3
稿費	kau5 fi3
稿费	kau5 fi3
穀坊	koq5 faon3
穀物	koq5 veq3
穆人清	moq2 zen4 tshin4
穆勒	moq2 leq4
穆宗	moq2 tson4
穆巴拉克	moq2 pa4 lha4 kheq4
穆念慈	moq2 gni4 zy4
穆斯林	moq2 sy4 lin4
穆易	moq2 i4
穆罕默德	moq2 hoe4 meq4 teq4
積儲	tsiq5 zy3
積分	tsiq5 fen3
積分榜	tsiq5 fen9 paon3
積壓	tsiq5 aq3
積存	tsiq5 zen3
積弊	tsiq5 bi3
積德	tsiq5 teq3
積攢	tsiq5 tsoe3
積木	tsiq5 moq3
積極	tsiq5 jiq3
積極分子	tsiq5 jiq9 fen9 tsy3
積極性	tsiq5 jiq9 sin3
積欠	tsiq5 chi3
積水	tsiq5 sy3
積溫	tsiq5 uen3
積澱	tsiq5 di3
積累	tsiq5 le3
積習	tsiq5 ziq3
積聚	tsiq5 ziu3
積肥	tsiq5 vi3
積蓄	tsiq5 shioq3
積雪	tsiq5 siq3
穎黠	yin2 ghaq4
穗状花序	zoe2 zaon4 hua4 ziu4
穗狀花序	zoe2 zaon4 hua4 ziu4
穢土	hue5 thu3
穢氣	hue5 chi3
穢物	hue5 veq3
穢聞	hue5 ven3
穢語	hue5 gniu3
穢跡	hue5 tsiq3
穩住	uen5 zy3
穩健	uen5 ji3
穩固	uen5 ku3
穩妥	uen5 thu3
穩定	uen5 din3
穩定性	uen5 din9 sin3
穩態	uen5 the3
穩扎穩打	uen5 tsaq9 uen9 tan3
穩拿	uen5 na3
穩步	uen5 bu3
穩產	uen5 tshe3
穩當	uen5 taon3
穩穩地	uen5 uen9 di3
穩重	uen5 zon3
穴位	yoq2 we4
穴居	yoq2 ciu4
穴道	yoq2 dau4
究其	cieu5 ji3
究竟	cieu5 cin3
穷人	jion2 zen4
穷光蛋	jion2 kuan4 de4
穷凶极恶	jion2 shion4 jiq4 oq4
穷困	jion2 khuen4
穷尽	jion2 zin4
穷汉	jion2 hoe4
穷苦	jion2 khu4
穷追	jion2 tsoe4
穷追不舍	jion2 tsoe4 peq4 so4
穹窿	chion5 lon3
空中	khon5 tson3
空位	khon5 we3
空儿	khon5 gni3
空兒	khon5 gni3
空军	khon5 ciun3
空军一号	khon5 ciun9 iq9 ghau3
空军指挥学院	khon5 ciun9 tsy9 hue9 ghoq9 yoe3
空前	khon5 zi3
空化	khon5 hua3
空地	khon5 di3
空地导弹	khon5 di9 dau9 de3
空地導彈	khon5 di9 dau9 de3
空域	khon5 yoq3
空場	khon5 zan3
空头	khon5 deu3
空姐	khon5 tsia3
空子	khon5 tsy3
空客	khon5 khaq3
空对地	khon5 te9 di3
空对空	khon5 te9 khon3
空對地	khon5 te9 di3
空對空	khon5 te9 khon3
空屋	khon5 oq3
空当	khon5 taon3
空心	khon5 sin3
空心湯糰	khon5 sin9 thaon9 doe3
空心肚裏	khon5 sin9 du9 li3
空心菜	khon5 sin9 tshe3
空想	khon5 sian3
空战	khon5 tsoe3
空戰	khon5 tsoe3
空手	khon5 seu3
空投	khon5 deu3
空无一人	khon5 wu9 iq9 zen3
空旷	khon5 khuaon3
空智	khon5 tsy3
空曠	khon5 khuaon3
空格	khon5 kaq3
空气	khon5 chi3
空氣	khon5 chi3
空洞	khon5 don3
空炮	khon5 phau3
空無	khon5 wu3
空無一人	khon5 wu9 iq9 zen3
空當	khon5 taon3
空疏	khon5 su3
空白	khon5 baq3
空穴	khon5 yoq3
空空	khon5 khon3
空空如也	khon5 khon9 zy9 gha3
空空导弹	khon5 khon9 dau9 de3
空空導彈	khon5 khon9 dau9 de3
空空荡荡	khon5 khon9 daon9 daon3
空空蕩蕩	khon5 khon9 daon9 daon3
空缺	khon5 chioq3
空腔	khon5 chian3
空腹	khon5 foq3
空荡荡	khon5 daon9 daon3
空落落	khon5 loq9 loq3
空蕩蕩	khon5 daon9 daon3
空虚	khon5 shiu3
空虛	khon5 shiu3
空袭	khon5 ziq3
空襲	khon5 ziq3
空言	khon5 yi3
空話	khon5 wa3
空調	khon5 diau3
空調器	khon5 diau9 chi3
空談	khon5 de3
空话	khon5 wa3
空调	khon5 diau3
空调器	khon5 diau9 chi3
空谈	khon5 de3
空費	khon5 fi3
空車	khon5 tsho3
空軍	khon5 ciun3
空軍一號	khon5 ciun9 iq9 ghau3
空軍指揮學院	khon5 ciun9 tsy9 hue9 ghoq9 yoe3
空车	khon5 tsho3
空运	khon5 yun3
空運	khon5 yun3
空門	khon5 men3
空閒	khon5 yi3
空間	khon5 ci3
空間站	khon5 ci9 ze3
空门	khon5 men3
空闲	khon5 yi3
空间	khon5 ci3
空间站	khon5 ci9 ze3
空防	khon5 vaon3
空降	khon5 kaon3
空降兵	khon5 cian9 pin3
空隙	khon5 shiq3
空頭	khon5 deu3
穿刺	tshoe5 tshy3
穿孔	tshoe5 khon3
穿孝	tshoe5 hau3
穿山甲	tshoe5 se9 ciaq3
穿戴	tshoe5 ta3
穿插	tshoe5 tshaq3
穿梭	tshoe5 su3
穿棱	tshoe5 lin3
穿甲	tshoe5 ciaq3
穿甲弹	tshoe5 ciaq9 de3
穿甲彈	tshoe5 ciaq9 de3
穿着	tshoe5 zaq3
穿耳	tshoe5 er3
穿行	tshoe5 yin3
穿衣	tshoe5 i3
穿越	tshoe5 yoq3
穿过	tshoe5 ku3
穿透	tshoe5 theu3
穿透力	tshoe5 theu9 liq3
穿過	tshoe5 ku3
突兀	deq2 ngeq4
突入	deq2 zeq4
突出	deq2 tsheq4
突击	deq2 ciq4
突击队	deq2 ciq4 de4
突厥	deq2 cioq4
突厥語	deq2 cioq4 gniu4
突厥语	deq2 cioq4 gniu4
突发	deq2 faq4
突发性	deq2 faq4 sin4
突变	deq2 pi4
突围	deq2 we4
突圍	deq2 we4
突如其來	deq2 zy4 ji4 le4
突如其来	deq2 zy4 ji4 le4
突尼斯	deq2 gni4 sy4
突感	deq2 koe4
突擊	deq2 ciq4
突擊隊	deq2 ciq4 de4
突然	deq2 zoe4
突然袭击	deq2 zoe4 ziq4 ciq4
突然襲擊	deq2 zoe4 ziq4 ciq4
突發	deq2 faq4
突發性	deq2 faq4 sin4
突破	deq2 phu4
突破口	deq2 phu4 kheu4
突破性	deq2 phu4 sin4
突袭	deq2 ziq4
突襲	deq2 ziq4
突触	deq2 tshoq4
突觸	deq2 tshoq4
突變	deq2 pi4
突起	deq2 chi4
突进	deq2 tsin4
突進	deq2 tsin4
突防	deq2 baon4
突陷	deq2 ghe4
突飛猛進	deq2 fi4 man4 tsin4
突飞猛进	deq2 fi4 man4 tsin4
窃取	tshiq5 tshiu3
窃听	tshiq5 thin3
窃国大盗	tshiq5 koq9 du9 dau3
窃窃私语	tshiq5 tshiq9 sy9 gniu3
窄小	tsaq5 siau3
窄窄的	tsaq5 tsaq9 tiq3
窍门	chiau5 men3
窑子	yau2 tsy4
窑洞	yau2 don4
窒人	tseq5 gnin3
窒塞	tseq5 seq3
窒息	tseq5 siq3
窖藏	kau5 zan3
窗上	tshaon5 zaon3
窗前	tshaon5 zi3
窗口	tshaon5 kheu3
窗台	tshaon5 de3
窗外	tshaon5 nga3
窗子	tshaon5 tsy3
窗帘	tshaon5 li3
窗戶	tshaon5 wu3
窗户	tshaon5 wu3
窗格	tshaon5 kaq3
窗棂	tshaon5 lin3
窗欞	tshaon5 lin3
窗簾	tshaon5 li3
窗紙	tshaon5 tsy3
窗縫	tshaon5 von3
窗纸	tshaon5 tsy3
窗缝	tshaon5 von3
窗臺	tshaon5 de3
窘境	ciun5 cin3
窘況	cion5 khuaon3
窘迫	ciun5 phaq3
窜入	tshoe5 zeq3
窝囊	u5 naon3
窝子	u5 tsy3
窝棚	u5 ban3
窝藏	u5 zan3
窝轮	u5 len3
窟窿	khoq5 lon3
窥伺	khue5 zy3
窥探	khue5 thoe3
窥见	khue5 ci3
窥视	khue5 zy3
窦太后	deu2 tha4 gheu4
窦开远	deu2 khe4 yoe4
窦美仪	deu2 mhe4 gni4
窩內	u5 ne3
窩囊	u5 naon3
窩子	u5 tsy3
窩家	u5 cia3
窩棚	u5 ban3
窩着	u5 zaq3
窩藏	u5 zan3
窩輪	u5 len3
窪地	ua5 di3
窮人	jion2 gnin4
窮兇極惡	jion2 shion4 jiq4 oq4
窮光蛋	jion2 kuan4 de4
窮又	jion2 yeu4
窮困	jion2 khuen4
窮於	jion2 yu4
窮日	jion2 zeq4
窮期	jion2 ji4
窮死極想	jion2 si4 jiq4 sian4
窮漢	jion2 hoe4
窮盡	jion2 zin4
窮興窮下	jion2 shin4 jion4 gho4
窮苦	jion2 khu4
窮追	jion2 tsoe4
窮追不舍	jion2 tsoe4 peq4 so4
窮鬼	jion2 kue4
窯姐	yau2 tsia4
窯子	yau2 tsy4
窯洞	yau2 don4
窺伺	khue5 zy3
窺探	khue5 thoe3
窺見	khue5 ci3
窺視	khue5 zy3
竄入	tshoe5 zeq3
竄擾	tshoe5 zau3
竅門	chiau5 men3
竇太後	deu2 tha4 gheu4
竇美儀	deu2 mhe4 gni4
竇開遠	deu2 khe4 yoe4
竈披間	tsau5 phi9 ke3
竈臺	tsau5 de3
竈間	tsau5 ke3
竈頭間	tsau5 deu9 ke3
竊取	tshiq5 tshiu3
竊國大盜	tshiq5 koq9 du9 dau3
竊竊私語	tshiq5 tshiq9 sy9 gniu3
竊聽	tshiq5 thin3
立下	liq2 gho4
立了	liq2 liau4
立于	liq2 yu4
立于不败之地	liq2 yu4 peq4 ba4 tsy4 di4
立交	liq2 kau4
立交桥	liq2 kau4 jiau4
立交橋	liq2 kau4 jiau4
立人	liq2 gnin4
立住	liq2 zy4
立体	liq2 ben4
立体化	liq2 ben4 hua4
立体声	liq2 ben4 san4
立体感	liq2 ben4 koe4
立刻	liq2 kheq4
立功	liq2 kon4
立即	liq2 tsiq4
立国	liq2 koq4
立國	liq2 koq4
立地	liq2 di4
立场	liq2 zan4
立垃	liq2 laq4
立場	liq2 zan4
立夏	liq2 gho4
立契	liq2 chi4
立委	liq2 ue4
立定	liq2 din4
立宪	liq2 shi4
立宪派	liq2 shi4 pha4
立式	liq2 seq4
立志	liq2 tsy4
立意	liq2 i4
立憲	liq2 shi4
立憲派	liq2 shi4 pha4
立新	liq2 sin4
立方	liq2 faon4
立方体	liq2 faon4 ben4
立方米	liq2 faon4 mi4
立方體	liq2 faon4 thi4
立於	liq2 yu4
立於不敗之地	liq2 yu4 peq4 ba4 tsy4 di4
立时	liq2 zy4
立時	liq2 zy4
立柱	liq2 zy4
立案	liq2 oe4
立櫃	liq2 gue4
立正	liq2 tsen4
立法	liq2 faq4
立法会	liq2 faq4 khue4
立法會	liq2 faq4 khue4
立法权	liq2 faq4 jioe4
立法權	liq2 faq4 jioe4
立法者	liq2 faq4 tse4
立竿見影	liq2 koe4 ci4 in4
立竿见影	liq2 koe4 ci4 in4
立約	liq2 iaq4
立言	liq2 yi4
立誓	liq2 zy4
立說	liq2 seq4
立論	liq2 len4
立论	liq2 len4
立足	liq2 tsoq4
立足之地	liq2 tsoq4 tsy4 di4
立足点	liq2 tsoq4 ti4
立足點	liq2 tsoq4 ti4
立身	liq2 sen4
立陶宛	liq2 dau4 uoe4
立項	liq2 ghaon4
立项	liq2 ghaon4
立馬	liq2 mo4
立馬造橋	liq2 mo4 zau4 jiau4
立马	liq2 ma4
立體	liq2 thi4
立體化	liq2 thi4 hua4
立體感	liq2 thi4 koe4
立體聲	liq2 thi4 san4
竖井	zy2 tsin4
竖琴	zy2 jin4
竖立	zy2 liq4
竖起	zy2 chi4
站上	ze2 zaon4
站不住脚	ze2 peq4 zy4 ciaq4
站不住腳	ze2 peq4 zy4 ciaq4
站了	ze2 liau4
站住	ze2 zy4
站住脚	ze2 zy4 ciaq4
站住腳	ze2 zy4 ciaq4
站內	ze2 ne4
站台	ze2 de4
站岗	ze2 kaon4
站崗	ze2 kaon4
站点	ze2 ti4
站着	ze2 zaq4
站稳	ze2 uen4
站穩	ze2 uen4
站立	ze2 liq4
站臺	ze2 de4
站長	ze2 tsan4
站长	ze2 tsan4
站點	ze2 ti4
竞争	cin5 tsen3
竞争力	cin5 tsen9 liq3
竞争性	cin5 tsen9 sin3
竞争者	cin5 tsen9 tse3
竞技	cin5 ji3
竞技场	cin5 ji9 zan3
竞标	cin5 piau3
竞渡	cin5 du3
竞猜	cin5 tshoe3
竞相	cin5 sian3
竞赛	cin5 se3
竞走	cin5 tseu3
竞选	cin5 si3
竟也	cin5 gha3
竟將	cin5 tsian3
竟敢	cin5 koe3
竟日	cin5 zeq3
竟是	cin5 zy3
竟會	cin5 we3
竟未	cin5 vi3
竟然	cin5 zoe3
竟約	cin5 iaq3
竟能	cin5 nen3
竟自	cin5 zy3
竟被	cin5 be3
竟陵	cin5 lin3
章句	tsaon5 ciu3
章启月	tsaon5 chi9 yoq3
章啓月	tsaon5 chi9 yoq3
章大郎	tsaon5 du9 laon3
章太炎	tsaon5 tha9 yi3
章宗祥	tsaon5 tson9 zian3
章楚紅	tsaon5 tshu9 ghon3
章楚红	tsaon5 tshu9 ghon3
章法	tsaon5 faq3
章程	tsaon5 zen3
章節	tsaon5 tsiq3
章节	tsaon5 tsiq3
章魚	tsaon5 ng3
竣工	tsin5 kon3
童女	don2 gniu4
童子	don2 tsy4
童工	don2 kon4
童年	don2 gni4
童庆禧	don2 chin4 shi4
童心	don2 sin4
童志成	don2 tsy4 zen4
童慶禧	don2 chin4 shi4
童生	don2 sen4
童男	don2 noe4
童百熊	don2 paq4 yon4
童立本	don2 liq4 pen4
童装	don2 tsaon4
童裝	don2 tsaon4
童話	don2 wa4
童謠	don2 yau4
童话	don2 wa4
童谣	don2 yau4
童趣	don2 tshiu4
竭力	jiq2 liq4
竭尽	jiq2 zin4
竭尽全力	jiq2 zin4 zi4 liq4
竭盡	jiq2 zin4
竭盡全力	jiq2 zin4 zi4 liq4
竭誠	jiq2 zen4
竭诚	jiq2 zen4
端五節	toe5 ng9 tsiq3
端倪	toe5 gni3
端午	toe5 ng3
端午節	toe5 ng9 tsiq3
端午粽	toe5 ng9 tson3
端午节	toe5 wu9 tsiq3
端口	toe5 kheu3
端坐	toe5 zu3
端庄	toe5 tsaon3
端正	toe5 tsen3
端的	toe5 tiq3
端着	toe5 zaq3
端端正正	toe5 toe9 tsen9 tsen3
端莊	toe5 tsaon3
端詳	toe5 zian3
端详	toe5 zian3
端量	toe5 lian3
端門	toe5 men3
端门	toe5 men3
端阳节	toe5 yan9 tsiq3
端陽節	toe5 yan9 tsiq3
競技	cin5 ji3
競技場	cin5 ji9 zan3
競標	cin5 piau3
競渡	cin5 du3
競爭	jin2 tsen4
競爭力	cin5 tsen9 liq3
競爭性	cin5 tsen9 sin3
競爭者	cin5 tsen9 tse3
競猜	cin5 tshoe3
競相	cin5 sian3
競賽	cin5 se3
競走	cin5 tseu3
競選	cin5 si3
竹乡	tsoq5 shian3
竹书纪年	tsoq5 sy9 ci9 gni3
竹北	tsoq5 poq3
竹叶	tsoq5 yaq3
竹园	tsoq5 yoe3
竹圍	tsoq5 we3
竹園	tsoq5 yoe3
竹子	tsoq5 tsy3
竹山	tsoq5 se3
竹山县	tsoq5 se9 yoe3
竹山縣	tsoq5 se9 yoe3
竹書紀年	tsoq5 sy9 ci9 gni3
竹木	tsoq5 moq3
竹林	tsoq5 lin3
竹棍	tsoq5 kuen3
竹溪	tsoq5 chi3
竹溪县	tsoq5 chi9 yoe3
竹溪縣	tsoq5 chi9 yoe3
竹竿	tsoq5 koe3
竹笋	tsoq5 sen3
竹筍	tsoq5 sen3
竹筏	tsoq5 vaq3
竹筒	tsoq5 don3
竹签	tsoq5 tshi3
竹简	tsoq5 ci3
竹篓	tsoq5 leu3
竹篙	tsoq5 kau3
竹篮	tsoq5 le3
竹簍	tsoq5 leu3
竹簡	tsoq5 ci3
竹籃	tsoq5 le3
竹籤	tsoq5 tshi3
竹編	tsoq5 pi3
竹编	tsoq5 pi3
竹葉	tsoq5 yiq3
竹鄉	tsoq5 shian3
竹馬	tsoq5 mo3
笃信	toq5 sin3
笃定	toq5 din3
笊籬	tsa5 li3
笑了	siau5 liau3
笑傲	siau5 ngau3
笑吟吟	siau5 gnin9 gnin3
笑嘻嘻	siau5 shi9 shi3
笑場	siau5 zan3
笑声	siau5 san3
笑容	siau5 yon3
笑容可掬	siau5 yon9 khu9 cioq3
笑意	siau5 i3
笑渦	siau5 u3
笑眯眯	siau5 mhi9 mhi3
笑笑	siau5 siau3
笑罵	siau5 ma3
笑聲	siau5 sen3
笑脸	siau5 li3
笑臉	siau5 li3
笑言	siau5 yi3
笑話	siau5 wa3
笑語	siau5 gniu3
笑說	siau5 seq3
笑談	siau5 de3
笑话	siau5 wa3
笑语	siau5 gniu3
笑谈	siau5 de3
笑逐顏開	siau5 zoq9 nge9 khe3
笑逐颜开	siau5 zoq9 nge9 khe3
笑靥	siau5 iq3
笑靨	siau5 iq3
笑骂	siau5 ma3
笔下	piq5 gho3
笔会	piq5 khue3
笔划	piq5 gho3
笔力	piq5 liq3
笔名	piq5 min3
笔墨	piq5 meq3
笔尖	piq5 tsi3
笔录	piq5 loq3
笔意	piq5 i3
笔挺	piq5 thin3
笔架	piq5 ka3
笔架山	piq5 ka9 se3
笔法	piq5 faq3
笔画	piq5 wa3
笔直	piq5 zeq3
笔砚	piq5 gni3
笔者	piq5 tse3
笔触	piq5 tshoq3
笔记	piq5 ci3
笔记本	piq5 ci9 pen3
笔记本电脑	piq5 ci9 pen9 di9 nau3
笔试	piq5 sy3
笔调	piq5 diau3
笔迹	piq5 tsiq3
笙歌	sen5 ku3
笛卡尔	diq2 kha4 er4
笛卡爾	diq2 kha4 er4
笛声	diq2 san4
笛子	diq2 tsy4
笛聲	diq2 sen4
笡巴眼	tshia5 pa9 nge3
笤帚	diau2 tseu4
符号	vu2 ghau4
符合	vu2 gheq4
符咒	vu2 tseu4
符號	vu2 ghau4
笨人	ben2 gnin4
笨拙	ben2 tsoq4
笨瓜	ben2 ko4
笨蛋	ben2 de4
笨重	ben2 zon4
笨鳥	ben2 kniau4
第一	di2 iq4
第一个	di2 iq4 gheq4
第一产业	di2 iq4 tshe4 gniq4
第一代	di2 iq4 de4
第一件	di2 iq4 ji4
第一任	di2 iq4 zen4
第一份	di2 iq4 ven4
第一位	di2 iq4 we4
第一個	di2 iq4 ku4
第一分	di2 iq4 fen4
第一副	di2 iq4 fu4
第一卷	di2 iq4 cioe4
第一句	di2 iq4 ciu4
第一台	di2 iq4 de4
第一号	di2 iq4 ghau4
第一名	di2 iq4 min4
第一回	di2 iq4 we4
第一国际	di2 iq4 koq4 tsi4
第一國際	di2 iq4 koq4 tsi4
第一场	di2 iq4 zan4
第一場	di2 iq4 zan4
第一天	di2 iq4 thi4
第一家	di2 iq4 ka4
第一层	di2 iq4 zen4
第一屆	di2 iq4 ka4
第一届	di2 iq4 ka4
第一層	di2 iq4 zen4
第一峯	di2 iq4 fon4
第一峰	di2 iq4 fon4
第一年	di2 iq4 gni4
第一座	di2 iq4 zu4
第一张	di2 iq4 tsan4
第一張	di2 iq4 tsan4
第一所	di2 iq4 su4
第一手	di2 iq4 seu4
第一批	di2 iq4 phi4
第一招	di2 iq4 tsau4
第一支	di2 iq4 tsy4
第一期	di2 iq4 ji4
第一本	di2 iq4 pen4
第一条	di2 iq4 diau4
第一枪	di2 iq4 tshian4
第一架	di2 iq4 ka4
第一條	di2 iq4 diau4
第一槍	di2 iq4 tshian4
第一次	di2 iq4 tshy4
第一款	di2 iq4 khue4
第一步	di2 iq4 bu4
第一流	di2 iq4 lieu4
第一点	di2 iq4 ti4
第一產業	di2 iq4 tshe4 gniq4
第一盘	di2 iq4 boe4
第一盤	di2 iq4 boe4
第一眼	di2 iq4 nge4
第一种	di2 iq4 zon4
第一種	di2 iq4 tson4
第一章	di2 iq4 tsaon4
第一等	di2 iq4 ten4
第一節	di2 iq4 tsiq4
第一篇	di2 iq4 phi4
第一类	di2 iq4 le4
第一級	di2 iq4 ciq4
第一線	di2 iq4 si4
第一级	di2 iq4 ciq4
第一线	di2 iq4 si4
第一罐	di2 iq4 kuoe4
第一臺	di2 iq4 de4
第一艘	di2 iq4 sau4
第一节	di2 iq4 tsiq4
第一號	di2 iq4 ghau4
第一輛	di2 iq4 lian4
第一輪	di2 iq4 len4
第一轮	di2 iq4 len4
第一辆	di2 iq4 lian4
第一道	di2 iq4 dau4
第一部	di2 iq4 bu4
第一重	di2 iq4 zon4
第一門	di2 iq4 men4
第一门	di2 iq4 men4
第一面	di2 iq4 mi4
第一頁	di2 iq4 yiq4
