aabenraa	ɔbmˈʁɔ
galopere	ɡaloperə
galpe	ˈɡalbə
galt	ˈɡald
gam	ɡamˈ
gamache	ɡamasjə
gamer	ˈɡɛjmʌ
gammel	ɡaməl
gammeldags	ˈɡɑməlˌdæs
gammeldansk	ˈɡaməldansk
gammen	ɡamən
gang	ɡanɡ
gangræn	ɡanɡɡrɛn
ganja	ˈɡandja
ganske	ˈkænskə
garanti	ɡɑrɑnˈti
gardin	ɡardin
garn	ɡarn
gasturbine	ɡasturbinə
gat	ɡat
gav	ˈɡæ
gave	ˈɡæʋə
gaves	ˈɡæʋəs
gavmild	ˈɡɑwˌmil
gavn	ˈɡɑwn
gavne	ˈɡɑwnə
gavnet	ˈɡɑwnəð
gavnlig	ɡavnliɡ
gebrokken	ɡebrɔkən
gebrokkent	ɡebrɔkənt
gebrokne	ɡebrɔknə
gebyr	ɡeˈbyɐ
gebærde	ɡebɛrdə
ged	ɡed
gedder	ɡedər
geder	ɡedər
gedulgt	ɡeˈduld
geek	ɡik
gejrfugl	ˈɡɑjʌˈful
gejst	ɡajst
gejstlig	ɡajstli
gejstlige	ɡajstliə
gejstligt	ɡajstlit
gele	sjele
geled	ɡeled
geleddet	ɡeledət
gelé	sjele
gemen	ɡeˈmen
gemme	ɡɛmə
gemmer	ˈɡɛmɐ
gemmested	ɡɛməstɛd
gemt	ˈɡɛmd
gemte	ˈɡɛmdə
genbrug	ɡɛnbruɡ
gene	sjenə
gener	sjenər
generator	ɡenəˈʁɑtʌ
generatorer	ɡenəʁɑˈtoʌ
genere	sjenerə
generel	ɡenəˈrɛl
generer	sjenerər
generere	ɡenərerə
genert	sjenert
genetik	ɡenəˈtiɡ
gengive	ˈɡɛnˌɡi
gengæld	ɡɛnɡɛl
gengælde	ɡɛnɡɛlə
genlæse	ɡɛnlɛsə
genne	ˈɡɛnə
gennem	iɡɛnəm
gennemføre	ˈɡɛnəmˌføʌ
genopstandelse	ˈɡɛnʌbˌsdanəlsə
genopstå	ˈɡɛnʌbˌsdɔ
genopståen	ˈɡɛnˈʌbˌsdɔən
genre	ˈɕɑŋʁɐ
gensidig	ɡɛnsidi
genskabe	ˈɡɛnˌsɡæbə
genstand	ˈɡɛnˌsdan
genstride	ˈsdʁiðə
genus	ɡenus
genvordighed	ɡɛnˈvɒdiˌheð
geofysik	ˈɡeofyˌsik
geometri	ɡeomətri
georgine	ɡeɒˈɡinə
ger	ɡer
gerigt	ɡeˈʁiɡd
germansk	ɡɛrˈmansk
gerne	ˈɡɛɐnə
gerningssted	ɡɛrnenɡsstɛd
gerrig	ˈɡæɐi
gerrighed	ˈɡæɐiˌheð
gesjæft	ɡeˈɕɛfd
gestus	ɡɛsdus
gevaldig	ɡevaldiɡ
gevinst	ɡevenst
geværild	ɡeˈvɛril
gid	ˈɡið
gide	ˈɡiðə
gider	ˈɡiðɐ
gidet	ˈɡiðəd
gift	ɡift
gifte	ɡiftə
giftig	ɡifti
gigt	ˈɡiɡd
gilde	ɡilə
ginkgo	ˈɡeŋɡo
giraf	ɡiraf
giro	sjiro
gisne	ɡisnə
giv	ɡi
give	ˈɡi
given	ˈɡiʋən
givende	ˈɡiʋənə
givent	ˈɡiʋənd
giver	ˈɡiʋɐ
gives	ˈɡis
givet	ˈɡiʋəð
givne	ˈɡiwnə
gjalde	ɡjalə
gjord	ɡjor
gjorde	ɡjorə
gjort	ɡjort
glad	ˈɡlað
glamme	ˈɡlɑmə
glamour	ɡlamur
glansbillede	ɡlansbelədə
glasværk	ˈɡlæsˌʋaɐɡ
glemme	ˈklemə
glemsom	ˈɡlemsʌm
glemte	ˈɡlɛmdə
glimt	ɡlemt
glo	ɡlo
globe	ɡlobə
globus	ɡlobus
glæde	ɡlɛdə
glædelig	ɡlɛdəliɡ
glædeligvis	ˈɡlɛðəliˈvis
gløde	ˈɡløðə
gløgg	ɡløɡ
gnaver	ɡnavər
gnide	ɡniðɘ
gnist	ɡnist
gnom	ɡnom
gnosticisme	ɡnɔstisismə
gnu	ɡnu
gnægge	ˈɡnɛɡə
god	ˈɡoð
godaften	ɡoˈɑftən
godbid	ɡodbid
goddag	ɡoˈdaɣ
gode	ˈɡoðə
godmorgen	ɡoˈmɒən
godnat	ɡoˈnat
gods	ˈɡos
godt	ɡɔt
godthåb	ˈɡʌdˌhɔb
gold	ɡɔl
gotisk	ɡotisk
grad	ˈɡʁɑð
grafit	ɡʁɑˈfid
gram	ɡram
grammatik	ɡramatik
grammatiker	ɡramatikər
gran	ˈɡʁɑn
grangivelig	ɡʁɑnˈɡivəlid
granskning	ˈɡʁɑnsɡneŋ
grape	ɡrɛjb
gratis	ɡratis
gratulere	ɡʁɑtuˈleʌ
grav	ɡrav
grave	ɡraʋə
gravid	ɡravid
gravsten	ɡravsten
gregoriansk	ɡrɛɡoriansk
grej	ɡraj
greje	ɡrajə
grejer	ɡrajər
grejerne	ɡrajərnə
grejernes	ɡrajərnəs
grejers	ɡrajərs
grejet	ɡrajəð
grejets	ɡrajəðs
grejs	ɡrajs
grel	ɡrɛl
gren	ˈɡrɛn
grene	ˈɡʁænə
grev	ɡrev
greve	ɡrevə
grib	ˈɡʁib
grif	ˈɡʁif
grim	ɡʁɛm
grimassere	ɡrimaserə
grime	ɡrimə
grin	ɡrin
grine	ɡrinə
grinen	ɡrinə
gris	ɡris
grise	ˈɡʁisə
grisede	ˈɡʁisəðə
griser	ˈɡʁisɐ
griset	ˈɡʁisəð
grisk	ˈɡʁisɡ
grotte	ɡrotə
grov	ɡrɔv
gru	ɡru
grube	ɡrubə
grund	ɡʁɔn
grundlag	ɡrɔnlaɡ
grundlov	ˈɡʁɔnˌlɒw
grundlovsdag	ɡrɔnlɔvsdæ
gruppe	ˈɡʁubə
grupperabat	ɡrupərabat
grus	ɡrus
grusom	ɡrusɔm
gryde	ˈɡryðə
gryn	ɡryn
grynet	ˈɡʁynəð
grynt	ɡrønt
grynte	ɡrøntə
gryr	ɡryr
grå	ɡʁɔ
gråd	ˈɡʁɔð
grådig	ɡrɔði
gråhåret	ˈɡrʌˌhɒɒð
gråhærdet	ˈɡrʌˌhaɐdəð
gråne	ɡrɔnə
græd	ˈɡʁað
græde	ˈɡraðə
græder	ˈɡʁaðɐ
grædt	ˈɡʁad
grækenland	ˈɡrɛkənlan
grænse	ˈɡʁansə
græs	ˈɡʁas
græshoppe	ɡrɛshɔpə
græsk	ɡrɛsk
græskar	ˈɡʁasˌkɑ
grævling	ɡrɛvleŋ
grød	ˈɡʁœðˠ
grøft	ˈɡʁœfd
grøn	ɡrœn
grønland	ɡrœnlan
grønlandsk	ɡrœnlansk
grønlænder	ɡrœnlɛnər
grønsvær	ˈɡʁɶnˌsʋɛɐ
grønt	ˈɡʁɶnd
grøntsag	ˈɡʁɶnˌsæ
guanaco	ɡuaˈnɑɡo
gubbe	ˈɡubə
gud	ɡud
gudbarn	ɡudbarn
guddom	ɡuddɔm
guddommelig	ɡuddɔməli
gudenå	ˈɡuðnˌɔ
gudenåen	ˈɡuðnˌɔn
gudløs	ɡudløs
gudskelov	ˈɡusɡəˈlɒw
guirlande	ɡirlandə
guitar	ɡitar
guitarist	ɡitarist
gul	ɡul
guld	ˈɡul
guldet	ˈɡuləð
guldfisk	ɡulfesk
guldsmed	ɡulsmed
guldur	ɡulur
gule	ɡulə
gulerod	ˈɡuləˌʁoð
gulerød	ˈɡuləˌʁœð
gulv	ɡɔl
gulve	ˈɡɔlvə
gulvene	ˈɡɔlvənə
gulvenes	ˈɡɔlvənəs
gulvet	ˈɡɔlvəð
gummi	ɡɔmi
gunst	ˈɡɔnsd
gunstig	ˈɡɔnsdi
gustav	ˈkɔsˌtɑw
gusten	ˈɡusdən
gut	ɡut
guvernørpost	ɡuʋɐˈnøɐˌpʌsd
gyd	ɡyd
gyde	ɡydə
gylden	ɡylən
gylle	ɡylə
gylp	ˈɡylb
gylpe	ˈɡylbə
gylt	ˈɡyld
gymnasium	ɡymnasjɔm
gynækologi	ɡynɛkoloɡi
gyros	ˈɡyʁʌs
gå	ˈɡɔ
gåde	ˈɡɔðə
går	ɡɒr
gård	ɡɔr
gårsdag	ɡɔrsda
gås	ˈɡɔs
gåsen	ˈɡɔsən
gåsepotentil	ɡɔsəpotəntil
gåseøjne	ˈɡɔsəˌʌjnə
gæk	ˈɡɛɡ
gække	ˈɡɛɡə
gæld	ɡɛl
gælde	ɡɛlə
gælle	ɡɛlə
gænger	ˈɡɛŋɐ
gær	ɡɛr
gærdesmutte	ɡɛərsmutə
gæs	ˈɡɛs
gæst	ɡɛst
gætte	ˈɡɛdə
gæv	ˈɡɛw
gø	ɡø
gød	ɡød
gøde	ɡødə
gøgle	ɡɔjlə
gøgler	ɡøjlər
gør	ɡœr
gøre	ɡœrə
gøteborg	ˌɡøtəˈbɔrɡ
ha	ha
hacke	ˈhaɡə
hacker	ˈhaɡɐ
hade	hadə
hadet	ˈhaðəd
hadith	hɑˈdid
haft	ˈhɑfd
hage	haɡə
hagel	haɣəl
hagl	havl
haitianer	haitianər
haitiansk	haitiansk
haj	haj
hal	hal
hale	halə
haler	halər
hall	hɒl
hallo	halɔ
halm	halm
hals	hals
halshugge	halshoɡə
halstørklæde	ˈhalstɶɐˌklɛðə
halte	ˈhaldə
halunk	haˈlɔŋɡ
halv	ˈhal
halvanden	halvˈanən
halvandet	halvˈanəð
halve	ˈhalvə
halvfems	halvˈfɛms
halvfemsindstyve	halvˈfɛmsənsˌtyvə
halvfemte	halvˈfɛmtə
halvfjerde	halvˈfjɛrə
halvfjerds	halvˈfjɛrs
halvfjerdsindstyve	halvˈfjɛrsənsˈtyvə
halvmåne	halmɔnə
halvt	ˈhald
halvtredje	halvˈtreðjə
halvtreds	halvˈtres
halvtredsende	halˈtʁɛsənə
halvtredser	haltrɛsər
halvtredsindstyve	halvˈtresənsˌtyvə
halvtredsindstyvende	halvˈtresənsˈtyvənə
ham	ˈhɑm
hamborg	ˈhɑmbɒ
hammer	hamər
hamp	hamp
hamster	ˈhɑmsdɐ
hamstere	ˈhɑmsdɐɐ
hamsteren	ˈhɑmsdɐɐn
hamsterne	ˈhɑmsdɐnə
hamstre	ˈhɑmsdʁɐ
hamstrer	ˈhɑmsdʁɐ
hamstrere	ˈhɑmsdʁɐɐ
hamstreren	ˈhɑmsdʁɐɐn
hamstrerne	ˈhɑmsdʁɐnə
han	han
handle	hanlə
handske	ˈhanskə
hane	ˈhænə
hang	ˈhɑŋ
hankat	hankat
hannem	ˈhanəm
hannen	hanən
hans	ˈhans
hansen	hansən
har	hɑ
harddisk	ˈhɑdˌdesɡ
hare	harə
harekilling	harəkilenɡ
harke	ˈhɑɡə
harme	harmə
harmoni	harmoni
harmonika	harmonika
harpe	harpə
harsk	harsk
harve	harvə
hash	hasj
hat	had
hav	haw
havde	ˈhæðə
have	ˈhavə
havet	ˈhævəð
havfrue	havfruə
havn	havn
havre	havrə
havørn	ˈhɑwˌɶɐn
hebraisk	hebraisk
hed	ˈheð
hedde	ˈheðə
hede	ˈheðə
hedensk	hedənsk
hedning	hednenɡ
hegemon	hejəmoˈn
hegemonisme	hejəmoˈnismə
hej	hɑj
hejre	hajrɔ
hejse	ˈhɑjsə
hel	hel
helbred	ˈhɛlˌbʁɛð
helbrede	ˈhɛlˌbʁɛðə
held	ˈhɛl
heldig	ˈhɛldi
heldigvis	ˈhɛldiˈvis
helg	helɣ
helgen	ˈhɛljən
helhest	hɛlhɛst
heliotrop	heliotrop
helle	ˈhɛlə
hellig	ˈhɛli
helligdag	ˈhɛliˌdæ
hellige	ˈhɛlii
helliget	ˈhɛliið
helsen	hɛlsən
helsinge	ˈhɛlˌseŋə
helst	hɛlst
helt	hɛlt
heltinde	hɛltenə
helvede	ˈhɛlvedə
hemmelig	hɛməli
hen	ˈhɛn
hende	ˈhɛnə
hendes	ˈhenəs
henne	ˈhɛnə
henriette	ˌhɛnʁiˈɛdə
hense	ˈhɛnˌse
hensigt	ˈhenseɡd
hente	ˈhɛndə
her	hɛr
hera	ˈheʁɑ
herberg	ˈhaɐˌbaɐw
herkomst	ˈhaɐˌkʌmsd
hermeneutisk	hæɐməˈnœwtisɡ
herodot	heʁoˈdod
herre	hɛrə
herreløs	ˈhɛʁəˌløs
herskab	ˈhæɐˌsɡæb
herske	ˈhæɐsɡə
hersker	ˈhæɐsɡɐ
herskere	ˈhæɐsɡɐɐ
herskeren	ˈhæɐsɡɐɐn
herskerne	ˈhæɐsɡɐnə
hertz	hɛrts
hest	ˈhɛsd
hidse	ˈhisə
hierarki	hiarki
hierarkisk	hirarkisk
hieroglyf	hioˈɡlyf
hieroglyffen	hioˈɡlyfn
hieroglyffer	hioˈɡlyfɐ
hieroglyfferne	hioˈɡlyfɐnə
hieroglyfs	hioˈɡlyfs
hige	ˈhiə
hik	hek
hikke	hekə
hilse	hilsə
hilsen	hilsən
himmel	heməl
himmellegeme	heməllɛɣəmə
himmelstormer	heməlstɔrmər
himmerige	ˈheməˌʁiə
hin	ˈhin
hinanden	hinanən
hind	hen
hindbær	henbɛr
hindbærsnitte	ˈhenbæɐˌsnidə
hinde	henə
hinden	henən
hinder	hendər
hindre	hendrə
hinduisme	henduismə
hine	ˈhinə
hingst	ˈheŋsd
hinsides	ˈhinˌsiðəs
hint	ˈhend
hird	ˈhiɐd
historie	historiɘ
hit	hit
hitte	hitə
hittebarn	hitəbarn
hittegods	hitəɡos
hittegodskontor	hitəɡoskontor
hittepåsom	hitəpɔsɔm
hjald	jal
hjalp	ˈjalb
hjelm	jɛlm
hjelme	jɛlmə
hjem	ˈjɛm
hjemlig	jɛmli
hjemme	jɛmə
hjemmeside	jɛməsiðə
hjemve	jɛmve
hjerne	jɛrnə
hjerpe	ˈjæɐbə
hjerte	jɛrtə
hjertens	jɛrtəns
hjerter	jɛrtər
hjertestop	jɛrtəstɔp
hjon	ˈjon
hjord	jɔrd
hjort	jɔrt
hjortekød	ˈjɒdəˌkøðˠ
hjul	jul
hjulpen	ˈjɔlbən
hjulpet	ˈjɔlbəð
hjulpne	ˈjɔlbnə
hjælp	ˈjɛlb
hjælpe	ˈjɛlbə
hjælpen	ˈjɛlbən
hjælpende	ˈjɛlbənə
hjælper	ˈjɛlbɐ
hjælpes	ˈjɛlbəs
hjørne	jœrnə
hob	hob
hobe	hobə
hoben	hobən
hof	hɔf
hofmarskal	hɔfmarsjal
hofteben	hɔftəben
hofteholder	hɔftəhɔlər
hold	ˈhʌl
holde	ˈhʌlə
holden	ˈhʌlən
holdende	ˈhʌlənə
holdent	ˈhʌlənd
holder	ˈhʌlɐ
holdes	ˈhʌləs
holdne	ˈhʌlnə
holdning	ˈhʌlneŋ
holdt	ˈhʌld
holdte	ˈhʌldə
holdtes	ˈhʌldəs
holland	ˈhʌˌlan
hollandsk	ˈhʌˌlansɡ
hollænder	ˈhʌˌlɛnɐ
homer	hoˈmeɐ
homofili	homofili
homofob	homoˈfob
homoseksuel	ˈhomosɛɡsuˌɛl
homøopati	homøopaˈti
honning	hɔnenɡ
honorar	honoˈʁɑ
hop	hɔp
hoppe	hɔpə
hor	hor
horehus	ˈhoɐˌhus
horn	hoɐn
hornhinde	hornhenə
horrorfilm	hɔrrɔrfilm
hors	ˈhɒs
hos	hɔs
hospital	hɔspital
hoste	hostə
hostesaft	hostəsaft
hotdog	ˈhʌdˌdʌɡ
hov	hɔv
hoved	ˈhoəð
hovedbanegård	ˈhoəðbænəˌɡɒ
hovedet	ˈhoəðəð
hovedpine	hovədpinə
hovedpulsåre	hovədpulsɔrə
hovedsag	ˈhoðˌsæj
hovedsagelig	hoðˈsæjəli
hovedstad	ˈhoðˌsdað
hovedstæder	ˈhoðˌsdɛðɐ
hovedsætning	ˈhoðˌsɛdneŋ
hovedtelefon	hoəðteləfon
hovedtørklæde	ˈhoðtɶɐˌklɛðə
hoven	ˈhɒwən
hovmod	hɔwmoð
hovmodig	hɔwmoði
hu	ˈhu
hud	huð
hudfarve	hudfarvə
hudløs	hudløs
hug	hoɡ
hugge	hoɡə
hukommelse	huˈkʌmɭsə
hul	hol
huld	ˈhul
hule	hulə
hulens	huləns
humor	humɔr
humpe	ˈhɔmbə
humør	humør
hun	hun
hund	hun
hundekold	hunəkɔl
hunden	ˈhunn
hundene	ˈhuɳnə
hundestejle	hunəstajlə
hundestjernen	hunəstjɛrnən
hundred	hunrəd
hundrede	hunrədə
hundreder	hunrədər
hundredvis	ˈhunʁʌðˌvis
hunnen	ˈhunn
hunner	ˈhunɐ
hurtig	horti
hus	ˈhus
husbond	husbon
husbåd	husbɔd
huse	husə
husgeråd	ˈhusɡeˌʁɔð
husk	husk
huske	ˈhusɡə
husleje	ˈhusˌlɑjə
huslig	husli
husmand	husman
husstand	ˈhusˌsdan
hvad	ʋæð˕ˠ
hval	ˈval
hvalp	ˈʋalb
hvas	vas
hvede	ˈveðə
hvedebrød	ˈʋeðˠəˌbʁœðˠ
hvedemel	ˈʋeðˠˌmel
hvem	vɛm
hvepsetalje	vɛbsətaljə
hver	ˈvɛr
hverandre	vɛrandrə
hverdag	ˈvæɐˌdæ
hverken	vɛrkən
hvermand	ˈvɛɐˌman
hverv	ˈvæɐw
hverve	ˈvæɐwə
hvi	vi
hvid	ˈvið
hviderusser	vidərusər
hvidovre	ˈviðˌɒwʁɐ
hvidt	ˈvid
hvidvin	vidvin
hvil	vil
hvile	ˈvilə
hvilke	ˈvelɡə
hvilken	ˈvelɡən
hvilket	ˈvelɡəð
hvirveldyr	virvəldyr
hvis	ves
hviske	ˈʋesɡə
hvisken	ˈʋesɡən
hvo	vo
hvor	vɒ
hvordan	ʋʌˈdan
hvorfor	ˈvofɔ
hvorledes	vɔrledɘs
hvornår	vɒˈnɒ
hvæse	vɛsə
hvæsse	vɛsə
hybris	hybris
hydrat	hydrat
hydrere	hydrerə
hygge	hykə
hyggelig	ˈhyɡəli
hykle	ˈhyɡlə
hykler	ˈhyɡlɐ
hykleri	hyɡlɐʁi
hyklerisk	hyɡlɐʁi
hylde	hylə
hyle	hylə
hylle	hylə
hymne	hymnə
hyppig	hypi
hyrde	ˈhyadə
hyre	ˈhyʌ
hyt	hyt
hytte	hytə
hyttede	hytəðə
hyttefad	hytəfað
hytten	hytən
hyttens	hytəns
hytteost	hytəost
hytter	hytər
hytterne	hytərnə
hytternes	hytərnəs
hyttes	hytəs
hyttet	hytəð
håb	hɔb
håbe	hɔbə
hån	hɔn
hånd	hɔn
håndgemæng	hɔnɡemɛnɡ
håndjern	hɔnjɛrn
håndklæde	ˈhʌnˌklɛðə
håndtaske	hɔntaskə
håndværk	ˈhʌnˌʋaɐɡ
håndværker	ˈhʌnˌʋaɐɡɐ
hår	hɔr
hårbørste	hɔrbœrstə
hård	hɒ
hårdt	ˈhɒd
hårfin	hɔrfin
hæder	hɛdər
hæderlig	ˈhɛðʌli
hæfte	hɛftə
hæl	ˈhɛl
hæle	ˈhɛlɐ
hæler	ˈhɛlɐ
hæleren	ˈhɛlɐɐn
hæmatologi	hɛmatoloˈɡi
hænde	hɛnə
hænder	ˈhɛnɐ
hæng	ˈhɛŋ
hænge	ˈhɛŋə
hænger	ˈhɛŋɐ
hængt	ˈhɛŋd
hængte	ˈhɛŋdə
hæretiker	hɛˈʁɛtiɡʌ
hærg	ˈhaɐwəð
hærge	hɛrɣə
hærgede	ˈhaɐwəðə
hærgende	ˈhaɐwənə
hærger	ˈhaɐwɐ
hærget	ˈhaɐwəð
hæslig	ˈhɛsli
hætte	ˈhɛdə
hæv	hɛv
hævd	hɛvd
hævde	hɛvdə
hæve	hɛvə
hævn	hɛvn
hævne	ˈhɛwnə
hævngerrig	hɛvnɡɛri
hø	hø
høde	høðə
høg	høɣ
høj	hɔj
højde	hɔjdə
højdepunkt	hɔjdəpoŋt
højforræderi	ˈhʌjfʌʁaðɐˌʁi
højlund	hɔjlond
højre	hɔjrə
højredrejning	ˈhʌɪʌˌdʁɑɪniŋ
højst	hɔjst
højtaler	højtalər
højttaler	højtalər
højtysk	ˈhɔjtysk
høker	høkər
høkre	høkrə
høl	høl
høne	hœnə
høns	hœns
hør	hœr
høre	ˈhøʁə
hørelse	hørəlsə
høretelefon	hørəteləfon
hørfrøolie	ˈhɶɐˌfʁœˌoljə
høst	høst
høstak	høstak
høste	høstə
høvl	høvl
høvle	høvlə
ibenholt	ˈibənˌhʌld
iblandt	iˈbland
idiomatisk	idiomatisk
idræt	ˈiˌdʁad
idyl	iˈdyl
idyllisk	idylisk
idé	iˈde
ifølge	iføljə
iføre	ˈiˌføʌ
igennem	iɡɛnəm
igle	ˈilə
iglo	ˈiɡlo
ignorant	injoˈʁɑnd
ignorere	injoˈʁɛɐ
ignorerede	injoˈʁɛɐðə
ignorerer	injoˈʁɛɐ
ignoreret	injoˈʁɛɐð
igæld	ˈiɡɛl
ihjel	ijɛl
ihukomme	iˈhuˌkʌmə
ihukommelse	iˈhuˌkʌmɭsə
ikke	ˈeɡə
iklæde	ˈiˌklɛðə
ild	il
ilddåb	ildɔb
ilde	ilə
ildebrand	iləbran
ilder	ˈilʌ
ildflue	ilfluə
ildhu	ilhu
ildkugle	ilkulə
ildløs	illøs
ildsjæl	ilsjɛl
ildslukker	ˈilˌslɔɡɐ
ildsted	ilstɛð
ildsvåde	ilsvɔðə
ile	ˈilə
ilt	ilt
ilte	iltə
ilter	iltər
imellem	imɛləm
imens	iˈmɛns
imidlertid	iˈmiðˠlʌˌtiðˠ
imitere	imiterə
immigrant	imiˈɡʁɑnd
immigration	imiɡrasjon
immigrere	imiɡrɛrə
imod	iˈmoð
imperium	emˈpeɐiɔm
imponere	empoˈneɐ
imponerede	empoˈneɐðˠə
imponeres	empoˈneɐs
imposant	emposant
impulsiv	impulsiv
incel	ˈenˌsɛl
incidens	ensiˈdens
indavl	enavl
indbilde	enbilə
indbildning	ˈenˌbilniŋ
indbygger	ˈenˌbyɡɐ
inddrage	-ˌdʁɑwə
inde	ˈenə
indebrændt	indebrændt
indenlands	enənlans
indenlandsk	enənlansk
indflydelse	enflyðəlsə
indgang	ˈenˌɡɑŋ
indhøste	enhøstə
indianer	indiˈanər
indimellem	enimɛləm
individ	endivid
indkomst	enkɔmst
indlemme	enlɛmə
indlysende	enlysənə
indoeuropæisk	endoøwroˈpɛisk
indolens	endoˈlɛns
indolent	endoˈlɛnd
indre	endrə
indrømme	ˈenˌʁɶmə
indrømmelse	ˈenˌʁɶməlsə
indspist	ˈenˌsbisd
indtale	-ˌtælə
indtil	ˈente
indtægt	ˈenˌtɛɡd
indvortes	envɔrtəs
infektion	enfɛɡˈɕon
infinitesimalregning	ˌenfiˌnitesiˈmælˌʕɑɪneŋ
inflation	enflaˈɕon
ingen	ˈenɡən
ingeniør	ensjənˈjøɐ
ingenting	ˈeŋənˌteŋ
ingrediens	enɡʁɛˈdjɛns
inn	ɪn
insekt	ensɛkt
inspektrice	ensbɛɡˈtʁisə
inspektør	ensbəɡˈtøɐ
institut	ensdiˈtud
intelligent	enteliɡɛnt
interessant	entʁəˈsand
interesse	entərrasə
interessere	entʁɐˈseɐ
international	ˈentɐnaɕoˈnæl
internere	entæɐˈneʌ
intervention	entərvənsjon
intetkøn	ˈendəðˌkœn
intrigant	entʁiˈɡand
intrige	enˈtʁiə
intrigere	entʁiˈɡeʌ
introducere	entroduserə
introduktion	entroduɡˈsjon
inuit	inuˈid
ir	ˈiɐ
irer	ˈiɐ
irland	ˈiɐˌlan
ironi	ironi
irrationel	ˈiʁɑɕoˌnɛl
irritabel	iritabəl
irriterende	iɐiˈteɐnə
irsk	ˈiɐsɡ
is	ˈis
iscenesætte	isenəsɛtə
islam	ˈislɑm
islænding	islɛnenɡ
ispind	ispend
issyl	ˈisˌsyl
istanbul	ˈistanbul
iste	iste
ister	ˈisdʌ
isvin	ˈisˌʋin
især	iˈsɛɐ
italesætte	italəsɛtə
italesættelse	italəsɛtəlsə
italien	iˈtæljən
italiener	italˈjɛnɐ
italiensk	italˈjɛnsɡ
itu	itu
iver	ivər
ivrig	ivri
ja	ja
jade	jadə
jag	jaɡ
jage	ˈjaɣə
jakkesæt	ˈjakəˌsɛt
jalousi	ɕaluˈsi
jaloux	sjalu
jamaica	ɕamɑjˈka
januar	ˈjanuˌɑ
japaner	japanər
japansk	japansk
jarl	ˈjarl
jasmin	sjasmin
jeg	jɑj
jeger	ˈjɑjɐ
jegerne	ˈjɑjɐnə
jegernes	ˈjɑjɐnəs
jeget	ˈjɑjəð
jegets	ˈjɑjəðs
jegs	ˈjɑjs
jensen	jɛnsən
jer	jɛɐ
jeres	ˈjɛɒs
jern	ˈjɛɐn
jernbane	ˈjaɐnˌbænə
jernbanefløjl	jɛrnbanəfløjl
jernbaneoverskæring	ˈjæɐnˌbænəˌɒʊʌˌsɡɛɐeŋ
jernbanespor	ˈjæɐnˌbænəˌsboɐ
jernbanevogn	ˈjæɐnbænə-
jernene	ˈjaɐnənə
jernenes	ˈjaɐnənəs
jernet	ˈjaɐnəð
jespersen	ˈjɛsbərsən
jesus	ˈjesus
jiddisch	jidish
jo	jo
job	ˈdjʌb
jodle	jɔdlə
johannes	joˈhanəs
joho	jɔˈhɔʊ
joke	ˈdjɔwɡ
jomfru	jɔmfru
jomfruelig	jɔmfruəli
jomfrufødsel	jɔmfruføsəl
jonglør	ɕʌŋˈløɐ
jord	ˈjoɐ
jordbær	ˈjorˌbɛr
jordisk	jordisk
jordnød	ˈjoɐˌnøðˠ
jordnøddeolie	ˈjoɐˌnøðˠˌoljə
jordnøddesmør	jornødesmœr
jordskælv	jorskɛlv
jordsmon	ˈjoɐsˌmɔn
journalistik	jornalisˈtik
jubilæum	jubilɛɔm
juice	ˈdjus
jul	ˈjul
juleaften	juləaftən
julefrokost	ˈjuləˌfʁɔɡʌsd
julekort	julekɔrt
julelys	juləlys
julemand	ˈjulemæ
juletræ	julətrɛ
juli	ˈjuli
jungle	djɔnɡlə
juni	ˈjuni
jura	jura
juridisk	juriðisk
jurist	jurist
juvel	juvel
juveler	juvɘler
jyde	ˈjyðə
jylland	ˈjyˌlæn
jysk	ˈjysɡ
jytte	jytə
jæger	ˈjɛjʌ
jætte	ˈjɛdə
jættestue	jɛtəstuə
jævn	jɛvn
jævne	ˈjɛwnə
jævnfør	jɛvnfør
jævnføre	jɛvnførə
jævnstrøm	ˈjɛʊnˌsdʁɶm
jøde	jødə
jødinde	jøðenə
jørgen	ˈjœrən
kadet	kaˈdɛd
kadi	ˈkædi
kaffe	ˈkɑfə
kaffebønne	ˈkɑfəˌbœnə
kaffekande	kafɘkanɘ
kag	ˈkæj
kage	ˈkajə
kager	ˈkæjɐ
kagers	ˈkæjɐs
kagle	ˈkɑʊlə
kaj	kaj
kaje	ˈkɑjə
kakao	kakao
kakaosmør	kaˈkæoˌsmɶɐ
kakkel	kakəl
kakkelovn	kakəlɔvn
kakofoni	kakofoni
kaktus	kaktus
kalender	kaˈlɛnɐ
kalif	kaˈlif
kalifat	kaliˈfæd
kalv	kalv
kamme	kamə
kammer	kamər
kampsport	ˈkɑmbˌsbɒd
kan	ˈkan
kanalje	kaˈnaljə
kanapé	kanape
kandestøber	kanəstøbər
kanel	kanel
kanelsnegl	kaˈnelsnɑɪl
kanin	kaˈnin
kanonisere	kanoniˈseʌ
kaos	ˈkæʌs
kapel	kaˈpɛl
kapers	kapərs
kapitel	kapitəl
kappe	kapə
kaprifolie	kɑbʁiˈfoljə
kapring	kaprenɡ
kaptajn	kɑbˈtɑjn
kar	ka
karakter	karakter
karakteristisk	kɑkteˈʁistisk
karantæne	kɑɑnˈtɛnə
karikatur	kɑikaˈtuɐ
karisma	karisma
karl	karl
karle	ˈkɑlə
karm	ˈkɑm
karnap	kaˈnɑb
karpe	karpə
karry	kari
kartoffel	kɑˈtɔfəl
kasserolle	kasərɔlə
