ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
ᏴᏫ ᎤᏂᎸᏈᏗ ᎤᏂᎩᏍᏗ ᎦᏅᏥ. ᏐᎯ ᎠᏍᏙᏓ ᎠᏃᏢᏗᏍᎨᎢ. ᎤᎵᎪᎲᏍᏗ ᏱᎩ, ᏓᏄᏖᏍᎨ ᏐᎯ. ᎯᎸᏍᎩ ᏳᎾᏙᏓᏆᏍᏗ ᏓᏂᎧᏲᏗᏍᎨ ᎩᎳᏅ ᏓᏅᏍᏆᎶᏍᎨᎢ. ᏫᏚᏔᏅ ᏐᎯ ᏧᏯᏍᎦ ᏓᎾᏑᏰᏍᎨ, ᎪᎱᏍᏗ ᎠᏅᏗᏍᎨ ᎠᎴ	jə̃wi unilə̃kʷiti unikisti kanə̃t͡si . sohi astota anot͡ɬə̃tiskei . ulikohə̃sti jiki , tanutʰeske sohi . hilə̃ski junatotakʷasti tanikʰajotiske kilanə̃ tanə̃skʷaloskei . witutʰanə̃ sohi t͡sujaska tanasujeske , kohusti anə̃tiske ale
ᎤᏲ ᎤᏓᏅᏛ ᎵᏓ. ᎠᏂᏐᎢ ᏘᏲᎭᎵ Ᏼ ᎾᎾᏛᏁᎮ ᎢᏡᎬ ᏳᎦᏌᏔᏂᏝ.	ujo utanə̃tə̃ lita . anisoi tʰijohali jə̃ nanatə̃nehe it͡ɬukə̃ jukasatʰanit͡ɬa .
ᎾᎾᏓᏛᏁᎲ. ᎵᏓ ᎤᏩᏌ ᏄᏓᎴ ᎨᏎᎢ. ᎥᏍᏊ ᎤᏓᏁᏟᏴᏍᏗ ᎨᏎ ᎤᎵᏑᏫᏒ,	nanatatə̃nehə̃ . lita uwasa nutale kesei . ə̃skʷu utanet͡ɬijə̃sti kese ulisuwisə̃ ,
ᎤᎵᏑᏫᏒ. ᎤᏙᎯᏳ ᎤᏦᏎᏗ ᏳᏓᏅᏔ, ᏓᎭᎵᎨᎢ ᎤᎵᏑᏫᏓ ᏂᎦᎵᏍᏗᏍᎨᎢ. ᎤᏁᏌᏴᏜ	ulisuwisə̃ . utohiju ut͡soseti jutanə̃tʰa , tahalikei ulisuwita nikalistiskei . unesajə̃t͡ɬa
ᎠᎾᏁᏟᏗᏍᎬ ᎤᎾᏗᏍᎦᏟᏗ ᏧᎦᎶᎪ. ᏃᏊ ᏓᏂᏰᏍᎬ ᏘᏲᎭᎵ. “ᏕᎭᏘᏃᎦ ᏦᏣᏓᎿᏫ,”	ananet͡ɬitiskə̃ unatiskat͡ɬiti t͡sukaloko . nokʷu tanijeskə̃ tʰijohali . tehatʰinoka t͡sot͡satahnawi ,
ᎾᎥ ᏱᎦᎷᎨᎢ. ᎢᎦ ᎤᎴᏐᏓ ᏂᎦᎵᏍᏗᏍᎬ ᎥᏍᏊ. ᏍᎪᏱ ᎥᏍᏊ ᎤᏣᏘᎾ	naə̃ jikalukei . ika ulesota nikalistiskə̃ ə̃skʷu . skoji ə̃skʷu ut͡satʰina
ᎠᎬᏱᎨᏒ, ᎤᎫᎫ ᎤᏛᏛᏁ. ᏚᏎᎮᎴ ᏗᎪᏍᏓᏯ ᏧᏓᏘᏍᏙᏗ, ᎤᏔᎾᏃ	akə̃jikesə̃ , ukuku utə̃tə̃ne . tusehele tikostaja t͡sutatʰistoti , utʰanano
“ᎢᎦᏓ ᏘᏲᎭᎵ ᏚᏂᎵᎪ ᎤᏍᏊ,” ᎤᏛᏁ ᎵᏓ, “ᎠᏎᏍᎩᏂ Ꮭ ᎡᏍᎦ ᏱᏙᎬᏅᎦ	ikata tʰijohali tuniliko uskʷu , utə̃ne lita , aseskini t͡ɬa eska jitokə̃nə̃ka
ᏣᎳᎩ ᏗᎦᏣᎦᎸᏴ ᏗᏌᏃ ᏚᎾᏌᏃᎮᎢ, ᎠᏂᏍᎦᏯᏃ ᎠᏇᏡᏍᏗ ᎪᏢᏔᏅ ᎠᎿᏬ ᏚᎾᏂᏪᎢ. ᎠᎦᏣᎦᎸᏓ ᎠᏌᏃ ᏂᏓᏂᏪᏎᎰ.	t͡salaki tikat͡sakalə̃jə̃ tisano tunasanohei , aniskajano akʷet͡ɬusti kot͡ɬə̃tʰanə̃ ahnawo tunaniwei . akat͡sakalə̃ta asano nitaniweseho .
ᎠᎬᏱᏗᏜ ᏗᎧᏁᏍᏗ ᏓᏃᏢᏍᎨ ᏧᎾᏓᏍᏛᏗ ᎠᎯᏗᎨᎢ. ᏧᎾᏍᏗ ᎠᏂᎨᏳᏣ ᏧᎾᏌᏃ	akə̃jitit͡ɬa tikʰanesti tanot͡ɬə̃ske t͡sunatastə̃ti ahitikei . t͡sunasti anikejut͡sa t͡sunasano
ᏓᎾᏂᏬᏍᎪ ᎠᏇᏡᏍᏗ ᎠᎿᏬᎢ. ᎥᏍᏊ ᎤᏅᏣᏗ ᎤᏥᎸ ᏗᎪᏢᏔᏅ ᏕᎨᏐ,	tananiwosko akʷet͡ɬusti ahnawoi . ə̃skʷu unə̃t͡sati ut͡silə̃ tikot͡ɬə̃tʰanə̃ tekeso ,
ᏗᏍᏓᏯ ᎠᏓ ᎢᏕᏡᎬ ᏚᏂᏲᎮ ᏧᏃᎸᏙᏗ. ᏅᎩᏍᎪᎯ ᏱᎳᏏᏗ ᎢᏗᎦᏅᎯᏓ ᏕᎨᏒᎢ.	tistaja ata itet͡ɬukə̃ tunijohe t͡sunolə̃toti . nə̃kiskohi jilasiti itikanə̃hita tekesə̃i .
ᎦᎷᏍᏗ ᎠᎴ ᎠᏓ ᏗᎦᎴᏴᏍᏙᏗ ᏱᏚᏂᎮ ᎾᎯᏳ ᏥᎨᏒᎢ. ᎠᏎᏃ Ꮭ ᏗᎾᏓᏲᏍᎩ	kalusti ale ata tikalejə̃stoti jitunihe nahiju t͡sikesə̃i . aseno t͡ɬa tinatajoski
ᏒᎳᏗᏜ ᎢᏈᎬ ᎠᏃᏛᏍᎨᎢ. ᏝᏬᏘ, ᎧᏁᏍᎦᏃ ᎥᏍᏊ ᏓᏅᏗᏍᎨ ᏧᏁᏅᏒ	sə̃latit͡ɬa ikʷikə̃ anotə̃skei . t͡ɬawotʰi , kʰaneskano ə̃skʷu tanə̃tiske t͡sunenə̃sə̃
ᏳᎴᏴᏐᎾᏊ ᎠᎾᎴᏂᏍᎨᏱ ᎠᏂᏁᎦᎵᏍᎬ ᎤᏯᎸ ᎢᏡᎬᎢ. ᎠᎯᏓ ᎦᏁᎦᏟᏗ ᎨᏐᎢ	julejə̃sonakʷu analeniskeji aninekaliskə̃ ujalə̃ it͡ɬukə̃i . ahita kanekat͡ɬiti kesoi
ᎦᏚᏗᏜ ᎠᏓ ᎠᏍᏆᎵᏓ ᏓᏃᏛᏍᎨ, ᏂᎪᎸ ᎤᎾᎦᏎᏍᏕᎢᎪᏛ. Ꮭ ᏳᎾᏚᎵᏍᎨ ᎡᏆ	katutit͡ɬa ata askʷalita tanotə̃ske , nikolə̃ unakasesteikotə̃ . t͡ɬa junatuliske ekʷa
ᎪᎢ ᎠᏂᏅᎵᏰᏍᎨᎢ. ᏳᏓᎵᎭᏋ ᎠᏂᏅᎵᏰᏍᎨ ᏲᎾ ᎪᎢ ᏥᏳᎢ ᎤᎧᏲᎯᏍᏗ	koi aninə̃lijeskei . jutalihakʷə̃ aninə̃lijeske jona koi t͡sijui ukʰajohisti
ᏩᏂᏍᏆᏗᏍᎬ ᎢᎪᎯᏓ. ᎡᎵᏍᏗᎧ ᏱᎨᏲᎲᎦ ᎪᎯᎩᏴ ᏥᎨᏒ ᏗᏍᏓᏩᏛᏍᏗ	waniskʷatiskə̃ ikohita . elistikʰa jikejohə̃ka kohikijə̃ t͡sikesə̃ tistawatə̃sti
ᎤᏓᏃ ᎢᎦ ᎡᎯ ᏚᏛᏳᎨᎮᎢ ᏂᎦᎥ ᎠᏥᎸᏉᏛ ᎤᏓ ᏒᏃᏱ ᎡᎯ ᏚᏭᎪᏔᏁ ᏧᎯᏍᏗ ᏴᏫ. ᏂᎪᎯᎸ ᏏᎦ ᎨᏒ ᎾᎯᏳ ᎾᎥᏂᎨᏍᏘ ᏳᏭᎷᏣ ᎤᏪᏥ ᎠᎨᏳᏣ ᏧᏪᏅᏒ, ᎡᎳᏗ ᏂᎬᏁᎮ ᎤᎶᏒᏍᏗ ᎤᏗᏞᎩ ᏚᎾᏗᎴᎲᏍᏗᏍᎨ ᏯᏂᏍᎪᎯᏥᏆᏃ ᏴᏫ ᏚᏂᏲᎱᏎ. ᎾᎯᏳᏃ ᎦᎪᏭ ᏧᎵᎢ ᏱᏚᏲᏎᎳ ᏱᏅᏫᏍᏗᎴ ᎩᎶ ᏂᏗᏥᏃᎯᏱᏒᎾ ᏱᎩ, ᎠᏂᏴᏫᏃ ᎠᏁᎬ ᏧᎾᏍᏗ ᎠᏂᏍᎦᏯ ᏫᏓᏂᏔᏲᏎᎲ ᎬᏩᏂᏍᏕᎸᏗ. ᎯᎠᏃ ᎠᏂᏍᎦᏯ, ᎤᎾᏓᏅᏘ ᏚᎾᏓᏅᏛᎢ ᎨᏒᎢ, ᏄᏂᏪᏒᏃ ᏑᏓᎴᎩᏃ ᎬᏩᎾᏛᏁᏗ ᎤᏅᏌ ᎤᎾᎵᏍᏕᎸᏗ ᎾᏍᎩᏃ ᎤᏂᎯᏍᏗ ᎨᏒ ᏅᏓ ᎢᎦ ᎡᎯ.	utano ika ehi tutə̃jukehei nikaə̃ at͡silə̃kʷotə̃ uta sə̃noji ehi tuwukotʰane t͡suhisti jə̃wi . nikohilə̃ sika kesə̃ nahiju naə̃nikestʰi juwulut͡sa uwet͡si akejut͡sa t͡suwenə̃sə̃ , elati nikə̃nehe ulosə̃sti utit͡ɬeki tunatilehə̃stiske janiskohit͡sikʷano jə̃wi tunijohuse . nahijuno kakowu t͡sulii jitujosela jinə̃wistile kilo nitit͡sinohijisə̃na jiki , anijə̃wino anekə̃ t͡sunasti aniskaja witanitʰajosehə̃ kə̃wanistelə̃ti . hiano aniskaja , unatanə̃tʰi tunatanə̃tə̃i kesə̃i , nuniwesə̃no sutalekino kə̃wanatə̃neti unə̃sa unalistelə̃ti naskino unihisti kesə̃ nə̃ta ika ehi .
ᎠᏎᏃ ᎤᎧᏖᎾ ᎤᏟᎯᏊ ᏳᎿᎸᎯ ᎠᎴ ᎤᎪᏕᏊ ᎦᎾᏰᎬ ᏂᎦᎵᏍᏗᏍᎬ ᏂᎪᎯᎸᎢ. ᎤᎶᏒᏍᏗᏃ ᎠᏓᎯᎯ ᏄᎵᏍᏔᏁ ᎾᏍᏊ ᏱᏚᎧᎾᎾᏊ ᎠᏍᎦᏯ, ᏂᎦᏓ ᏏᏓᏁᎸᎤᎾᏙᏢᏒ ᏓᏂᏲᎱᏍᎨ. ᏭᎵᏯᎶᎸᏃ ᏴᏫ ᏗᎦᎳᏫᏓ ᎤᏂᏍᏆᎸᎡᎴ ᎠᎴ ᏚᏄᎪᏔᏁ ᎤᎶᏒᏍᏗ ᎦᎾᏰᎩ ᎨᏒ, ᎦᎸᏔᏗᏃ ᏗᎨᏒ ᏭᏂᎧᏅᎢ, Ꮎ ᎡᎶᎯ, ᎾᎿᏃ Ꮟ ᏪᎭ.	aseno ukʰatʰena ut͡ɬihikʷu juhnalə̃hi ale ukotekʷu kanajekə̃ nikalistiskə̃ nikohilə̃i . ulosə̃stino atahihi nulistʰane naskʷu jitukʰananakʷu askaja , nikata sitanelə̃unatot͡ɬə̃sə̃ tanijohuske . wulijalolə̃no jə̃wi tikalawita uniskʷalə̃ele ale tunukotʰane ulosə̃sti kanajeki kesə̃ , kalə̃tʰatino tikesə̃ wunikʰanə̃i , na elohi , nahnano si weha .
Ꮎ ᎠᏂᏍᎦᏯ ᎧᏁᏌᎢ ᎤᏂᎸᏁ ᎠᎴ ᎤᏂᏍᏚᏁ ᎫᏢᏙᏗ, ᎾᏃ ᎠᏂᏐᎢ ᎠᏂᏥᏍᎵ ᏝᏍᏊ ᏧᎾᏕᎳᎰᏎ ᏱᏅᏫᏍᏕ ᏄᎵᏍᏔᏂᏙᎸ. Ꮎ ᎠᏂᎦᎵᏉᎩ ᎤᏄᏖᏎ ᎧᏁᏌᎢ ᎠᎴ ᏧᏁᏅᏒ ᏚᏄᎪᏔᏁ ᏗᎧᏄᎬ ᎢᏗᏜ.	na aniskaja kʰanesai unilə̃ne ale unistune kut͡ɬə̃toti , nano anisoi anit͡sisli t͡ɬaskʷu t͡sunatelahose jinə̃wiste nulistʰanitolə̃ . na anikalikʷoki unutʰese kʰanesai ale t͡sunenə̃sə̃ tunukotʰane tikʰanukə̃ itit͡ɬa .
ᎤᏓᏴᎲᏍᎩ. ᏑᏓᎵᏍᎪᎯᏦᎢ ᏳᏕᏘᏴᏓ ᎨᏎᎢ ᎤᎬᏫᏳ ᎤᏓᏴᏎᎳ. ᏔᎵ ᏳᏩᏗ ᎤᏓᏴᏎᎴᎢ	utajə̃hə̃ski . sutaliskohit͡soi jutetʰijə̃ta kesei ukə̃wiju utajə̃sela . tʰali juwati utajə̃selei
ᏐᏁᏓᏚᎢᏍᎪ ᎯᏍᏊ ᎦᎵᏆ ᏍᎪᏦᎢᏁ ᎤᏲᎱᏏ. ᎤᎦᎾᏩ ᎨᏎᎢ. ᎤᎦᎾᏩ.	sonetatuisko hiskʷu kalikʷa skot͡soine ujohusi . ukanawa kesei . ukanawa .
ᎤᎬᏫᏳ ᎤᏓᏴᏎᎳ.ᎯᏍᎩᏱᏧᏕᏘᏴᏓ ᎤᏓᏴᏎᎴᎢ ᎤᎬᏫᏳᎯ. ᏧᏥᎶᏔᏂᏒ ᎤᎬᏫᏳᎨᏒ ᎤᏕᎳᎰᏎ	ukə̃wiju utajə̃sela . hiskijit͡sutetʰijə̃ta utajə̃selei ukə̃wijuhi . t͡sut͡silotʰanisə̃ ukə̃wijukesə̃ utelahose
ᎤᏍᏓᏴᎲᏍᎩ. ᎾᏍᎪᏣᏁᎴ ᏳᏕᏘᏴᏓ ᎨᏎᎢ ᎤᎬᏫᏳ ᎤᏓᏴᏎᎳ. ᏏᏍᎩᎾ ᎤᎬᏫᏳᎯ ᎪᎯᏥᎩ.	ustajə̃hə̃ski . naskot͡sanele jutetʰijə̃ta kesei ukə̃wiju utajə̃sela . siskina ukə̃wijuhi kohit͡siki .
ᎯᎠᎾ ᏥᏓᏟᎶᏍᏗ ᎤᏩᏓᏛ, Ꮟ ᏣᎳᎩ ᎠᏰᏟ ᎢᏛᏗᏍᎪᎢ, ᏚᏂᏃᏗ ᏐᏁᎳ	hiana t͡sitat͡ɬilosti uwatatə̃ , si t͡salaki ajet͡ɬi itə̃tiskoi , tuninoti sonela
ᏚᎵᏍᏗ ᏐᏁᎳ, ᏐᏁᎳᏚ ᎢᏍᎪᎯᏧᏫ ᏁᎳᏍᎪ ᏐᏁᎳ ᏥᎨᏒ ᏌᏊ ᎬᎿᎨᎢ ᏃᏈᏏ	tulisti sonela , sonelatu iskohit͡suwi nelasko sonela t͡sikesə̃ sakʷu kə̃hnakei nokʷisi
ᏗᎪᏍᏓᏯ ᏗᏎᎯᎯ ᏃᏈᏏ ᎢᏗᎬᏂ. ᏙᎯᏓ ᎦᏓᏗ ᎤᏃᏎᏗ ᎨᏎᎢ. ᎠᏂᏣᎳᎩ	tikostaja tisehihi nokʷisi itikə̃ni . tohita katati unoseti kesei . anit͡salaki
ᏄᏍᏛ ᏙᎯᏓ ᏃᎴ ᎤᎵᎮᎵᏍᏗ ᏓᏟᎶᏍᏗᎭ. ᎦᎵᏉᎩᏃ ᏓᏎᎯᎲ ᏃᏈᏏ ᎦᎵᏉᎩ	nustə̃ tohita nole ulihelisti tat͡ɬilostiha . kalikʷokino tasehihə̃ nokʷisi kalikʷoki
ᎠᎦᏍᎦ, ᎫᏘᏍᎬ, ᎤᏍᏗ ᎦᏃᎯᎵᏙ ᎤᏁᏐᏒ, ᎦᏁᏐᏍᎬᏃ ᎢᎦ ᏧᏓᎴᏅᏓ ᎤᏬᏕᏮ ᎨᏒᎢ. ᏄᏗᏞᎬ, ᏄᏴᏢᏃ ᎠᏯᎥ ᎤᎶᎩᎸ ᎦᏃᎮᏍᎪ ᎢᏳᏍᏗ ᎤᏬᏕᏮ ᏂᏗᎦᎵᏍᏔᏂᏒᎢ. ᎤᏃᎴ ᎠᏯᎥ ᎤᎶᎩᎸ ᏳᏁᏌᏴᏜᏓ ᎠᎹ ᎤᏪᏍᏉᏨ ᎾᎥ ᏂᏓᏓᏗᏍᎪᎢ. ᏧᏍᏗ ᏧᏪᏍᏉᏨ ᏓᏠᎬ ᏧᏔᎾ ᏂᏕᎦᎵᏍᏗᏍᎪᎢ. ᏄᏍᏛ ᎠᏯᎥ ᎤᎶᎩᎸ ᏱᎦᏁᏍᏓᎵᎠ, ᎠᏙᏢᏍᎪ ᎤᎦᏅᏗ. ᏂᎦᏁᏍᏓᎵᏗᏍᎬᎾ ᏱᎩ Ꮎ ᏧᏪᏍᏉᏨ ᏕᎦᏁᏍᏓᎳᏗᏍᎪ ᎤᎸᏌᏗ ᎢᏳᏍᏗ ᎤᏁᏍᏓᎵ. ᎯᎢᎾ ᏧᎸᏌᏗ ᏗᏁᏍᏓᎵ ᏱᏚᏠᏌ ᎠᏙᏢᏍᎪ ᎤᏅᏥ ᎦᏃᎯᎵᏙᎲ. ᏍᏈᏍᏗ ᏱᏚᏓᏟᏌᎿ ᏓᏙᏢᏍᎪ ᎤᏂᏥ ᎦᏃᎯᎵᏙᎯ ᎦᏙᎯᏴ ᏱᏫᎪᎰᎯ.	akaska , kutʰiskə̃ , usti kanohilito unesosə̃ , kanesoskə̃no ika t͡sutalenə̃ta uwotewə̃ kesə̃i . nutit͡ɬekə̃ , nujə̃t͡ɬə̃no ajaə̃ ulokilə̃ kanohesko ijusti uwotewə̃ nitikalistʰanisə̃i . unole ajaə̃ ulokilə̃ junesajə̃t͡ɬata ama uweskʷot͡sə̃ naə̃ nitatatiskoi . t͡susti t͡suweskʷot͡sə̃ tat͡ɬokə̃ t͡sutʰana nitekalistiskoi . nustə̃ ajaə̃ ulokilə̃ jikanestalia , atot͡ɬə̃sko ukanə̃ti . nikanestalitiskə̃na jiki na t͡suweskʷot͡sə̃ tekanestalatisko ulə̃sati ijusti unestali . hiina t͡sulə̃sati tinestali jitut͡ɬosa atot͡ɬə̃sko unə̃t͡si kanohilitohə̃ . skʷisti jitutat͡ɬisahna tatot͡ɬə̃sko unit͡si kanohilitohi katohijə̃ jiwikohohi .
ᎠᎦᏍᎬ ᎢᎦᏁᏍᏓᎳᏏᏍᎪ, ᎥᏍᎩᏅ ᎦᏁᏐᏍᎪᎢ. ᎦᏁᏍᏓᎳᏗᏍᎩ ᎠᎦᏍᎬ ᎫᏢᏍᎪ ᎪᎱᏍᏗ ᎦᏙ ᎠᎲᎢ ᎤᏁᏍᏓᎵ ᏌᏊ ᏯᏏᏔᏛ ᎤᎶᏒᏍᏗ ᏳᎭᎨᏓ. ᎦᏁᏍᏓᎳᏗᏍᎬ ᎢᏓᏗᏍᎪᎢ.	akaskə̃ ikanestalasisko , ə̃skinə̃ kanesoskoi . kanestalatiski akaskə̃ kut͡ɬə̃sko kohusti kato ahə̃i unestali sakʷu jasitʰatə̃ ulosə̃sti juhaketa . kanestalatiskə̃ itatiskoi .
ᏕᎦᏁᎲ ᎠᎹ ᎿᏊᎴᏃ ᏧᏔᎾ ᏚᏪᏴᎢ. ᎯᎢᎾ ᏧᏔᎾ ᏚᏪᏴ ᏫᎦᎷᎪ ᎠᎺᏉᎯ.	tekanehə̃ ama hnakʷuleno t͡sutʰana tuwejə̃i . hiina t͡sutʰana tuwejə̃ wikaluko amekʷohi .
ᎠᏃᏎᎰ ᎥᏍᎩ ᏱᏂᎦᎵᏍᏗᎭ. ᎤᏟᏍᏗᏴ ᎠᏓᏅᏍᎬ ᎠᎹ, ᎤᏟᎯ ᏳᏝᏂᎩᏓ	anoseho ə̃ski jinikalistiha . ut͡ɬistijə̃ atanə̃skə̃ ama , ut͡ɬihi jut͡ɬanikita
ᏱᎦᏁᎬᎩ ᎣᎯᏍᏗ, ᎤᎭᎨᏓ ᎦᏚᎦᏓ. ᏙᏳᎨᏒ, ᎢᎾᎨ ᎠᎴ ᎤᎭᎨᏓ ᎤᎦᏄᎸᏒ ᎪᏢᏍᎪ	jikanekə̃ki ohisti , uhaketa katukata . tojukesə̃ , inake ale uhaketa ukanulə̃sə̃ kot͡ɬə̃sko
ᏗᎵᏍᏆᎸᏓ ᎭᏫᏂ ᎤᎨᏓᎵᏴ. ᎢᎸᏍᎩ ᎢᏳᏆᏗᏅᏓ ᏧᏕᏘᏴᏓ ᎤᏟᏱᎵᏙᎸ	tiliskʷalə̃ta hawini uketalijə̃ . ilə̃ski ijukʷatinə̃ta t͡sutetʰijə̃ta ut͡ɬijilitolə̃
ᎡᎳᏗᏜ ᎡᎬ ᎠᎹ Ꮟ ᏥᎩ ᎠᎵᏔᎴᏍᎦ ᎤᎨᏓᎵᏴ ᎪᎯᏴ ᏥᎩ. ᏚᏪᏴ Ꮟ ᏥᎩ ᏓᏲᏍᏗ ᏅᏯ ᎦᏓᏃ	elatit͡ɬa ekə̃ ama si t͡siki alitʰaleska uketalijə̃ kohijə̃ t͡siki . tuwejə̃ si t͡siki tajosti nə̃ja katano
ᎯᎠ ᎦᎵᏉᎦ ᏣᎳᎦ ᏧᏂᏴᏫ: ᎠᏂᎪᏓᎨᏫ ᏧᏂᏴᏫ, ᎠᏂᏬᏗ ᏧᏂᏴᏫ, ᎠᏂᏥᏍᏆ ᏧᏂᏴᏫ, ᎠᏂᎩᎶᎯ ᏧᏂᏴᏫ, ᎠᏂᎧᏫ ᏧᏂᏴᏫ, ᎠᏂᏩᏯ ᏧᏂᏴᏫ, ᎠᎴ ᎠᏂᏌᎰᏂ ᏧᏂᏴᏫ.	hia kalikʷoka t͡salaka t͡sunijə̃wi , anikotakewi t͡sunijə̃wi , aniwoti t͡sunijə̃wi , anit͡siskʷa t͡sunijə̃wi , anikilohi t͡sunijə̃wi , anikʰawi t͡sunijə̃wi , aniwaja t͡sunijə̃wi , ale anisahoni t͡sunijə̃wi .
ᏧᏴᏢ ᎠᎹᏰᎵ ᎡᏆ ᎦᏙᎯ. ᎯᎠ ᏔᎵ ᎠᎺᎵᎦᎢ: ᏧᏴᏢ ᎠᎺᎵᎦ ᎠᎴ ᏧᎦᎾᏮ ᎠᎹᏰᎵ. ᎠᏂᏍᏆᏂᎢ ᎦᏚᎲᎢ ᎤᏔᏂᎢᏍᏗ ᎦᏚᎲᎢ ᏧᏴᏢ ᎠᎹᏰᎵ-Ꭿ.	t͡sujə̃t͡ɬə̃ amajeli ekʷa katohi . hia tʰali amelikai , t͡sujə̃t͡ɬə̃ amelika ale t͡sukanawə̃ amajeli . aniskʷanii katuhə̃i utʰaniisti katuhə̃i t͡sujə̃t͡ɬə̃ amajeli hi .
ᏫᎩᏇᏗᏯ ( ) ᎢᏍ Ꮝ Ꮻ ᎡᏂᏏᎩᎶᏪᏗᏯ ᏌᏘ ᎠᎾᏲᏂ ᎧᏂ ᎡᎩᏍᏫᎶᏩ! ᎢᏂ ᏣᏄᏩᏫ 21 2001 ᏫᎩᏪᏗᏯ ᏩᏍ ᏭᏂᏕᏗ.; ᏏᏍ ᏫᎩᏪᏗᏯ ᏩᏍ ᏭᏂᏕᏗ ᎢᏂ 2004!	wikikʷetija is s wi enisikilowetija satʰi anajoni kʰani ekiswilowa ! ini t͡sanuwawi tʰalisko sakʷu tʰali ijakajə̃li sakʷu wikiwetija was wuniteti , sis wikiwetija was wuniteti ini tʰali ijakajə̃li nə̃ki !
ᏏᏅᏙ (ᎠᎴ ᎧᎸᎢ ) ᎢᏳᏩᎪᏗ ᏗᏟᎶᏍᏗ. ᏌᏊ ᏑᏕᏘᏴᏓ ᏔᎳᏚ ᎢᏯᏅᏓ ᎤᎭ ᏅᏙ ᏗᏎᏗ-Ꭿ. ᎢᎦᏘᎭ ᎢᎬᏁᎸ 29.53 ᎯᎸᏍᎩ ᎢᎦ ᎤᎭ, ᎠᏎᏃ ᎤᎪᏗᏗ ᎢᏯᏅᏓ ᎢᏳᏍᏗᏊ 30 ᎠᎴ 31 ᎯᎸᏍᎩ ᎢᎦ ᎤᏂᎭ. ᎧᎦᎵ 28 ᎯᎸᏍᎩ ᎢᎦ ᎤᎪᏗᏗ ᏧᏕᏘᏴᏓ ᎤᎭ, ᎠᏎᏃ ᏅᎩᏁ ᏑᏕᏘᏴᏓ ᎧᎦᎵ 28 ᎯᎸᏍᎩ ᎢᎦ ᎤᎭ. ᎾᏍᎩ ᏅᎩᏁ ᏑᏕᏘᏴᏓ "ᎠᏓᎾᏫᏛᏗ ᏑᏕᏘᏴᏓ" ᏚᏙᎣᎢ.	sinə̃to ale kʰalə̃i ijuwakoti tit͡ɬilosti . sakʷu sutetʰijə̃ta tʰalatu ijanə̃ta uha nə̃to tiseti hi . ikatʰiha ikə̃nelə̃ tʰalisko sonela hiskisko t͡soi hilə̃ski ika uha , aseno ukotiti ijanə̃ta ijustikʷu t͡soskohi ale t͡sosko sakʷu hilə̃ski ika uniha . kʰakali tʰalisko t͡sanela hilə̃ski ika ukotiti t͡sutetʰijə̃ta uha , aseno nə̃kine sutetʰijə̃ta kʰakali tʰalisko t͡sanela hilə̃ski ika uha . naski nə̃kine sutetʰijə̃ta atanawitə̃ti sutetʰijə̃ta tutooi .
ᏣᏆᏂᏱ ᎠᎴ ᏣᏩᏂ ᎠᎴ ᏂᎰᏂ ᎠᏰᏟ ᎤᏙᏢᏒ ᎧᎸᎬᎢᏗᏢ ᎠᏏᏲᎢ. ᏣᏆᏂ ᎠᎵᏍᏓᏴᏗ: ᏑᏏ. ᏣᏆᏂ ᎠᏬᏂᎭ. ᎤᎾᏤᎵ ᎠᏕᎳ ᏣᏆᏂ ᎠᏕᎳ (¥).	t͡sakʷaniji ale t͡sawani ale nihoni ajet͡ɬi utot͡ɬə̃sə̃ kʰalə̃kə̃itit͡ɬə̃ asijoi . t͡sakʷani alistajə̃ti , susi . t͡sakʷani awoniha . unat͡seli atela t͡sakʷani atela .
Ꮲ 95% ᎢᎦ ᎡᎶᎯ ᏄᏍᏛ ᎠᎹ, ᎠᎺᏉ ᏴᏩᏔ ᏧᏝᎥ ᎦᏚᎢ ᎡᎶᎯ. ᏍᏈᏍᏗ	t͡ɬə̃ sonelasko hiski ika elohi nustə̃ ama , amekʷo jə̃watʰa t͡sut͡ɬaə̃ katui elohi . skʷisti
Ꮲ 3% ᎢᎦ ᎡᎶᎯ ᏄᏍᏛ ᎠᎹ ᎣᎯᏍᏗ ᎠᎹ. ᏚᏪᏴ ᎡᏉᏂ, ᏧᏍᏗ ᏚᏪᏴᏃ	t͡ɬə̃ t͡soi ika elohi nustə̃ ama ohisti ama . tuwejə̃ ekʷoni , t͡susti tuwejə̃no
