’परती टूटि रहल अछि’ - मैथिली कविता सङ्ग्रह - १९९३	pˈəɾt̪iː ʈˈuːʈɪ ɾˈəɦəl ˈət͡ʃʰɪ mˈəɪt̪ʰɪliː kˈəʋɪt̪aː sˈəŋɡɾəɦ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ɪɾˈaːnʋe
सामाजिक नेटवर्किंग साइट (उदाहरणक लेल, फेसभुक)	saːmˈaːd͡ʒɪk neʈʋəɾkˈɪ̃ŋɡ sˈaːɪʈ ʊd̪aːɦˈəɾɳək lˈel , pʰˈesbʱʊk
अमृतसरमे स्वर्ण मन्दिरकेँ सजाबैक लेल बहुत बेसी सामग्रीसभक उपयोग कएल गेल छल आ ई कहल गेल अछि जे स्वर्ण मन्दिरक आधा हिस्सा नूरजहाँ कऽ मकबरा सँ लुटल गेल सङ्गमरमर सँ बनाएल गेल अछि।	əmɾɪt̪sˈəɾme sʋˈəɾɳ mənd̪ˈɪɾkẽ səd͡ʒˈaːbəɪk lˈel bˈəɦʊt̪ bˈesiː saːməɡɾˈiːsbʱək ˈʊpjoɡ kˈəel ɡˈel t͡ʃʰˈəl ˈaː ˈiː kˈəɦəl ɡˈel ˈət͡ʃʰɪ d͡ʒˈe sʋˈəɾɳ mˈənd̪ɪɾək ˈaːd̪ʱaː ɦˈɪsːaː nuːɾˈəd͡ʒɦaː̃ kˈə məkˈəbɾaː sˈə̃ lˈʊʈəl ɡˈel səŋɡəmˈəɾməɾ sˈə̃ bənˈaːel ɡˈel ˈət͡ʃʰɪ .
रोजा लुइस म्याक्काउली पार्क्स (४ फरवरी, १९१३ - २४ अक्टूबर, २००५) नागरिक अधिकार आन्दोलनमे एकटा अमेरिकी कार्यकर्ता छल, जेकरा मोन्टगोमेरी बस बहिष्कारमे हुनकर महत्वपूर्ण भूमिका के लेल सेहो पहिचानल जाइत अछि। यूनाइटेड स्टेट्स कांग्रेस हुनका "नागरिक अधिकार कऽ पहिल महिला" आओर "स्वतन्त्रता आन्दोलन के माँ" सेहो मानल जाइत अछि।	ɾˈod͡ʒaː lˈʊɪs mjaːkːˈaːʊliː pˈaːɾks t͡ʃˈaːɾ pʰəɾˈəʋɾiː , ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ˈeɾəɦ t͡ʃəʊbˈiːs əkʈˈuːbəɾ , d̪ˈo ɦəzˈaːɾ pˈaː̃t͡ʃ nˈaːɡɾɪk əd̪ʱɪkˈaːɾ ˈaːnd̪olənme ˈekʈaː ˈəmeɾɪkiː kˈaːɾjəkəɾt̪aː t͡ʃʰˈəl , d͡ʒˈekɾaː mˈonʈəɡomeɾiː bˈəs bəɦɪʂkˈaːɾme ɦˈʊnkəɾ məɦət̪ʋəpˈuːɾɳ bʱˈuːmɪkaː kˈe lˈel sˈeɦo pəɦɪt͡ʃˈaːnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ . juːnˈaːɪʈeɖ sʈˈeʈs kˈaː̃ŋɡɾes ɦˈʊnkaː nˈaːɡɾɪk əd̪ʱɪkˈaːɾ kˈə pˈəɦɪl mˈəɦɪlaː ˈaːoɾ sʋət̪ˈənt̪ɾət̪aː ˈaːnd̪olən kˈe mˈaː̃ sˈeɦo mˈaːnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ .
ई दिन सँ एक दिन पूर्व माने १३ अप्रिल कऽ सतुवाएन सेहो मनाओल जाइत अछि, जाहिमे लोकसभ सतुआक खान पिअन करैत अछि।	ˈiː d̪ˈɪn sˈə̃ ˈek d̪ˈɪn pˈuːɾʋ mˈaːne t̪ˈeɾəɦ ˈəpɾɪl kˈə sət̪ʊʋˈaːen sˈeɦo mənˈaːol d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ , d͡ʒˈaːɦɪme lˈoksəbʱ sət̪ʊˈaːk kʰˈaːn pˈɪən kˈəɾəɪt̪ ˈət͡ʃʰɪ .
राष्ट्रिय स्वयंसेवक सङ्घ भारतक एक , हिन्दु राष्ट्रवादी, अर्धसैनिक, स्वयंसेवक सङ्गठन छी, जे व्यापक रूपसँ भारतक वर्तमान सत्तारूढ़ दल भारतीय जनता पार्टीक पैतृक सङ्गठन मानल जाएत अछि। ई सङ्गठन राष्ट्रिय स्वयंसेवक सङ्घक अपेक्षा सङ्घ या आर.एस.एस. कऽ नामसँ बेसी प्रसिद्ध अछि। बीबीसीकें अनुसार सङ्घ विश्वक सबसँ पैग स्वयंसेवी संस्थान छी।	ɾˈaːʂʈɾɪj sʋəjˈə̃seʋək sˈəŋɡʱ bʱˈaːɾt̪ək ˈek , ɦˈɪnd̪ʊ ɾˈaːʂʈɾəʋaːd̪iː , ˈəɾd̪ʱəsəɪnɪk , sʋəjˈə̃seʋək sˈəŋɡəʈʰən t͡ʃʰˈiː , d͡ʒˈe ʋjˈaːpək ɾˈuːpsə̃ bʱˈaːɾt̪ək ʋəɾt̪əmˈaːn sət̪ːaːɾˈuːɽʱ d̪ˈəl bʱaːɾt̪ˈiːj d͡ʒˈənt̪aː paːɾʈˈiːk pəˈɪt̪ɾɪk sˈəŋɡəʈʰən mˈaːnəl d͡ʒˈaːet̪ ˈət͡ʃʰɪ . ˈiː sˈəŋɡəʈʰən ɾˈaːʂʈɾɪj sʋəjˈə̃seʋək sˈəŋɡʱək əpˈekʂaː sˈəŋɡʱ jˈaː ˈaːɾ . ˈes . ˈes . kˈə nˈaːmsə̃ bˈesiː pɾˈəsɪd̪ʱː ˈət͡ʃʰɪ . biːbiːsˈiːkẽ ənʊsˈaːɾ sˈəŋɡʱ ʋˈɪʃʋək sˈəbsə̃ pˈəɪɡ sʋəjˈə̃seʋiː sə̃st̪ʰˈaːn t͡ʃʰˈiː .
प्रिन्सिपल फोटोग्राफी १८ मे २०१९ स सुरु भेल।१९ मे २०१९ मे, मकरान्द देशपांडे फिल्मके मुख्य विरोधी खेल्ने पुष्टि भेल। आलिया भट्ट २१ मे २०१९ स फिल्ममे सम्मिलित भेल।फिल्मके पहिला तालिका मेके तेस्र हप्ता मुम्बईमे सम्पन्न भेल। दोस्र तालिका जुलाई २०१९ के मध्यमे ऊटीमे शुरू भेल।	pɾˈɪnsɪpəl pʰoʈoɡɾˈaːpʰiː əʈʰˈaːɾəɦ mˈe d̪ˈo ɦəzˈaːɾ ʊnːˈiːs sˈə sˈʊɾʊ bʱˈel . ʊnːˈiːs mˈe d̪ˈo ɦəzˈaːɾ ʊnːˈiːs mˈe , məkɾˈaːnd̪ d̪eʃpˈaː̃ɳɖe pʰˈɪlməke mˈʊkʰj ʋˈɪɾod̪ʱiː kʰˈelne pˈʊʂʈɪ bʱˈel . ˈaːlɪjaː bʱˈəʈʈ ɪkːˈiːs mˈe d̪ˈo ɦəzˈaːɾ ʊnːˈiːs sˈə pʰˈɪlməme sˈəmːɪlɪt̪ bʱˈel . pʰˈɪlməke pˈəɦɪlaː t̪ˈaːlɪkaː mˈeke t̪ˈesɾ ɦˈəpt̪aː mʊmbəˈiːme sˈəmpənː bʱˈel . d̪ˈosɾ t̪ˈaːlɪkaː d͡ʒʊlˈaːiː d̪ˈo ɦəzˈaːɾ ʊnːˈiːs kˈe mˈəd̪ʱjəme uːʈˈiːme ʃˈʊɾuː bʱˈel .
सन् १९८९- टिम बेर्नर ली इन्टरनेटपर सञ्चार माध्यम सरल बनेबाक लेल ब्राउजर, पन्ना आ लिङ्क केर उपयोग कए कऽ वर्ल्ड वाइड वेब बनेलक।	sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ nəʋˈaːsiː ʈˈɪm bˈeɾnəɾ lˈiː ɪnʈəɾnˈeʈpəɾ səɲt͡ʃˈaːɾ mˈaːd̪ʱjəm sˈəɾəl bənebˈaːk lˈel bɾˈaːʊd͡ʒəɾ , pˈənːaː ˈaː lˈɪŋk kˈeɾ ˈʊpjoɡ kˈəe kˈə ʋˈəɾlɖ ʋˈaːɪɖ ʋˈeb bˈənelək .
• अष्टावक्र एवं राजा जनक के बीच दार्शनिक वार्तालाप प्राचीन दार्शनिक ग्रंथों के रूप में दर्ज यही जे अष्टावक्र गीता आ अष्टावक्र संहिता के नाम स जानल जायात यहीच ।	əʂʈaːʋˈəkɾ ˈeʋə̃ ɾˈaːd͡ʒaː d͡ʒˈənək kˈe bˈiːt͡ʃ d̪ˈaːɾʃənɪk ʋaːɾt̪aːlˈaːp pɾaːt͡ʃˈiːn d̪ˈaːɾʃənɪk ɡɾˈə̃n̪t̪ʰõ kˈe ɾˈuːp mˈẽ d̪ˈəɾd͡ʒ jˈəɦiː d͡ʒˈe əʂʈaːʋˈəkɾ ɡˈiːt̪aː ˈaː əʂʈaːʋˈəkɾ sˈə̃ɦɪt̪aː kˈe nˈaːm sˈə d͡ʒˈaːnəl d͡ʒaːjˈaːt̪ jəɦˈiːt͡ʃ .
एहन मानल जाइत अछि जे वर्तमान युग संघर्ष आ पापसँ भरल अछि।	ˈeɦən mˈaːnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ d͡ʒˈe ʋəɾt̪əmˈaːn jˈʊɡ sə̃ŋɡʱˈəɾʂ ˈaː pˈaːpsə̃ bʱˈəɾəl ˈət͡ʃʰɪ .
हेमवतीक पुत्र चन्द्रवर्मन पिता जकाँ तेजस्वी, वीर आ शक्तिशाली छलाह | सोलह बर्खक उमेरमे ओ बिना अस्त्रक सिंह वा बाघकेँ मारि सकैत छल। पुत्रक असाधारण बहादुरी देखि हेमवती चन्द्रदेवक पूजा केलनि जे दार्शनिकक पाथर चन्द्रवर्मन केँ उपहार मे देलनि आ हुनका खजुराहोक राजा बना देलनि | दार्शनिकक पाथरसँ लोहाकेँ सोनामे परिणत कएल जा सकैत छल।	ɦeməʋt̪ˈiːk pˈʊt̪ɾ t͡ʃˈənd̪ɾəʋəɾmən pˈɪt̪aː d͡ʒˈəkaː̃ t̪ed͡ʒˈəsʋiː , ʋˈiːɾ ˈaː ʃəkt̪ɪʃˈaːliː t͡ʃʰəlˈaːɦ sˈoləɦ bˈəɾkʰək ʊmˈeɾme ˈo bˈɪnaː ˈəst̪ɾək sˈɪ̃ɦ ʋˈaː bˈaːɡʱkẽ mˈaːɾɪ sˈəkəɪt̪ t͡ʃʰˈəl . pˈʊt̪ɾək əsaːd̪ʱˈaːɾəɳ bəɦˈaːd̪ʊɾiː d̪ˈekʰɪ ɦemˈəʋt̪iː t͡ʃˈənd̪ɾəd̪eʋək pˈuːd͡ʒaː kˈelnɪ d͡ʒˈe d̪ˈaːɾʃənɪkək pˈaːt̪ʰəɾ t͡ʃˈənd̪ɾəʋəɾmən kˈẽ ʊpɦˈaːɾ mˈe d̪ˈelnɪ ˈaː ɦˈʊnkaː kʰəd͡ʒʊɾˈaːɦok ɾˈaːd͡ʒaː bˈənaː d̪ˈelnɪ d̪ˈaːɾʃənɪkək paːt̪ʰˈəɾsə̃ loɦˈaːkẽ sonˈaːme pˈəɾɪɳət̪ kˈəel d͡ʒˈaː sˈəkəɪt̪ t͡ʃʰˈəl .
ज़ोंगखा दक्षिण तिब्बती भाषा मानल जाइत अछि। एकर निकट संबंध सिक्किमी सँ अछि आ आंशिक रूप सँ बुझल जा सकैत अछि, आ किछु अन्य भूटानी भाषा जेना चोचा नागाचा, ब्रोक्पा, ब्रोक्कट आ लखा सँ सेहो।	zˈõŋɡəkʰaː d̪ˈəkʂɪɳ t̪ˈɪbːət̪iː bʱˈaːʂaː mˈaːnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ . ˈekəɾ nˈɪkəʈ sə̃mbˈə̃n̪d̪ʱ sˈɪkːɪmiː sˈə̃ ˈət͡ʃʰɪ ˈaː ˈaː̃ʃɪk ɾˈuːp sˈə̃ bˈʊd͡ʒʱəl d͡ʒˈaː sˈəkəɪt̪ ˈət͡ʃʰɪ , ˈaː kˈɪt͡ʃʰʊ ˈənj bʱuːʈˈaːniː bʱˈaːʂaː d͡ʒˈenaː t͡ʃˈot͡ʃaː naːɡˈaːt͡ʃaː , bɾˈokpaː , bɾˈokːəʈ ˈaː lˈəkʰaː sˈə̃ sˈeɦo .
सांझ - श्याम आरती से बियारी की आरती + ५ मि.	sˈaː̃ɲd͡ʒʱ ʃjˈaːm ˈaːɾt̪iː sˈe bɪjˈaːɾiː kˈiː ˈaːɾt̪iː plˈəs pˈaː̃t͡ʃ mˈɪnəʈ .
झोउ के राजा झुआंग — जी तुओ (696 ईसा पूर्व–682 ईसा पूर्व)	d͡ʒʱˈoʊ kˈe ɾˈaːd͡ʒaː d͡ʒʱʊˈaː̃ŋɡ d͡ʒˈiː t̪ˈʊo t͡ʃʰˈəɦ sˈəʊ t͡ʃʰɪjˈaːnʋe ˈiːsaː pˈuːɾʋ t͡ʃʰˈəɦ sˈəʊ bəjˈaːsiː ˈiːsaː pˈuːɾʋ
वर्तमानमे पुष्पकमल दाहाल (प्रचण्ड), नेपालक ३३अम प्रधानमन्त्री छी।	ʋəɾt̪əmˈaːnme pʊʂpˈəkməl d̪aːɦˈaːl pɾət͡ʃˈəɳɖ , nepˈaːlək t̪əɪ̃n̪t̪ˈiːs ˈəm pɾəd̪ʱaːnmˈənt̪ɾiː t͡ʃʰˈiː .
2021: दिसम्बर 17 ~ 26, वानहुआ, ताइपे शहर (पुनर्निर्धारित)	d̪ˈo ɦəzˈaːɾ ɪkːˈiːs , d̪ɪsˈəmbəɾ sˈət̪ɾəɦ t͡ʃʰəbːˈiːs , ʋˈaːnɦʊaː , t̪ˈaːɪpe ʃˈəɦəɾ pʊnəɾnɪɾd̪ʱˈaːɾɪt̪
निम्नलिखित दक्षिण पूर्व एशियाई चंद्र नव वर्ष उत्सव स्थानीय लुनिसोलर कैलेंडर के अनुसार मनाओल जाइत अछि आ इस्लामी परंपरा स प्रभावित अछि |	nˈɪmnəlɪkʰɪt̪ d̪ˈəkʂɪɳ pˈuːɾʋ eʃɪjˈaːiː t͡ʃˈə̃n̪d̪ɾ nˈəʋ ʋˈəɾʂ ˈʊt̪səʋ st̪ʰaːnˈiːj lˈʊnɪsoləɾ kəɪlˈẽɳɖəɾ kˈe ənʊsˈaːɾ mənˈaːol d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ ˈaː ɪslˈaːmiː pəɾˈə̃mpəɾaː sˈə pɾəbʱˈaːʋɪt̪ ˈət͡ʃʰɪ
ओइनिवार वंश, या ऐनवार वंश जेकरा भूमिहार सुगौना वंश के नाम से भी जाना जाय छै, एक मैथिल भारतीय उपमहाद्वीप के मिथिला क्षेत्र के हिस्सा बनने वाले क्षेत्रों के शासक वंश | 1325 से 1526 के बीच के क्षेत्र में इनके शासन रहे, जिससे पहले कर्णत वंश। के बाद वंश के निधन, उभरल वंश के राज दरभंगा | ओनिवार भूमिहार वंश के सबसे उल्लेखनीय वीर शासक एवं सेनानी में से एक शिव सिंह सिंह रहे।	oɪnɪʋˈaːɾ ʋˈə̃ʃ , jˈaː əɪnʋˈaːɾ ʋˈə̃ʃ d͡ʒˈekɾaː bʱuːmɪɦˈaːɾ sˈʊɡəʊnaː ʋˈə̃ʃ kˈe nˈaːm sˈe bʱˈiː d͡ʒˈaːnaː d͡ʒˈaːj t͡ʃʰˈəɪ , ˈek mˈəɪt̪ʰɪl bʱaːɾt̪ˈiːj ʊpəmɦaːd̪ʋˈiːp kˈe mˈɪt̪ʰɪlaː kʂˈet̪ɾ kˈe ɦˈɪsːaː bˈənne ʋˈaːle kʂˈet̪ɾõ kˈe ʃˈaːsək ʋˈə̃ʃ ˈek ɦəzˈaːɾ t̪ˈiːn sˈəʊ pət͡ʃːˈiːs sˈe ˈek ɦəzˈaːɾ pˈaː̃t͡ʃ sˈəʊ t͡ʃʰəbːˈiːs kˈe bˈiːt͡ʃ kˈe kʂˈet̪ɾ mˈẽ ˈɪnke ʃˈaːsən ɾˈəɦe , d͡ʒˈɪsse pˈəɦle kˈəɾɳət̪ ʋˈə̃ʃ . kˈe bˈaːd̪ ʋˈə̃ʃ kˈe nˈɪd̪ʱən , ˈʊbʱɾəl ʋˈə̃ʃ kˈe ɾˈaːd͡ʒ d̪əɾbʱˈə̃ŋɡaː onɪʋˈaːɾ bʱuːmɪɦˈaːɾ ʋˈə̃ʃ kˈe sˈəbse ʊlːekʰnˈiːj ʋˈiːɾ ʃˈaːsək ˈeʋə̃ senˈaːniː mˈẽ sˈe ˈek ʃˈɪʋ sˈɪ̃ɦ sˈɪ̃ɦ ɾˈəɦe .
नील रूस के सेंट पीटर्सबर्ग में मेडिसिन के पढ़ाई केलक, ओतय 6 साल बिताबय के बाद मारिया बुसेन सं विवाह केलक. टेक के शौकीन निरज ग्राफिक डिजाइन एजेंसी के मालिक छलाह आ मुंबई विश्वविद्यालय सं कंप्यूटर साइंस पूरा केने छलाह, जतय हुनकर मुलाकात हुनकर पत्नी प्रजाक्ता हेज सं भेल छल. सहायक माता-पिता - पराग गांधी आ रूपा गांधी, अशोक विश्वकर्मा, आ शांति विश्वकर्मा - संगीतक प्रति अपन अनुराग केँ प्रोत्साहित केलनि।	nˈiːl ɾˈuːs kˈe sˈẽɳʈ piːʈəɾsəbˈəɾɡ mˈẽ mˈeɖɪsɪn kˈe pəɽʱˈaːiː kˈelək , ˈot̪əj t͡ʃʰˈəɦ sˈaːl bɪt̪ˈaːbəj kˈe bˈaːd̪ mˈaːɾɪjaː bˈʊsen sˈə̃ŋkʰjaː ʋɪʋˈaːɦ kˈelək . ʈˈek kˈe ʃəʊkˈiːn nˈɪɾəd͡ʒ ɡɾˈaːpʰɪk ɖɪd͡ʒˈaːɪn ed͡ʒˈẽsiː kˈe mˈaːlɪk t͡ʃʰəlˈaːɦ ˈaː mˈʊ̃mbəiː ʋɪʃʋəʋɪd̪jˈaːləj sˈə̃ŋkʰjaː kˈə̃mpjuːʈəɾ saːˈɪ̃s pˈuːɾaː kˈene t͡ʃʰəlˈaːɦ , d͡ʒˈət̪əj ɦˈʊnkəɾ mʊlaːkˈaːt̪ ɦˈʊnkəɾ pˈət̪niː pɾəd͡ʒˈaːkt̪aː ɦˈed͡ʒ sˈə̃ŋkʰjaː bʱˈel t͡ʃʰˈəl . səɦˈaːjək mˈaːt̪aː pˈɪt̪aː pəɾˈaːɡ ɡˈaː̃n̪d̪ʱiː ˈaː ɾˈuːpaː ɡˈaː̃n̪d̪ʱiː , ˈəʃok ʋɪʃʋəkˈəɾmaː , ˈaː ʃˈaː̃n̪t̪ɪ ʋɪʃʋəkˈəɾmaː sˈə̃ŋɡiːt̪ək pɾˈət̪ɪ ˈəpən ənʊɾˈaːɡ kˈẽ pɾot̪sˈaːɦɪt̪ kˈelnɪ .
सा रे गा मा पा लिटिल चैंप्स (२०२०) - अतिथि	sˈaː ɾˈe ɡˈaː mˈaː pˈaː lˈɪʈɪl t͡ʃəˈɪ̃mps d̪ˈo ɦəzˈaːɾ bˈiːs ˈət̪ɪt̪ʰɪ
2000 केरऽ दशक केरऽ शुरुआत स॑ ही मलयालम आरू तमिल टेलीविजन धारावाहिक म॑ अधिक सक्रिय छै । ओ अपन डायरेक्शन केरऽ शुरुआत किलिपैप्टु (१९८७) म॑ करलकै आरू साथ ही साथ वू केरल राज्य टेलीविजन पुरस्कार आरू एशियानेट टेलीविजन पुरस्कार केरऽ प्राप्तकर्ता छै ।	d̪ˈo ɦəzˈaːɾ kˈeɾə d̪ˈəʃək kˈeɾə ʃʊɾʊˈaːt̪ sˈə ɦˈiː məljˈaːləm ˈaːɾuː t̪ˈəmɪl ʈelˈiːʋɪd͡ʒən d̪ʱaːɾaːʋˈaːɦɪk mˈə ˈəd̪ʱɪk sˈəkɾɪj t͡ʃʰˈəɪ . ˈo ˈəpən ɖˈaːjɾekʃən kˈeɾə ʃʊɾʊˈaːt̪ kɪlɪpəˈɪpʈʊ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ sət̪ːˈaːsiː mˈə kəɾˈəlkəɪ ˈaːɾuː sˈaːt̪ʰ ɦˈiː sˈaːt̪ʰ ʋˈuː kˈeɾəl ɾˈaːd͡ʒj ʈelˈiːʋɪd͡ʒən pʊɾəskˈaːɾ ˈaːɾuː eʃɪjˈaːneʈ ʈelˈiːʋɪd͡ʒən pʊɾəskˈaːɾ kˈeɾə pɾˈaːpt̪əkəɾt̪aː t͡ʃʰˈəɪ .
मिस्रक क्लियोपेट्रा तेसरकेँ ई.पू. १०१ मे हुनकर पुत्र टोल्मी दशम्क आदेशमे षड्यन्त्रक आरोपमे हत्या कएल गेल छल।	mˈɪsɾək klɪjopˈeʈɾaː t̪esˈəɾkẽ ˈiːsaː pˈuːɾʋ ˈek sˈəʊ ˈek mˈe ɦˈʊnkəɾ pˈʊt̪ɾ ʈˈolmiː d̪əʃˈəmk aːd̪ˈeʃme ʂəɖjˈənt̪ɾək aːɾˈopme ɦˈət̪jaː kˈəel ɡˈel t͡ʃʰˈəl .
स्त्री सभ केँ अपन बच्चाक उमरिक अनुसार स्तनपान करयबाक चाही। बच्चा केँ दिन मे कतेक बेर आ कतेक समय दूध देबाक चाही ई निश्चित हेबाक चाही मुदा महिला सभ सोचैत अछि जे ज्ञात नहि हमर दूध बच्चाक हेतु पर्याप्त अछि वा नहि। एकर हेतु स्तनपान करयबा सँ पूर्व बच्चा केँ तौलि लेबाक चाही। फेर स्तनपानक पश्चात बच्चा सभक वजन कऽ लेबाक चाही। एकरा सँ ई ज्ञात भऽ जाएत जे अहाँक बच्चा एक बेर मे कतेक दूध पीवैत अछि।	st̪ɾˈiː sˈəbʱ kˈẽ ˈəpən bət͡ʃːˈaːk ˈʊmɾɪk ənʊsˈaːɾ st̪ənpˈaːn kəɾəjbˈaːk t͡ʃˈaːɦiː . bˈət͡ʃːaː kˈẽ d̪ˈɪn mˈe kˈət̪ek bˈeɾ ˈaː kˈət̪ek sˈəməj d̪ˈuːd̪ʱ d̪ebˈaːk t͡ʃˈaːɦiː ˈiː nˈɪʃt͡ʃɪt̪ ɦebˈaːk t͡ʃˈaːɦiː mˈʊd̪aː mˈəɦɪlaː sˈəbʱ sˈot͡ʃəɪt̪ ˈət͡ʃʰɪ d͡ʒˈe d͡ʒɲˈaːt̪ nˈəɦɪ ɦˈəməɾ d̪ˈuːd̪ʱ bət͡ʃːˈaːk ɦˈet̪ʊ pəɾjˈaːpt̪ ˈət͡ʃʰɪ ʋˈaː nˈəɦɪ . ˈekəɾ ɦˈet̪ʊ st̪ənpˈaːn kəɾˈəjbaː sˈə̃ pˈuːɾʋ bˈət͡ʃːaː kˈẽ t̪ˈəʊlɪ lebˈaːk t͡ʃˈaːɦiː . pʰˈeɾ st̪ənpˈaːnək pəʃt͡ʃˈaːt̪ bˈət͡ʃːaː sˈəbʱək ʋˈəd͡ʒən kˈə lebˈaːk t͡ʃˈaːɦiː . ˈekɾaː sˈə̃ ˈiː d͡ʒɲˈaːt̪ bʱˈə d͡ʒˈaːet̪ d͡ʒˈe əɦˈaː̃k bˈət͡ʃːaː ˈek bˈeɾ mˈe kˈət̪ek d̪ˈuːd̪ʱ pˈiːʋəɪt̪ ˈət͡ʃʰɪ .
थलप्पोली भारत के केरल के हिन्दू मंदिर में व्रत के रूप में करल जाय वाला संस्कार समारोह छेकै । वर-वधू के विवाह भवन में आ विशेष अतिथि के सार्वजनिक आयोजन में पहुंचेबाक लेल सेहो एकर प्रदर्शन कयल जाइत अछि ।	t̪ʰˈələpːoliː bʱˈaːɾət̪ kˈe kˈeɾəl kˈe ɦˈɪnd̪uː mˈə̃n̪d̪ɪɾ mˈẽ ʋɾˈət̪ kˈe ɾˈuːp mˈẽ kˈəɾəl d͡ʒˈaːj ʋˈaːlaː sə̃skˈaːɾ səmˈaːɾoɦ t͡ʃʰˈekəɪ . ʋˈəɾ ʋˈəd̪ʱuː kˈe ʋɪʋˈaːɦ bʱˈəʋən mˈẽ ˈaː ʋˈɪʃeʂ ˈət̪ɪt̪ʰɪ kˈe sˈaːɾʋəd͡ʒnɪk ˈaːjod͡ʒən mˈẽ pəɦʊ̃ɲt͡ʃebˈaːk lˈel sˈeɦo ˈekəɾ pɾəd̪ˈəɾʃən kˈəjəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ .
ओतय सँ साहित्यक १९० अंश जब्त कएल गेल, जाहिमे 'गैलिसियन-वोलहिनियन क्रॉनिकल', 'बुक्स ऑफ द जेनेसिस ऑफ द यूक्रेनी पीपल', पांटेलीमोन कुलिश, वलोडिमिर एंटोनोविच, वलोडिमिर हनतियुक, दिमित्रो डोरोशेंको, इवान कृपियाकेविच आ वलोडिमिर विन्नीचेंकोक मोनोग्राफ व लेख, साथ ही पोलिश-लिथुआनियाई राष्ट्रमण्डल, प्रथम विश्व युद्ध आ यूक्रेनी स्वतन्त्रता संग्रामक इतिहाससँ जुड़ल पुस्तकसभ शामिल छल।	ˈot̪əj sˈə̃ saːɦˈɪt̪jək ˈek sˈəʊ nˈəbːe ˈə̃ʃ d͡ʒˈəbt̪ kˈəel ɡˈel , d͡ʒˈaːɦɪme ɡˈəɪlɪsɪjən ʋˈolɦɪnɪjən kɾˈɔːnɪkəl , bˈʊks ˈɔːpʰ d̪ˈə d͡ʒˈenesɪs ˈɔːpʰ d̪ˈə jˈuːkɾeniː pˈiːpəl , pˈaː̃ɳʈeliːmon kˈʊlɪʃ , ʋˈəloɖɪmɪɾ ˈẽɳʈonoʋɪt͡ʃ , ʋˈəloɖɪmɪɾ ɦˈənt̪ɪjʊk , d̪ɪmˈɪt̪ɾo ɖoɾoʃˈẽŋko , ɪʋˈaːn kɾɪpɪjˈaːkeʋɪt͡ʃ ˈaː ʋˈəloɖɪmɪɾ ʋɪnːiːt͡ʃˈẽŋkok monoɡɾˈaːpʰ ʋˈə lˈekʰ , sˈaːt̪ʰ ɦˈiː pˈolɪʃ lɪt̪ʰʊaːnɪjˈaːiː ɾˈaːʂʈɾəməɳɖəl , pɾˈət̪ʰəm ʋˈɪʃʋ jˈʊd̪ʱː ˈaː jˈuːkɾeniː sʋət̪ˈənt̪ɾət̪aː sˈə̃ŋɡɾaːmək ɪt̪ɪɦˈaːssə̃ d͡ʒˈʊɽəl pʊst̪ˈəksəbʱ ʃˈaːmɪl t͡ʃʰˈəl .
