Lenane le feletseng la Wikipedia dikgatiso&nbsp;·	lɛnɑnɛ lɛ fɛlɛt͡sʼɛŋ lɑ wikʼipʼɛdiɑ dikχɑtʼisɔ
Ka 2007, boithuto bo bong boile ba etsa hore hobe le liphetoho, ho e-na le hoo tsa fana ka tlhahiso ea letamo la Senqu, ka holimo ho tloha moo le kenang teng le Malibamatso. Hajoale ena ke katoloso e khethiloeng ea morero, leha kaho e e-so qale (ho tloha ka Pulungoana 2021).	kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ supʼilɛŋ , bɔitʰutʼɔ bɔ bɔŋ bɔilɛ bɑ ɛt͡sʼɑ ɦɔrɛ ɦɔbɛ lɛ lipʰɛtʼɔɦɔ , ɦɔ ɛ nɑ lɛ ɦɔɔ t͡sʼɑ fɑnɑ kʼɑ t͡ɬʰɑɦisɔ ɛɑ lɛtʼɑmɔ lɑ sɛn!u , kʼɑ ɦɔlimɔ ɦɔ t͡ɬʼɔɦɑ mɔɔ lɛ kʼɛnɑŋ tʼɛŋ lɛ mɑlibɑmɑt͡sʼɔ . ɦɑd͡ʒɔɑlɛ ɛnɑ kʼɛ kʼɑtʼɔlɔsɔ ɛ kʰɛtʰilɔɛŋ ɛɑ mɔrɛrɔ , lɛɦɑ kʼɑɦɔ ɛ ɛ sɔ !ɑlɛ ɦɔ t͡ɬʼɔɦɑ kʼɑ pʼuluŋɔɑnɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ .
Ka selemo sa 2000, ho ile ha lokollwa album ya hae ya pele ya studio Abanye Bayombona. Kamora katleho ya album ya hae ya pele o ile a saenwa ke Universal Music.	kʼɑ sɛlɛmɔ sɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi , ɦɔ ilɛ ɦɑ lɔkʼɔllwɑ ɑlbum jɑ ɦɑɛ jɑ pʼɛlɛ jɑ stʼudiɔ ɑbɑɲɛ bɑjɔmbɔnɑ . kʼɑmɔrɑ kʼɑt͡ɬʼɛɦɔ jɑ ɑlbum jɑ ɦɑɛ jɑ pʼɛlɛ ɔ ilɛ ɑ sɑɛnwɑ kʼɛ univɛrsɑl musik .
Ka la 09 kgweding ya Phato, 2021, O ile a kgethwa bakeng ele sebini se setjha se sa selemo ho African Social Entertainment Awards.	kʼɑ lɑ rɔbɔŋ kχwɛdiŋ jɑ pʰɑtʼɔ , dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ , ɔ ilɛ ɑ kχɛtʰwɑ bɑkʼɛŋ ɛlɛ sɛbini sɛ sɛt͡ʃʼɦɑ sɛ sɑ sɛlɛmɔ ɦɔ ɑfrikɑn sɔkiɑl ɛntʼɛrtʼɑinmɛntʼ ɑwɑrds .
Selemo le selemo ka March, ho tshwarwa mokete o moholo wa mmino o bitswang Aartappelfees (Mokete wa Ditapole). Seterata se seholo toropong ke Seterata sa Pretorius, empa seterata se phetheselang ka ho fetisisa ke seterata sa Ossewa.	sɛlɛmɔ lɛ sɛlɛmɔ kʼɑ mɑrkɦ , ɦɔ t͡sʰwɑrwɑ mɔkʼɛtʼɛ ɔ mɔɦɔlɔ wɑ mminɔ ɔ bit͡sʼwɑŋ ɑɑrtʼɑpʼpʼɛlfɛɛs mɔkʼɛtʼɛ wɑ ditʼɑpʼɔlɛ . sɛtʼɛrɑtʼɑ sɛ sɛɦɔlɔ tʼɔrɔpʼɔŋ kʼɛ sɛtʼɛrɑtʼɑ sɑ pʼrɛtʼɔrius , ɛmpʼɑ sɛtʼɛrɑtʼɑ sɛ pʰɛtʰɛsɛlɑŋ kʼɑ ɦɔ fɛtʼisisɑ kʼɛ sɛtʼɛrɑtʼɑ sɑ ɔssɛwɑ .
Ka 2015, o ile a bula ka hore o ne a tshwerwe ke lefu la kgatello ya maikutlo ka dilemo tse ngata.	kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ , ɔ ilɛ ɑ bulɑ kʼɑ ɦɔrɛ ɔ nɛ ɑ t͡sʰwɛrwɛ kʼɛ lɛfu lɑ kχɑtʼɛllɔ jɑ mɑikʼut͡ɬʼɔ kʼɑ dilɛmɔ t͡sʼɛ ŋɑtʼɑ .
Ka la 12 Mphalane, ba ile ba soma albamo ya bona ya bobedi ya studio Healers Of The Soul, e lokollotsweng ka la 12 Pudungwana 2021. Ka la 4 Pudungwana, odara esale pele ya albamo e ile ya fumaneha.	kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi mpʰɑlɑnɛ , bɑ ilɛ bɑ sɔmɑ ɑlbɑmɔ jɑ bɔnɑ jɑ bɔbɛdi jɑ stʼudiɔ ɦɛɑlɛrs ɔf tʰɛ sɔul , ɛ lɔkʼɔllɔt͡sʼwɛŋ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi pʼuduŋwɑnɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ . kʼɑ lɑ nnɛ pʼuduŋwɑnɑ , ɔdɑrɑ ɛsɑlɛ pʼɛlɛ jɑ ɑlbɑmɔ ɛ ilɛ jɑ fumɑnɛɦɑ .
O hlahetse professing ya KwaZulu-Natal etsebahalang ka Durban, Hlanti o bapalletse Lamontville Golden Arrows, Chippa United, Thanda Royal Zulu, AmaZulu, Bidvest Wits le Moroka Swallows.	ɔ ɬɑɦɛt͡sʼɛ pʼrɔfɛssiŋ jɑ kʼwɑzulu nɑtʼɑl ɛt͡sʼɛbɑɦɑlɑŋ kʼɑ durbɑn , ɬɑntʼi ɔ bɑpʼɑllɛt͡sʼɛ lɑmɔntʼvillɛ xɔldɛn ɑrrɔws , kɦipʼpʼɑ unitʼɛd , tʰɑndɑ rɔjɑl zulu , ɑmɑzulu , bidvɛstʼ wit͡sʼ lɛ mɔrɔkʼɑ swɑllɔws .
Ka 2023, Motswedi e ile ya eba motho wa pele wa motho e motsho le wa Moafrika ho qothisana lehlokwa le e nngwe ya dipontsho tse kgolo ka ho fetisisa naheng ya China, Sing! China ( Voice of China ) moo a neng a bina ka Semandarine e phollatsi.	kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ , mɔt͡sʼwɛdi ɛ ilɛ jɑ ɛbɑ mɔtʰɔ wɑ pʼɛlɛ wɑ mɔtʰɔ ɛ mɔt͡sʰɔ lɛ wɑ mɔɑfrikʼɑ ɦɔ !ɔtʰisɑnɑ lɛɬɔkʼwɑ lɛ ɛ nŋwɛ jɑ dipʼɔnt͡sʰɔ t͡sʼɛ kχɔlɔ kʼɑ ɦɔ fɛtʼisisɑ nɑɦɛŋ jɑ kɦinɑ , siŋ ! kɦinɑ vɔikɛ ɔf kɦinɑ mɔɔ ɑ nɛŋ ɑ binɑ kʼɑ sɛmɑndɑrinɛ ɛ pʰɔllɑt͡sʼi .
Maikutlo a Defiant: Gay and Lesbian Lives in South Africa (ed), Routledge, London: 1993 (le Mark Gevisser).	mɑikʼut͡ɬʼɔ ɑ dɛfiɑntʼ , xɑj ɑnd lɛsbiɑn livɛs in sɔutʰ ɑfrikɑ ɛd , rɔut͡ɬʼɛdxɛ , lɔndɔn , sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ lɛ mɑrkʼ xɛvissɛr .
The Concerto (1998): Sony BMG - Multi-Platinum Sales	tʰɛ kɔnkɛrtʼɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ rɔbɛdi , sɔɲ bmx multʼi pʼlɑtʼinum sɑlɛs
David Radebe (ya hlahileng ka la 27 Lwetse 1979) ke sebapadi sa mehleng sa Afrika Borwa se neng se bapala e le sebapadi .	dɑvid rɑdɛbɛ jɑ ɬɑɦilɛŋ kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ supʼilɛŋ lwɛt͡sʼɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ kʼɛ sɛbɑpʼɑdi sɑ mɛɬɛŋ sɑ ɑfrikʼɑ bɔrwɑ sɛ nɛŋ sɛ bɑpʼɑlɑ ɛ lɛ sɛbɑpʼɑdi .
Inkinsela yase Mgungundlovu (1961) Shuter and Shooter	inkʼinsɛlɑ jɑsɛ mxuŋundlɔvu sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ ʃutʼɛr ɑnd ʃɔɔtʼɛr
African Warriors ke sehlopha sa bolo ya maoto sa Afrika Borwa se Phuthaditjhaba, Free State .	ɑfrikɑn wɑrriɔrs kʼɛ sɛɬɔpʰɑ sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ ɑfrikʼɑ bɔrwɑ sɛ pʰutʰɑdit͡ʃʼɦɑbɑ , frɛɛ stʼɑtʼɛ .
Ka Phupu 2015, Manzini o ile a ikopanya le Chippa United . Qetellong ya December 2019, o ile a lokollwa.	kʼɑ pʰupʼu dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ , mɑnzini ɔ ilɛ ɑ ikʼɔpʼɑɲɑ lɛ kɦipʼpʼɑ unitʼɛd . !ɛtʼɛllɔŋ jɑ dɛkɛmbɛr dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ , ɔ ilɛ ɑ lɔkʼɔllwɑ .
Bafo Biyela (11 Pherekhong 1981 - 17 Lwetse 2012) e ne e le sebapadi sa bolo ya maoto sa mokgatlo wa Afrika Borwa ya qetetseng ho bapalla Thanda Royal Zulu .	bɑfɔ bijɛlɑ lɛʃɔmɛ lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ pʰɛrɛkʰɔŋ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ lwɛt͡sʼɛ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi ɛ nɛ ɛ lɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ mɔkχɑt͡ɬʼɔ wɑ ɑfrikʼɑ bɔrwɑ jɑ !ɛtʼɛt͡sʼɛŋ ɦɔ bɑpʼɑllɑ tʰɑndɑ rɔjɑl zulu .
Mike "Sporo" Mangena (ya hlahileng ka la 12 Lwetse 1958) ke sebapadi sa bolo ya maoto (bolo) se seng se phomotse sa naha ya Afrika Borwa, ya qetetseng ka ho bapalla sehlopha sa Kaizer Chiefs .	mikʼɛ spʼɔrɔ mɑŋɛnɑ jɑ ɬɑɦilɛŋ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ mmɛdi lwɛt͡sʼɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ rɔbɛdi kʼɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ bɔlɔ sɛ sɛŋ sɛ pʰɔmɔt͡sʼɛ sɑ nɑɦɑ jɑ ɑfrikʼɑ bɔrwɑ , jɑ !ɛtʼɛt͡sʼɛŋ kʼɑ ɦɔ bɑpʼɑllɑ sɛɬɔpʰɑ sɑ kʼɑizɛr kɦiɛfs .
Njabulo Manqana (ya hlahileng 26 Phato 1986 Durban ) ke sebapadi sa Afrika Borwa (bolo ya maoto) eo hara tse ding dihlopha a neng a bapalla sehlopha sa Premier Soccer League sa AmaZulu .	nd͡ʒɑbulɔ mɑn!ɑnɑ jɑ ɬɑɦilɛŋ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ pʰɑtʼɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ durbɑn kʼɛ sɛbɑpʼɑdi sɑ ɑfrikʼɑ bɔrwɑ bɔlɔ jɑ mɑɔtʼɔ ɛɔ ɦɑrɑ t͡sʼɛ diŋ diɬɔpʰɑ ɑ nɛŋ ɑ bɑpʼɑllɑ sɛɬɔpʰɑ sɑ pʼrɛmiɛr sɔkkɛr lɛɑxuɛ sɑ ɑmɑzulu .
Bongani Sam (ey hlahileng 30 Phupu 1997), ke sebapadi sa bolo ya maoto sa Afrika Borwa se bapalang e le mosireletsi wa Kaizer Chiefs .	bɔŋɑni sɑm ɛj ɬɑɦilɛŋ mɑʃɔmɛ ɑ mɑrɑrɔ pʰupʼu sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ , kʼɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ ɑfrikʼɑ bɔrwɑ sɛ bɑpʼɑlɑŋ ɛ lɛ mɔsirɛlɛt͡sʼi wɑ kʼɑizɛr kɦiɛfs .
Steve "Chippa" Lekoelea (ya hlahileng 05 Hlakola 1979 e le Steve Motsiri ) ke sebapadi sa mehleng sa Afrika Borwa se neng se bapala e le sebapadi sa bohareng . O ne a bapalla dihlopha tsa Premier Soccer League tsa Moroka Swallows, Orlando Pirates le Afrika Borwa .	stʼɛvɛ kɦipʼpʼɑ lɛkʼɔɛlɛɑ jɑ ɬɑɦilɛŋ ɬɑnɔ ɬɑkʼɔlɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ ɛ lɛ stʼɛvɛ mɔt͡sʼiri kʼɛ sɛbɑpʼɑdi sɑ mɛɬɛŋ sɑ ɑfrikʼɑ bɔrwɑ sɛ nɛŋ sɛ bɑpʼɑlɑ ɛ lɛ sɛbɑpʼɑdi sɑ bɔɦɑrɛŋ . ɔ nɛ ɑ bɑpʼɑllɑ diɬɔpʰɑ t͡sʼɑ pʼrɛmiɛr sɔkkɛr lɛɑxuɛ t͡sʼɑ mɔrɔkʼɑ swɑllɔws , ɔrlɑndɔ pʼirɑtʼɛs lɛ ɑfrikʼɑ bɔrwɑ .
Polao e sehloho ya Sharpeville e ile ya kenya letsoho ho thibeleng PAC le ANC e le mekgatlo e seng molaong. Polao ena e ile ya eba e enngwe ya dintho tse ileng tsa susumetsa mokgatlo ona hore o fetohe o se ke wa hanyetsa batho ka tsela e sa sebetseng. Ho thehwa ha Poqo, lefapha la sesole la PAC, le Umkhonto we Sizwe, lefapha le sesole sa ANC, ho ile ha latela nakwana ka mora moo.	pʼɔlɑɔ ɛ sɛɬɔɦɔ jɑ ʃɑrpʼɛvillɛ ɛ ilɛ jɑ kʼɛɲɑ lɛt͡sʼɔɦɔ ɦɔ tʰibɛlɛŋ pʼɑk lɛ ɑnk ɛ lɛ mɛkχɑt͡ɬʼɔ ɛ sɛŋ mɔlɑɔŋ . pʼɔlɑɔ ɛnɑ ɛ ilɛ jɑ ɛbɑ ɛ ɛnŋwɛ jɑ dintʰɔ t͡sʼɛ ilɛŋ t͡sʼɑ susumɛt͡sʼɑ mɔkχɑt͡ɬʼɔ ɔnɑ ɦɔrɛ ɔ fɛtʼɔɦɛ ɔ sɛ kʼɛ wɑ ɦɑɲɛt͡sʼɑ bɑtʰɔ kʼɑ t͡sʼɛlɑ ɛ sɑ sɛbɛt͡sʼɛŋ . ɦɔ tʰɛɦwɑ ɦɑ pʼɔ!ɔ , lɛfɑpʰɑ lɑ sɛsɔlɛ lɑ pʼɑk , lɛ umkʰɔntʼɔ wɛ sizwɛ , lɛfɑpʰɑ lɛ sɛsɔlɛ sɑ ɑnk , ɦɔ ilɛ ɦɑ lɑtʼɛlɑ nɑkʼwɑnɑ kʼɑ mɔrɑ mɔɔ .
Hare ho dintho tse fapaneng tse thusang temong kajeno,ho kenyeletswa difofane tse nyane tse bitswang di Drone. Bahlalefi temong ba ile ba kopana ho e nngwe ya mekete ya tsa temo e bitsuwang NAMPO . Disebediswa tse ding di kenyeletsa metjhini e kgonang ho laolwa ole ka tlung.	ɦɑrɛ ɦɔ dintʰɔ t͡sʼɛ fɑpʼɑnɛŋ t͡sʼɛ tʰusɑŋ tʼɛmɔŋ kʼɑd͡ʒɛnɔ , ɦɔ kʼɛɲɛlɛt͡sʼwɑ difɔfɑnɛ t͡sʼɛ ɲɑnɛ t͡sʼɛ bit͡sʼwɑŋ di drɔnɛ . bɑɬɑlɛfi tʼɛmɔŋ bɑ ilɛ bɑ kʼɔpʼɑnɑ ɦɔ ɛ nŋwɛ jɑ mɛkʼɛtʼɛ jɑ t͡sʼɑ tʼɛmɔ ɛ bit͡sʼuwɑŋ nɑmpʼɔ . disɛbɛdiswɑ t͡sʼɛ diŋ di kʼɛɲɛlɛt͡sʼɑ mɛt͡ʃʼɦini ɛ kχɔnɑŋ ɦɔ lɑɔlwɑ ɔlɛ kʼɑ t͡ɬʼuŋ .
Mafelong a bo-1890 Lewis o ile a reka mabala ho tswa ho khamphani ya Anglo American e Vereeniging mme a ikahela ntlo ya hae ya bodulo, eo jwale re e tsebang e le Riviera On Vaal kajeno. Lewis Street e Vereeniging e rehelletswe ka yena.	mɑfɛlɔŋ ɑ bɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛwis ɔ ilɛ ɑ rɛkʼɑ mɑbɑlɑ ɦɔ t͡sʼwɑ ɦɔ kʰɑmpʰɑni jɑ ɑŋlɔ ɑmɛrikɑn ɛ vɛrɛɛnixiŋ mmɛ ɑ ikʼɑɦɛlɑ nt͡ɬʼɔ jɑ ɦɑɛ jɑ bɔdulɔ , ɛɔ d͡ʒwɑlɛ rɛ ɛ t͡sʼɛbɑŋ ɛ lɛ riviɛrɑ ɔn vɑɑl kʼɑd͡ʒɛnɔ . lɛwis stʼrɛɛtʼ ɛ vɛrɛɛnixiŋ ɛ rɛɦɛllɛt͡sʼwɛ kʼɑ jɛnɑ .
Vasili Sofiadellis ke sebapadi sa mehleng sa Afrika Borwa se neng se bapala e le sebapadi sa bohareng .	vɑsili sɔfiɑdɛllis kʼɛ sɛbɑpʼɑdi sɑ mɛɬɛŋ sɑ ɑfrikʼɑ bɔrwɑ sɛ nɛŋ sɛ bɑpʼɑlɑ ɛ lɛ sɛbɑpʼɑdi sɑ bɔɦɑrɛŋ .
Letlole la Nelson Mandela la Bana ( Nelson Mandela Children's Fund (NMCF)) ke mokgatlo wa dithuso o thehilweng ke Nelson Mandela, o thehilweng Afrika Borwa. Morero wa ona ke ho thusa bana ho tloha tswalong ho fihlella ba le dilemo tse 22.	lɛt͡ɬʼɔlɛ lɑ nɛlsɔn mɑndɛlɑ lɑ bɑnɑ nɛlsɔn mɑndɛlɑ kɦildrɛn s fund nmkf kʼɛ mɔkχɑt͡ɬʼɔ wɑ ditʰusɔ ɔ tʰɛɦilwɛŋ kʼɛ nɛlsɔn mɑndɛlɑ , ɔ tʰɛɦilwɛŋ ɑfrikʼɑ bɔrwɑ . mɔrɛrɔ wɑ ɔnɑ kʼɛ ɦɔ tʰusɑ bɑnɑ ɦɔ t͡ɬʼɔɦɑ t͡sʼwɑlɔŋ ɦɔ fiɬɛllɑ bɑ lɛ dilɛmɔ t͡sʼɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi .
Ka 1931, lekgotla la masepala le ne le se le nkile seaparo sa sesole. Mabetsa a ngolisitsoe ho Orange Free State Provincial Administration ka Mphalane 1958.	kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑrɑrɔ lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ , lɛkχɔt͡ɬʼɑ lɑ mɑsɛpʼɑlɑ lɛ nɛ lɛ sɛ lɛ nkʼilɛ sɛɑpʼɑrɔ sɑ sɛsɔlɛ . mɑbɛt͡sʼɑ ɑ ŋɔlisit͡sʼɔɛ ɦɔ ɔrɑŋɛ frɛɛ stʼɑtʼɛ pʼrɔvinkiɑl ɑdministʼrɑtʼiɔn kʼɑ mpʰɑlɑnɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ rɔbɛdi .
Goin' Home: A Tribute to Fats Domino (Vanguard Records, 2007)	xɔin ɦɔmɛ , ɑ tʼributʼɛ tʼɔ fɑt͡sʼ dɔminɔ vɑŋuɑrd rɛkɔrds , dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɛt͡sʼɔ ɛ supʼilɛŋ
Jacobs o hlahetse Kimberley Kapa Leboya . Jacobs o na le lengolo la honours la Filosofi, Dipolotiki, le Economics ho tsoa Univesithing ya Pretoria .	d͡ʒɑkɔbs ɔ ɬɑɦɛt͡sʼɛ kʼimbɛrlɛj kʼɑpʼɑ lɛbɔjɑ . d͡ʒɑkɔbs ɔ nɑ lɛ lɛŋɔlɔ lɑ ɦɔnɔurs lɑ filɔsɔfi , dipʼɔlɔtʼikʼi , lɛ ɛkɔnɔmiks ɦɔ t͡sʼɔɑ univɛsitʰiŋ jɑ pʼrɛtʼɔriɑ .
Profesyonel Prodüksiyon: Görüntü kalitesi, seslendirme, müzik ve kurgu profesyonel olmalı.	pʼrɔfɛsjɔnɛl pʼrɔdukʼsijɔn , xɔruntʼu kʼɑlitʼɛsi , sɛslɛndirmɛ , muzikʼ vɛ kʼurxu pʼrɔfɛsjɔnɛl ɔlmɑli .
Dintwa tsa Foreisetata- Ntwa tsa Basotho di bua ka letoto la dintwa tse ileng tsa lwanuwa pakeng tsa Morena Moshoeshoe wa Pele, mmusi wa Mmuso wa Basotho, le bajaki bamakgowa, moo hona jwale ho tsejwang ka hore ke Foreisetata . Tsena di ka arolwa ka Ntwa wa Senekal ya selemo sa 1858, Ntwa ya Seqiti ka 1865−1866 le Ntwa ya Boraro ya Basotho ka 1867−68.	dintʼwɑ t͡sʼɑ fɔrɛisɛtʼɑtʼɑ ntʼwɑ t͡sʼɑ bɑsɔtʰɔ di buɑ kʼɑ lɛtʼɔtʼɔ lɑ dintʼwɑ t͡sʼɛ ilɛŋ t͡sʼɑ lwɑnuwɑ pʼɑkʼɛŋ t͡sʼɑ mɔrɛnɑ mɔʃɔɛʃɔɛ wɑ pʼɛlɛ , mmusi wɑ mmusɔ wɑ bɑsɔtʰɔ , lɛ bɑd͡ʒɑkʼi bɑmɑkχɔwɑ , mɔɔ ɦɔnɑ d͡ʒwɑlɛ ɦɔ t͡sʼɛd͡ʒwɑŋ kʼɑ ɦɔrɛ kʼɛ fɔrɛisɛtʼɑtʼɑ . t͡sʼɛnɑ di kʼɑ ɑrɔlwɑ kʼɑ ntʼwɑ wɑ sɛnɛkʼɑl jɑ sɛlɛmɔ sɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ rɔbɛdi , ntʼwɑ jɑ sɛ!itʼi kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ lɛ ntʼwɑ jɑ bɔrɑrɔ jɑ bɑsɔtʰɔ kʼɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ rɔbɛdi .
Mosebetsi wa Mlangeni o sebetsana le ditabatabelo tsa boitelo, boitsebahatso, mahlale, le setjhaba. Hangata o sebedisa disebediswa tsa letsatsi le letsatsi kapa tse sebediswang hape, a totobatsa boqapi tlasa mathata a disebediswa le ho fetola dintho tse tlwaelehileng hore e be ditshwantsho tse nang le tshuusumetso e matla.	mɔsɛbɛt͡sʼi wɑ mlɑŋɛni ɔ sɛbɛt͡sʼɑnɑ lɛ ditʼɑbɑtʼɑbɛlɔ t͡sʼɑ bɔitʼɛlɔ , bɔit͡sʼɛbɑɦɑt͡sʼɔ , mɑɬɑlɛ , lɛ sɛt͡ʃʼɦɑbɑ . ɦɑŋɑtʼɑ ɔ sɛbɛdisɑ disɛbɛdiswɑ t͡sʼɑ lɛt͡sʼɑt͡sʼi lɛ lɛt͡sʼɑt͡sʼi kʼɑpʼɑ t͡sʼɛ sɛbɛdiswɑŋ ɦɑpʼɛ , ɑ tʼɔtʼɔbɑt͡sʼɑ bɔ!ɑpʼi t͡ɬʼɑsɑ mɑtʰɑtʼɑ ɑ disɛbɛdiswɑ lɛ ɦɔ fɛtʼɔlɑ dintʰɔ t͡sʼɛ t͡ɬʼwɑɛlɛɦilɛŋ ɦɔrɛ ɛ bɛ dit͡sʰwɑnt͡sʰɔ t͡sʼɛ nɑŋ lɛ t͡sʰuusumɛt͡sʼɔ ɛ mɑt͡ɬʼɑ .
Phiritona ke lekeishene le haufi le Heilbron, ka hare ho Masepala wa Ngwathe, porofensing ya Freistata, naheng ya Afrika Borwa.	pʰiritʼɔnɑ kʼɛ lɛkʼɛiʃɛnɛ lɛ ɦɑufi lɛ ɦɛilbrɔn , kʼɑ ɦɑrɛ ɦɔ mɑsɛpʼɑlɑ wɑ ŋwɑtʰɛ , pʼɔrɔfɛnsiŋ jɑ frɛistʼɑtʼɑ , nɑɦɛŋ jɑ ɑfrikʼɑ bɔrwɑ .
