preload=Template:Standard content for new page	preloˈɑd templɑˈte , stɑnˈdɑrd d͡ʒonˈtent ˈfor ˈnew pɑˈɡe
Kolodânka () - Ukrainanıñ Jıtomır vilâyetinde Novograd-Volınskıy rayonında bir köy. Ealisiniñ sayısı 833 kişi.	kolodanˈkɑ ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde novoɡˈrɑd volɯnsˈkɯj rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ seˈkiz ˈjyz oˈtuz ˈyt͡ʃ kiˈʃi .
İmeni Vorovskogo () - Rusiyeniñ Moskva vilâyetinde Bogorodsk şeer bölgesinda bir şeer şeklinde qasaba. Ealisiniñ sayısı 16 127 kişi.	imeˈni vorowskoˈɡo rusijeˈniŋ moskˈvɑ vilajetinˈde boɡoˈrodsk ˈʃeːr bølɡesinˈdɑ ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ɑlˈtɯ ˈbiŋ ˈjyz jiɡirˈmi jeˈdi kiˈʃi .
Zelenoborskiy () - Rusiyeniñ Murmansk vilâyetinde Kandalakşa rayonında bir şeer şeklinde qasaba. Ealisiniñ sayısı 3768 kişi.	zelenoborsˈkij rusijeˈniŋ murˈmɑnsk vilajetinˈde kɑndɑlɑkˈʃɑ rɑjonɯnˈdɑ ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈyt͡ʃ ˈbiŋ jeˈdi ˈjyz ɑltˈmɯʃ seˈkiz kiˈʃi .
Töploye () - Rusiyeniñ Belgorod vilâyetinde, Borisovka rayonında bir köy. Ealisiniñ sayısı 166 kişi.	tøploˈje rusijeˈniŋ belɡoˈrod vilajetinˈde , borisowˈkɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz ɑltˈmɯʃ ɑlˈtɯ kiˈʃi .
Novopetrovka () - Rusiyeniñ Belgorod vilâyetinde, Valuyki rayonında bir köy. Ealisiniñ sayısı 532 kişi.	novopetrowˈkɑ rusijeˈniŋ belɡoˈrod vilajetinˈde , vɑlujˈki rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz oˈtuz eˈki kiˈʃi .
Popasnıy () - Rusiyeniñ Belgorod vilâyetinde, Veydelevka rayonında bir hutor. Ealisiniñ sayısı 203 kişi.	popɑsˈnɯj rusijeˈniŋ belɡoˈrod vilajetinˈde , vejdelewˈkɑ rɑjonɯnˈdɑ ˈbir huˈtor . eɑlisiˈniŋ sɑjɯˈsɯ eˈki ˈjyz ˈyt͡ʃ kiˈʃi .
Abdulla (, , ) - Rusiyeniñ Orenburg vilâyetinde bir şeer. Abdulla rayonınıñ merkezi. Ealisiniñ sayısı 18 420 kişi.	ɑbduˈlːɑ , rusijeˈniŋ orenˈburɡ vilajetinˈde ˈbir ˈʃeːr . ɑbduˈlːɑ rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon seˈkiz ˈbiŋ ˈdørt ˈjyz jiɡirˈmi kiˈʃi .
Kizel () - Rusiyeniñ Perm ülkesinde bir şeer. Kizel şeer bölgesinıñ merkezi. Ealisiniñ sayısı 15 619 kişi.	kiˈzel rusijeˈniŋ ˈperm ylkesinˈde ˈbir ˈʃeːr . kiˈzel ˈʃeːr bølɡesiˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbeʃ ˈbiŋ ɑlˈtɯ ˈjyz ˈon doˈquz kiˈʃi .
Velıka Gorbaşa () - Ukrainanıñ Jıtomır vilâyetinde Çernâhiv rayonında bir köy. Ealisiniñ sayısı 697 kişi.	velɯˈkɑ ɡorbɑˈʃɑ ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde t͡ʃernaˈhiw rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ɑlˈtɯ ˈjyz doqˈsɑn jeˈdi kiˈʃi .
Varvara Annenkova — Polina Gebl-Annenkova	vɑrvɑˈrɑ ɑnːenkoˈvɑ poliˈnɑ ˈɡebl ɑnːenkoˈvɑ
Şahtörı () — 1937 s. çıqqan ŞSCBnıñ filmi, rejissör – Sergey Yutkeviç.	ʃɑhtøˈrɯ ˈbiŋ doˈquz ˈjyz oˈtuz jeˈdi s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør serˈɡej jutkeˈvit͡ʃ .
Povest o nastoyaşçem çeloveke () — 1948 s. çıqqan ŞSCBnıñ filmi, rejissör – Aleksandr Stolper.	poˈvest ˈo nɑstojɑʃˈt͡ʃem t͡ʃeloveˈke ˈbiŋ doˈquz ˈjyz ˈqɯrq seˈkiz s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør ɑlekˈsɑndr stolˈper .
İlya Muromets () — 1956 s. çıqqan ŞSCBnıñ filmi, rejissör – Aleksandr Ptuşko.	ilˈjɑ muroˈmets ˈbiŋ doˈquz ˈjyz eˈlːi ɑlˈtɯ s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør ɑlekˈsɑndr ptuʃˈko .
Artöm () - Rusiyeniñ Primorye ülkesinde bir şeer. Artöm şeer bölgesinıñ merkezi. Ealisiniñ sayısı 109 556 kişi.	ɑrˈtøm rusijeˈniŋ primorˈje ylkesinˈde ˈbir ˈʃeːr . ɑrˈtøm ˈʃeːr bølɡesiˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz doˈquz ˈbiŋ ˈbeʃ ˈjyz eˈlːi ɑlˈtɯ kiˈʃi .
Skazka o poterânnom vremeni () — 1964 s. çıqqan ŞSCBnıñ filmi, rejissör – Aleksandr Ptuşko.	skɑzˈkɑ ˈo poteraˈnːom vremeˈni ˈbiŋ doˈquz ˈjyz ɑltˈmɯʃ ˈdørt s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør ɑlekˈsɑndr ptuʃˈko .
Zolotoy telönok () — 1968 s. çıqqan ŞSCBnıñ filmi, rejissör – Mihail Şveytser.	zoloˈtoj teløˈnok ˈbiŋ doˈquz ˈjyz ɑltˈmɯʃ seˈkiz s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør mihɑˈil ʃvejtˈser .
Telegramma () — 1971 s. çıqqan ŞSCBnıñ filmi, rejissör – Rolan Bıkov.	teleɡrɑˈmːɑ ˈbiŋ doˈquz ˈjyz jetˈmiʃ ˈbir s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør roˈlɑn bɯˈkow .
Pronsk () - Rusiyeniñ Râzan vilâyetinde bir şeer şeklinde qasaba. Pronsk rayonınıñ merkezi. Ealisiniñ sayısı 4753 kişi.	pˈronsk rusijeˈniŋ raˈzɑn vilajetinˈde ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . pˈronsk rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈbiŋ jeˈdi ˈjyz eˈlːi ˈyt͡ʃ kiˈʃi .
D&#39;Artanyan i tri muşketöra () — 1978 s. çıqqan ŞSCBnıñ filmi, rejissör – Georgiy Yungvald-Hilkeviç.	d ɑrtɑnˈjɑn ˈi tˈri muʃketøˈrɑ ˈbiŋ doˈquz ˈjyz jetˈmiʃ seˈkiz s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør ɡeorˈɡij junɡˈvɑld hilkeˈvit͡ʃ .
Torpedonostsı () — 1983 s. çıqqan ŞSCBnıñ filmi, rejissör – Semön Aranoviç.	torpedonostˈsɯ ˈbiŋ doˈquz ˈjyz sekˈsen ˈyt͡ʃ s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør seˈmøn ɑrɑnoˈvit͡ʃ .
Na zlatom krıltse sideli () — 1986 s. çıqqan ŞSCBnıñ filmi, rejissör – Boris Rıtsarev.	ˈnɑ zlɑˈtom krɯltˈse sideˈli ˈbiŋ doˈquz ˈjyz sekˈsen ɑlˈtɯ s . t͡ʃɯˈqːɑn ʃsd͡ʒbˈnɯŋ filˈmi , reʒiˈsːør boˈris rɯtsɑˈrew .
Yerşov () - Rusiyeniñ Saratov vilâyetinde bir şeer. Yerşov rayonınıñ merkezi. Ealisiniñ sayısı 18 095 kişi.	jerˈʃow rusijeˈniŋ sɑrɑˈtow vilajetinˈde ˈbir ˈʃeːr . jerˈʃow rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon seˈkiz ˈbiŋ doqˈsɑn ˈbeʃ kiˈʃi .
1977 — Kak İvanuşka-duraçok za çudom hodil	ˈbiŋ doˈquz ˈjyz jetˈmiʃ jeˈdi ˈkɑk ivɑnuʃˈkɑ durɑˈt͡ʃok ˈzɑ t͡ʃuˈdom hoˈdil
Dom dlâ bogatıh () — 2000 s. çıqqan Rusiyenıñ filmi, rejissör – Vladimir Fokin.	ˈdom dˈla boɡɑˈtɯh eˈki ˈbiŋ s . t͡ʃɯˈqːɑn rusijeˈnɯŋ filˈmi , reʒiˈsːør vlɑdiˈmir foˈkin .
Svoi () — 2004 s. çıqqan Rusiyenıñ filmi, rejissör – Dmitriy Meshiyev.	svoˈi eˈki ˈbiŋ ˈdørt s . t͡ʃɯˈqːɑn rusijeˈnɯŋ filˈmi , reʒiˈsːør dmitˈrij meshiˈjew .
Tarif «Novogodniy» () — 2008 s. çıqqan Rusiyenıñ filmi, rejissör – Yevgeniy Bedarev.	tɑˈrif novoɡodˈnij eˈki ˈbiŋ seˈkiz s . t͡ʃɯˈqːɑn rusijeˈnɯŋ filˈmi , reʒiˈsːør jewɡeˈnij bedɑˈrew .
Rusiye 88 () — 2009 s. çıqqan Rusiyenıñ filmi, rejissör – Pavel Bardin.	rusiˈje sekˈsen seˈkiz eˈki ˈbiŋ doˈquz s . t͡ʃɯˈqːɑn rusijeˈnɯŋ filˈmi , reʒiˈsːør pɑˈvel bɑrˈdin .
Poçinok () - Rusiyeniñ Smolensk vilâyetinde bir şeer. Poçinok rayonınıñ merkezi. Ealisiniñ sayısı 7575 kişi.	pot͡ʃiˈnok rusijeˈniŋ smoˈlensk vilajetinˈde ˈbir ˈʃeːr . pot͡ʃiˈnok rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ jeˈdi ˈbiŋ ˈbeʃ ˈjyz jetˈmiʃ ˈbeʃ kiˈʃi .
Krasnıy prizrak () — 2021 s. çıqqan Rusiyenıñ filmi, rejissör – Andrey Bogatıröv.	krɑsˈnɯj prizˈrɑk eˈki ˈbiŋ jiɡirˈmi ˈbir s . t͡ʃɯˈqːɑn rusijeˈnɯŋ filˈmi , reʒiˈsːør ɑndˈrej boɡɑtɯˈrøw .
Jeleznovodsk () - Rusiyeniñ Stavropol ülkesinde bir şeer. Jeleznovodsk şeer bölgesinıñ merkezi. Ealisiniñ sayısı 22 418 kişi.	ʒeleznoˈvodsk rusijeˈniŋ stɑwroˈpol ylkesinˈde ˈbir ˈʃeːr . ʒeleznoˈvodsk ˈʃeːr bølɡesiˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ jiɡirˈmi eˈki ˈbiŋ ˈdørt ˈjyz ˈon seˈkiz kiˈʃi .
Vladimirovka () - Rusiyeniñ Belgorod vilâyetinde İvnâ rayonında bir köy. Ealisiniñ sayısı 569 kişi.	vlɑdimirowˈkɑ rusijeˈniŋ belɡoˈrod vilajetinˈde iwˈna rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbeʃ ˈjyz ɑltˈmɯʃ doˈquz kiˈʃi .
Pervomayskiy () - Rusiyeniñ Tambov vilâyetinde bir şeer şeklinde qasaba. Pervomayskiy rayonınıñ merkezi. Ealisiniñ sayısı 10 674 kişi.	pervomɑjsˈkij rusijeˈniŋ tɑmˈbow vilajetinˈde ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . pervomɑjsˈkij rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbiŋ ɑlˈtɯ ˈjyz jetˈmiʃ ˈdørt kiˈʃi .
İzoplit () - Rusiyeniñ Tver vilâyetinde Konakovo rayonında bir şeer şeklinde qasaba. Ealisiniñ sayısı 1197 kişi.	izopˈlit rusijeˈniŋ tˈver vilajetinˈde konɑkoˈvo rɑjonɯnˈdɑ ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ˈbiŋ ˈjyz doqˈsɑn jeˈdi kiˈʃi .
Arsenyevo () - Rusiyeniñ Tula vilâyetinde bir şeer şeklinde qasaba. Arsenyevo rayonınıñ merkezi. Ealisiniñ sayısı 4680 kişi.	ɑrsenjeˈvo rusijeˈniŋ tuˈlɑ vilajetinˈde ˈbir ˈʃeːr ʃeklinˈde qɑsɑˈbɑ . ɑrsenjeˈvo rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈbiŋ ɑlˈtɯ ˈjyz sekˈsen kiˈʃi .
Svetlıy () - Rusiyeniñ Orenburg vilâyetinde bir qasaba. Svetlıy rayonınıñ merkezi. Ealisiniñ sayısı 6853 kişi.	svetˈlɯj rusijeˈniŋ orenˈburɡ vilajetinˈde ˈbir qɑsɑˈbɑ . svetˈlɯj rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ɑlˈtɯ ˈbiŋ seˈkiz ˈjyz eˈlːi ˈyt͡ʃ kiˈʃi .
1929 senesi avgustnıñ 29-inde Kirov vilâyetinde doğdı.	ˈbiŋ doˈquz ˈjyz jiɡirˈmi doˈquz seneˈsi ɑwɡustˈnɯŋ jiɡirˈmi doˈquz inˈde kiˈrow vilajetinˈde doɣˈdɯ .
Apuhtin () - Rusiyeniñ Belgorod vilâyetinde Krasnogvardeyskoye rayonında bir hutor. Ealisiniñ sayısı 26 kişi.	ɑpuhˈtin rusijeˈniŋ belɡoˈrod vilajetinˈde krɑsnoɡvɑrdejskoˈje rɑjonɯnˈdɑ ˈbir huˈtor . eɑlisiˈniŋ sɑjɯˈsɯ jiɡirˈmi ɑlˈtɯ kiˈʃi .
Podvisloye () - Rusiyeniñ Belgorod vilâyetinde Novıy Oskol rayonında bir köy. Ealisiniñ sayısı 189 kişi.	podvisloˈje rusijeˈniŋ belɡoˈrod vilajetinˈde noˈvɯj osˈkol rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz sekˈsen doˈquz kiˈʃi .
Mironovka () - Rusiyeniñ Belgorod vilâyetinde Prohorovka rayonında bir hutor. Ealisiniñ sayısı 141 kişi.	mironowˈkɑ rusijeˈniŋ belɡoˈrod vilajetinˈde prohorowˈkɑ rɑjonɯnˈdɑ ˈbir huˈtor . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz ˈqɯrq ˈbir kiˈʃi .
Valeriy Fedorovıç Yermak (; 1942 s. noyabr 24, Bagayevka — 2013 s. dekabr 26, Aqmescit) — ukrain siyasetçi.	vɑleˈrij fedoroˈvɯt͡ʃ jerˈmɑk , ˈbiŋ doˈquz ˈjyz ˈqɯrq eˈki s . noˈjɑbr jiɡirˈmi ˈdørt , bɑɡɑjewˈkɑ eˈki ˈbiŋ ˈon ˈyt͡ʃ s . deˈkɑbr jiɡirˈmi ɑlˈtɯ , ɑqmesˈd͡ʒit ukrɑˈin sijɑsetˈt͡ʃi .
Pevek () - Rusiyeniñ Çukotka muhtar bölgesinde bir şeer. Pevek şeer bölgesinıñ merkezi. Ealisiniñ sayısı 4230 kişi.	peˈvek rusijeˈniŋ t͡ʃukotˈkɑ muhˈtɑr bølɡesinˈde ˈbir ˈʃeːr . peˈvek ˈʃeːr bølɡesiˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈdørt ˈbiŋ eˈki ˈjyz oˈtuz kiˈʃi .
Büyük Sunaq — Qırımnıñ Canköy rayonında ğayıp olğan köy, Sıvaş körfeziniñ yalısında, Küçük Sunaq köyünden 2 km ğarbında.	byˈjyk suˈnɑq qɯrɯmˈnɯŋ d͡ʒɑnˈkøj rɑjonɯnˈdɑ ɣɑˈjɯp olˈɣɑn ˈkøj , sɯˈvɑʃ kørfeziˈniŋ jɑlɯsɯnˈdɑ , kyˈt͡ʃyk suˈnɑq køjynˈden eˈki kiloˈmetr ɣɑrbɯnˈdɑ .
Berözovka — Altay ülkesinıñ Krasnoşçökovo rayonında bir köy.	berøzowˈkɑ ɑlˈtɑj ylkesiˈnɯŋ krɑsnoʃt͡ʃøkoˈvo rɑjonɯnˈdɑ ˈbir ˈkøj .
Petrovka () - Rusiyeniñ Belgorod vilâyetinde Şebekino rayonında bir hutor. Ealisiniñ sayısı 22 kişi.	petrowˈkɑ rusijeˈniŋ belɡoˈrod vilajetinˈde ʃebekiˈno rɑjonɯnˈdɑ ˈbir huˈtor . eɑlisiˈniŋ sɑjɯˈsɯ jiɡirˈmi eˈki kiˈʃi .
Pokrovka — Başqırtistannıñ Qırmısqalı rayonında bir köy.	pokrowˈkɑ bɑʃqɯrtistɑˈnːɯŋ qɯrmɯsqɑˈlɯ rɑjonɯnˈdɑ ˈbir ˈkøj .
İvanava (, , ) - Belarusta, Brest vilâyetinde bir şeer. İvanava rayonınıñ merkezi. Ealisiniñ sayısı 16 272 kişi.	ivɑnɑˈvɑ , belɑrusˈtɑ , bˈrest vilajetinˈde ˈbir ˈʃeːr . ivɑnɑˈvɑ rɑjonɯˈnɯŋ merkeˈzi . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ɑlˈtɯ ˈbiŋ eˈki ˈjyz jetˈmiʃ eˈki kiˈʃi .
Keyfiyetli kitap, mecmua ve sanat mahsulatları çıqarmaq içün borlı kâğıt çıqarıla. Borlı kâğıtnıñ tegizligi ve beyazlığına kâğıt üstüne bariy öksidi mineral suspenziyasını qoymaq yardımınen irişeler. Yüz qatlamını sürtken soñ, kâğıtnı qurutalar, soñra super taqvimlerde taqvim eteler.	kejfijetˈli kiˈtɑp , med͡ʒmuˈɑ ˈve sɑˈnɑt mɑhsulɑtlɑˈrɯ t͡ʃɯqɑrˈmɑq iˈt͡ʃyn borˈlɯ kaˈɣɯt t͡ʃɯqɑrɯˈlɑ . borˈlɯ kaɣɯtˈnɯŋ teɡizliˈɡi ˈve bejɑzlɯɣɯˈnɑ kaˈɣɯt ystyˈne bɑˈrij øksiˈdi mineˈrɑl suspenzijɑsɯˈnɯ qojˈmɑq jɑrdɯmɯˈnen iriʃeˈler . ˈjyz qɑtlɑmɯˈnɯ syrtˈken ˈsoŋ , kaɣɯtˈnɯ qurutɑˈlɑr , soŋˈrɑ suˈper tɑqvimlerˈde tɑqˈvim eteˈler .
Ğoverla () — Karpat dağlarındaki bir dağ, Ukrainanıñ eñ yüksek dağı. Yüksekligi deñiz seviyesinden 2060,8 metrdir.	ɣoverˈlɑ kɑrˈpɑt dɑɣlɑrɯndɑˈki ˈbir ˈdɑɣ , ukrɑinɑˈnɯŋ ˈeŋ jykˈsek dɑˈɣɯ . jyksekliˈɡi deˈŋiz sevijesinˈden eˈki ˈbiŋ ɑltˈmɯʃ seˈkiz metrˈdir .
ana-ülkeden koloniyanı doğrudan-doğru nezaret etmek yolunen;	ɑˈnɑ ylkeˈden kolonijɑˈnɯ doɣruˈdɑn doɣˈru nezɑˈret etˈmek joluˈnen ,
Tipologik ceetten fonema nevbetleşüvleriniñ bir qaç çeşitini ayırmaq mümkün:	tipoloˈɡik d͡ʒeːˈtːen foneˈmɑ newbetleʃywleriˈniŋ ˈbir ˈqɑt͡ʃ t͡ʃeʃitiˈni ɑjɯrˈmɑq mymˈkyn ,
2024 senesi mayıs 18-de, Qırım halqı genotsidi qurbanlarınıñ hatırası kününe bina, qırımtatarlarnıñ Qırımdan sürgün etilmesiniñ 80-inci yıllığına bağışlanğan hatıra tedbirini teşkil etti. Hususan, 1944 senesi sürgünlikke bağışlanğan plakatlar sergi etildi .	eˈki ˈbiŋ jiɡirˈmi ˈdørt seneˈsi mɑˈjɯs ˈon seˈkiz ˈde , qɯˈrɯm hɑlˈqɯ ɡenotsiˈdi qurbɑnlɑrɯˈnɯŋ hɑtɯrɑˈsɯ kynyˈne biˈnɑ , qɯrɯmtɑtɑrlɑrˈnɯŋ qɯrɯmˈdɑn syrˈɡyn etilmesiˈniŋ sekˈsen inˈd͡ʒi jɯlːɯɣɯˈnɑ bɑɣɯʃlɑnˈɣɑn hɑtɯˈrɑ tedbiriˈni teʃˈkil eˈtːi . husuˈsɑn , ˈbiŋ doˈquz ˈjyz ˈqɯrq ˈdørt seneˈsi syrɡynliˈkːe bɑɣɯʃlɑnˈɣɑn plɑkɑtˈlɑr serˈɡi etilˈdi .
Kelin eki esas qısımdan ibaret: gövde ve arqası boyunca teller uzanğan grif. Tam bir kemerniñ ölçüsi 60 sm, ağırlığı 300 — 400 gramm.	keˈlin eˈki eˈsɑs qɯsɯmˈdɑn ibɑˈret , ɡøwˈde ˈve ɑrqɑˈsɯ bojunˈd͡ʒɑ teˈlːer uzɑnˈɣɑn ɡˈrif . ˈtɑm ˈbir kemerˈniŋ ølt͡ʃyˈsi ɑltˈmɯʃ sɑntiˈmetr , ɑɣɯrlɯˈɣɯ ˈyt͡ʃ ˈjyz , ˈdørt ˈjyz ɡˈrɑmː .
1491 — Jak Kartye, breton asıllı frenk deñiz seyaatçısı.	ˈbiŋ ˈdørt ˈjyz doqˈsɑn ˈbir ˈʒɑk kɑrtˈje , breˈton ɑsɯˈlːɯ fˈrenk deˈŋiz sejɑːtt͡ʃɯˈsɯ .
Ukraina Yuqarı Şurası halqara teşkilâtlarnı ve ecnebiy devletlerni “Qırım platforması” çerçivesinde sammit künü çıqarılğan qararğa qoşulıp işbirlikni pekitmege çağırdı.	ukrɑiˈnɑ juqɑˈrɯ ʃurɑˈsɯ hɑlqɑˈrɑ teʃkilatlɑrˈnɯ ˈve ed͡ʒneˈbij dewletlerˈni qɯˈrɯm plɑtformɑˈsɯ t͡ʃert͡ʃivesinˈde sɑˈmːit kyˈny t͡ʃɯqɑrɯlˈɣɑn qɑrɑrˈɣɑ qoʃuˈlɯp iʃbirlikˈni pekitmeˈɡe t͡ʃɑɣɯrˈdɯ .
Znamyanka () — Ukrainanıñ Jıtomır vilâyetinde Horoşiv rayonında bir köy. Ealisiniñ sayısı 190 kişi.	znɑmjɑnˈkɑ ukrɑinɑˈnɯŋ ʒɯtoˈmɯr vilajetinˈde horoˈʃiw rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈjyz doqˈsɑn kiˈʃi .
Kiska (Bir Köy İncelemesi), Lambert Academic Publishing, 2018.	kisˈkɑ ˈbir ˈkøj ind͡ʒelemeˈsi , lɑmˈbert ɑd͡ʒɑdeˈmid͡ʒ publisˈhinɡ , eˈki ˈbiŋ ˈon seˈkiz .
Staroselye () - Rusiyeniñ Brânsk vilâyetinde Brânsk rayonında bir köy. Ealisiniñ sayısı 90 kişi.	stɑroselˈje rusijeˈniŋ bˈransk vilajetinˈde bˈransk rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ doqˈsɑn kiˈʃi .
Bordânka () - Rusiyeniñ Brânsk vilâyetinde Dubrovka rayonında bir köy. Ealisiniñ sayısı 1 kişi.	bordanˈkɑ rusijeˈniŋ bˈransk vilajetinˈde dubrowˈkɑ rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ ˈbir kiˈʃi .
Kuguçevo () - Rusiyeniñ Brânsk vilâyetinde Jirâtino rayonında bir köy. Ealisiniñ sayısı 0 kişi.	kuɡut͡ʃeˈvo rusijeˈniŋ bˈransk vilajetinˈde ʒiratiˈno rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ sɯˈfɯr kiˈʃi .
Baranovka () - Rusiyeniñ Brânsk vilâyetinde Karaçev rayonında bir köy. Ealisiniñ sayısı 23 kişi.	bɑrɑnowˈkɑ rusijeˈniŋ bˈransk vilajetinˈde kɑrɑˈt͡ʃew rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ jiɡirˈmi ˈyt͡ʃ kiˈʃi .
Pestrakovka () - Rusiyeniñ Brânsk vilâyetinde Kletnâ rayonında bir köy. Ealisiniñ sayısı 0 kişi.	pestrɑkowˈkɑ rusijeˈniŋ bˈransk vilajetinˈde kletˈna rɑjonɯnˈdɑ ˈbir ˈkøj . eɑlisiˈniŋ sɑjɯˈsɯ sɯˈfɯr kiˈʃi .
1958 senesi Qırımğa köçti. Aqmeçit rayonında ocalıq yapa edi. 1966 senesi Çukotkağa köçti, anda 21 yıl devamında yaşay edi. Anda da oca olıp calışa edi; topraqşınaslar, nebatiyatçılar ve yerşınaslarnıñ ekspeditsiyalarında iştirak ete edi, ve «masa içine» olsa da, yazmağa devam ete edi.	ˈbiŋ doˈquz ˈjyz eˈlːi seˈkiz seneˈsi qɯrɯmˈɣɑ køt͡ʃˈti . ɑqmeˈt͡ʃit rɑjonɯnˈdɑ od͡ʒɑˈlɯq jɑˈpɑ eˈdi . ˈbiŋ doˈquz ˈjyz ɑltˈmɯʃ ɑlˈtɯ seneˈsi t͡ʃukotkɑˈɣɑ køt͡ʃˈti , ɑnˈdɑ jiɡirˈmi ˈbir ˈjɯl devɑmɯnˈdɑ jɑˈʃɑj eˈdi . ɑnˈdɑ ˈdɑ oˈd͡ʒɑ oˈlɯp d͡ʒɑlɯˈʃɑ eˈdi , toprɑqʃɯnɑsˈlɑr , nebɑtijɑtt͡ʃɯˈlɑr ˈve jerʃɯnɑslɑrˈnɯŋ ekspeditsijɑlɑrɯnˈdɑ iʃtiˈrɑk eˈte eˈdi , ˈve mɑˈsɑ it͡ʃiˈne olˈsɑ ˈdɑ , jɑzmɑˈɣɑ deˈvɑm eˈte eˈdi .
Caminiñ binası salmaqlıdır. Onıñ ast qısmını bir sıra süyrü uclu kemerler , divarlarını ise mayolika elementleri yaraştıra.	d͡ʒɑmiˈniŋ binɑˈsɯ sɑlmɑqlɯˈdɯr . oˈnɯŋ ˈɑst qɯsmɯˈnɯ ˈbir sɯˈrɑ syjˈry ud͡ʒˈlu kemerˈler , divɑrlɑrɯˈnɯ iˈse mɑjoliˈkɑ elementleˈri jɑrɑʃtɯˈrɑ .
