The Latin Library, Suetoni Tranquilli vita Divi Augusti	ˈtʰɛ ˈɫatɪn ˈlɪbrary , suˈɛtɔnɪ traŋˈkʷɪllɪ ˈwɪta ˈdɪwɪ au̯ˈɡʊstɪ
1753: Arnoldus Josephus van Buggenhoudt, J. U. doctor et antecessor, XIV.	ˈmiːllɛ sɛptɪŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈtreːs , arˈnɔɫdʊs ˈjɔsɛpʰʊs ˈwan bʊɡˈɡɛnhoʊdt , j . ˈʊ . ˈdɔktɔr ˈɛt antɛˈkɛssɔr , kʷattuˈɔrdɛkĩː .
est commune 717 incolarum (anno 2023) praefecturae Landarum in Franciae occidentalis regione Nova Aquitania.	ˈɛst ˈkɔmmʊnɛ sɛptɪŋˈɡɛntiː sɛpˈtɛndɛkĩː ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia wiːˈɡɪntiː ˈtreːs prae̯ˈfɛktʊrae̯ ˈɫandarũː ˈɪn ˈfraŋkiae̯ ɔkkɪˈdɛntalɪs rɛˈɡiɔnɛ ˈnɔwa akʷɪˈtania .
Rerum orbitalium ratio epochae constitit. Qua epocha 3571 per dies circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum et eccentricitatem , distans igitur a sole quam minime unitatibus , quam maxime unitatibus . Inclinatio orbitalis &deg; reperiebatur, anomalia media &deg;.	ˈrɛrũː ɔrbɪˈtaliũː ˈratiɔ ˈɛpɔkʰae̯ ˈkõːstɪtɪt . ˈkʷa ˈɛpɔkʰa ˈtria ˈmiːlia kʷiːŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈuːnʊs ˈpɛr ˈdiɛs ˈkɪrka ˈsɔɫẽː mɔˈwɛbatʊr . ˈaksẽː ɔrˈbɪtaɫẽː ˈhabɛbat ʊˈnɪtatũː astrɔnɔˈmɪkarũː ˈɛt ɛkkɛntrɪˈkɪtatẽː , ˈdɪstãːs ˈɪɡɪtʊr ˈa ˈsɔɫɛ ˈkʷãː ˈmɪnɪmɛ ʊnɪˈtatɪbʊs , ˈkʷãː ˈmaksɪmɛ ʊnɪˈtatɪbʊs . ɪŋklɪˈnatiɔ ɔrˈbɪtalɪs rɛpɛriˈɛbatʊr , anɔˈmalia ˈmɛdia .
5004 , olim designationibus 1988 RR3, 1978 RF5, et 1990 FW2 agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam monstrat. Die a Freimut Börngen, astronomo apud Observatorium Karl Schwarzschild versato, repertus est.	ˈkʷiːŋkʷɛ ˈmiːlia ˈkʷattuɔr , ˈɔlĩː dɛsɪŋnatiˈɔnɪbʊs ˈmiːllɛ noːŋˈɡɛntiː duɔdeːnoːnaːˈɡɪntaː rr ˈtreːs , ˈmiːllɛ noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː rf ˈkʷiːŋkʷɛ , ˈɛt ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː fw ˈduɔ ˈaŋnɪtʊs , ˈɛst astɛˈroɪdɛs sysˈtɛmatɪs ˈsɔɫarɪs ˈnɔstrɪ , astɛroˈɪdɪbʊs ˈkɪŋɡʊlɪ prɪŋˈkɪpalɪs atˈtrɪbʊtʊs . asˈtrɔnɔmɪs tɛrˈrɛstrɪbʊs maŋnɪˈtʊdɪnẽː apˈsɔɫʊtãː ˈmõːstrat . ˈdiɛ ˈa ˈfreɪmʊt ˈborŋɡɛn , asˈtrɔnɔmɔ ˈapʊd ɔpsɛrwaˈtɔriũː ˈkarɫ skʰˈwarzskʰɪɫd ˈwɛrsatɔ , rɛˈpɛrtʊs ˈɛst .
6795 , olim designationibus 1993 FZ12 et 9561 P-L agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam monstrat. Die auspiciis programmatis exploratorii UESAC Observatorii La Silla repertus est.	ˈsɛks ˈmiːlia sɛptɪŋˈɡɛntiː noːnaːˈɡɪntaː ˈkʷiːŋkʷɛ , ˈɔlĩː dɛsɪŋnatiˈɔnɪbʊs ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈtreːs fz duˈɔdɛkĩː ˈɛt ˈnɔwẽː ˈmiːlia kʷiːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈuːnʊs p ɫ ˈaŋnɪtʊs , ˈɛst astɛˈroɪdɛs sysˈtɛmatɪs ˈsɔɫarɪs ˈnɔstrɪ , astɛroˈɪdɪbʊs ˈkɪŋɡʊlɪ prɪŋˈkɪpalɪs atˈtrɪbʊtʊs . asˈtrɔnɔmɪs tɛrˈrɛstrɪbʊs maŋnɪˈtʊdɪnẽː apˈsɔɫʊtãː ˈmõːstrat . ˈdiɛ au̯sˈpɪkiɪs prɔˈɡrammatɪs ɛkspɫɔraˈtɔriɪ ˈuɛsak ɔpsɛrwaˈtɔriɪ ˈɫa ˈsɪlla rɛˈpɛrtʊs ˈɛst .
8867 , olim designationibus 1992 BF4 et 1978 EM10 agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam monstrat. Die auspiciis programmatis exploratorii Spacewatch Observatorii Nationalis Kitt Peak repertus est.	ˈɔktoː ˈmiːlia ɔktɪŋˈɡɛntiː sɛksaːˈɡɪntaː ˈsɛptẽː , ˈɔlĩː dɛsɪŋnatiˈɔnɪbʊs ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈduɔ bf ˈkʷattuɔr ˈɛt ˈmiːllɛ noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː ˈẽː ˈdɛkẽː ˈaŋnɪtʊs , ˈɛst astɛˈroɪdɛs sysˈtɛmatɪs ˈsɔɫarɪs ˈnɔstrɪ , astɛroˈɪdɪbʊs ˈkɪŋɡʊlɪ prɪŋˈkɪpalɪs atˈtrɪbʊtʊs . asˈtrɔnɔmɪs tɛrˈrɛstrɪbʊs maŋnɪˈtʊdɪnẽː apˈsɔɫʊtãː ˈmõːstrat . ˈdiɛ au̯sˈpɪkiɪs prɔˈɡrammatɪs ɛkspɫɔraˈtɔriɪ sˈpakɛwatkʰ ɔpsɛrwaˈtɔriɪ natiˈɔnalɪs ˈkɪtt ˈpeak rɛˈpɛrtʊs ˈɛst .
Giuseppe Montalenti, Federico Cesi e l’Accademia dei Lincei. Neapoli, 2006	ɡiʊˈsɛppɛ mɔntaˈɫɛntɪ , fɛˈdɛrɪkɔ ˈkɛsɪ ˈɛ ɫ akkaˈdɛmia ˈdeɪ ˈlɪŋkeɪ . neˈapɔlɪ , ˈduɔ ˈmiːlia ˈsɛks
Fanum Sancti Possidonii (olim Garfaniana),	ˈfanũː ˈsaŋktɪ pɔssɪˈdɔniɪ ˈɔlĩː ɡarfaˈniana ,
Bellus Mons ad Tramonaecum: municipium Franciae.	ˈbɛllʊs ˈmõːs ˈad tramɔˈnae̯kũː , mʊnɪˈkɪpiũː ˈfraŋkiae̯ .
Sadovy, Y. J. Ecological Issues and the Trades in Live Reef Fishes, Part 1	ˈsadɔwy , ˈy . j . ɛkɔˈɫɔɡɪkaɫ ˈɪssuɛs ˈand ˈtʰɛ ˈtradɛs ˈɪn ˈlɪwɛ ˈreɛf ˈfɪshɛs , ˈpart ˈuːnʊs
Gotofredus ab Estissaco (mortuus 1542), episcopus Malleacensis, patronus Francisci Rabelaesi qui ipse Malleaci in abbatia S. Michaelis anno circiter 1525 degebat	ɡɔˈtɔfrɛdʊs ˈab ɛsˈtɪssakɔ ˈmɔrtuʊs ˈmiːllɛ kʷiːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈduɔ , ɛˈpɪskɔpʊs malleaˈkẽːsɪs , ˈpatrɔnʊs fraŋˈkɪskɪ rabɛˈɫae̯sɪ ˈkʷɪ ˈɪpsɛ malˈleakɪ ˈɪn abˈbatia s . mɪˈkʰae̯lɪs ˈannɔ ˈkɪrkɪtɛr ˈmiːllɛ kʷiːŋˈɡɛntiː wiːˈɡɪntiː ˈkʷiːŋkʷɛ ˈdɛɡɛbat
Marie-Thérèse Weber-Gobet, CSP, Freiburg	ˈmariɛ ˈtʰɛrɛsɛ ˈwɛbɛr ˈɡɔbɛt , ksp , ˈfreɪbʊrɡ
Rennebu est Norvegiae commune 2544 incolarum (anno 2012) in provincia Sør-Trøndelag .	ˈrɛnnɛbʊ ˈɛst nɔrˈwɛɡiae̯ ˈkɔmmʊnɛ ˈduɔ ˈmiːlia kʷiːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈkʷattuɔr ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia duˈɔdɛkĩː ˈɪn prɔˈwɪŋkia ˈsɔr ˈtrɔndɛɫaɡ .
Grassineau, James. 1740. A Musical Dictionary. Londinii: J. Wilcox.	ɡrasˈsɪneau̯ , ˈjamɛs . ˈmiːllɛ sɛptɪŋˈɡɛntiː kʷadraːˈɡɪntaː . ˈa ˈmʊsɪkaɫ dɪktiˈɔnary . ɫɔnˈdɪniɪ , j . ˈwɪɫkɔks .
Campus Votus est commune Francicum 302 incolarum (anno 2009) praefecturae Niveris in regione orientali Burgundia.	ˈkampʊs ˈwɔtʊs ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː trɛˈkɛntiː ˈduɔ ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈnɔwẽː prae̯ˈfɛktʊrae̯ ˈnɪwɛrɪs ˈɪn rɛˈɡiɔnɛ ɔriˈɛntalɪ bʊrˈɡʊndia .
Zygaena minos ([Denis & Schiffermüller], 1775)	zyˈɡae̯na ˈmɪnɔs ˈdɛnɪs skʰɪffɛrˈmullɛr , ˈmiːllɛ sɛptɪŋˈɡɛntiː sɛptuaːˈɡɪntaː ˈkʷiːŋkʷɛ
1939 Thomas Mar Dioskoros Ottathaikal, episcopus sic dictorum "Christianorum meridianorum" patriarchatus Antiocheni († 1943).	ˈmiːllɛ noːŋˈɡɛntiː uːndeːkʷadraːˈɡɪntaː ˈtʰɔmas ˈmar diˈɔskɔrɔs ɔttaˈtʰaɪkaɫ , ɛˈpɪskɔpʊs ˈsɪk ˈdɪktɔrũː kʰrɪstiˈanɔrũː mɛrɪdiˈanɔrũː patriˈarkʰatʊs antiˈɔkʰɛnɪ ˈmiːllɛ noːŋˈɡɛntiː kʷadraːˈɡɪntaː ˈtreːs .
Ornipholidotos kivu Collins & Larsen, 2000	ɔrnɪpʰɔˈlɪdɔtɔs ˈkɪwʊ ˈkɔllĩːs ˈɫarsɛn , ˈduɔ ˈmiːlia
Bagneux est commune Francicum 155 incolarum (anno 2010) praefecturae Murtae et Mosellae in provincia orientali Lotharingia.	ˈbaŋneʊks ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː ˈkɛntũː kʷiːŋkʷaːˈɡɪntaː ˈkʷiːŋkʷɛ ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈdɛkẽː prae̯ˈfɛktʊrae̯ ˈmʊrtae̯ ˈɛt mɔˈsɛllae̯ ˈɪn prɔˈwɪŋkia ɔriˈɛntalɪ ɫɔtʰaˈrɪŋɡia .
Tantonville est commune Francicum 658 incolarum (anno 2011) praefecturae Murtae et Mosellae in provincia orientali Lotharingia.	tantɔnˈwɪllɛ ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː sɛsˈkɛntiː duɔdeːsɛksaːˈɡɪntaː ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈuːndɛkĩː prae̯ˈfɛktʊrae̯ ˈmʊrtae̯ ˈɛt mɔˈsɛllae̯ ˈɪn prɔˈwɪŋkia ɔriˈɛntalɪ ɫɔtʰaˈrɪŋɡia .
Richard Bett, "Immortality and the Nature of the Soul in the "Phaedrus"", Phronesis, 1986: 1-26	ˈrɪkʰard ˈbɛtt , ɪmmɔrˈtalɪty ˈand ˈtʰɛ ˈnatʊrɛ ˈɔf ˈtʰɛ ˈsoʊɫ ˈɪn ˈtʰɛ ˈpʰae̯drʊs , ˈpʰrɔnɛsɪs , ˈmiːllɛ noːŋˈɡɛntiː ɔktoːˈɡɪntaː ˈsɛks , ˈuːnʊs , wiːˈɡɪntiː ˈsɛks
Belvederium (Marchia Anconitana) seu Bellumviderium (Marchia Anconitana) (alia nomina: Belvederium Ostrensium, Bellumviderium Ostrensium):	bɛɫwɛˈdɛriũː ˈmarkʰia aŋkɔˈnɪtana ˈseʊ bɛllʊmwɪˈdɛriũː ˈmarkʰia aŋkɔˈnɪtana ˈalia ˈnɔmɪna , bɛɫwɛˈdɛriũː ɔsˈtrẽːsiũː , bɛllʊmwɪˈdɛriũː ɔsˈtrẽːsiũː ,
Verunum (Italiane: Veruno) est vicus Italiae et fractio municipalis municipii Gatici-Veruni. Incolae Verunenses appellantur.	ˈwɛrʊnũː ɪtaˈlianɛ , ˈwɛrʊnɔ ˈɛst ˈwɪkʊs ɪˈtaliae̯ ˈɛt ˈfraktiɔ mʊnɪˈkɪpalɪs mʊnɪˈkɪpiɪ ˈɡatɪkɪ ˈwɛrʊnɪ . ˈɪŋkɔɫae̯ wɛrʊˈnẽːsɛs appɛlˈlantʊr .
Anno 2021 lemma fuit "Melior revalescere pro mundo iusto et durabili".	ˈannɔ ˈduɔ ˈmiːlia wiːˈɡɪntiː ˈuːnʊs ˈɫɛmma ˈfuɪt ˈmɛliɔr rɛwaˈɫɛskɛrɛ ˈprɔ ˈmʊndɔ ˈjʊstɔ ˈɛt dʊˈrabɪlɪ .
Remseckium (urbs) (Theodisce Remseck am Neckar)	rẽːˈsɛkkiũː ˈʊrps tʰeɔˈdɪskɛ ˈrẽːsɛkk ˈãː ˈnɛkkar
Ford, Thomas W. 1966. Heaven Beguiles the Tired: Death in the Poetry of Emily Dickinson. University of Alabama Press.	ˈfɔrd , ˈtʰɔmas w . ˈmiːllɛ noːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈsɛks . ˈheawɛn bɛˈɡuɪɫɛs ˈtʰɛ ˈtɪrɛd , ˈdeatʰ ˈɪn ˈtʰɛ ˈpoe̯try ˈɔf ˈɛmɪly dɪkˈkĩːsɔn . ʊnɪˈwɛrsɪty ˈɔf aˈɫabama ˈprɛss .
Patrick E. McGovern, Ancient Wine: The Search for the Origins of Viniculture. Princetoniae: Princeton University Press, 2003. ISBN 0-691-07080-6	ˈpatrɪkk ˈɛ . mkˈɡɔwɛrn , ˈaŋkiɛnt ˈwɪnɛ , ˈtʰɛ ˈsearkʰ ˈfɔr ˈtʰɛ ˈɔrɪɡĩːs ˈɔf wɪnɪˈkʊɫtʊrɛ . prɪŋkɛˈtɔniae̯ , ˈprɪŋkɛtɔn ʊnɪˈwɛrsɪty ˈprɛss , ˈduɔ ˈmiːlia ˈtreːs . ˈɪsbn ˈnɪhɪɫ sɛsˈkɛntiː noːnaːˈɡɪntaː ˈuːnʊs ˈsɛptẽː ˈmiːlia ɔktoːˈɡɪntaː ˈsɛks
1961: The Newly Fallen, Novi Eboraci: Totem Press.	ˈmiːllɛ noːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈuːnʊs , ˈtʰɛ ˈnɛwly ˈfallɛn , ˈnɔwɪ ɛˈbɔrakɪ , ˈtɔtẽː ˈprɛss .
La Chapelle est commune Francicum 206 incolarum (anno 2010) praefecturae Carantoni in regione occidentali Pictaviensis et Carantonis.	ˈɫa kʰaˈpɛllɛ ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː dʊˈkɛntiː ˈsɛks ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈdɛkẽː prae̯ˈfɛktʊrae̯ kaˈrantɔnɪ ˈɪn rɛˈɡiɔnɛ ɔkkɪˈdɛntalɪ pɪktawiˈẽːsɪs ˈɛt kaˈrantɔnɪs .
Laurentius Semple Iunior (natus die 27 Martii 1923; mortuus die 28 Martii 2014) fuit scriptor praecipue mythistoriarum pro pelliculis scriptor Americanus.	ɫau̯ˈrɛntiʊs ˈsɛmpɫɛ ˈjʊniɔr ˈnatʊs ˈdiɛ wiːˈɡɪntiː ˈsɛptẽː ˈmartiɪ ˈmiːllɛ noːŋˈɡɛntiː wiːˈɡɪntiː ˈtreːs , ˈmɔrtuʊs ˈdiɛ duɔdeːtriːˈɡɪntaː ˈmartiɪ ˈduɔ ˈmiːlia kʷattuˈɔrdɛkĩː ˈfuɪt sˈkrɪptɔr prae̯ˈkɪpuɛ mytʰɪstɔˈriarũː ˈprɔ pɛlˈlɪkʊlɪs sˈkrɪptɔr amɛˈrɪkanʊs .
Michelson, Truman. 1915. Rejoinder [ad Eduardum Sapir. American Anthropologist 17:4–8.	mɪˈkʰɛɫsɔn , ˈtrʊman . ˈmiːllɛ noːŋˈɡɛntiː ˈkʷiːndɛkĩː . rɛjjoˈɪndɛr ˈad ɛduˈardũː ˈsapɪr . aˈmɛrɪkan antʰrɔˈpɔɫɔɡɪst sɛpˈtɛndɛkĩː , ˈkʷattuɔr , ˈɔktoː .
Rabensteinium/Flaminga (Theodisce Rabenstein/Fläming)	rabẽːsteˈɪniũː fɫaˈmɪŋɡa tʰeɔˈdɪskɛ raˈbẽːsteɪn ˈfɫamɪŋɡ
Les Pontets est commune Francicum 123 incolarum (anno 2011) praefecturae Dubis in regione Libero Comitatu.	ˈɫɛs ˈpɔntɛts ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː ˈkɛntũː wiːˈɡɪntiː ˈtreːs ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈuːndɛkĩː prae̯ˈfɛktʊrae̯ ˈdʊbɪs ˈɪn rɛˈɡiɔnɛ ˈlɪbɛrɔ kɔˈmɪtatʊ .
Boissey-le-Châtel est commune Francicum 885 incolarum (anno 2011) praefecturae Eburae in regione boreali Normannia Superiore.	boˈɪssey ˈɫɛ ˈkʰatɛɫ ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː ɔktɪŋˈɡɛntiː ɔktoːˈɡɪntaː ˈkʷiːŋkʷɛ ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈuːndɛkĩː prae̯ˈfɛktʊrae̯ ˈɛbʊrae̯ ˈɪn rɛˈɡiɔnɛ bɔˈrealɪ nɔrˈmannia sʊpɛˈriɔrɛ .
Vieux-Port est commune Francicum 56 incolarum (anno 2011) praefecturae Eburae in regione boreali Normannia Superiore.	ˈwieʊks ˈpɔrt ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː kʷiːŋkʷaːˈɡɪntaː ˈsɛks ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia ˈuːndɛkĩː prae̯ˈfɛktʊrae̯ ˈɛbʊrae̯ ˈɪn rɛˈɡiɔnɛ bɔˈrealɪ nɔrˈmannia sʊpɛˈriɔrɛ .
Chris Elliott, "Architect of Cambridge’s Lion Yard, Sir Philip Dowson, dies aged 90" in Cambridge News (29 Augusti 2014)	ˈkʰrɪs ˈɛlliɔtt , ˈarkʰɪtɛkt ˈɔf kamˈbrɪdɡɛ s ˈliɔn ˈyard , ˈsɪr ˈpʰɪlɪp ˈdɔwsɔn , ˈdiɛs ˈaɡɛd noːnaːˈɡɪntaː ˈɪn kamˈbrɪdɡɛ ˈnɛws uːndeːtriːˈɡɪntaː au̯ˈɡʊstɪ ˈduɔ ˈmiːlia kʷattuˈɔrdɛkĩː
Vallis Morea (vallis) (alia nomina: Vallis Moreta (vallis)): Vallis Italiae.	ˈwallɪs ˈmɔrea ˈwallɪs ˈalia ˈnɔmɪna , ˈwallɪs ˈmɔrɛta ˈwallɪs , ˈwallɪs ɪˈtaliae̯ .
"Leading Peace Organizations in the United States," www.startguide.org	ˈɫeadɪŋɡ ˈpeakɛ ɔrɡanɪzˈzatiõːs ˈɪn ˈtʰɛ ˈʊnɪtɛd sˈtatɛs , www . startˈɡuɪdɛ . ˈɔrɡ
Elegiac Feelings American (1970, poemata)	ɛˈɫɛɡiak ˈfeɛlɪŋɡs aˈmɛrɪkan ˈmiːllɛ noːŋˈɡɛntiː sɛptuaːˈɡɪntaː , ˈpoe̯mata
De Auffreville-Brasseuil apud cassini.ehess.fr	ˈdɛ au̯ffrɛˈwɪllɛ brasˈseuɪɫ ˈapʊd ˈkassɪnɪ . ˈɛhɛss . fr
Saint-Martin-de-Sescas (Gasconice Sent Martin de Sescàs) est commune Francicum 569 incolarum (anno 2012) praefecturae Girundiae in regione occidentali Aquitania (a die 1 Ianuarii 2016 Aquitania Lemovicensi Pictaviensi et Carantonis).	ˈsaɪnt ˈmartɪn ˈdɛ ˈsɛskas ɡasˈkɔnɪkɛ ˈsɛnt ˈmartɪn ˈdɛ ˈsɛskas ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː kʷiːŋˈɡɛntiː uːndeːsɛptuaːˈɡɪntaː ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia duˈɔdɛkĩː prae̯ˈfɛktʊrae̯ ɡɪˈrʊndiae̯ ˈɪn rɛˈɡiɔnɛ ɔkkɪˈdɛntalɪ akʷɪˈtania ˈa ˈdiɛ ˈuːnʊs januˈariɪ ˈduɔ ˈmiːlia ˈseːdɛkĩː akʷɪˈtania ɫɛmɔwɪˈkẽːsɪ pɪktawiˈẽːsɪ ˈɛt kaˈrantɔnɪs .
Civens est commune Francicum 1'373 incolarum (anno 2012) praefecturae Ligeris in regione orientali Rhodano et Alpibus (a die 1 Ianuarii 2016 Arvernia Rhodano et Alpibus).	ˈkɪwẽːs ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː ˈuːnʊs trɛˈkɛntiː sɛptuaːˈɡɪntaː ˈtreːs ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia duˈɔdɛkĩː prae̯ˈfɛktʊrae̯ ˈlɪɡɛrɪs ˈɪn rɛˈɡiɔnɛ ɔriˈɛntalɪ ˈrʰɔdanɔ ˈɛt ˈaɫpɪbʊs ˈa ˈdiɛ ˈuːnʊs januˈariɪ ˈduɔ ˈmiːlia ˈseːdɛkĩː arˈwɛrnia ˈrʰɔdanɔ ˈɛt ˈaɫpɪbʊs .
Combres-sous-les-Côtes est commune Francicum 117 incolarum (anno 2012) praefecturae Mosa in regione orientali Lotharingia (a die 1 Ianuarii 2016 Alsatia Campania Arduenna et Lotharingia).	ˈkɔmbrɛs ˈsoʊs ˈɫɛs ˈkɔtɛs ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː ˈkɛntũː sɛpˈtɛndɛkĩː ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia duˈɔdɛkĩː prae̯ˈfɛktʊrae̯ ˈmɔsa ˈɪn rɛˈɡiɔnɛ ɔriˈɛntalɪ ɫɔtʰaˈrɪŋɡia ˈa ˈdiɛ ˈuːnʊs januˈariɪ ˈduɔ ˈmiːlia ˈseːdɛkĩː aɫˈsatia kamˈpania arduˈɛnna ˈɛt ɫɔtʰaˈrɪŋɡia .
Anno ante in certaminibus mundanis ludorum campestrium in Daegu Coreae medianae habitis Blake nomisma aureum ex certamine 100 metrorum reportavit; quod quidem sine dubio partim eo fiebat, quod Usain Bolt, quia praemature currere inceperit, repudiaretur.	ˈannɔ ˈantɛ ˈɪn kɛrtaˈmɪnɪbʊs ˈmʊndanɪs ˈɫʊdɔrũː kamˈpɛstriũː ˈɪn ˈdae̯ɡʊ ˈkɔreae̯ mɛˈdianae̯ ˈhabɪtɪs ˈbɫakɛ nɔˈmɪsma ˈau̯reũː ˈɛks kɛrˈtamɪnɛ ˈkɛntũː ˈmɛtrɔrũː rɛˈpɔrtawɪt , ˈkʷɔd ˈkʷɪdẽː ˈsɪnɛ ˈdʊbiɔ ˈpartĩː ˈeɔ ˈfiɛbat , ˈkʷɔd ˈʊsaɪn ˈbɔɫt , kʷˈja prae̯ˈmatʊrɛ ˈkʊrrɛrɛ ɪŋˈkɛpɛrɪt , rɛpʊdiˈarɛtʊr .
Bryonia: S. S. Renner, J. Scarborough, H. Schaefer, H. S. Paris, J. Janick, "Dioscorides’ bruonia melaina is Bryonia alba, not Tamus communis and an illustration labelled bruonia melaina in the Codex Vindobonensis is Humulus lupulus not Bryonia dioica" in M. Pitrat, ed., Cucurbitaceae 2008: IXth Meeting on Genetics and Breeding of Cucurbitacea (Avenione: INRA, 2008) pp. 273-280	bryˈɔnia , s . s . ˈrɛnnɛr , j . skarˈbɔroʊɡh , h . sˈkʰae̯fɛr , h . s . ˈparɪs , j . ˈjanɪkk , diɔsˈkɔrɪdɛs bruˈɔnia mɛˈɫaɪna ˈɪs bryˈɔnia ˈaɫba , ˈnɔt ˈtamʊs ˈkɔmmʊnɪs ˈand ˈan ɪllʊsˈtratiɔn ɫaˈbɛllɛd bruˈɔnia mɛˈɫaɪna ˈɪn ˈtʰɛ ˈkɔdɛks wɪndɔbɔˈnẽːsɪs ˈɪs ˈhʊmʊɫʊs ˈɫʊpʊɫʊs ˈnɔt bryˈɔnia diˈoɪka ˈɪn m . ˈpɪtrat , ˈɛd , kʊkʊrbɪˈtakeae̯ ˈduɔ ˈmiːlia ˈɔktoː , ˈɪkstʰ ˈmeɛtɪŋɡ ˈɔn ˈɡɛnɛtɪks ˈand ˈbreɛdɪŋɡ ˈɔf kʊkʊrbɪˈtakea awɛˈniɔnɛ , ˈɪnra , ˈduɔ ˈmiːlia ˈɔktoː pp . dʊˈkɛntiː sɛptuaːˈɡɪntaː ˈtreːs , dʊˈkɛntiː ɔktoːˈɡɪntaː
1850. De affixis personalibus linguarum altaicarum dissertatio, Matthias Castrén	ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː . ˈdɛ afˈfɪksɪs pɛrsɔˈnalɪbʊs ˈlɪŋɡʷarũː aɫtaˈɪkarũː dɪssɛrˈtatiɔ , ˈmattʰias ˈkastrɛn
Lisa Voigt, "Naufrágio, cativeiro, e relações ibéricas – a História trágico-marítima num contexto comparativo" in Varia historia vol.24 (2008)	ˈlɪsa ˈwoɪɡt , nau̯ˈfraɡiɔ , katɪˈweɪrɔ , ˈɛ ˈrɛɫakoe̯s ɪˈbɛrɪkas ˈa hɪsˈtɔria ˈtraɡɪkɔ maˈrɪtɪma ˈnũː kɔnˈtɛkstɔ kɔmpaˈratɪwɔ ˈɪn ˈwaria hɪsˈtɔria ˈwɔɫ . wiːˈɡɪntiː ˈkʷattuɔr ˈduɔ ˈmiːlia ˈɔktoː
Villers-en-Arthies est commune Francicum 481 incolarum (anno 2012) praefecturae Valle Esiae in regione Insula Franciae.	ˈwɪllɛrs ˈɛn ˈartʰiɛs ˈɛst ˈkɔmmʊnɛ ˈfraŋkɪkũː kʷadrɪŋˈɡɛntiː ɔktoːˈɡɪntaː ˈuːnʊs ɪŋˈkɔɫarũː ˈannɔ ˈduɔ ˈmiːlia duˈɔdɛkĩː prae̯ˈfɛktʊrae̯ ˈwallɛ ˈɛsiae̯ ˈɪn rɛˈɡiɔnɛ ˈĩːsʊɫa ˈfraŋkiae̯ .
