Mihail G. Boiagi easti unlu di protslji gramaticeanji tu Balcanu.	mihajl ɡ . bojad͡ʒi e̯asti unlu di prot͡sʎi ɡramatit͡ʃe̯aɲi tu balkan .
Gardlu easti adãrãmintu (di scãnduri, di stizmã, di metalu, etc.) sculat di-un nicuchir deavãrliga di-un loc (avlii, gãrdinã, etc.) tra s-nu-alasã prãvdzãli i oaminjlji s-intrã i s-easã di-aclo fãrã izini.	ɡardlu e̯asti adərəmintu di skənduri , di stizmə , di metal , etk . skulat di un nikukir de̯avərliɡa di un lok avlij , ɡərdinə , etk . tra s nu alasə prəvd͡zəli i o̯amiɲʎi s intrə i s e̯asə di aklo fərə izini .
Dacia Sandero easti unã aftuchinã adratã shi vindutã di firma mucãneascã Dacia ma ditu anlu 2008.	dat͡ʃa sandero e̯asti unə aftukinə adratə ʃi vindutə di firma mukəne̯askə dat͡ʃa ma dit anlu daw ɲiʎ optu .
Traian Bãsescu (limba romãneascã:Traian Băsescu) n. 4 Brumaru 1951, Custantsa) easte prezidentlu ali Râmânii tu chirolu 2004-2014 (di 2014 easti Klaus Iohannis).	trajan bəsesku limba roməne̯askə , trajan basesku n . patru brumar unə ɲiʎi nao suti t͡sind͡zət͡s ʃi un , kustant͡sa e̯aste prezidentlu ali rɨmɨnij tu kirol daw ɲiʎ patru , daw ɲiʎ patrusprəd͡zat͡si di daw ɲiʎ patrusprəd͡zat͡si e̯asti klaws johannis .
Putoniulu (numiru atomicu 94, Pu) easti unu elementu chimicu.	putoniwlu numir atomik no̯awəd͡zət͡s ʃi patru , pu e̯asti un elementu kimik .
Trã alti sensuri, vedz shi lilici (plantã)	trə alti sensuri , ved͡z ʃi lilit͡ʃi plantə
Corblu (Corvus corax) easti unã pulji di mpradã di hromã neagrã, tsi mãcã di tuti, ma mari di gaea, cu peanili lãi sh-cu dintana shi cicioarili multu vãrtoasi.	korblu korvus koraks e̯asti unə puʎi di mpradə di hromə ne̯aɡrə , t͡si məkə di tuti , ma mari di ɡae̯a , ku pe̯anili ləj ʃ ku dintana ʃi t͡ʃit͡ʃo̯arili multu vərto̯asi .
Andrei Bagav easti autor clasic armãn, cari ari ãngrãpsitã unã carti tu cari ari adunatã ma multi poeziii shi texturi di autori diferenti, shi cum dzãtsi el, tuti atseali li adarã ti scularlji cari tu atsel chiro s-duc la sculii armãneascã.	andrej baɡav e̯asti awtor klasik armən , kari ari ənɡrəpsitə unə karti tu kari ari adunatə ma multi poeziji ʃi teksturi di awtori diferenti , ʃi kum d͡zət͡si el , tuti at͡se̯ali li adarə ti skularʎi kari tu at͡sel kiro s duk la skulij arməne̯askə .
Warning: on this time, this page is not completed already, some information here is wrong	warninɡ , on θis time , θis pad͡ʒe is not kompleted alre̯adɣ , some informatjon here is wronɡ
Gabon, gallicã: Gabon - République Gabonaise, easte un stat di Africa	ɡabon , ɡaʎikə , ɡabon republikwe ɡabonajse , e̯aste un stat di afrika
Bromulu (numiru atomicu 35, Br) easti unu elementu chimicu.	bromul numir atomik trejd͡zət͡s ʃi t͡sint͡si , br e̯asti un elementu kimik .
Leonardo da Vinci (15 Apriru 1452 – 2 Maiu 1519) fu unu geniu maxusu shi om di shtiintsã maxusu di-tu Italia, tu chirolu a renashteriljei. Elu fu bunacu la multi lucri, ma maxusu la picturã.	leonardo da vint͡ʃi t͡sisprəd͡zat͡si aprir unə ɲiʎi patru suti t͡sind͡zət͡s ʃi doj , doj maj unə ɲiʎi t͡sint͡si suti no̯awəsprəd͡zat͡si fu un d͡ʒeniw maksus ʃi om di ʃtijnt͡sə maksus di tu italja , tu kirol a renaʃteriʎej . el fu bunak la multi lukri , ma maksus la pikturə .
feamina a omlui tsi ari tricutã di ilichia di featã, ari criscutã sh-ari loatã boea-lji di-tu soni;	fe̯amina a omluj t͡si ari trikutə di ilikja di fe̯atə , ari kriskutə ʃ ari lo̯atə boe̯a ʎi di tu soni ,
Dictsionarul explicativ al limbii romãne (pi armãneascã Dictsiunarlu xiyisitu a limbãljei romãneascã) easti nai ma marili shi nai ma maxoslu dictsiunaru anyrãpsitu pi romãneashti, tipusitu trã prota oarã tu anlu 1975.	dikt͡sjonarul eksplikativ al limbij roməne pi arməne̯askə dikt͡siwnarlu ksiɣisit a limbəʎej roməne̯askə e̯asti naj ma marili ʃi naj ma maksoslu dikt͡siwnar anɣrəpsit pi roməne̯aʃti , tipusit trə prota o̯arə tu anlu unə ɲiʎi nao suti ʃaptid͡zət͡s ʃi t͡sint͡si .
Niscãntsa voru s-cunoasca naua Europa sh altsa Americhia. Easti zborlu cama multu ti atselji tsi yinu di tu Europa di Datã, tora cama multu di tu Romãnii sh di tu Vurgaria, di cara nu lã-caftã iuva tu Europã pi sinurli vizã.	niskənt͡sa vor s kuno̯aska nawa ewropa ʃ alt͡sa amerikja . e̯asti zborlu kama multu ti at͡seʎi t͡si ɣin di tu ewropa di datə , tora kama multu di tu romənij ʃ di tu vurɡarja , di kara nu lə kaftə iwva tu ewropə pi sinurli vizə .
Guinea-Bissau, portogallescã: Guiné-Bissau - Repùblica da Guiné-Bissau, easte un stat di Africa.	ɡujne̯a bissaw , portoɡaʎeskə , ɡujne bissaw republika da ɡujne bissaw , e̯aste un stat di afrika .
Anlu 1989, Tirana avea 238057 bãnãtori. Tu 2001, 352581, shi tu 2005: 374801. La numirarea di-tu soni, atsea di-tu 2013, earau 622.190 bãnãtori.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , tirana ave̯a daw suti trejd͡zət͡s ʃi optu ɲiʎ t͡sind͡zət͡s ʃi ʃapti bənətori . tu daw ɲiʎ un , trej suti t͡sind͡zət͡s ʃi daw ɲiʎ t͡sint͡si suti opd͡zət͡s ʃi un , ʃi tu daw ɲiʎ t͡sint͡si , trej suti ʃaptid͡zət͡s ʃi patru ɲiʎ optu suti un . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯araw ʃasi suti dojsprəɣinɡit͡s ɲiʎ unə sutə no̯awəd͡zət͡s bənətori .
Tu anlu 1992, cãsãbãlu avea 91497 bãnãtori sh-tu 2001: 82924. Estimarea trã anlu 2005 fu cã Iambol ari 79314 bãnãtori.	tu anlu unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj , kəsəbəl ave̯a no̯awəd͡zət͡s ʃi un ɲiʎ patru suti no̯awəd͡zət͡s ʃi ʃapti bənətori ʃ tu daw ɲiʎ un , opd͡zət͡s ʃi daw ɲiʎ nao suti patrusprəɣinɡit͡s . estimare̯a trə anlu daw ɲiʎ t͡sint͡si fu kə jambol ari ʃaptid͡zət͡s ʃi nao ɲiʎ trej suti patrusprəd͡zat͡si bənətori .
Piperlu easti unã soi di plantã tsi s-angãrlimã pri alti planti (ca unã climãtãryeaua) sh-cari fatsi yimishi njits (ca unã soi di gãrnutsã) tsi au unã anjurizmã aparti sh-un gustu tsi ardi.	piperlu e̯asti unə soj di plantə t͡si s anɡərlimə pri alti planti ka unə klimətərɣe̯awa ʃ kari fat͡si ɣimiʃi ɲit͡s ka unə soj di ɡərnut͡sə t͡si aw unə aɲurizmə aparti ʃ un ɡustu t͡si ardi .
Urecljili suntu dauãli mãdulari, di-unã parti sh-di-alantã a caplui, cu cari avdi omlu icã pravda sh-cari ari trei pãrtsã, cu-atsea di nafoarã tsi s-veadi ca unã soi di pheatu (hunii), sh-alanti dauã (di mesi sh-di nãuntrul a caplui) tsi nu s-ved.	urekʎili suntu dawəli mədulari , di unə parti ʃ di alantə a kapluj , ku kari avdi omlu ikə pravda ʃ kari ari trej pərt͡sə , ku at͡se̯a di nafo̯arə t͡si s ve̯adi ka unə soj di phe̯at hunij , ʃ alanti dawə di mesi ʃ di nəwntrul a kapluj t͡si nu s ved .
Ghearyiru (numiru atomicu 80) easti un element di chimie, cu simadilu Hg.	ɡe̯arɣir numir atomik opd͡zət͡s e̯asti un element di kimie , ku simadil hɡ .
Tu anlu 1992, cãsãbãlu avea 90549 bãnãtori sh-tu 2001: 86133. Estimarea trã anlu 2005 fu cã Pernici ari 80900 bãnãtori.	tu anlu unə ɲiʎi nao suti no̯awəd͡zət͡s ʃi doj , kəsəbəl ave̯a no̯awəd͡zət͡s ɲiʎ t͡sint͡si suti patrud͡zət͡s ʃi nao bənətori ʃ tu daw ɲiʎ un , opd͡zət͡s ʃi ʃasi ɲiʎ unə sutə trejd͡zət͡s ʃi trej . estimare̯a trə anlu daw ɲiʎ t͡sint͡si fu kə pernit͡ʃi ari opd͡zət͡s ɲiʎ nao suti bənətori .
Platina (numiru atomicu 78, Pt) easti unu elementu chimicu, unu metalu scumpu tsi s-asamãnã cu asimi (cu-unã hromã albã lutsitoari sh-mushatã).	platina numir atomik ʃaptid͡zət͡s ʃi optu , pt e̯asti un elementu kimik , un metal skumpu t͡si s asamənə ku asimi ku unə hromə albə lut͡sito̯ari ʃ muʃatə .
Cãsãbãlu Meksiko easte cãsãbãlu capital ali Meksiko.	kəsəbəl meksiko e̯aste kəsəbəl kapital ali meksiko .
DZUA NATSIONALÃ A ARMÃNJLOR 23 DI MAI - SÃRBÃTOARI DI STAT TU REPUBLICA MACHIDUNIA	d͡zwa nat͡sjonalə a arməɲlor trejsprəɣinɡit͡s di maj sərbəto̯ari di stat tu republika makidunja
Dmitri Mendeleev (a. 27 Yinaru 1834, Tobolsk, Arusia – 2 Shcurtu 1907) fu unu mari chimistu arusu. Elu adrã Tabellu periodicu a elementiljoru.	dmitri mendeleev a . ʃaptisprəɣinɡit͡s ɣinar unə ɲiʎi optu suti trejd͡zət͡s ʃi patru , tobolsk , arusja doj ʃkurtu unə ɲiʎi nao suti ʃapti fu un mari kimistu arus . el adrə tabeʎ perjodik a elementiʎor .
Lunjina easti unã soe di energie, unã formã di radiatsie electromagneticã, tai poati fi detectatã di ocljiu umanu, easti izvurlu di-atsea tai nã fatsi s-putemu s-videmu lucri. Ca bunãoarã, soarili nã da lunjina.	luɲina e̯asti unə soe di enerd͡ʒe , unə formə di radjat͡sie elektromaɡnetikə , taj po̯ati fi detektatə di okʎiw uman , e̯asti izvurlu di at͡se̯a taj nə fat͡si s putem s videm lukri . ka bunəo̯arə , so̯arili nə da luɲina .
Sirma easti unu hiru di metalu (di cilechi, bãcãri, asimi, malmã, etc.), icã unu hiru di metalu prit cari treatsi zborlu pitricutu cu tilefunlu di la unu locu la altu.	sirma e̯asti un hir di metal di t͡ʃileki , bəkəri , asimi , malmə , etk , ikə un hir di metal prit kari tre̯at͡si zborlu pitrikut ku tilefunlu di la un lok la altu .
Ari numa di biuturã lucrulu tsi s-bea, cumu bunãoarã suntu apa, cafelu, yinlu icã bira.	ari numa di biwturə lukrul t͡si s be̯a , kum bunəo̯arə suntu apa , kafel , ɣinlu ikə bira .
Metsovone s'afumã ligatã cu cioarã shi s'alasã vãrã trei meshi. S'mãcã cu yinŭ albŭ icã easti ufilisitã tu sãlãts ca aperitifŭ.	met͡sovone s afumə liɡatə ku t͡ʃo̯arə ʃi s alasə vərə trej meʃi . s məkə ku ɣin albu ikə e̯asti ufilisitə tu sələt͡s ka aperitif .
Itriulu (numiru atomicu 39, Y) easti unu elementu chimicu.	itriwlu numir atomik trejd͡zət͡s ʃi nao , ɣ e̯asti un elementu kimik .
Cireasha easti yimisha faptã di pomlu cireshu, njicã, cãrnoasã sh-cu-un os nuntru, aroshi icã galbinã.	t͡ʃire̯aʃa e̯asti ɣimiʃa faptə di pomlu t͡ʃireʃ , ɲikə , kərno̯asə ʃ ku un os nuntru , aroʃi ikə ɡalbinə .
Harta easti aspunearea pri unã acoalã a unui locu ashi cumu easti, cu tuti lucrili ligati di elu sh-cu tuti hãrli a lui, ca: arãuri, muntsã, cãsãbadz cu cãljurli tsi-lji leagã etc.	harta e̯asti aspune̯are̯a pri unə ako̯alə a unuj lok aʃi kum e̯asti , ku tuti lukrili liɡati di el ʃ ku tuti hərli a luj , ka , arəwri , munt͡sə , kəsəbad͡z ku kəʎurli t͡si ʎi le̯aɡə etk .
Bambuslu easti unu arburi exoticu (di-tu locurli caldi), cu truplu suptsãri sh-limnos, golu nãuntru shi cu multi noadi (ciupoari, aroazi), ufilisit tu anãltsarea di-adãrãminti (di binadz).	bambuslu e̯asti un arburi eksotik di tu lokurli kaldi , ku truplu supt͡səri ʃ limnos , ɡol nəwntru ʃi ku multi no̯adi t͡ʃupo̯ari , aro̯azi , ufilisit tu anəlt͡sare̯a di adərəminti di binad͡z .
Mitu Aroibu (1960, Dubrushana, Shtip) easte poet armãnescu. Protile patru clase di sculia primarã le-nvitsã tu hoara iu s-aflã, shi alantile tu hoara Treili Shopati. Litseu ti agriculturã bitisi tu cãsãbiclu Svitinicola shi Sculia di-nsus ti agriculturã tu cãsãbãlu Strumitsa.	mit arojbu unə ɲiʎi nao suti ʃajd͡zət͡s , dubruʃana , ʃtip e̯aste poet armənesku . protile patru klase di skulja primarə le nvit͡sə tu ho̯ara iw s aflə , ʃi alantile tu ho̯ara trejli ʃopati . lit͡sew ti aɡrikulturə bitisi tu kəsəbiklu svitinikola ʃi skulja di nsus ti aɡrikulturə tu kəsəbəl strumit͡sa .
Irlanda di Aratsile icã Alstãr (anglica Northern Ireland, Ulster, irlandica Cúige Uladh) easte parte-a Britaniiljei Mare.	irlanda di arat͡sile ikə alstər anɡlika norθern ireland , ulster , irlandika kujd͡ʒe ulað e̯aste parte a britanijʎej mare .
Americiulu (numiru atomicu 95, Am) easti unu elementu chimicu.	amerit͡ʃul numir atomik no̯awəd͡zət͡s ʃi t͡sint͡si , am e̯asti un elementu kimik .
Dante Alighieri (1265 – 14 Yizmãciunu 1321) fu unu scriitoru italianu di-tu Firenze, Italia. Elu easti cunuscutu trã opera a lui, La divina commedia.	dante aliɡjeri unə ɲiʎi daw suti ʃajd͡zət͡s ʃi t͡sint͡si , patrusprəd͡zat͡si ɣizmət͡ʃun unə ɲiʎi trej suti unsprəɣinɡit͡s fu un skrijtor italjan di tu firenze , italja . el e̯asti kunuskut trə opera a luj , la divina kommedja .
Anlu 1989, Fier avea 43086 bãnãtori. Tu 2001, 56297, shi tu 2005: 59719. La numirarea di-tu soni, atsea di-tu 2013, earau 84.638 bãnãtori.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , fjer ave̯a patrud͡zət͡s ʃi trej ɲiʎ opd͡zət͡s ʃi ʃasi bənətori . tu daw ɲiʎ un , t͡sind͡zət͡s ʃi ʃasi ɲiʎ daw suti no̯awəd͡zət͡s ʃi ʃapti , ʃi tu daw ɲiʎ t͡sint͡si , t͡sind͡zət͡s ʃi nao ɲiʎ ʃapti suti no̯awəsprəd͡zat͡si . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯araw opd͡zət͡s ʃi patru ɲiʎ ʃasi suti trejd͡zət͡s ʃi optu bənətori .
Constelatsia easti faptã di-tu nai ma multi steali shi s-veadi pi tseru. Zborlu yini di-tu limba latineascã: con- deadunu shi stella- steauã. Ca bunãoarã, constelatsilji suntu Ursa Major, Orionlu shi Andromeda.	konstelat͡sja e̯asti faptə di tu naj ma multi ste̯ali ʃi s ve̯adi pi t͡ser . zborlu ɣini di tu limba latine̯askə , kon de̯adun ʃi steʎa ste̯awə . ka bunəo̯arə , konstelat͡siʎi suntu ursa maʒor , orjonlu ʃi andromeda .
Di Popova Shapca s-ved muntsãlji vitsini Iacupitsa shi Solunsca Glava (2540 m), a dighios, ampadi, s-aflã Valea Polog.	di popova ʃapka s ved munt͡səʎi vit͡sini jakupit͡sa ʃi solunska ɡlava daw ɲiʎ t͡sint͡si suti patrud͡zət͡s metru , a diɡjos , ampadi , s aflə vale̯a poloɡ .
Augustus (tu latineascã: Gaius Julius Caesar Augustus; 23 Yizmâciunu 63 n. Hr. – 19 Avgustu 14 d.Hr.) fu protlu shi nai ma maxuslu Amirã ali Amirãriljie Romanã.	awɡustus tu latine̯askə , ɡajus ʒuliws kaesar awɡustus , trejsprəɣinɡit͡s ɣizmɨt͡ʃun ʃajd͡zət͡s ʃi trej ninti di hristo , no̯awəsprəd͡zat͡si avɡustu patrusprəd͡zat͡si dup hristo fu protlu ʃi naj ma maksuslu amirə ali amirəriʎie romanə .
Acaretea easti adãrãmintlu tsi tsi s-analtsã (si scoalã) pri locu, iu s-poatã si s-adunã lumi (prãvdzã, lucri, etc.) tra si sta nuntru (s-bãneadzã, si s-apãnghiseascã, etc.). Ca bunãoarã, suntu acaretsi: casa, bisearica, spitaljiu, ahurea, etc.	akarete̯a e̯asti adərəmintlu t͡si t͡si s analt͡sə si sko̯alə pri lok , iw s po̯atə si s adunə lumi prəvd͡zə , lukri , etk . tra si sta nuntru s bəne̯ad͡zə , si s apənɡise̯askə , etk . ka bunəo̯arə , suntu akaret͡si , kasa , bise̯arika , spitaʎiw , ahure̯a , etk .
Autor a Himnãljei armãneascã: “Pãrinteascã dimãndari”	awtor a himnəʎej arməne̯askə , pərinte̯askə diməndari
Cãnãscutlu publitsistu, scriitor shi criticiar literar, Hristo Candroveanu ti el dzãtsi: “Constantin Belemace armãni un di atselji tsi li bãgarã timeljurli a literaturãljei armãneascã. El easti un di nai ma vrutslji scriitori Armãnj dupu caldura a scrierlor tsi s-amintarã di marea hari ca trubadur popular”.	kənəskutlu publit͡sistu , skrijtor ʃi kritit͡ʃar literar , hristo kandrove̯an ti el d͡zət͡si , konstantin belemat͡ʃe arməni un di at͡seʎi t͡si li bəɡarə timeʎurli a literaturəʎej arməne̯askə . el e̯asti un di naj ma vrut͡sʎi skrijtori arməɲ dup kaldura a skrjerlor t͡si s amintarə di mare̯a hari ka trubadur popular .
Limba romãneascã, romãnesche (limba română, românește) easte unã limbã di gruplu di not-datlu a limbilor romanitse (neolatine) shi se zburãsce ãn Romãnia, Moldova, Ucraina, Sãrghia, Vurgaria, Italia shi Ungaria.	limba roməne̯askə , roməneske limba romɨna , romɨneste e̯aste unə limbə di ɡruplu di not datlu a limbilor romanit͡se neolatine ʃi se zburəst͡ʃe ən romənja , moldova , ukrajna , sərɡja , vurɡarja , italja ʃi unɡarja .
Iterbiulu (numiru atomicu 70, Yb) easti unu elementu chimicu, lantanidu.	iterbiwlu numir atomik ʃaptid͡zət͡s , ɣb e̯asti un elementu kimik , lantanid .
Poama faptã di aestã plantã ari idhyia numã.	po̯ama faptə di aestə plantə ari iðɣja numə .
Puljilji suntu ma multi turlii di prici cu truplu-acupiritu di peani, cu dintanã, tsi fac oauã sh-cu doauã aripti mãri cu cari azboairã. Pi Locu azboairã ma mult di 9000 de spetsii (turlii) di pulji.	puʎiʎi suntu ma multi turlij di prit͡ʃi ku truplu akupirit di pe̯ani , ku dintanə , t͡si fak o̯awə ʃ ku do̯awə aripti məri ku kari azbo̯ajrə . pi lok azbo̯ajrə ma mult di nao ɲiʎ de spet͡sij turlij di puʎi .
Tsara Litua fu unã tsarã tu anvãrliga Severinilui shi tu Olt. Unã dzâcâ ali tseari easti tu 1247, voivod fiindã Litovoi. Tseara ari apeanã tu 1330 anda Basarab I thimiljiusescu Tseara Romãneascã.	t͡sara litwa fu unə t͡sarə tu anvərliɡa severiniluj ʃi tu olt . unə d͡zɨkɨ ali t͡se̯ari e̯asti tu unə ɲiʎi daw suti patrud͡zət͡s ʃi ʃapti , vojvod fijndə litovoj . t͡se̯ara ari ape̯anə tu unə ɲiʎi trej suti trejd͡zət͡s anda basarab i θimiʎiwsesku t͡se̯ara roməne̯askə .
William Shakespeare easte luyursit ca naima marle scriitor di limba anglicheascã. Nu avem data cãndu ira faptu, ama sã-shcie cã easte pãtidzat 26 Apriirlu anlu 1564 tu cãsãbãlu Stratford-upon-Avon tu Anglie.	wiʎjam ʃakespe̯are e̯aste luɣursit ka najma marle skrijtor di limba anɡlike̯askə . nu avem data kəndu ira faptu , ama sə ʃt͡ʃe kə e̯aste pətid͡zat ʃasprəɣinɡit͡s aprijrlu anlu unə ɲiʎi t͡sint͡si suti ʃajd͡zət͡s ʃi patru tu kəsəbəl stratford upon avon tu anɡlie .
Honoré de Balzac (a. 20 Mai 1799 – d. 18 Avgustu 1850) fu unu mari scriitoru frãntsescu tsi anyrãpsi prozã shi theatro.	honore de balzak a . ɣinɡit͡s maj unə ɲiʎi ʃapti suti no̯awəd͡zət͡s ʃi nao d . optusprəd͡zat͡si avɡustu unə ɲiʎi optu suti t͡sind͡zət͡s fu un mari skrijtor frənt͡sesku t͡si anɣrəpsi prozə ʃi θe̯atro .
Broascã easti unã di ma multi turlii di-unã prici tsi bãneadzã tu apã icã pri locu, cu truplu moali, ãncljis tu-unã cãpachi usoasã di-tu cari poati sã scoatã caplu shi cicioarli (sh-tu cari poati sã sh-lu tragã tutu truplu nãntru cãndu lipseashti si s-afireascã di dushmanji). Easti unu animalu di-tu ordinlu shtiintsific di reptili Testudines. Pi limba romãnã, ãlji dzãtsi broascã tsestoasã.	bro̯askə e̯asti unə di ma multi turlij di unə prit͡ʃi t͡si bəne̯ad͡zə tu apə ikə pri lok , ku truplu mo̯ali , ənkʎis tu unə kəpaki uso̯asə di tu kari po̯ati sə sko̯atə kaplu ʃi t͡ʃit͡ʃo̯arli ʃ tu kari po̯ati sə ʃ lu traɡə tut truplu nəntru kəndu lipse̯aʃti si s afire̯askə di duʃmaɲi . e̯asti un animal di tu ordinlu ʃtijnt͡sifik di reptili testudines . pi limba romənə , əʎi d͡zət͡si bro̯askə t͡sesto̯asə .
Anlu 1989, Gramsh avea 9200 bãnãtori. Tu 2001, 10533, shi tu 2005: 11556. La numirarea di-tu soni, atsea di-tu 2013, earau bãnãtori.	anlu unə ɲiʎi nao suti opd͡zət͡s ʃi nao , ɡramʃ ave̯a nao ɲiʎ daw suti bənətori . tu daw ɲiʎ un , d͡zat͡si ɲiʎ t͡sint͡si suti trejd͡zət͡s ʃi trej , ʃi tu daw ɲiʎ t͡sint͡si , unəsprəd͡zat͡si ɲiʎ t͡sint͡si suti t͡sind͡zət͡s ʃi ʃasi . la numirare̯a di tu soni , at͡se̯a di tu daw ɲiʎ tresprəd͡zat͡si , e̯araw bənətori .
Adrian Papahagi (a. 20-li di Martsu 1976, Cluj-Napoca, Romãnii) esti unu profesoru shi omu politicu romãnu, cu zãrtsini armãneshtsã.	adrjan papahad͡ʒi a . ɣinɡit͡s li di mart͡su unə ɲiʎi nao suti ʃaptid͡zət͡s ʃi ʃasi , kluʒ napoka , romənij esti un profesor ʃi om politik romən , ku zərt͡sini arməneʃt͡sə .
Varshava (lãhescu (polãnescu): Warszawa), numa-mplinã Cãsãbãlu Capital Varshava, lãhescu: Miasto Stołeczne Warszawa easte cãsãbãlu capital ali Polandia shi easte nai ma marle cãsãbã tu loclu.	varʃava ləhesku polənesku , warszawa , numa mplinə kəsəbəl kapital varʃava , ləhesku , mjasto stolekzne warszawa e̯aste kəsəbəl kapital ali polandja ʃi e̯aste naj ma marle kəsəbə tu loklu .
