31 гыйнвар — Фәррах Дәүләтшин, БАССР халык чәчәне.	uˈtɨz ˈber ʁɨjnˈvɑr færˈrax dæylætˈʃin , ˈbe ˈɑ ˈes ˈes ˈer xɑˈlɨq ɕæɕæˈne .
Родео эль Чико, Эль Редео Мексиканың көньяк-көнбатыш өлешендә, Мехико шәһәреннән көньяктарак урнашкан.	rodeˈo ˈel ɕiˈko , ˈel redeˈo meksikaˈnɨŋ køˈnjɑq kønbaˈtɨʃ øleʃenˈdæ , mexiˈko ʃæhærenˈnæn kønjɑqtaˈraq urnɑˈʃqɑn .
Гөлназ Асаева (1998), җырчы. Рөстәм Асаевның кызы.	ɡølˈnaz asajeˈva ˈmeŋ tuˈʁɨz ˈjøz tuqˈsɑn siˈɡez , ʑɨrˈɕɨ . røˈstæm asajevˈnɨŋ qɨˈzɨ .
Гата Сәлимов 1928 елның 15 декабрендә Урал өлкәсе Курган округы Сафакүл районы Күбәкәй авылында туган.	ʁɑˈtɑ sæliˈmov ˈmeŋ tuˈʁɨz ˈjøz jeɡerˈme siˈɡez jelˈnɨŋ unˈbiʃ dekabrenˈdæ uˈrɑl ølkæˈse qurˈʁɑn oqruˈʁɨ safaˈkyl rɑjoˈnɨ kybæˈkæj ɑvɨlɨnˈdɑ tuˈʁɑn .
Татарбай авылы Касыйм шәһәреннән төньяк-көнчыгышка 11 км ераклыкта, Макарье елгасының сул ярында урнашкан.	tɑtɑrˈbɑj ɑvɨˈlɨ qɑˈsɨjm ʃæhærenˈnæn tøˈnjɑq kønɕɨʁɨˈʃqa unˈber kiloˈmetr jeraqlɨqˈta , makaˈre jelɡasɨˈnɨŋ ˈsul jɑrɨnˈdɑ urnɑˈʃqɑn .
Аройо Верде — Мексиканың Веракрус штатында урнашкан торак пункт. муниципалитеты составына керә.	ɑroˈjo verˈde meksikaˈnɨŋ veraˈqrus ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Мапан Лаха Сегунда — Мексиканың Веракрус штатында урнашкан торак пункт. муниципалитеты составына керә.	mɑˈpɑn lɑˈxɑ seɡunˈda meksikaˈnɨŋ veraˈqrus ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Эль Олвидо Мексиканың төньягында, Үзәк Мексика таулыгының төньяк-көнбатышында урнашкан.	ˈel olviˈdo meksikaˈnɨŋ tønjɑʁɨnˈda , yˈzæk meksiˈka tɑulɨʁɨˈnɨŋ tøˈnjɑq kønbatɨʃɨnˈda urnɑˈʃqɑn .
Локалидад син Номбре, Фелисияно Мелендез — Мексиканың Дуранго штатында урнашкан торак пункт. муниципалитеты составына керә.	loqaliˈdad ˈsin nomˈbre , felisijɑˈno melenˈdez meksikaˈnɨŋ durɑnˈʁo ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Сектор Франсиско Зарко Мексиканың төньягында, Үзәк Мексика таулыгының төньяк-көнбатышында урнашкан.	sekˈtor fransiˈsqo zɑrˈqo meksikaˈnɨŋ tønjɑʁɨnˈda , yˈzæk meksiˈka tɑulɨʁɨˈnɨŋ tøˈnjɑq kønbatɨʃɨnˈda urnɑˈʃqɑn .
Ана Мария — Мексиканың Кампече штатында урнашкан торак пункт. муниципалитеты составына керә.	ɑˈnɑ mariˈjɑ meksikaˈnɨŋ kampeˈɕe ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Сан Каеетано — Мексиканың Идальго штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈsɑn kajejetaˈno meksikaˈnɨŋ idalˈʁo ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Ла Вереда — Мексиканың Керетаро штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlɑ vereˈda meksikaˈnɨŋ keretaˈro ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Сексион Норте де Атонго — Мексиканың Керетаро штатында урнашкан торак пункт. муниципалитеты составына керә.	seksiˈon norˈte ˈde ɑtonˈʁo meksikaˈnɨŋ keretaˈro ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Каньон дел Туле Дос — Мексиканың Коауила штатында урнашкан торак пункт. муниципалитеты составына керә.	qɑˈnon ˈdel tuˈle ˈdos meksikaˈnɨŋ qoauiˈla ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Хосе Алфредо Торес Вильянуева Мексиканың төньяк-көнчыгыш өлешендә, илнең башкаласы Мехикодан төньяктарак урнашкан.	xoˈse alfreˈdo toˈres viljɑnujeˈva meksikaˈnɨŋ tøˈnjɑq kønɕɨˈʁɨʃ øleʃenˈdæ , ilˈneŋ bɑʃqɑlɑˈsɨ mexikoˈdan tønjɑqtaˈraq urnɑˈʃqɑn .
Кинта дел Кармен — Мексиканың Түбән Калифорния штатында урнашкан торак пункт. муниципалитеты составына керә.	kinˈta ˈdel karˈmen meksikaˈnɨŋ tyˈbæn kaliforniˈjɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Километро 128 Мексиканың төньяк-көнбатыш өлешендә, Калифорния ярымутравының көньягында урнашкан.	kilomeˈtro ˈjøz jeɡerˈme siˈɡez meksikaˈnɨŋ tøˈnjɑq kønbaˈtɨʃ øleʃenˈdæ , kaliforniˈjɑ jɑrɨmutrɑvɨˈnɨŋ kønjɑʁɨnˈda urnɑˈʃqɑn .
Фамилия Эйрауд Мексиканың төньяк-көнбатыш өлешендә, Калифорния ярымутравының төньягында урнашкан.	familiˈjɑ ejraˈud meksikaˈnɨŋ tøˈnjɑq kønbaˈtɨʃ øleʃenˈdæ , kaliforniˈjɑ jɑrɨmutrɑvɨˈnɨŋ tønjɑʁɨnˈda urnɑˈʃqɑn .
Эль Пияве (Долорес Идальго Куна де ла Индепенденсия Насионал)	ˈel pijɑˈve doloˈres idalˈʁo quˈnɑ ˈde ˈlɑ independensiˈjɑ nasioˈnal
Якташлар Марсель Иванов турында. «Минзәлә», 4.02.2015.	jɑqtɑˈʃlɑr marˈsel ivaˈnov turɨnˈdɑ . minzæˈlæ , ˈdyrt . iˈke . iˈke ˈmeŋ unˈbiʃ .
Ранчо Нуево, Колимилья — Мексиканың Мичоакан штатында урнашкан торак пункт. муниципалитеты составына керә.	rɑnˈɕo nujeˈvo , qolimiˈljɑ meksikaˈnɨŋ miɕoaˈqan ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Тлаксималоя, Ла Амапола — Мексиканың Тласкала штатында урнашкан торак пункт. муниципалитеты составына керә.	tlaksimaloˈjɑ , ˈlɑ ɑmɑpoˈlɑ meksikaˈnɨŋ tlɑsqɑˈlɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Эмилияно Запата, Чичонал де ла Боеерия — Мексиканың Табаско штатында урнашкан торак пункт. муниципалитеты составына керә.	emilijɑˈno zɑpɑˈtɑ , ɕiɕoˈnal ˈde ˈlɑ bojejeriˈjɑ meksikaˈnɨŋ tɑbɑˈsqo ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Лос Потрерос — Мексиканың Пуэбла штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlos potreˈros meksikaˈnɨŋ pueˈbla ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Масуд Барзани. Мостафа Барзани һәм Көрд Азатлык Хәрәкәте. Транс. А. Ш. Хурами, Санкт-Петербург, Наука, 2005.	mɑˈsud barzaˈni . mostɑˈfɑ barzaˈni ˈhæm ˈkørd ɑzɑˈtlɨq xærækæˈte . ˈtrɑns . ˈɑ ˈʃɑ xuraˈmi , ˈsɑnqt peterˈburʁ , nɑuˈqɑ , iˈke ˈmeŋ ˈbiʃ .
Эль Чапи Ромеро — Мексиканың Синалоа штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈel ɕaˈpi romeˈro meksikaˈnɨŋ sinaloˈa ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Нуево Пеньитас — Мексиканың Чьяпас штатында урнашкан торак пункт. муниципалитеты составына керә.	nujeˈvo peniˈtas meksikaˈnɨŋ ɕjɑˈpɑs ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Эль Ремедио — Мексиканың Чьяпас штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈel remediˈo meksikaˈnɨŋ ɕjɑˈpɑs ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Реес Мантекон — Мексиканың Оахака штатында урнашкан торак пункт. муниципалитеты составына керә.	reˈjes manteˈkon meksikaˈnɨŋ oɑxɑˈqɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Ла Аурора, Эль Репаро — Мексиканың Халиско штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlɑ ɑuroˈrɑ , ˈel repaˈro meksikaˈnɨŋ xaliˈsqo ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Эль Аренал, Гранха Авикола — Мексиканың Халиско штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈel areˈnal , ʁrɑnˈxɑ avikoˈla meksikaˈnɨŋ xaliˈsqo ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Бордас, Каса Бланка — Мексиканың Чиуауа штатында урнашкан торак пункт. муниципалитеты составына керә.	borˈdɑs , qɑˈsɑ blɑnˈqɑ meksikaˈnɨŋ ɕiuauˈa ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Ла Эстакада — Мексиканың Чиуауа штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlɑ estakaˈda meksikaˈnɨŋ ɕiuauˈa ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Ранчо Лома Верде — Мексиканың Чиуауа штатында урнашкан торак пункт. муниципалитеты составына керә.	rɑnˈɕo loˈmɑ verˈde meksikaˈnɨŋ ɕiuauˈa ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Ла Куеста дел Гальо — Мексиканың Сан-Луис-Потоси‎ штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlɑ qujeˈsta ˈdel ʁɑˈlo meksikaˈnɨŋ ˈsɑn luˈis potoˈsi ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Лос Хункос — Мексиканың Сонора штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlos xunˈqos meksikaˈnɨŋ sonoˈrɑ ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Ла Эрадура, Хенаро Канту — Мексиканың Тамаулипас штатында урнашкан торак пункт. муниципалитеты составына керә.	ˈlɑ eraduˈra , xenaˈro qɑnˈtu meksikaˈnɨŋ tamauliˈpas ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
Родолфо Агилар — Мексиканың Тамаулипас штатында урнашкан торак пункт. муниципалитеты составына керә.	rodolˈfo aɡiˈlar meksikaˈnɨŋ tamauliˈpas ʃtɑtɨnˈdɑ urnɑˈʃqɑn toˈrɑq ˈpunqt . munit͡sipaliteˈtɨ sostɑvɨˈnɑ keˈræ .
«Почет билгесе» ордены белән бүләкләнгән. .	poˈɕet bilɡeˈse ordeˈnɨ beˈlæn bylæklænˈɡæn .
Гринвич (Гринвич Патшабикә Обсерваториясе беренче 0° Гринвич меридианы үткән урын).	ɡrinˈviɕ ɡrinˈviɕ patʃabiˈkæ observatorijɑˈse berenˈɕe ˈnul ʁrɑˈdus ɡrinˈviɕ meridiaˈnɨ ytˈkæn uˈrɨn .
Россия җире кыйтга һәм утрау өлешләреннән тора. Шуңа күрә иң ерак төньяк нокталары ике. Утрау ноктасы Франц-Иосиф Җире архипелагында Рудольф утравында ята; бу — Флигель борыны (т.к. нең 81°49' ында). Россиянең иң ерак төньяк кыйтга ноктасы — Челюскин борыны (т. к. нең 77°43' ында) — Таймыр ярымутравында урнашкан, һәм ул Евразия материгының иң төньяк ноктасы булып тора.	rossiˈjɑ ʑiˈre qɨjtˈʁɑ ˈhæm utrɑˈu øleʃlærenˈnæn toˈrɑ . ʃuˈŋɑ kyˈræ ˈiŋ jeˈrak tøˈnjɑq noqtɑlɑˈrɨ iˈke . utrɑˈu noqtɑˈsɨ ˈfrɑnt͡s ioˈsif ʑiˈre arxipelaʁɨnˈda ruˈdolf utrɑvɨnˈdɑ jɑˈtɑ , ˈbu fliˈɡel borɨˈnɨ t . q . ˈneŋ sikˈsæn ˈber ʁrɑˈdus qɨˈrɨq tuˈʁɨz minutɨnˈda . rossijɑˈneŋ ˈiŋ jeˈrak tøˈnjɑq qɨjtˈʁɑ noqtɑˈsɨ ɕeljuˈskin borɨˈnɨ t . q . ˈneŋ ʑitˈmeʃ ʑiˈde ʁrɑˈdus qɨˈrɨq ˈøɕ minutɨnˈda tɑjˈmɨr jɑrɨmutrɑvɨnˈdɑ urnɑˈʃqɑn , ˈhæm ˈul jevraziˈjɑ materiɡɨˈnɨŋ ˈiŋ tøˈnjɑq noqtɑˈsɨ buˈlɨp toˈrɑ .
Илнең иң ерак көньяк ноктасы Төньяк Кавказда урнашкан Дагстан Республикасында Базардюзю тавыннан көньяк-көнбатыштарак (к.к.нең 41°11'ында) Азәрбайҗан белән чиктә урнашкан. Илебез территориясенең төньяктан көньякка озынлыгы 4 мең км га якын.	ilˈneŋ ˈiŋ jeˈrak køˈnjɑq noqtɑˈsɨ tøˈnjɑq qɑvqɑzˈdɑ urnɑˈʃqɑn dɑʁˈstɑn respublikasɨnˈda bɑzɑrdjuˈzju tɑvɨnˈnɑn køˈnjɑq kønbatɨʃtaˈraq q . q . ˈneŋ qɨˈrɨq ˈber ʁrɑˈdus unˈber minutɨnˈda azærbajˈʑan beˈlæn ɕikˈtæ urnɑˈʃqɑn . ileˈbez territorijɑseˈneŋ tønjɑqˈtan kønjɑqˈqa ozɨnlɨˈʁɨ ˈdyrt ˈmeŋ kiloˈmetr ˈʁɑ jɑˈqɨn .
Иң ерак көнбатыш нокта (кч. оз. ның 19°38' ында) Балтыйк диңгезенең Гданьск култыгындагы комборынында Калининград шәһәре янында ята.	ˈiŋ jeˈrak kønbaˈtɨʃ noqˈtɑ qɕ . ˈoz . ˈnɨŋ untuˈʁɨz ʁrɑˈdus uˈtɨz siˈɡez minutɨnˈda bɑlˈtɨjq diŋɡezeˈneŋ ʁˈdɑnsq qultɨʁɨndɑˈʁɨ qomborɨnɨnˈdɑ kalininˈɡrad ʃæhæˈre jɑnɨnˈdɑ jɑˈtɑ .
ПОЛОЖЕНИЕ ПО БУХГАЛТЕРСКОМУ УЧЁТУ «УЧЁТ ФИНАНСОВЫХ ВЛОЖЕНИЙ» ПБУ 19/02	poloʒeniˈje ˈpo buxʁaltersqoˈmu uɕjoˈtu uˈɕjot finansoˈvɨx vloʒeˈnij pˈbu untuˈʁɨz iˈke
Баки Урманче. Живопись, скульптура, графика. К 110-летию со дня рождения. Каталог выставки. Издательство "Заман" Республика Татарстан, 420025, г.Казань, Октябрьский городок,1/66	baˈki urmanˈɕe . ʒivoˈpis , squlptuˈrɑ , ɡrafiˈka . q ˈjøz ˈun letiˈju ˈso dˈnjɑ roʒdeniˈjɑ . qɑtɑˈloʁ vɨstavˈki . izdatelstˈvo zɑˈmɑn respubliˈka tɑtɑrˈstɑn , ˈdyrt ˈjøz jeɡerˈme ˈmeŋ jeɡerˈme ˈbiʃ , ʁ . qɑˈzɑn , oqtjɑbrˈskij ʁoroˈdoq , ˈber ɑltˈmɨʃ ɑlˈtɨ
Баки Урманче. Живопись, скульптура, графика. К 110-летию со дня рождения. Каталог выставки. Издательство "Заман" Республика Татарстан, 420025, г.Казань, Октябрьский городок. 1/66.	baˈki urmanˈɕe . ʒivoˈpis , squlptuˈrɑ , ɡrafiˈka . q ˈjøz ˈun letiˈju ˈso dˈnjɑ roʒdeniˈjɑ . qɑtɑˈloʁ vɨstavˈki . izdatelstˈvo zɑˈmɑn respubliˈka tɑtɑrˈstɑn , ˈdyrt ˈjøz jeɡerˈme ˈmeŋ jeɡerˈme ˈbiʃ , ʁ . qɑˈzɑn , oqtjɑbrˈskij ʁoroˈdoq . ˈber ɑltˈmɨʃ ɑlˈtɨ .
Менделеев Д. И. Периодический закон: В 3 т. на сайте Руниверс	mendeleˈjev ˈde ˈi periodiɕeˈskij zɑˈqon , v ˈøɕ t . ˈnɑ sajˈte runiˈvers
Некрасов Б. В. Основы общей химии, т. 1. — М.: „Химия“, 1973	nekraˈsov ˈbe ˈve osnoˈvɨ obˈɕej ximiˈi , t . ˈber . m , ximiˈjɑ , ˈmeŋ tuˈʁɨz ˈjøz ʑitˈmeʃ ˈøɕ
Химическая энциклопедия, п. ред. Кнунянц И. Л., т. 5. — М.: „Советская энциклопедия“, 1988	ximiɕeskaˈjɑ ent͡siklopediˈjɑ , p . ˈred . qnuˈnjɑnt͡s ˈi ˈel , t . ˈbiʃ . m , sovetsqaˈjɑ ent͡siklopediˈjɑ , ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn siˈɡez
Дубинская А. М., Призмент Э. Л. Химические энциклопедии, в кн.: Химический энциклопедический словарь. — М., 1983	dubinsqaˈjɑ ˈɑ ˈem , prizˈment ˈe ˈel ximiɕeskiˈje ent͡siklopediˈi , v qn , ximiɕeˈskij ent͡siklopediɕeˈskij sloˈvɑr . m , ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn ˈøɕ
Потапов В. М., Кочетова Э. К. Химическая информация. Где и как искать химику нужные сведения. — М., 1988	potɑˈpov ˈve ˈem , qoɕetoˈva ˈe ˈqɑ ximiɕeskaˈjɑ informat͡siˈjɑ . ɡˈde ˈi ˈqɑq iˈskat ximiˈku nuʒnɨˈje svedeniˈjɑ . m , ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn siˈɡez
Кузнецов В. И. Общая химия: тенденции развития. М.: Высшая школа,	quzneˈt͡sov ˈve ˈi obɕɑˈjɑ ximiˈjɑ , tendent͡siˈi razvitiˈjɑ . m , vɨsʃɑˈjɑ ʃqoˈlɑ ,
Б.э.к. 189 елдан башлап идарә иткән әрмән династиясенең идарә итүенең тәмамлануы.	bezˈneŋ eraˈɡa kaˈdær ˈjøz sikˈsæn tuˈʁɨz jelˈdan bɑˈʃlɑp idaˈræ itˈkæn ærˈmæn dinastijɑseˈneŋ idaˈræ ityjeˈneŋ tæmamlanuˈɨ .
Химия: Справ. изд./ В. Шретер, К.-Х. Лаутеншлегер, Х. Бибрак и др.: Пер. с нем. — М.: Химия, 1989	ximiˈjɑ , ˈsprɑv . ˈizd . v . ʃreˈter , q . x . lautenʃleˈɡer , x . biˈbrak ˈi dr , ˈper . s ˈnem . m , ximiˈjɑ , ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn tuˈʁɨz
Ахметов, Н. С. Общая и неорганическая химия. Общая неорганическая химия. Учеб. для вузов.-4-е изд., испр.,-М,: Высшая школа, Изд. центр» Академия", 2001.-743 с., ил., 2001.	axmeˈtov , ˈen ˈes obɕɑˈjɑ ˈi neorʁaniɕeskaˈjɑ ximiˈjɑ . obɕɑˈjɑ neorʁaniɕeskaˈjɑ ximiˈjɑ . uˈɕeb . ˈdljɑ vuˈzov . ˈdyrt ˈje ˈizd , ˈispr , m , vɨsʃɑˈjɑ ʃqoˈlɑ , ˈizd . ˈt͡sentr akademiˈjɑ , iˈke ˈmeŋ ˈber . ʑiˈde ˈjøz qɨˈrɨq ˈøɕ s , ˈil , iˈke ˈmeŋ ˈber .
Мелентьева, Галина Александровна. Фармацевтическая химия. Рипол Классик, 1985.	melenteˈva , ɡaliˈna aleksandrovˈna . farmat͡sevtiɕeskaˈjɑ ximiˈjɑ . riˈpol klasˈsik , ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn ˈbiʃ .
Пружанский А. М. Отечественные певцы 1750—1917. Словарь.. М.: «Композитор» (2000). Проверено 9 января 2010. Архивировано из первоисточника 8 февраля 2012.	pruʒanˈskij ˈɑ ˈem oteɕestvennɨˈje pevˈt͡sɨ ˈmeŋ ʑiˈde ˈjøz ilˈle , ˈmeŋ tuˈʁɨz ˈjøz unʑiˈde . sloˈvɑr . m , qompoziˈtor iˈke ˈmeŋ . provereˈno tuˈʁɨz jɑnvɑˈrjɑ iˈke ˈmeŋ ˈun . arxivirovaˈno ˈiz pervoistoɕniˈka siˈɡez fevraˈljɑ iˈke ˈmeŋ uniˈke .
Босния һәм Герцеговинадагы мөселман ромалары, шулай ук ​​Кырым сыбызгылары геноцидтан азат ителделәр.	bosniˈjɑ ˈhæm ɡert͡seɡovinadaˈʁɨ møselˈman romɑlɑˈrɨ , ʃuˈlɑj ˈuq qɨˈrɨm sɨbɨzʁɨlɑˈrɨ ɡenot͡sidˈtan ɑˈzɑt iteldeˈlær .
Котляров Ю., Гармаш В. Летопись жизни и творчества Ф. И. Шаляпина. В 2-х книгах.. — Л.: Музыка, 1985. — 15 000 экз.	qotljɑˈrov ˈju , ʁɑrˈmɑʃ ˈve letoˈpis ʒizˈni ˈi tvorɕestˈva ˈef ˈi ʃaljɑpiˈna . v iˈke x kniˈɡax . l , muzɨˈqɑ , ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn ˈbiʃ . unˈbiʃ ˈmeŋ ˈekz .
Шәһәр мәйданы 2 430 км² . Бакы Апшерон ярымутравының көньяк ярында урнашкан. Шәһәр үзенең борынгылыгы, территория зурлыгы һәм халык саны буенча Көнчыгышның иң зур шәһәрләренең берсе булып санала . Апшерон ярымутравы халкы белән бергә, агломерация халкы 2 545, 6 мең кеше тәшкил итә. 2009 елда Бакы БДБда сәяхәт итүче эшкуарлар өчен иң кыйммәт шәһәр булып танылган.	ʃæˈhær mæjdaˈnɨ iˈke ˈmeŋ ˈdyrt ˈjøz uˈtɨz qvɑˈdrɑt kiloˈmetr . bɑˈqɨ apʃeˈron jɑrɨmutrɑvɨˈnɨŋ køˈnjɑq jɑrɨnˈdɑ urnɑˈʃqɑn . ʃæˈhær yzeˈneŋ borɨnʁɨlɨˈʁɨ , territoriˈjɑ zurlɨˈʁɨ ˈhæm xɑˈlɨq sɑˈnɨ bujenˈɕa kønɕɨʁɨʃˈnɨŋ ˈiŋ ˈzur ʃæhærlæreˈneŋ berˈse buˈlɨp sɑnɑˈlɑ . apʃeˈron jɑrɨmutrɑˈvɨ xɑlˈqɨ beˈlæn berˈɡæ , aʁlomerat͡siˈjɑ xɑlˈqɨ iˈke ˈmeŋ ˈbiʃ ˈjøz qɨˈrɨq ˈbiʃ , ɑlˈtɨ ˈmeŋ keˈʃe tæˈʃkil iˈtæ . iˈke ˈmeŋ tuˈʁɨz jelˈda bɑˈqɨ bdbˈdɑ sæjɑˈxæt ityˈɕe eʃquarˈlar øˈɕen ˈiŋ qɨjmˈmæt ʃæˈhær buˈlɨp tɑnɨlˈʁɑn .
1986 елның 26 апрелендә, җирле вакыт 13:23:58дә Чернобыль-4 атом-төш реакторы (ягъни Чернобыль станциясенең 4-нче реактор) һәлакәтле атом-төш матдәненең эрүен кичерә , нәтиҗәдә бернчә кабынып китүеләр һәм янгын чыга.	ˈmeŋ tuˈʁɨz ˈjøz sikˈsæn ɑlˈtɨ jelˈnɨŋ jeɡerˈme ɑlˈtɨ aprelenˈdæ , ʑirˈle vɑˈqɨt uˈnøɕ jeɡerˈme ˈøɕ ilˈle siɡezˈdæ ɕernoˈbɨl ˈdyrt ɑˈtom ˈtøʃ reaktoˈrɨ jɑʁʔˈni ɕernoˈbɨl stant͡sijɑseˈneŋ dyrtenˈɕe reakˈtor hælakæˈtle ɑˈtom ˈtøʃ matdæneˈneŋ eryˈjen kiɕeˈræ , nætiʑæˈdæ bernˈɕæ qɑbɨˈnɨp kityjeˈlær ˈhæm jɑnˈʁɨn ɕɨˈʁɑ .
Чыршысыман катаракта сирәк очрый һәм кабык яки төшнең тирән катламнарында «инә» кебек күпсанлы полихроматик утырмалар белән сыйфатлана (рәс. 12.2д, е). Утырмалар аерым һәм шулай ук башка томанланулар белән бергә була ала.	ɕɨrʃɨsɨˈmɑn qɑtɑrɑqˈtɑ siˈræk oˈɕrɨj ˈhæm qɑˈbɨq jɑˈqi tøʃˈneŋ tiˈræn qɑtlɑmnɑrɨnˈdɑ iˈnæ keˈbek kypsanˈlɨ polixromaˈtik utɨrmɑˈlɑr beˈlæn sɨjfɑtlɑˈnɑ ˈræs . uniˈke . iˈke d , ˈje . utɨrmɑˈlɑr ajeˈrɨm ˈhæm ʃuˈlɑj ˈuq bɑˈʃqɑ tomɑnlɑnuˈlɑr beˈlæn berˈɡæ buˈlɑ ɑˈlɑ .
3. Өлгереп беткән катарактаның ясмык матдәсеннән сыекча үтеп чыгу өчен алгы капсуласы җыерчыклана (рәс. 12.3б).	ˈøɕ . ølɡeˈrep betˈkæn qɑtɑrɑqtɑˈnɨŋ jɑsˈmɨq matdæsenˈnæn sɨjekˈɕa yˈtep ɕɨˈʁu øˈɕen ɑlˈʁɨ qɑpsulɑˈsɨ ʑɨjerɕɨqlaˈna ˈræs . uniˈke . ˈøɕ b .
4. Моргагниан катаракта — кабык сыеклану белән өлгереп беткән катаракта, бу төш төшүенә китерә (рәс. 12.3в, г).	ˈdyrt . morʁaɡniˈan qɑtɑrɑqˈtɑ qɑˈbɨq sɨjeklaˈnu beˈlæn ølɡeˈrep betˈkæn qɑtɑrɑqˈtɑ , ˈbu ˈtøʃ tøʃyjeˈnæ kiteˈræ ˈræs . uniˈke . ˈøɕ v , ʁ .
