Rygel - Jonathan Hardy (hì-ang-á ê chhau-chok-jîn)	ɹˈɪɡɛɫ d͡ʒˈɑːnəθən hˈɑːɹd̬i hi˥˩ aŋ˧ a˥˩ e˨˦ t͡sʰau̯˧ t͡sɔk̚˥ d͡ʑin˨˦
Má-khó 4, ia̍h Má-khó Hok-im Tē 4 Chiuⁿ, sī Sin-iok Sèng-keng Choân-su Má-thài Hok-im lāi ê tē-4 chiuⁿ.	ma˥ kʰə˥˩ ɕi˨˩ , i̯aʔ˥ ma˥ kʰə˥˩ hɔk̚˥ im˥ te˧ ɕi˨˩ t͡ɕĩ̯ũ˥ , ɕi˧ ɕin˧ i̯ok̚˧˨ ɕiə̯ŋ˥˩ kiə̯ŋ˥ t͡su̯an˧ su˥ ma˥ tʰai̯˨˩ hɔk̚˥ im˥ lai̯˧ e˨˦ te˧ ɕi˨˩ t͡ɕĩ̯ũ˥ .
1987 nî Tāi-hân Bîn-kok chóng-thóng soán-kí tī 1987 nî 12 goe̍h 16 ji̍t kí-hêng, choè-āu Roh Tae-woo tòng-soán Tāi-hân Bîn-kok chóng-thóng.	t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ pat̚˥ t͡sap̚˧˨ t͡ɕʰit̚˧˨ ni˨˦ tai̯˨˩ han˨˦ bin˧ kɔk̚˧˨ t͡sɔŋ˥ tʰɔŋ˥˩ su̯an˥ ki˥˩ ti˧ t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ pat̚˥ t͡sap̚˧˨ t͡ɕʰit̚˧˨ ni˨˦ t͡sap̚˧˨ d͡ʑi˧ ɡu̯eʔ˥ t͡sap̚˧˨ lak̚˥ d͡ʑit̚˥ ki˥ hiə̯ŋ˨˦ , t͡su̯e˥˩ au̯˧ ɹˈoᶷ tʰˈeᶦ wˈuː tɔŋ˥˩ su̯an˥˩ tai̯˨˩ han˨˦ bin˧ kɔk̚˧˨ t͡sɔŋ˥ tʰɔŋ˥˩ .
South Bucks sī Liân-ha̍p Ông-kok Eng-lân Buckinghamshire ē-kha ê chi̍t ê koān (district).	sˈaᶷθ bˈʌks ɕi˧ li̯ɛn˧ hap̚˥ ɔŋ˧ kɔk̚˧˨ iə̯ŋ˧ lan˨˦ bˈʌkɪŋhˌæmʃˌaᶦɹ e˨˩ kʰa˥ e˨˦ t͡ɕit̚˥ e˨˦ ku̯an˧ dˈɪstɹɪkt .
Chilfrome sī Liân-ha̍p Ông-kok Eng-lân se-lâm-pō͘ Dorset Kūn ê chi̍t ê bîn-chèng kàu-khu (civil parish).	kiɫfɹˈoᶷm ɕi˧ li̯ɛn˧ hap̚˥ ɔŋ˧ kɔk̚˧˨ iə̯ŋ˧ lan˨˦ se˧ lam˧ pɔ˧ dˈɔːɹsɪt kun˧ e˨˦ t͡ɕit̚˥ e˨˦ bin˧ t͡ɕiə̯ŋ˨˩ kau̯˥˩ kʰu˥ sˈɪvəɫ pʰˈæɹɪʃ .
Framsden sī Liân-ha̍p Ông-kok Eng-lân Tang Eng-lân Tōa-khu Suffolk Kūn ê chi̍t ê bîn-chèng kàu-khu (civil parish).	fɹˈæmzdɪn ɕi˧ li̯ɛn˧ hap̚˥ ɔŋ˧ kɔk̚˧˨ iə̯ŋ˧ lan˨˦ taŋ˥ iə̯ŋ˧ lan˨˦ tu̯a˨˩ kʰu˥ sˈʌfək kun˧ e˨˦ t͡ɕit̚˥ e˨˦ bin˧ t͡ɕiə̯ŋ˨˩ kau̯˥˩ kʰu˥ sˈɪvəɫ pʰˈæɹɪʃ .
Sambú Koān (Se-pan-gâ-gí: ) sī Panama Emberá-Wounaan Te̍k-khu ê chi̍t ê koān (distrito).	sˈæmbuː ku̯an˧ se˧ pan˧ ɡa˧ ɡi˥˩ , ɕi˧ pʰˈænəmˌɑː ɛmbˈɛɹə wˈaᶷnəjən tiə̯k̚˧˨ kʰu˥ e˨˦ t͡ɕit̚˥ e˨˦ ku̯an˧ dɪstɹˈɪt .
Ust-Labinsky Koān (Lō͘-se-a-gí: ) sī Lō͘-se-a Liân-pang Krasnodar Pian-kiong-khu ê chi̍t ê koān (raion).	jˈuːst ləbˈɪnski ku̯an˧ lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ kɹˈæsnoᶷd̬əɚ pi̯ɛn˧ ki̯ɔŋ˧ kʰu˥ e˨˦ t͡ɕit̚˥ e˨˦ ku̯an˧ ɹˈæiʲoᶷn .
Khudayberdino (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Bashkortostan Kiōng-hô-kok Kugarchinsky Koān ê chng-kha só͘-chāi (chng-thâu). Tī 2010 nî phó͘-cha ê sî-chūn, chit-ê só͘-chāi ū 378 ê lâng tòa. Chng-thâu lāi ū 3 tiâu ke-á-lō͘.	kʰˈuːd̬eᶦbɚd̬ɔː lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ bˈæʃkɔːɹt̬oᶷstˌɑːn ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈuːɡɑːɹkɪnski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ sɔ˥ t͡sai̯˧ u˧ sã˧ paʔ˥˩ t͡ɕʰit̚˥ t͡sap̚˧˨ pat̚˧˨ e˨˦ laŋ˨˦ tu̯a˨˩ . t͡sŋ̍˧ tʰau̯˨˦ lai̯˧ u˧ sã˥ ti̯au̯˨˦ ke˧ a˥ lɔ˧ .
Shkapovo (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Bashkortostan Kiōng-hô-kok Bizhbulyaksky Koān ê chng-kha só͘-chāi (chng-thâu).	ʃkəpʰˈɑːvɔː lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ bˈæʃkɔːɹt̬oᶷstˌɑːn ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ bˈiːʒbɪliʲækski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ t͡sŋ̍˧ tʰau̯˨˦ .
Agafonka (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Vladimir Chiu Alexandrovsky Koān ê chng-kha só͘-chāi (chng-thâu).	əɡˈæɛfˌoᶷŋkæ lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ vlˈæd̬əmɪɹ t͡ɕi̯u˥ əlˈɛksɑːndɹoᶷski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ t͡sŋ̍˧ tʰau̯˨˦ .
Kiar-e Gharbi Hiong () sī Iran Islam Kiōng-hô-kok Chaharmahal kap Bakhtiari Séng Kiar Kūn Tiong-iong Koān ê chi̍t ê hiong (dehestan). Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê hiong ū hō͘ jîn-ke, chóng-kiōng ū ê lâng tòa. Chit-ê hiong ē-kha ū ê chng-thâu.	kʰˈɪɑːɹ ˈiː ˈɔːŋhɑːɹbɪ hi̯ɔŋ˥ ɕi˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ t͡ʃˈɑːhɑːɹməhˌɑːɫ kap̚˧˨ bˈeᶦktʃəˌɛɹi ɕiə̯ŋ˥˩ kʰˈɪɑːɹ kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ dᵻhˈɛstən . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ u˧ hɔ˧ d͡ʑin˧ ke˥ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ . t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ e˨˩ kʰa˥ u˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Solgi Hiong () sī Iran Islam Kiōng-hô-kok Hamadan Séng Nahavand Kūn Khezel Koān ê chi̍t ê hiong (dehestan). Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê hiong ū hō͘ jîn-ke, chóng-kiōng ū ê lâng tòa. Chit-ê hiong ē-kha ū ê chng-thâu.	sˈoᶷɫd͡ʒɪ hi̯ɔŋ˥ ɕi˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ hˈɑːməd̬ˌæn ɕiə̯ŋ˥˩ nˈæhəvənd kun˧ khɛˈɑːʃɛɫ ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ dᵻhˈɛstən . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ u˧ hɔ˧ d͡ʑin˧ ke˥ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ . t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ e˨˩ kʰa˥ u˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Novosad (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Volgograd Chiu Svetloyarsky Koān ê chng-kha só͘-chāi (chū-lo̍h). Tī 2010 nî phó͘-cha ê sî-chūn, chit-ê só͘-chāi ū 508 ê lâng tòa.	nˈɑːvəsæd lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ vˈoᶷɫɡoᶷɡɹˌæd t͡ɕi̯u˥ svˈɛtlɔːjˌɑːɹski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ t͡su˨˩ ləʔ˥ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ sɔ˥ t͡sai̯˧ u˧ ɡɔ˨˩ paʔ˥˩ liə̯ŋ˧ pat̚˧˨ e˨˦ laŋ˨˦ tu̯a˨˩ .
Kashino (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Perm Pian-kiong-khu Permsky Koān ê chng-kha só͘-chāi (chng-thâu). Tī 2010 nî phó͘-cha ê sî-chūn, chit-ê só͘-chāi ū ê lâng tòa. Hia ū 2 tiâu ke-á-lō͘.	kʰˈæsʃɪnɔː lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ pʰˈɝm pi̯ɛn˧ ki̯ɔŋ˧ kʰu˥ pʰˈɝmski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ sɔ˥ t͡sai̯˧ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ . hi̯a˥ u˧ d͡ʑi˧ ti̯au̯˨˦ ke˧ a˥ lɔ˧ .
Barskukovo (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Vologda Chiu Vologodsky Koān ê chng-kha só͘-chāi (chng-thâu). Tī 2002 nî phó͘-cha ê sî-chūn, chit-ê só͘-chāi ū ê lâng tòa.	bˈæɝskəkʰˌɑːvɔː lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ vˈɑːləd͡ʒdə t͡ɕi̯u˥ vˈɑːləd͡ʒɔːˌʌdski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ d͡ʑi˧ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ sɔ˥ t͡sai̯˧ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ .
Biryukovka (Lō͘-se-a-gí: ) sī chi̍t ê tī Lō͘-se-a Liân-pang Astrakhan Chiu Privolzhsky Koān ê chng-kha só͘-chāi (selo). Tī 2010 nî phó͘-cha ê sî-chūn, chit-ê só͘-chāi ū ê lâng tòa. Hia ū 16 tiâu ke-á-lō͘.	bˈiːʲɛɹiʲˌuːkʰˌɑːvŋkə lɔ˨˩ se˧ a˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ lɔ˨˩ se˧ a˥ li̯ɛn˧ paŋ˥ ˈæstɹəkɑːn t͡ɕi̯u˥ pɹˈɪvoᶷɫʒski ku̯an˧ e˨˦ t͡sŋ̍˧ kʰa˥ sɔ˥ t͡sai̯˧ sˈeᶦloᶷ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ sɔ˥ t͡sai̯˧ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ . hi̯a˥ u˧ t͡sap̚˧˨ lak̚˥ ti̯au̯˨˦ ke˧ a˥ lɔ˧ .
Piotrowice sī chi̍t ê tī Pho-lân Kiōng-hô-kok Lublin Séng Lublin Kūn Strzyżewice Kong-siā ê chng-thâu.	piʲoᶷtɹˈoᶷɪk ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ lˈʌblɪn ɕiə̯ŋ˥˩ lˈʌblɪn kun˧ stɹzəˈɑːʃɛwˌɪ kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Gozdno sī chi̍t ê tī Pho-lân Kiōng-hô-kok Ē Silesia Séng Złotoryja Kūn Świerzawa Kong-siā ê chng-thâu.	ɡˈoᶷtsdiːʲˌɛnɔː ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ e˧ sɪlˈiːzə ɕiə̯ŋ˥˩ tslˈoᶷt̬ɚiʲeᶦjˌɑː kun˧ swˈɪɹzəwˌeᶦ kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Juszczyn sī chi̍t ê tī Pho-lân Kiōng-hô-kok Sió Pho-lân Séng Sucha Kūn Maków Podhalański Kong-siā ê chng-thâu.	d͡ʒˈʌstst͡ʃɪn ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ ɕi̯o˥˩ pʰə˧ lan˨˦ ɕiə̯ŋ˥˩ sʌʃˈæ kun˧ mˈæŋkoᶷ pəd̬əlˈænski kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Kłosowice sī chi̍t ê tī Pho-lân Kiōng-hô-kok Sai Pomerania Séng Goleniów Kūn Goleniów Kong-siā ê chng-thâu.	klˈuːzɔːwˌɪ ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ sai̯˥ pʰˌɑːmɚˈeᶦniʲə ɕiə̯ŋ˥˩ ɡˈoᶷləniʲoᶷ kun˧ ɡˈoᶷləniʲoᶷ kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Dobra sī chi̍t ê tī Pho-lân Kiōng-hô-kok Podkarpackie Séng Sanok Kūn Sanok Kong-siā ê chng-thâu.	dəbɹˈæ ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ pədkˈɑːɹpəki ɕiə̯ŋ˥˩ sˈænɔːk kun˧ sˈænɔːk kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Pieczonogi sī chi̍t ê tī Pho-lân Kiōng-hô-kok Świętokrzyskie Séng Staszów Kūn Oleśnica Kong-siā ê chng-thâu.	pʰˈɪt͡ʃɑːnɔːd͡ʒɪ ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ swˈiːtkɚzˌɪski ɕiə̯ŋ˥˩ stˈæʃoᶷ kun˧ oᶷlˈɛsnɪkə kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Ngantru sī Ìn-tō͘-nî-se-a Tang Jawa Séng Tulungagung Koān ê chi̍t ê hiong (kecamatan).	ˈæŋɡəntɹˌuː ɕi˧ in˥˩ tɔ˨˩ ni˧ se˧ a˥ taŋ˥ jˈʌweᶦ ɕiə̯ŋ˥˩ tʰˈʌʌŋɡˌeᶦd͡ʒˌʌŋɡ ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ hi̯ɔŋ˥ kəkʰˈæmæt̬ən .
Deh Mozaffar (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Razavi Khorasan Séng Mashhad Kūn Tiong-iong Koān Tabadkan Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	dˈʌ mˌoᶷzæfˈɑːɹ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ ɹˈæzɑːvˌiː khˌʊɚəˈɛseᶦn ɕiə̯ŋ˥˩ mˈæʃæd kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ tʰˈʌbeᶦdkən hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Salanquch (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Razavi Khorasan Séng Quchan Kūn Tiong-iong Koān Shirin Darreh Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	sˈælæŋkwʃ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ ɹˈæzɑːvˌiː khˌʊɚəˈɛseᶦn ɕiə̯ŋ˥˩ kwt͡ʃˈæn kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ ʃˈɪɹən dɑːɹˈɛ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Faleh-e Sarqaleh (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Khuzestan Séng Izeh Kūn Susan Koān Susan-e Sharqi Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	fˈeᶦɫ ˈiː sˈɑːɹkɑːli pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈuːɑːʃɛstˌæn ɕiə̯ŋ˥˩ ɪzˈɛ kun˧ sˈuːzən ku̯an˧ sˈuːzən ˈiː shˈɑːɹkiː hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Seyyed Hoseyn Musavi (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Khuzestan Séng Ahvaz Kūn Hamidiyeh Koān Jahad Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	sˈɔᶦd ˈɑːzeᶦn mjuːsˈɑːvi pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈuːɑːʃɛstˌæn ɕiə̯ŋ˥˩ ˈɑːvəts kun˧ θəmˈɪd̬əjˌɛ ku̯an˧ jəʃˈæd hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Pardez (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Isfahan Séng Isfahan Kūn Kuhpayeh Koān Tudeshk Hiong ê chng-thâu.	pʰɑːɹdˈɛts pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ ˈaᶦsfəhæn ɕiə̯ŋ˥˩ ˈaᶦsfəhæn kun˧ kʰˈuːpʰeᶦ ku̯an˧ tʰˈuːdzk hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Golugachi (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Fars Séng Larestan Kūn Juyom Koān Juyom Hiong ê chng-thâu.	ɡˈoᶷluːɡət͡ʃ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ fˈɑːɹz ɕiə̯ŋ˥˩ lˈɑːɹɛstən kun˧ d͡ʒˈʌeᶦˌɔːm ku̯an˧ d͡ʒˈʌeᶦˌɔːm hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Kordovan-e Olya (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Bushehr Séng Dashti Kūn Kaki Koān Kabgan Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ŋkoᶷɚdˈoᶷvən ˈiː ˌɑːliːʲˈæ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ bəʃˈɛɹ ɕiə̯ŋ˥˩ dˈæʃə kun˧ kʰˈækɪ ku̯an˧ ŋkˈʌbɡən hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
