Категори:Алфавите кура администрациллӗ виҫесем	kadeɡoˈri , alfaʋiˈde kuˈra administraˈt͡silːɘ ʋiʑeˈzem
375 çул. Тухăç енчен Европăна хунсемпе алансем вĕçтерсе килсе кĕнĕ, Балтипе Хура тинĕс хушшинче вырнаçнă остготсен патшалăхне çĕмĕрсе тухнă.	ˈʋiɕ ˈɕɘr ˈɕitmɘl ˈpilɘk ˈɕul . ˈtuɣəɕ jenˈd͡ʑen jeʋrobəˈna χunzemˈbe alanˈzem ʋɘɕterˈze kilˈze ˈkɘnɘ , baldiˈbe χuˈra ˈtinɘs χuʂːinˈd͡ʑe ʋɯrˈnaɕnə ostɡotˈsen patʂaləχˈne ɕɘmɘrˈze ˈtuχnə .
Кĕçĕн Толкай ял тăрăхĕ (Кĕçĕн Толкай ч. ялĕсем, Камышевка, Передовка, Шиповка паççулкăсем, Тунгуз ч/ç разъезчĕ)	ˈkɘʑɘn tolˈɡaj ˈjal ˈtərəɣɘ ˈkɘʑɘn tolˈɡaj t͡ɕ . jalɘˈzem , kamɯʐeʋˈka , peredoʋˈka , ʂiboʋˈka paɕːulkəˈzem , tunˈɡuz t͡ɕ sˈiː razˈjezt͡ɕɘ
Илейка Муромец (? — 1608) — И. И. Болотников пăлхавĕн (1606—07) терĕк касакĕсен атаманĕ.	ilejˈɡa muroˈmet͡s ? ˈpin ˈult ˈɕɘr ˈsakːər ˈi ˈi bolotniˈɡoʋ pəlˈɣaʋɘn ˈpin ˈult ˈɕɘr ˈultːə , ˈɕit͡ɕːɘ ˈterɘk kazaɡɘˈzen adaˈmanɘ .
Категори:Вольф преми (математика) лауреачĕсем	kadeɡoˈri , ˈʋolʲf preˈmi mademadiˈɡa lauread͡ʑɘˈzem
\sum c_I x_1^{i_1}x_2^{i_2}...x_n^{i_n} ,	sˈiː ˈaᶦ ˈɛks pɘˈrːe ˈaᶦ pɘˈrːe ˈɛks ˈikːɘ ˈaᶦ ˈikːɘ . ˈɛks ˈɛn ˈaᶦ ˈɛn ,
Демидов Акинфий Никитич (1678 — 5 августа 1745) — Демидовсен ăрăвĕнчи вырăс усламçи, Никита Демидовăн ывăлĕ, Алтайра ту-ĕçлĕх промăçлăхне никĕслекенĕ.	demiˈdoʋ aɡinˈfij niɡiˈdit͡ɕ ˈpin ˈult ˈɕɘr ˈɕitmɘl ˈsakːər , ˈpilɘk aʋɡusˈta ˈpin ˈɕit͡ɕ ˈɕɘr ˈχɘrɘχ ˈpilːɘk demidoʋˈsen ərəʋɘnˈd͡ʑi ˈʋɯrəs uslamˈʑi , niɡiˈda demiˈdoʋən ˈɯʋəlɘ , aldajˈra ˈtu ˈɘɕlɘχ proməɕləχˈne niɡɘsleˈɡenɘ .
Ăсчахсем çирĕплетнĕ тăрăх, халăх тимĕр шăратма, унпа усă курма виçĕ пин çул каяллах пуçланă. Çак вăхăтран тимĕр ĕмĕрĕ, тимĕр тапхăрĕ пуçланнă тесе шутлаççĕ. Тĕрĕк халăхĕ «тимĕр» сăмаха китай чĕлхинчи «тиетмур - тимĕр япали» сăмахран йышăннă тесе ĕнентереççĕ.	əst͡ɕaχˈsem ɕirɘpˈletnɘ ˈtərəχ , ˈχaləχ ˈtimɘr ʂəratˈma , unˈba ˈuzə kurˈma ˈʋiʑɘ ˈpin ˈɕul kajaˈlːaχ puɕˈlanə . ˈɕak ʋəɣətˈran ˈtimɘr ˈɘmɘrɘ , ˈtimɘr ˈtapχərɘ puɕˈlanːə teˈze ʂutˈlaɕːɘ . ˈtɘrɘk ˈχaləɣɘ ˈtimɘr səmaˈɣa kiˈdaj t͡ɕɘlɣinˈd͡ʑi tijetˈmur ˈtimɘr jabaˈli səmaχˈran ˈjɯʐənːə teˈze ɘnendeˈreɕːɘ .
Республика Калмыкин Ертӳлĕхĕн официаллă сайчĕ	respubliˈɡa kalmɯˈɡin jerˈdylɘɣɘn ofit͡siˈalːə ˈsajd͡ʑɘ
Шăл (пĕрчĕ) – шутсăр е шутлă япалан чи пĕчĕк пайĕ	ˈʂəl ˈpɘrt͡ɕɘ ˈʂutsər ˈje ˈʂutlə jabaˈlan ˈt͡ɕi ˈpɘd͡ʑɘk ˈpajɘ
Тарле Е. В. Çурçĕр вăрçи тата шведсем Раççее тапăнни	tarˈle ˈje ˈʋe ˈɕurɕɘr ʋərˈʑi taˈda ʂʋedˈsem raɕːeˈje tabəˈnːi
Герб çинче кăвак тĕс çинче вĕрçĕлен çийĕнче çӳлте тăракан таса Маргарита. Аллисенче ылтăн оливкă турачĕпе ылтăн хĕç.	ˈɡerb ɕinˈd͡ʑe kəˈʋak ˈtɘs ɕinˈd͡ʑe ʋɘrɕɘˈlen ɕijɘnˈd͡ʑe ɕylˈde təraˈɡan taˈza marɡariˈda . alːizenˈd͡ʑe ˈɯltən oˈliʋkə turad͡ʑɘˈbe ˈɯltən ˈχɘɕ .
iPhone/iPod Touch çинчи итал-вырас сăмахсарĕ тата кашнин хăйĕн вĕренмелли кĕнеке	ˈaᶦfoᶷn ˈaᶦpʰɑːd tʰˈʌt͡ʃ ɕinˈd͡ʑi iˈdal ʋɯˈras səmaχˈsarɘ taˈda kaʂˈnin ˈχəjɘn ʋɘrenmeˈlːi kɘneˈɡe
Плутони питĕ наркăмăшлă: шывпа ĕçлекен пӳлĕмсенчи ПДК ²³⁹Pu валли 81,4 тата 3,3*10 −5 Бк/л.	pludoˈni ˈpidɘ ˈnarkəməʂlə , ʂɯʋˈpa ɘɕleˈɡen pylɘmzenˈd͡ʑi ˈpe ˈde ˈka pʰˈuː ʋaˈlːi saɡərˈʋunːə pɘˈrːe χyreʂˈke təˈʋatːə taˈda ˈʋiɕːɘ χyreʂˈke ˈʋiɕːɘ ˈʋunːə ˈpilɘk bk l .
1976 çулта Çĕпĕрти ялхуçалăха механизацилес тата электрофикацилес енĕпе ĕслекен тĕпчев институчĕн аспирантурине пĕлӳ пухма кĕнĕ. Ялхуçалăх машинисене юсаса çĕнетес енĕпе çĕнĕлĕхсем кĕртсе диссертаци хайласа 1979 çулта ăнăçлă хӳтелет, техника ăслăхĕсен кандидачĕ пулса тăрать.	ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈult ɕulˈda ɕɘbɘrˈdi jalɣuʑaləˈɣa meɣanizat͡siˈles taˈda elektrofiɡat͡siˈles jenɘˈbe ɘsleˈɡen tɘpˈt͡ɕeʋ instiˈdud͡ʑɘn aspiranduriˈne pɘˈly puχˈma ˈkɘnɘ . jalɣuˈʑaləχ maʐinizeˈne juzaˈza ɕɘneˈdes jenɘˈbe ɕɘnɘlɘχˈsem kɘrtˈse disːerdaˈt͡si χajlaˈza ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈtəɣər ɕulˈda ˈənəɕlə χydeˈlet , teχniˈɡa əsləɣɘˈzen kandiˈdad͡ʑɘ pulˈza təˈratʲ .
Раççей Федерацин ютçĕр ĕçĕсен министерстви, Раççей ЮÇӖМ — Раççей Федерацин ĕçтăвакан влаçăн федераци органĕ .	raˈɕːej federaˈt͡sin ˈjutɕɘr ɘʑɘˈzen ministerstˈʋi , raˈɕːej ˈjuʑɘm raˈɕːej federaˈt͡sin ɘɕtəʋaˈɡan ʋˈlaʑən federaˈt͡si orˈɡanɘ .
Коротаева Л.В. ПУШКĂРТСТАН РЕСПУБЛИКИНЧЕ ПУРĂНАКАН ЧĂВАШСЕН ВЫРĂНТИ КАЛАÇУ УЙРĂМЛĂХĔСЕНЕ ТĔПЧЕНИН КĔСКЕ КУН-ÇУЛĔ // ЭКСПЕДИЦИОННЫЙ ВЕСТНИК СФ БашГУ : сб. научных трудов / отв. ред. В.Н. Кризский; зам. отв. ред. Л.А. Афанасьева. – Стерлитамак : Стерлитамакский филиал БашГУ, 2018. – 155 с. – ISBN 978-5-86111-639-8	korodajeˈʋa ˈelʲ ˈʋe puʂkərtsˈtan respubliɡinˈd͡ʑe purənaˈɡan t͡ɕəʋaʂˈsen ʋɯrənˈdi kalaˈʑu ujrəmləɣɘzeˈne tɘpt͡ɕeˈnin kɘsˈke ˈkun ˈɕulɘ ˈe ˈka ˈes ˈpe ˈje ˈde ˈi ˈt͡se ˈi ˈo ˈen ˈen ˈɯ kɘsˈke ˈi ˈʋe ˈje ˈes ˈte ˈen ˈi ˈka ˈes ˈef baʂˈɡu , sb . naut͡ɕˈnɯχ truˈdoʋ ˈotʋ . ˈred . ˈʋe ˈen krizsˈkij , ˈzam . ˈotʋ . ˈred . ˈelʲ ˈa afanasʲjeˈʋa . sterlidaˈmak , sterlidamaksˈkij filiˈal baʂˈɡu , ˈik ˈpin ˈʋun ˈsakːər . ˈɕɘr ˈalːə ˈpilɘk s . ˌaᶦˌɛsbiːʲˈɛn ˈtəɣər ˈɕɘr ˈɕitmɘl ˈsakːər , ˈpilːɘk , saɡərˈʋunːə ˈult ˈpin ˈɕɘr ˈʋun pɘˈrːe , ˈult ˈɕɘr ˈʋədər ˈtəχːər , ˈsakːər
ГУЛаг (Главное управление исправительно-трудовых лагерей, трудовых поселений и мест заключения) — СССР ШĔХК, шалти ĕçсен министерствин, юстици министерствин 1934—1960 çулсенче ĕçпе тӳрлетес лагерĕсен системине (ĔТЛ) ертсе пынă уйрăм пайĕ, СССР политика репресси системин паллă органĕ. Çавăн пекех ГУЛАГ аббревиатурăпа та усă кураççĕ.	ɡuˈlaɡ ɡlaʋnoˈje upraʋleniˈje ispraʋidelʲˈno trudoˈʋɯχ laɡeˈrej , trudoˈʋɯχ pozeleˈnij ˈi ˈmest zakljud͡ʑeniˈja ˈes ˈes ˈes ˈer ˈʂa ˈɘ ˈχa ˈka , ʂalˈdi ɘɕˈsen ministerstˈʋin , justiˈt͡si ministerstˈʋin ˈpin ˈtəɣər ˈɕɘr ˈʋədər təˈʋatːə , ˈpin ˈtəɣər ˈɕɘr ˈutməl ɕulzenˈd͡ʑe ɘɕˈpe tyrleˈdes laɡerɘˈzen sistemiˈne ˈɘ ˈte ˈelʲ jertˈse ˈpɯnə ˈujrəm ˈpajɘ , ˈes ˈes ˈes ˈer polidiˈɡa repreˈsːi sisteˈmin ˈpalːə orˈɡanɘ . ˈɕaʋən peˈɡeχ ɡuˈlaɡ abːreʋiadurəˈba ˈta ˈuzə kuˈraɕːɘ .
Игнатьев Михаил Васильевич — Чăваш Енĕн иккĕмĕш президенчĕ. Чăн та, каярахпа «Чăваш республикин Президенчĕ» текен титула пăрахăçланă. Унăн вырăнне «Чăваш республикин Пуçлăхĕ» теме пуçланă. Анчах та Михаил Васильевич «Президент» ята йăтса çÿресе курнă çын.	iɡnatʲˈjeʋ miɣaˈil ʋazilʲjeˈʋit͡ɕ t͡ɕəˈʋaʂ ˈjenɘn ˈikːɘmɘʂ preziˈdend͡ʑɘ . ˈt͡ɕən ˈta , kajaraχˈpa t͡ɕəˈʋaʂ respubliˈɡin preziˈdend͡ʑɘ teˈɡen tiduˈla pəraɣəɕˈlanə . ˈunən ʋɯrəˈnːe t͡ɕəˈʋaʂ respubliˈɡin ˈpuɕləɣɘ teˈme puɕˈlanə . anˈd͡ʑaχ ˈta miɣaˈil ʋazilʲjeˈʋit͡ɕ preziˈdent jaˈda jətˈsa ɕ wˈaᶦ reˈze ˈkurnə ˈɕɯn .
Michael Harner: Der Weg des Schamanen, München, Ullstein, 2004, 247 Seiten, ISBN 3-548-74042-1	mˈaᶦkəɫ hˈɑːɹnɚ , dˈɝ wˈɛɡ dˈɛs ʃˈeᶦmənən , mˈʌnt͡ʃɛn , ˈʌɫstaᶦn , ˈik ˈpin təˈʋatːə , ˈik ˈɕɘr ˈχɘrɘχ ˈɕit͡ɕːɘ sˈaᶦtn , ˌaᶦˌɛsbiːʲˈɛn ˈʋiɕːɘ , ˈpilɘk ˈɕɘr ˈχɘrɘχ ˈsakːər , ˈɕitmɘl təˈʋat ˈpin ˈχɘrɘχ ˈikːɘ , pɘˈrːe
Тăвай ял тăрăхĕ — Чăваш Енĕн Тăвай районĕнчи ял тăрăхĕ.	təˈʋaj ˈjal ˈtərəɣɘ t͡ɕəˈʋaʂ ˈjenɘn təˈʋaj rajonɘnˈd͡ʑi ˈjal ˈtərəɣɘ .
Партизансем пытаннă ту хушăкне йĕри-тавра «шуррисем» ярса илнĕ, вĕсене выçлăхпа туртса кăларасшăн. Кафтанов Йăвана тыткăна лекнĕ Панкрат Назарова персе пăрахма хушать, анчах та лешĕ пĕр ял çыннине ирĕке ярать.	pardizanˈzem pɯˈdanːə ˈtu χuʐəkˈne jɘˈri taʋˈra ʂurːiˈzem jarˈza ˈilnɘ , ʋɘzeˈne ʋɯɕləχˈpa turtˈsa kəlaˈrasʂən . kaftaˈnoʋ jəʋaˈna tɯtkəˈna ˈleknɘ pankˈrat nazaroˈʋa perˈze pəraχˈma χuˈʐatʲ , anˈd͡ʑaχ ˈta ˈleʐɘ ˈpɘr ˈjal ɕɯnːiˈne irɘˈɡe jaˈratʲ .
«Русская Аляска. Продано! Тайна сделки», документлă фильм, ВГТРК, 2010 ç.	rusːkaˈja aljasˈka . prodaˈno ! tajˈna sdelˈɡi , doɡuˈmentlə ˈfilʲm , ˈʋe ˈɡe ˈte ˈer ˈka , ˈik ˈpin ˈʋunːə sˈiː .
Green College (1979) (2008 çулта Templeton College пĕрлешнĕ те Green Templeton College пулса тăнă)	ɡɹˈiːn kʰˈɑːlɪd͡ʒ ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈtəχːər ˈik ˈpin ˈsaɡər ɕulˈda tʰˈɛmpəɫtən kʰˈɑːlɪd͡ʒ pɘrˈleʂnɘ ˈte ɡɹˈiːn tʰˈɛmpəɫtən kʰˈɑːlɪd͡ʒ pulˈza ˈtənə
Michael Franke: Wolof für den Senegal, Wort für Wort. Kauderwelsch. Band 89, ISBN 3-89416-280-5	mˈaᶦkəɫ fɹˈæŋk , wˈoᶷloᶷf fˈɝ dˈɛn sˌɛnəɡˈɔːɫ , wˈɝ fˈɝ wˈɝ . kʰˈɔːd̬ɚwɫʃ . bˈænd saɡərˈʋunːə ˈtəχːər , ˌaᶦˌɛsbiːʲˈɛn ˈʋiɕːɘ , saɡərˈʋunːə ˈtəɣər ˈpin təˈʋat ˈɕɘr ˈʋun ˈultːə , ˈik ˈɕɘr saɡərˈʋunːə , ˈpilːɘk
Уильям Уайлер Анна рольне сăнарлама Джин Симмонса чĕннĕ пулнă, актрисăн фильмра выляма вăхăт çуккипе кăштах ĕнтĕ проекта чарса лартман.	uilʲˈjam uajˈler aˈnːa rolʲˈne sənarlaˈma dˈʒin simːonˈza ˈt͡ɕɘnːɘ ˈpulnə , aktˈrizən filʲmˈra ʋɯljaˈma ˈʋəɣət ɕukːiˈbe kəʂˈtaχ ˈɘndɘ projekˈta t͡ɕarˈza lartˈman .
Rayment, L. (2003). «Knights of the Thistle.»	ɹˈeᶦmənt , ˈɛɫ . ˈik ˈpin ˈʋiɕːɘ . nˈaᶦts ˈʌv ðˈə θˈɪsəɫ .
генерал-лейтенант Боголюбов А. Н. (чӳк, 1943 ç. — ака, 1944 ç.);	ɡeneˈral lejdeˈnant boɡoljuˈboʋ ˈa ˈen ˈt͡ɕyk , ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ ˈʋiɕːɘ sˈiː . aˈɡa , ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ təˈʋatːə sˈiː ,
Почтă индексĕ — 452097, ОКАТО кочĕ — 80244870001.	ˈpot͡ɕtə inˈdeksɘ təˈʋat ˈɕɘr ˈalːə ˈik ˈpin təɣərˈʋunːə ˈɕit͡ɕːɘ , oɡaˈdo ˈkod͡ʑɘ saɡərˈʋunːə milːiˈard ˈik ˈɕɘr ˈχɘrɘχ təˈʋat milːiˈon ˈsaɡər ˈɕɘr ˈɕitmɘl ˈpin pɘˈrːe .
Кубагушево — Пушкăрт Республикин Учала районĕнче вырнаçнă пурăнан вырăн. 2009 çулхи кăрлачăн 1-мĕшĕ тĕлне кунта 410 çын пурăннă.	kubaɡuʐeˈʋo ˈpuʂkərt respubliˈɡin ud͡ʑaˈla rajonɘnˈd͡ʑe ʋɯrˈnaɕnə purəˈnan ˈʋɯrən . ˈik ˈpin ˈtəɣər ɕulˈɣi kərˈlad͡ʑən pɘˈrːemɘʐɘ tɘlˈne kunˈda təˈʋat ˈɕɘr ˈʋun ˈɕɯn ˈpurənːə .
Çĕнĕ Мушта — Пушкăрт Республикин Хĕрлĕ Чулман Атăл районĕнче вырнаçнă пурăнан вырăн. 2009 çулхи кăрлачăн 1-мĕшĕ тĕлне кунта 292 çын пурăннă.	ˈɕɘnɘ muʂˈta ˈpuʂkərt respubliˈɡin ˈχɘrlɘ t͡ɕulˈman ˈadəl rajonɘnˈd͡ʑe ʋɯrˈnaɕnə purəˈnan ˈʋɯrən . ˈik ˈpin ˈtəɣər ɕulˈɣi kərˈlad͡ʑən pɘˈrːemɘʐɘ tɘlˈne kunˈda ˈik ˈɕɘr təɣərˈʋunːə ˈik ˈɕɯn ˈpurənːə .
Гидрологи тĕпчевленӳ кочĕ (ГТ) — 115203853	ɡidroloˈɡi tɘpt͡ɕeʋleˈny ˈkod͡ʑɘ ˈɡe ˈte ˈɕɘr ˈʋun ˈpilɘk milːiˈon ˈik ˈɕɘr ˈʋiɕ ˈpin ˈsaɡər ˈɕɘr ˈalːə ˈʋiɕːɘ
Кындара — Раççей территоринчи юханшыв. Томск облаçĕ, Омск облаçĕ, Çĕн Çĕпĕр облаçĕ территорипе юхать . Тамырсат юханшыва юхса кĕрет. Юханшыв тăршшĕ 10 км.	kɯndaˈra raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . ˈtomsk obˈlaʑɘ , ˈomsk obˈlaʑɘ , ˈɕɘn ˈɕɘbɘr obˈlaʑɘ terːidoriˈbe juˈɣatʲ . tamɯrˈzat juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun kiloˈmetr .
Калуайры — Раççей территоринчи юханшыв. Пушкăрт Республики территорипе юхать . Мăн Шишеняк юханшыва юхса кĕрет. Юханшыв тăршшĕ 14 км.	kaluajˈrɯ raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . ˈpuʂkərt respubliˈɡi terːidoriˈbe juˈɣatʲ . ˈmən ʂiʐenˈjak juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun təˈʋat kiloˈmetr .
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 10010300312111100036048	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ pɘˈrːe ˈnolʲ ˈnolʲ pɘˈrːe ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈʋiɕːɘ pɘˈrːe ˈikːɘ pɘˈrːe pɘˈrːe pɘˈrːe pɘˈrːe ˈnolʲ ˈnolʲ ˈnolʲ ˈʋiɕːɘ ˈultːə ˈnolʲ təˈʋatːə ˈsakːər
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 10010300412111100037532	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ pɘˈrːe ˈnolʲ ˈnolʲ pɘˈrːe ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ təˈʋatːə pɘˈrːe ˈikːɘ pɘˈrːe pɘˈrːe pɘˈrːe pɘˈrːe ˈnolʲ ˈnolʲ ˈnolʲ ˈʋiɕːɘ ˈɕit͡ɕːɘ ˈpilːɘk ˈʋiɕːɘ ˈikːɘ
Мишъёль — Раççей территоринчи юханшыв. Коми Республики территорипе юхать . Лемью юханшыва юхса кĕрет. Юханшыв тăршшĕ 10 км.	miʂˈjolʲ raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . koˈmi respubliˈɡi terːidoriˈbe juˈɣatʲ . lemʲˈju juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun kiloˈmetr .
Гидрологи тĕпчевленӳ кочĕ (ГТ) — 103000851	ɡidroloˈɡi tɘpt͡ɕeʋleˈny ˈkod͡ʑɘ ˈɡe ˈte ˈɕɘr ˈʋiɕ milːiˈon ˈsaɡər ˈɕɘr ˈalːə pɘˈrːe
Кубанка (Гизал-Дон юппи) — Раççей территоринчи юханшыв. Çурçĕр Осети территорипе юхать . Гизал-Дон юханшыва юхса кĕрет. Юханшыв тăршшĕ 11 км.	kubanˈɡa ɡiˈzal ˈdon juˈpːi raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . ˈɕurɕɘr ozeˈdi terːidoriˈbe juˈɣatʲ . ɡiˈzal ˈdon juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun ˈpɘr kiloˈmetr .
Нахой (Юханшыв) — Раççей территоринчи юханшыв. Сарăту облаçĕ территорипе юхать . Мăн Караман юханшыва юхса кĕрет. Юханшыв тăршшĕ 48 км.	naˈɣoj juɣanˈʐɯʋ raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . sarəˈdu obˈlaʑɘ terːidoriˈbe juˈɣatʲ . ˈmən karaˈman juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈχɘrɘχ ˈsaɡər kiloˈmetr .
Алексеевка — Самар облаçĕнчи Кушкă районĕн ялĕ. Шкулта 2 вулавăш, культура çурчĕ, шкул пур.	aleksejeʋˈka saˈmar oblaʑɘnˈd͡ʑi ˈkuʂkə raˈjonɘn ˈjalɘ . ʂkulˈda ˈik ʋuˈlaʋəʂ , kulʲduˈra ˈɕurt͡ɕɘ , ʂˈkul ˈpur .
Ошшор — Раççей территоринчи юханшыв. Коми Республики, Ненец АО территорипе юхать . Колва юханшывăн сулахай çыранĕпе, 303 км вăрринчен юханшыва юхса кĕрет. Юханшыв тăршшĕ 29 км.	oˈʂːor raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . koˈmi respubliˈɡi , neˈnet͡s aˈo terːidoriˈbe juˈɣatʲ . kolˈʋa juɣanˈʐɯʋən sulaˈɣaj ɕɯranɘˈbe , ˈʋiɕ ˈɕɘr ˈʋiɕ kiloˈmetr ʋərːinˈd͡ʑen juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈɕirɘm ˈtəɣər kiloˈmetr .
Пертюг (Грязный Пертюг) — Раççей территоринчи юханшыв. Вологда облаçĕ,Киров облаçĕ,Коми Республики территорипе юхать . Кипшенга юханшывăн сулахай çыранĕпе, 51 км вăрринчен юханшыва юхса кĕрет. Юханшыв тăршшĕ 18 км.	pertˈjuɡ ɡrjazˈnɯj pertˈjuɡ raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . ʋoloɡˈda obˈlaʑɘ , kiˈroʋ obˈlaʑɘ , koˈmi respubliˈɡi terːidoriˈbe juˈɣatʲ . kipʂenˈɡa juɣanˈʐɯʋən sulaˈɣaj ɕɯranɘˈbe , ˈalːə ˈpɘr kiloˈmetr ʋərːinˈd͡ʑen juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun ˈsaɡər kiloˈmetr .
Гидрологи тĕпчевленӳ кочĕ (ГТ) — 103005614	ɡidroloˈɡi tɘpt͡ɕeʋleˈny ˈkod͡ʑɘ ˈɡe ˈte ˈɕɘr ˈʋiɕ milːiˈon ˈpilɘk ˈpin ˈult ˈɕɘr ˈʋun təˈʋatːə
Сулахай Мюмдя-Хэвы-Яха — Раççей территоринчи юханшыв. Ямал-Ненец автономлă тăрăхĕ/Ненец АО/Коми Республики территорипе юхать. Юханшыв Мюмдя-Хэвы-Яха юханшывăн сулахай çыранĕпе юппинчен 27 км юхса кĕрет. Юханшыв тăршшĕ 23 км.	sulaˈɣaj mjumdˈja χeˈʋɯ jaˈɣa raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . jaˈmal neˈnet͡s aʋtoˈnomlə ˈtərəɣɘ neˈnet͡s aˈo koˈmi respubliˈɡi terːidoriˈbe juˈɣatʲ . juɣanˈʐɯʋ mjumdˈja χeˈʋɯ jaˈɣa juɣanˈʐɯʋən sulaˈɣaj ɕɯranɘˈbe jupːinˈd͡ʑen ˈɕirɘm ˈɕit͡ɕ kiloˈmetr juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈɕirɘm ˈʋiɕ kiloˈmetr .
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 15050000212115300079693	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ pɘˈrːe ˈpilːɘk ˈnolʲ ˈpilːɘk ˈnolʲ ˈnolʲ ˈnolʲ ˈnolʲ ˈikːɘ pɘˈrːe ˈikːɘ pɘˈrːe pɘˈrːe ˈpilːɘk ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈɕit͡ɕːɘ ˈtəχːər ˈultːə ˈtəχːər ˈʋiɕːɘ
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 03030000312103000042200	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈnolʲ ˈʋiɕːɘ pɘˈrːe ˈikːɘ pɘˈrːe ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈnolʲ təˈʋatːə ˈikːɘ ˈikːɘ ˈnolʲ ˈnolʲ
Вăта Берёзовка — Раççей территоринчи юханшыв. Томск облаçĕ, Красноярск Ен территорипе юхать. Юханшыв Тури Берёзовка юханшывăн сулахай çыранпе вăрринчен 32 км юхса кĕрет. Юханшыв тăршшĕ 39 км.	ʋəˈda berjozoʋˈka raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . ˈtomsk obˈlaʑɘ , krasnoˈjarsk ˈjen terːidoriˈbe juˈɣatʲ . juɣanˈʐɯʋ tuˈri berjozoʋˈka juɣanˈʐɯʋən sulaˈɣaj ɕɯranˈbe ʋərːinˈd͡ʑen ˈʋədər ˈik kiloˈmetr juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋədər ˈtəɣər kiloˈmetr .
Кĕçĕн Чибий — Раççей территоринчи юханшыв. Краснодар Ен, Адыгей территорипе юхать. Юханшыв Чибий юханшывăн сылтăм çыранпе вăрринчен 33 км юхса кĕрет. Юханшыв тăршшĕ 16 км.	ˈkɘʑɘn t͡ɕiˈbij raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . krasnoˈdar ˈjen , adɯˈɡej terːidoriˈbe juˈɣatʲ . juɣanˈʐɯʋ t͡ɕiˈbij juɣanˈʐɯʋən ˈsɯltəm ɕɯranˈbe ʋərːinˈd͡ʑen ˈʋədər ˈʋiɕ kiloˈmetr juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun ˈult kiloˈmetr .
