Ikiyaga Tanganyika · Uruzi Ruvubu · Ikiyaga Rwihinda	ikijaɡa taŋaɲika uɾuzi ɾuvubu ikijaɡa ɾwihinda
Amazi y’uruzi rwa Mbam ava ahanini mu mvura nyinshi igwa mu karere k’amashyamba ya Cameroun. Imigezi mito mito iva mu bibaya n’imisozi ihurira hamwe ikagira uruzi rukuru.	amazi j uɾuzi ɾwa mbam ava ahanini mu mvuɾa ɲinʃi iɡwa mu kaɾeɾe k amaʃʲamba ja t͡ʃameɾoun . imiɡezi mito mito iva mu bibaja n imisozi ihuɾiɾa hamwe ikaɡiɾa uɾuzi ɾukuɾu .
Uruzi rwa Shashe ni uruzi rukomeye mu karere ka Afrika y’Ubumanuko, rufise uruhara runini mu kugaburira uruzi rwa Limpopo no mu gushigikira ubuzima bw’abantu n’ibinyabuzima. Naho ruhura n’ingorane z’imvura idahoraho n’ihindagurika ry’ibihe, rukomeje kuba isoko ry’iterambere, ubuhinzi n’ubworozi mu bihugu rurimwo.	uɾuzi ɾwa ʃaʃe ni uɾuzi ɾukomeje mu kaɾeɾe ka afɾika j ubumanuko , ɾufise uɾuhaɾa ɾunini mu kuɡabuɾiɾa uɾuzi ɾwa limpopo no mu ɡuʃiɡikiɾa ubuzima bw abantu n ibiɲabuzima . naho ɾuhuɾa n iŋoɾane z imvuɾa idahoɾaho n ihindaɡuɾika ɾʲ ibihe , ɾukomed͡ʒe kuba isoko ɾʲ iteɾambeɾe , ubuhinzi n ubwoɾozi mu bihuɡu ɾuɾimwo .
Isuri iterwa n’ugucukura amatongo ku nkengera z’uruzi	isuɾi iteɾwa n uɡut͡ʃukuɾa amatoŋo ku nkeŋeɾa z uɾuzi
imihindagurikire y’ibihe (climate change)	imihindaɡuɾikiɾe j ibihe t͡ʃlimate t͡ʃhaŋe
rufite umuvuduko mwinshi mu bice byo hejuru	ɾufite umuvuduko mwinʃi mu bit͡ʃe bʲo hed͡ʒuɾu
Rufatwa nk’uruzi runini mu gutwara amazi yo mu mujyi wa Kigali n’ibice bikikije.	ɾufatwa nk uɾuzi ɾunini mu ɡutwaɾa amazi jo mu muɡʲi wa kiɡali n ibit͡ʃe bikikid͡ʒe .
Uhumane ry’amazi riva mu myanda yo mu bisagara	uhumane ɾʲ amazi ɾiva mu mʲanda jo mu bisaɡaɾa
Aborozi bakoresha amazi y’uruzi mu kuvomera ibitungwa nk’inka, ihene n’intama, cane cane mu bihe vy’izuba.	aboɾozi bakoɾeʃa amazi j uɾuzi mu kuvomeɾa ibituŋwa nk inka , ihene n intama , t͡ʃane t͡ʃane mu bihe vʲ izuba .
Rufasha mu kuhira imyaka, cane cane mu bice bifise imvura idahagije. Imirima ikikije uru ruzi ikura neza kubera amazi aboneka hafi.	ɾufaʃa mu kuhiɾa imʲaka , t͡ʃane t͡ʃane mu bit͡ʃe bifise imvuɾa idahaɡid͡ʒe . imiɾima ikikid͡ʒe uɾu ɾuzi ikuɾa neza kubeɾa amazi aboneka hafi .
Uruzi rufasha mu kubungabunga ubuzima bw’ibinyabuzima bito bito vyo mu mazi n’inkengera zarwo, nk’amafi mato, udukoko tw’amazi n’ibimera vyo mu migezi.	uɾuzi ɾufaʃa mu kubuŋabuŋa ubuzima bw ibiɲabuzima bito bito vʲo mu mazi n inkeŋeɾa zaɾwo , nk amafi mato , udukoko tw amazi n ibimeɾa vʲo mu miɡezi .
Ni uruzi rufise akamaro mu buzima bw’abantu, mu buhinzi, mu bidukikije, no mu gutanga amazi mu bice vyumye vya Afrika y’Ubuseruko.	ni uɾuzi ɾufise akamaɾo mu buzima bw abantu , mu buhinzi , mu bidukikid͡ʒe , no mu ɡutaŋa amazi mu bit͡ʃe vʲumʲe vʲa afɾika j ubuseɾuko .
Gukomeza uruja n’uruza rw’amazi mu gihe c’imvura	ɡukomeza uɾud͡ʒa n uɾuza ɾw amazi mu ɡihe t͡ʃ imvuɾa
Ethiope ifatwa n’abantu benshi nk’imwe mu nzuzi zifise amazi meza cane muri Nigeria, kandi ifise akamaro kanini mu buzima bw’abanyagihugu, uburovyi, ubukerarugendo n’ibidukikije.	ethiope ifatwa n abantu benʃi nk imwe mu nzuzi zifise amazi meza t͡ʃane muɾi niɡeɾia , kandi ifise akamaɾo kanini mu buzima bw abaɲaɡihuɡu , ubuɾovʲi , ubukeɾaɾuɡendo n ibidukikid͡ʒe .
Akarere: imisozi mito n’amashamba y’itose	akaɾeɾe , imisozi mito n amaʃamba j itose
Ni ahantu ho guhura no gukora ibikorwa vya misi yose	ni ahantu ho ɡuhuɾa no ɡukoɾa ibikoɾwa vʲa misi jose
Uruzi rwa Pra rufatwa nk’isoko y’ubuzima	uɾuzi ɾwa pɾa ɾufatwa nk isoko j ubuzima
Rurihindagurika (seasonal river mu bice bimwe)	ɾuɾihindaɡuɾika seasonal ɾiveɾ mu bit͡ʃe bimwe
Rurimwo isano n’uruzi rwa Niger na Volta mu karere ka Afrika y’Uburengero	ɾuɾimwo isano n uɾuzi ɾwa niɡeɾ na volta mu kaɾeɾe ka afɾika j ubuɾeŋeɾo
Ni rumwe mu nzuzi zikomeye cane mu burengero bwa Côte d’Ivoire	ni ɾumwe mu nzuzi zikomeje t͡ʃane mu buɾeŋeɾo bwa t͡ʃote d ivoiɾe
Ruri mu nzuzi zikomeye za coastal Guinea	ɾuɾi mu nzuzi zikomeje za t͡ʃoastal ɡuinea
Hahingwa ibihingwa vyo mu ngo n’ibindi vy’ubucuruzi	hahiŋwa ibihiŋwa vʲo mu ŋo n ibindi vʲ ubut͡ʃuɾuzi
Lake Chad ni ikiyaga kinini giherereye muri Afrika yo hagati n’iy’Uburaruko (Sahel region). Gisangwa ku mipaka y’ibihugu bine: Chad, Cameroon, Nigeria, na Niger. Ni kimwe mu biyaga bikomeye cane mu mateka ya Afrika kubera uruhara gifise mu mazi, ubuhinzi, uburovyi n’ubuzima bw’abantu.	lake t͡ʃhad ni ikijaɡa kinini ɡiheɾeɾeje muɾi afɾika jo haɡati n ij ubuɾaɾuko sahel ɾeɡion . ɡisaŋwa ku mipaka j ibihuɡu bine , t͡ʃhad , t͡ʃameɾoːn , niɡeɾia , na niɡeɾ . ni kimwe mu bijaɡa bikomeje t͡ʃane mu mateka ja afɾika kubeɾa uɾuhaɾa ɡifise mu mazi , ubuhinzi , ubuɾovʲi n ubuzima bw abantu .
Gukoresha amazi ku rugero runini mu kuhira imirima	ɡukoɾeʃa amazi ku ɾuɡeɾo ɾunini mu kuhiɾa imiɾima
Akarere ruhetse: gahuza ibice binini vy’amashamba, ibishanga n’imisozi ya Ethiopia na South Sudan	akaɾeɾe ɾuhetse , ɡahuza ibit͡ʃe binini vʲ amaʃamba , ibiʃaŋa n imisozi ja ethiopia na south sudan
Amazi yarwo agenda ahinduka cane (rimwe rwinshi, rimwe rukeya)	amazi jaɾwo aɡenda ahinduka t͡ʃane ɾimwe ɾwinʃi , ɾimwe ɾukeja
Rwari n’isoko y’ubuzima ku bwami bwa kera nka Ajuran Empire	ɾwaɾi n isoko j ubuzima ku bwami bwa keɾa nka ad͡ʒuɾan empiɾe
Uruzi rwa Tekeze ni rumwe mu nzuzi zikomeye za Etiyopiya n’akarere ka Nile. Rufise akamaro kanini mu ngufu z’amashanyarazi, ubuhinzi n’amazi, kandi rufise n’akamaro kanini mu mateka n’umuco w’akarere karwo.	uɾuzi ɾwa tekeze ni ɾumwe mu nzuzi zikomeje za etijopija n akaɾeɾe ka nile . ɾufise akamaɾo kanini mu ŋufu z amaʃaɲaɾazi , ubuhinzi n amazi , kandi ɾufise n akamaɾo kanini mu mateka n umut͡ʃo w akaɾeɾe kaɾwo .
Rurangwa n’uko amazi yaryo ahinduka hisunzwe ibihe vy’imvura	ɾuɾaŋwa n uko amazi jaɾʲo ahinduka hisunzwe ibihe vʲ imvuɾa
Rutangurira mu burengero bw’Ikiyaga ca Tanganyika	ɾutaŋuɾiɾa mu buɾeŋeɾo bw ikijaɡa t͡ʃa taŋaɲika
ibice bifise amazi menshi mu gihe c’imvura,	ibit͡ʃe bifise amazi menʃi mu ɡihe t͡ʃ imvuɾa ,
Rutangura mu migezi mito mito yo mu misozi	ɾutaŋuɾa mu miɡezi mito mito jo mu misozi
Uruzi rwa ni rumwe mu nzuzi zikomeye zo mu gihugu ca , ruherereye mu gice co hagati n’ico mu bumanuko bwa Congo Basin. Ni uruzi rurekure, ruca mu mashamba manini ya tropique, kandi rufise uruhara runini mu bidukikije no mu mibereho y’abantu baba ku nkengera zarwo.	uɾuzi ɾwa ni ɾumwe mu nzuzi zikomeje zo mu ɡihuɡu t͡ʃa , ɾuheɾeɾeje mu ɡit͡ʃe t͡ʃo haɡati n it͡ʃo mu bumanuko bwa t͡ʃoŋo basin . ni uɾuzi ɾuɾekuɾe , ɾut͡ʃa mu maʃamba manini ja tɾopikue , kandi ɾufise uɾuhaɾa ɾunini mu bidukikid͡ʒe no mu mibeɾeho j abantu baba ku nkeŋeɾa zaɾwo .
Impinduka z’ibihe (climate change) zishobora guhindura urwego rw’amazi	impinduka z ibihe t͡ʃlimate t͡ʃhaŋe ziʃoboɾa ɡuhinduɾa uɾweɡo ɾw amazi
Ruca mu bice vyose: imisozi, ibibaya n’ishamba	ɾut͡ʃa mu bit͡ʃe vʲose , imisozi , ibibaja n iʃamba
rugira uruhara mu guhuza imisozi, ibibaya n’ishamba rinini	ɾuɡiɾa uɾuhaɾa mu ɡuhuza imisozi , ibibaja n iʃamba ɾinini
Ariko rapids zituma ubwikorezi bugorana mu bice bimwe	aɾiko ɾapids zituma ubwikoɾezi buɡoɾana mu bit͡ʃe bimwe
Ni uruzi runini cane rufise amazi menshi (high discharge)	ni uɾuzi ɾunini t͡ʃane ɾufise amazi menʃi hiɡh dist͡ʃhaɾɡe
Mu ntara ya Ngounié Province (yahawe izina n’uruzi nyene)	mu ntaɾa ja ŋounie pɾovint͡ʃe jahawe izina n uɾuzi ɲene
Rurasuka mu nyanja ya Atlantique hafi ya Pointe-Noire	ɾuɾasuka mu ɲand͡ʒa ja atlantikue hafi ja pointe noiɾe
Ni uruzi rufise amazi menshi cane (high discharge)	ni uɾuzi ɾufise amazi menʃi t͡ʃane hiɡh dist͡ʃhaɾɡe
Ruri munsi y’ingaruka z’inyanja (tides) mu bilometero byinshi imbere	ɾuɾi munsi j iŋaɾuka z iɲand͡ʒa tides mu bilometeɾo bʲinʃi imbeɾe
rutuma amashyamba agira ubuzima (ecosystème)	ɾutuma amaʃʲamba aɡiɾa ubuzima et͡ʃosʲsteme
Amoko menshi y’inyamaswa: inguge (chimpanzees), gorillas, n’andi moko y’inyamaswa z’ishyamba	amoko menʃi j iɲamaswa , iŋuɡe t͡ʃhimpanzeːs , ɡoɾillas , n andi moko j iɲamaswa z iʃʲamba
Uruzi rwa Sokoto ruvira mu misozi n’ibibaya byo mu buraruko bushira uburengero bwa Nigeria, cane cane mu ntara za Zamfara n’inkengero zayo. Amazi yarwo atangura ava mu migezi mito mito (tributaries), hanyuma agahurira hamwe akavamo uruzi runini.	uɾuzi ɾwa sokoto ɾuviɾa mu misozi n ibibaja bʲo mu buɾaɾuko buʃiɾa ubuɾeŋeɾo bwa niɡeɾia , t͡ʃane t͡ʃane mu ntaɾa za zamfaɾa n inkeŋeɾo zajo . amazi jaɾwo ataŋuɾa ava mu miɡezi mito mito tɾibutaɾies , haɲuma aɡahuɾiɾa hamwe akavamo uɾuzi ɾunini .
Uruzi rwa Hadejia ruvira mu misozi n’ibibaya biri mu ntara za Kano na Jigawa. Amazi y’imvura n’imigezi mito mito ni yo atuma rutangira.	uɾuzi ɾwa haded͡ʒia ɾuviɾa mu misozi n ibibaja biɾi mu ntaɾa za kano na d͡ʒiɡawa . amazi j imvuɾa n imiɡezi mito mito ni jo atuma ɾutaŋiɾa .
Uruzi rwa Rima ruvira mu bibaya n’imisozi mito ya Katsina na Zamfara mu buraruko bwa Nigeria. Amazi yarwo atangura ava mu migezi mito mito n’imvura igwa mu gihe c’imvura.	uɾuzi ɾwa ɾima ɾuviɾa mu bibaja n imisozi mito ja katsina na zamfaɾa mu buɾaɾuko bwa niɡeɾia . amazi jaɾwo ataŋuɾa ava mu miɡezi mito mito n imvuɾa iɡwa mu ɡihe t͡ʃ imvuɾa .
ni rumwe mu migezi ikomeye yo mu bumanuko bwa Nigeria. Ruca mu turere two mu majyepfo y'igihugu, rukagira uruhara runini mu gutanga amazi, guteza imbere ubuhinzi, uburovyi n'ubwikorezi bwo mu mazi. Uru ruzi rwinjira mu Imo River estuary, amaherezo amazi yarwo agasohokera mu Nyanja Atlantika.	ni ɾumwe mu miɡezi ikomeje jo mu bumanuko bwa niɡeɾia . ɾut͡ʃa mu tuɾeɾe two mu maɡʲepfo j iɡihuɡu , ɾukaɡiɾa uɾuhaɾa ɾunini mu ɡutaŋa amazi , ɡuteza imbeɾe ubuhinzi , ubuɾovʲi n ubwikoɾezi bwo mu mazi . uɾu ɾuzi ɾwind͡ʒiɾa mu imo ɾiveɾ estuaɾʲ , amaheɾezo amazi jaɾwo aɡasohokeɾa mu ɲand͡ʒa atlantika .
Rufasha kubungabunga ibidukikije n'ibinyabuzima.	ɾufaʃa kubuŋabuŋa ibidukikid͡ʒe n ibiɲabuzima .
Rutanga amazi yo kunywa no kuvomera indimo.	ɾutaŋa amazi jo kuɲwa no kuvomeɾa indimo .
Uruzi rwa Casamance ruvira mu misozi mito yo mu bumanuko bwa Senegal. Rutembera rugana mu burengero, ruca mu karere kazwi cane ka Casamance, ahari amashyamba, ibibaya n’imirima myinshi.	uɾuzi ɾwa t͡ʃasamant͡ʃe ɾuviɾa mu misozi mito jo mu bumanuko bwa seneɡal . ɾutembeɾa ɾuɡana mu buɾeŋeɾo , ɾut͡ʃa mu kaɾeɾe kazwi t͡ʃane ka t͡ʃasamant͡ʃe , ahaɾi amaʃʲamba , ibibaja n imiɾima mʲinʃi .
Amashyamba ya mangrove n'ibindi bidukikije.	amaʃʲamba ja maŋɾove n ibindi bidukikid͡ʒe .
Uruzi rwa Ankobra ni rumwe mu migezi y'ingenzi yo mu burengerazuba bwa Ghana. Rufise uruhara runini mu buzima bw'abaturage, ubuhinzi, uburovyi n'ubutunzi bw'igihugu. Kubungabunga uru ruzi no kururinda kwanduzwa ni ngombwa kugira ngo rukomeze gutanga amazi n'iterambere ku bisekuru bizokurikira.	uɾuzi ɾwa ankobɾa ni ɾumwe mu miɡezi j iŋenzi jo mu buɾeŋeɾazuba bwa ɡhana . ɾufise uɾuhaɾa ɾunini mu buzima bw abatuɾaɡe , ubuhinzi , ubuɾovʲi n ubutunzi bw iɡihuɡu . kubuŋabuŋa uɾu ɾuzi no kuɾuɾinda kwanduzwa ni ŋombwa kuɡiɾa ŋo ɾukomeze ɡutaŋa amazi n iteɾambeɾe ku bisekuɾu bizokuɾikiɾa .
Isoko (source): Imisozi yo mu buraruko bushira ubuseruko bwa Nigeria (hafi ya Taraba/Benue uplands)	isoko souɾt͡ʃe , imisozi jo mu buɾaɾuko buʃiɾa ubuseɾuko bwa niɡeɾia hafi ja taɾaba benue uplands
ni rumwe mu migezi ikomeye yo mu gihugu ca . Ruzwi cane kuko ruhuza ibiyaga bibiri bikomeye: na (biciye mu bibaya n’ishami ry’uruzi), kandi rufise uruhara runini mu bidukikije n’ubuhinzi.	ni ɾumwe mu miɡezi ikomeje jo mu ɡihuɡu t͡ʃa . ɾuzwi t͡ʃane kuko ɾuhuza ibijaɡa bibiɾi bikomeje , na bit͡ʃije mu bibaja n iʃami ɾʲ uɾuzi , kandi ɾufise uɾuhaɾa ɾunini mu bidukikid͡ʒe n ubuhinzi .
rugaburira ibishanga vya Lake Victoria basin	ɾuɡabuɾiɾa ibiʃaŋa vʲa lake vit͡ʃtoɾia basin
ibimera vyo mu bishanga (papyrus n’ibindi)	ibimeɾa vʲo mu biʃaŋa papʲɾus n ibindi
rufasha kubika ubutare n’amasimu (sediments)	ɾufaʃa kubika ubutaɾe n amasimu sediments
ibigori mu karere ka Trans Nzoia (Kenya’s “breadbasket”)	ibiɡoɾi mu kaɾeɾe ka tɾans nzoia keɲa s bɾeadbasket
gukoresha amazi menshi mu irrigation ya Mwea	ɡukoɾeʃa amazi menʃi mu iɾɾiɡation ja mwea
Ruaha ruvira mu misozi ya Kipengere na Mbeya Highlands, ahantu hagwa imvura nyinshi. Rutembera rugana mu kibaya ca Tanzania yo hagati, ruca mu bice vyumye n’ibihe bihindagurika.	ɾuaha ɾuviɾa mu misozi ja kipeŋeɾe na mbeja hiɡhlands , ahantu haɡwa imvuɾa ɲinʃi . ɾutembeɾa ɾuɡana mu kibaja t͡ʃa tanzania jo haɡati , ɾut͡ʃa mu bit͡ʃe vʲumʲe n ibihe bihindaɡuɾika .
ni uruzi ruto ariko rufise akamaro kanini mu majyepfo ya Tanzania, cyane cane mu buhinzi bw’umuceri n’ubuzima bw’abaturage bo muri Kyela. Rufasha kandi mu kugaburira no kubungabunga ibidukikije.	ni uɾuzi ɾuto aɾiko ɾufise akamaɾo kanini mu maɡʲepfo ja tanzania , kʲane t͡ʃane mu buhinzi bw umut͡ʃeɾi n ubuzima bw abatuɾaɡe bo muɾi kʲela . ɾufaʃa kandi mu kuɡabuɾiɾa no kubuŋabuŋa ibidukikid͡ʒe .
(Luegele) ni uruzi runini rufise uruhara rukomeye mu majyepfo ya Tanzania, kuko rugaburira sisitemu ya kandi rugafasha mu kubungabunga imwe mu ecosystems zikomeye muri Afurika y’Ubuseruko.	lueɡele ni uɾuzi ɾunini ɾufise uɾuhaɾa ɾukomeje mu maɡʲepfo ja tanzania , kuko ɾuɡabuɾiɾa sisitemu ja kandi ɾuɡafaʃa mu kubuŋabuŋa imwe mu et͡ʃosʲstems zikomeje muɾi afuɾika j ubuseɾuko .
gushigikira ibimera byo ku nkengero z’imigezi	ɡuʃiɡikiɾa ibimeɾa bʲo ku nkeŋeɾo z imiɡezi
rujyana amazi mu bishanga bigaburira Lake Victoria	ɾuɡʲana amazi mu biʃaŋa biɡabuɾiɾa lake vit͡ʃtoɾia
ni rumwe mu migezi y'ingenzi yo mu burasirazuba bwa Tanzania. Rufise uruhara rukomeye mu gutanga amazi, guteza imbere ubuhinzi n'ubworozi, no kubungabunga ibinyabuzima mbere y'uko rusohokera mu Nyanja y'Ubuhindi.	ni ɾumwe mu miɡezi j iŋenzi jo mu buɾasiɾazuba bwa tanzania . ɾufise uɾuhaɾa ɾukomeje mu ɡutaŋa amazi , ɡuteza imbeɾe ubuhinzi n ubwoɾozi , no kubuŋabuŋa ibiɲabuzima mbeɾe j uko ɾusohokeɾa mu ɲand͡ʒa j ubuhindi .
ni kimwe mu biyaga bihambaye vya Tanzania. Naho kitamenyekanye nk'ibindi biyaga vya Afurika y'Ubuseruko, gifise uruhara runini mu burovyi, ubuhinzi, ubworozi no kubungabunga ibinyabuzima. Kubera ko kitagira uruzi rusohokamwo, ubunini n'uburebure bw'amazi yaco burahindagurika bivanye n'imvura n'ihindagurika ry'ibihe.	ni kimwe mu bijaɡa bihambaje vʲa tanzania . naho kitameɲekaɲe nk ibindi bijaɡa vʲa afuɾika j ubuseɾuko , ɡifise uɾuhaɾa ɾunini mu buɾovʲi , ubuhinzi , ubwoɾozi no kubuŋabuŋa ibiɲabuzima . kubeɾa ko kitaɡiɾa uɾuzi ɾusohokamwo , ubunini n ubuɾebuɾe bw amazi jat͡ʃo buɾahindaɡuɾika bivaɲe n imvuɾa n ihindaɡuɾika ɾʲ ibihe .
Igihe c'ici igihe bizwi ko haba ubushuhe cane kurusha ibindi bihe kuko nico gihe imvura itagwa canke ishobora kugwa 1 Mu Kwezi. N'igihe gikunda gutangura muri Ruheshi(6) kigahera muri myandagaro (8) aho ubushuhe bushobora gushika hagati ya 17°C na 29°C.	iɡihe t͡ʃ it͡ʃi iɡihe bizwi ko haba ubuʃuhe t͡ʃane kuɾuʃa ibindi bihe kuko nit͡ʃo ɡihe imvuɾa itaɡwa t͡ʃanke iʃoboɾa kuɡwa ɾimwe mu kwezi . n iɡihe ɡikunda ɡutaŋuɾa muɾi ɾuheʃi ɡatandatu kiɡaheɾa muɾi mʲandaɡaɾo umunani aho ubuʃuhe buʃoboɾa ɡuʃika haɡati ja doɡeɾe it͡ʃumi na indwi na doɡeɾe miɾoŋo ibiɾi na it͡ʃenda .
Ariko muri ico gihe nyene, imvura iratangura, iboneka muburyo bwimvura y imiravyo myinshi, kandi buhoro buhoro iyo mvura iragabanya ubushuhe, bikagarura ibitigiri vyanditswe mugihe kiba gisigaye cumwaka, ni ukuvuga nka dogere 22/25 ku mutaga mu kiyaya, no hafi ya 27/28 ° C mu biyaya vyo mu burengero.	aɾiko muɾi it͡ʃo ɡihe ɲene , imvuɾa iɾataŋuɾa , iboneka mubuɾʲo bwimvuɾa j imiɾavʲo mʲinʃi , kandi buhoɾo buhoɾo ijo mvuɾa iɾaɡabaɲa ubuʃuhe , bikaɡaɾuɾa ibitiɡiɾi vʲanditswe muɡihe kiba ɡisiɡaje t͡ʃumwaka , ni ukuvuɡa nka doɡeɾe miɾoŋo ibiɾi na kabiɾi na miɾoŋo ibiɾi na ɡatanu ku mutaɡa mu kijaja , no hafi ja miɾoŋo ibiɾi na indwi na miɾoŋo ibiɾi na umunani mu bijaja vʲo mu buɾeŋeɾo .
Umurwa mukuru, Bujumbura, uherereye ku nkombe z'ikiyaga. Aho hama hashushe umwaka wose, ariko ntibirenza urugero, kubera ko ubushuhe ntarengwa buri hagati ya dogere 29 hafi yumwaka wose, nubwo bugera kuri 30/31 ° C kuva hagati muri Myandagaro kugeza muri Gitugutu.	umuɾwa mukuɾu , bud͡ʒumbuɾa , uheɾeɾeje ku nkombe z ikijaɡa . aho hama haʃuʃe umwaka wose , aɾiko ntibiɾenza uɾuɡeɾo , kubeɾa ko ubuʃuhe ntaɾeŋwa buɾi haɡati ja doɡeɾe miɾoŋo ibiɾi na it͡ʃenda hafi jumwaka wose , nubwo buɡeɾa kuɾi doɡeɾe miɾoŋo itatu na miɾoŋo itatu na ɾimwe kuva haɡati muɾi mʲandaɡaɾo kuɡeza muɾi ɡituɡutu .
Ikirere co muri ako karere kirashushe. Ubushuhe bwo mu mwaka muri y ni 17 °C . Ukwezi gushushe cane ni Nzero, aho ubushuhe bushika 20 °C, kandi igihe gikanye cane ni Mukakaro, kikaba gifise 16 °C .	ikiɾeɾe t͡ʃo muɾi ako kaɾeɾe kiɾaʃuʃe . ubuʃuhe bwo mu mwaka muɾi j ni doɡeɾe it͡ʃumi na indwi . ukwezi ɡuʃuʃe t͡ʃane ni nzeɾo , aho ubuʃuhe buʃika doɡeɾe miɾoŋo ibiɾi , kandi iɡihe ɡikaɲe t͡ʃane ni mukakaɾo , kikaba ɡifise doɡeɾe it͡ʃumi na ɡatandatu .
Ibi bikunda kubaho iyo indege iri kure Cane mukirere kuburebure burenga imetero 8000 (ni ukuvuga nka kilometero 8 uvuye hasi), ahaba hagera ubushuhe bwinshi (humidity) kandi hakaba hakonje cane (nko munsi ya -39°C). Ico gihe amazi aba asohotse mu mashini z’indege ahinduka urubura buhoro buhoro, bigatuma haboneka iyo mirongo yera.	ibi bikunda kubaho ijo indeɡe iɾi kuɾe t͡ʃane mukiɾeɾe kubuɾebuɾe buɾeŋa imeteɾo ibihumbi munani ni ukuvuɡa nka kilometeɾo umunani uvuje hasi , ahaba haɡeɾa ubuʃuhe bwinʃi humiditʲ kandi hakaba hakond͡ʒe t͡ʃane nko munsi ja doɡeɾe miɾoŋo itatu na it͡ʃenda . it͡ʃo ɡihe amazi aba asohotse mu maʃini z indeɡe ahinduka uɾubuɾa buhoɾo buhoɾo , biɡatuma haboneka ijo miɾoŋo jeɾa .
Uruzi rwa Nasia ruherereye mu buraruko bwa Ghana hagati y’imirongo y’akarere iri hagati ya 9°55' na 10°40' mu buraruko hamwe na 1°05' mu burengero na 0°15' mu buseruko. Rukomoka ku guhurira hamwe kw’utugezi tune dutoduto two mu misozi yo muri ako karere. Inyuma y’aho, rutembera rugana mu burengero gushika aho rwinjira muri White Volta.	uɾuzi ɾwa nasia ɾuheɾeɾeje mu buɾaɾuko bwa ɡhana haɡati j imiɾoŋo j akaɾeɾe iɾi haɡati ja doɡeɾe it͡ʃenda miɾoŋo itanu na ɡatanu na doɡeɾe it͡ʃumi miɾoŋo ine mu buɾaɾuko hamwe na doɡeɾe ɾimwe ɡatanu mu buɾeŋeɾo na doɡeɾe zeɾu it͡ʃumi na ɡatanu mu buseɾuko . ɾukomoka ku ɡuhuɾiɾa hamwe kw utuɡezi tune dutoduto two mu misozi jo muɾi ako kaɾeɾe . iɲuma j aho , ɾutembeɾa ɾuɡana mu buɾeŋeɾo ɡuʃika aho ɾwind͡ʒiɾa muɾi white volta .
Abanyagihugu: 12.100.000 (2019) muri iyi myaka mirongo itatu iheze igitigiri c’abantu caraduze incuro kabiri;	abaɲaɡihuɡu , umuɾijoni it͡ʃumi na kabiɾi na ibihumbi id͡ʒana ibihumbi bibiɾi na it͡ʃumi na it͡ʃenda muɾi iji mʲaka miɾoŋo itatu iheze iɡitiɡiɾi t͡ʃ abantu t͡ʃaɾaduze int͡ʃuɾo kabiɾi ,
Ukwikukira: Ku wa mbere Mukakaro 1962 (01/07/1962); (vyakozwe n'Umuganwa Ludoviko GWAGASORE nawe akaba yarasanzwe ari UMUGANWA: umuganwa ni umwana w'umwami)	ukwikukiɾa , ku wa mbeɾe mukakaɾo iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itandatu na kabiɾi ɾimwe indwi iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itandatu na kabiɾi , vʲakozwe n umuɡanwa ludoviko ɡwaɡasoɾe nawe akaba jaɾasanzwe aɾi umuɡanwa , umuɡanwa ni umwana w umwami
Rudoviko RWAGASORE yavutse itariki 10 nzero 1932 mu ntara ya Gitega. Yavyawe n'umwami MWAMBUTSA n´umwamikazi Tereza KANYONGA. Ahejeje kaminuza 1956 yaciye ataha i Burundi aca ashinga umugambwe UPRONA kugira ngo agwanye Ababirigi.	ɾudoviko ɾwaɡasoɾe javutse itaɾiki it͡ʃumi nzeɾo iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itatu na kabiɾi mu ntaɾa ja ɡiteɡa . javʲawe n umwami mwambutsa n umwamikazi teɾeza kaɲoŋa . ahed͡ʒed͡ʒe kaminuza iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo itanu na ɡatandatu jat͡ʃije ataha i buɾundi at͡ʃa aʃiŋa umuɡambwe upɾona kuɡiɾa ŋo aɡwaɲe ababiɾiɡi .
Blake Clark (* 2.2.1946, Macon, Georgia).Blake Clark n'umukinyi akongera akaba n'uwutegura filime afise ubwenegihugu bwa Amerika yavutse itariki 2/2/1946 i Macon muri Géorgie.	blake t͡ʃlaɾk kabiɾi . kabiɾi . iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo ine na ɡatandatu , mat͡ʃon , ɡeoɾɡia . blake t͡ʃlaɾk n umukiɲi akoŋeɾa akaba n uwuteɡuɾa filime afise ubweneɡihuɡu bwa ameɾika javutse itaɾiki kabiɾi kabiɾi iɡihumbi na amad͡ʒana t͡ʃenda na miɾoŋo ine na ɡatandatu i mat͡ʃon muɾi ɡeoɾɡie .
Igenekerezo rya 4/12/ 2015, Nkurunziza yategetse abapolisi kurondera abicanyi bishe Nshimirimana mu minsi icumi.	iɡenekeɾezo ɾʲa kane it͡ʃumi na kabiɾi ibihumbi bibiɾi na it͡ʃumi na ɡatanu , nkuɾunziza jateɡetse abapolisi kuɾondeɾa abit͡ʃaɲi biʃe nʃimiɾimana mu minsi it͡ʃumi .
