buttonlabel=Maghimo sang bag-o nga artikulo	buttonlˈabel maɡhˈimo sˈaŋ bˈaɡʔo ŋˈa ʔaɾtikˈulo
Ang salakyan sa dalan ukon 'awto' isa ka klase sang transportasyon diri sa duta. Isa isi sa mga pinaka komun nga paagi sang pagbiyahe.	ʔˈaŋ salˈakjan sˈa dˈalan ʔˈukon ʔˈawtoʔ ʔˈisa kˈa klˈase sˈaŋ tɾanspoɾtˈasjon dˈiɾi sˈa dˈuta . ʔˈisa ʔˈisi sˈa mˈaŋa pinˈaka kˈomun ŋˈa paʔˈaɡi sˈaŋ paɡbijˈahe .
Ang Nasyonal nga Kabeserang Rehiyon (Ininggles: National Capital Region) sa Pilipinas ang pinakaimportanteng sentrong urbano sa Luzón.	ʔˈaŋ nasjˈonal ŋˈa kabesˈeɾaŋ ɾehˈijon ʔinˈiŋɡles , natiʔˈonal kapˈital ɾeɡˈiʔon sˈa pilipˈinas ʔˈaŋ pinakaʔimpoɾtˈanteŋ sˈentɾoŋ ʔuɾbˈano sˈa lˈuson .
Hiligaynon ang lenguwahe nga ginagamit sang mga pumuluyo sa habagat kag sang mga lapit sa dagat. Samtang Kinaray-a naman ang ginagamit sang mga tumandok sang mga parte-interyor nga mga banwa.	hiliɡˈajnon ʔˈaŋ leŋuwˈahe ŋˈa ɡinaɡˈamit sˈaŋ mˈaŋa pumulˈujo sˈa habˈaɡat kˈaɡ sˈaŋ mˈaŋa lˈapit sˈa dˈaɡat . sˈamtaŋ kinaɾˈajʔa nˈaman ʔˈaŋ ɡinaɡˈamit sˈaŋ mˈaŋa tumˈandok sˈaŋ mˈaŋa paɾteʔintˈeɾjoɾ ŋˈa mˈaŋa bˈanwa .
Tubo kag kalamay ang pinakaimportante na produkto sang Iloilo. Nagapangibabaw man ang pagpangisda sang bangros, tilapia kag pantat.	tˈubo kˈaɡ kalˈamaj ʔˈaŋ pinakaʔimpoɾtˈante nˈa pɾodˈukto sˈaŋ ʔiloʔˈilo . naɡapaŋibˈabaw mˈan ʔˈaŋ paɡpaŋˈisda sˈaŋ bˈaŋɾos , tilapˈiʔa kˈaɡ pˈantat .
Kilala man ang Iloilo sa iya nga mga simbahan nga gintukod pa sa tiempo sang mga Katsila.	kilˈala mˈan ʔˈaŋ ʔiloʔˈilo sˈa ʔˈija ŋˈa mˈaŋa simbˈahan ŋˈa ɡintˈukod pˈa sˈa tiʔˈempo sˈaŋ mˈaŋa kat͡sˈila .
Ang pulong Hiligaynon (ukon Ilonggo; Kinatsila: hiligueino ukon ilongo) isa sa mga Binisaya nga pulong. Ini ginahambal sa madamo nga parte sang Panay, Guimaras, Negros Occidental, Cotabato, South Cotabato kag Sultan Kudarat. Isa sa mga pinadaku nga linggwaheng Binisaya ang Hiligaynon, sunud sa Sugbuhanon.	ʔˈaŋ pˈuloŋ hiliɡˈajnon ʔˈukon ʔilˈoŋɡo , kinat͡sˈila , hiliɡeˈino ʔˈukon ʔilˈoŋo ʔˈisa sˈa mˈaŋa binisˈaja ŋˈa pˈuloŋ . ʔˈini ɡinahˈambal sˈa madˈamo ŋˈa pˈaɾte sˈaŋ pˈanaj , ɡimˈaɾas , nˈeɡɾos ʔokkidˈental , kotabˈato , sˈoʔuth kotabˈato kˈaɡ sˈultan kudˈaɾat . ʔˈisa sˈa mˈaŋa pinadˈaku ŋˈa liŋɡwˈaheŋ binisˈaja ʔˈaŋ hiliɡˈajnon , sˈunud sˈa suɡbuhˈanon .
Kabahin ini sa pamilya sang mga "pulong Austronesian" (Austronesian languages) kaupud sang iban man nga mga pulong sa Pilipinas kaangay sang Sinugbuhanon, Winaray, Tinagalog, Iniluko kag madamo pa.	kabˈahin ʔˈini sˈa pamˈilja sˈaŋ mˈaŋa pˈuloŋ ʔaʔustɾonesˈiʔan ʔaʔustɾonesˈiʔan laŋuʔˈaɡes kaʔˈupud sˈaŋ ʔˈiban mˈan ŋˈa mˈaŋa pˈuloŋ sˈa pilipˈinas kaʔˈaŋaj sˈaŋ sinuɡbuhˈanon , winˈaɾaj , tinaɡˈaloɡ , ʔinilˈuko kˈaɡ madˈamo pˈa .
Ang Rehiyon sang Dabaw ukon Rehiyion XI isa ka rehiyon sa habagatang Pilipinas. Ang Dabaw ang pinakadakong dakbanwa sini.	ʔˈaŋ ɾehˈijon sˈaŋ dˈabaw ʔˈukon ɾehijˈiʔon ksˈi ʔˈisa kˈa ɾehˈijon sˈa habaɡˈataŋ pilipˈinas . ʔˈaŋ dˈabaw ʔˈaŋ pinakadˈakoŋ dakbˈanwa sˈini .
Ang Tagoloan II ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Lanao del Sur, Pilipinas. May 362.35 kilometro kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ taɡolˈoʔan dˈuha ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ lanˈaʔo dˈel sˈuɾ , pilipˈinas . mˈaj tˈatlo kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ dˈuha pˈunto tˈatlo lˈima kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Si Manuel "Mar" Araneta Roxas II (Paghambal sa Tagalog: [ˈɾohas]; nabata Mayo 13, 1957) isa ka Pilipinong politiko nga nangin isa ka Senador sang Pilipinas. Siya ang apo kag kapangalan sang daan nga Presidente sang Pilipinas nga si Manuel Roxas.	sˈi manˈuʔel mˈaɾ ʔaɾanˈeta ɾˈoksas dˈuha paɡhˈambal sˈa taɡˈaloɡ , ʔˈohas , nabˈata mˈajo napˈulo kˈaɡ tˈatlo , ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kalˈimʔan kˈaɡ pˈito ʔˈisa kˈa pilipˈinoŋ politˈiko ŋˈa nˈaŋin ʔˈisa kˈa senˈadoɾ sˈaŋ pilipˈinas . sˈija ʔˈaŋ ʔˈapo kˈaɡ kapaŋˈalan sˈaŋ dˈaʔan ŋˈa pɾesidˈente sˈaŋ pilipˈinas ŋˈa sˈi manˈuʔel ɾˈoksas .
Si Benigno Simeon Cojuangco Aquino III KGCR (sa lokal bilang [bɛˈniɡnɔʔ aˈkino]; Pebrero 8, 1960 – Hunyo 24, 2021), kilala man bilang Noynoy Aquino kag kolokyal bilang PNoy, isa ka Pilipino nga politiko nga nangin ika-15 presidente sang Pilipinas sugod 2010 hasta 2016.	sˈi benˈiɡno simˈeʔon kohuʔˈaŋko ʔˈakino tˈatlo kɡkɾ sˈa lˈokal bˈilaŋ bˈe nˈiɡno ʔˈa kˈino , pebɾˈeɾo wˈalo , ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kanʔˈuman hˈuɲo kaluhˈaʔan kˈaɡ ʔˈapat , dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈisa , kilˈala mˈan bˈilaŋ nˈojnoj ʔˈakino kˈaɡ kolˈokjal bˈilaŋ pnˈoj , ʔˈisa kˈa pilipˈino ŋˈa politˈiko ŋˈa nˈaŋin ʔˈika napˈulo kˈaɡ lˈima pɾesidˈente sˈaŋ pilipˈinas sˈuɡod dˈuha kˈa lˈibo kˈaɡ napˈulo hˈasta dˈuha kˈa lˈibo kˈaɡ napˈulo kˈaɡ ʔˈanum .
Si Juan Bautista H. Alegre III (nabata Hunyo 4, 1955), propesyunal nga kilala na Johnny Alegre, isa ka gitarista sang jazz kag kompositor halin sa Manila, Pilipinas. Ginpangunahan niya ang grupo nga Johnny Alegre Affinity kag ang grupo nga musikang duta o world music nga Humanfolk.	sˈi hˈuʔan baʔutˈista h . ʔalˈeɡɾe tˈatlo nabˈata hˈuɲo ʔˈapat , ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kalˈimʔan kˈaɡ lˈima , pɾopesjˈunal ŋˈa kilˈala nˈa hˈohnɲ ʔalˈeɡɾe , ʔˈisa kˈa ɡitaɾˈista sˈaŋ hˈass kˈaɡ komposˈitoɾ hˈalin sˈa manˈila , pilipˈinas . ɡinpaŋunˈahan nˈija ʔˈaŋ ɡɾˈupo ŋˈa hˈohnɲ ʔalˈeɡɾe ʔappˈinitj kˈaɡ ʔˈaŋ ɡɾˈupo ŋˈa musˈikaŋ dˈuta ʔˈo wˈoɾld mˈusik ŋˈa humˈanpolk .
Ang Fabrica natagaan sang pagtamod sa guwa sang pungsod sumugod pa sadtong 1900s asta sa tuig 1976, subong nga lugar sang pinakadaku nga kumpanya pang kahoy kag lagari-an sa kalibutan, ang Insular Lumber Company (ILCO), nga ginapanag-iyahan sang mga Amerikano. Ang ILCO naga ubra sang mga hardwood lumber nga kilala sa bilog nga kalibutan kag gina export sa Estados Unidos.	ʔˈaŋ pabɾˈika nataɡˈaʔan sˈaŋ paɡtˈamod sˈa ɡˈuwa sˈaŋ pˈuŋsod sumˈuɡod pˈa sˈadtoŋ ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos s ʔˈasta sˈa tˈuʔiɡ ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ ʔˈanum , sˈuboŋ ŋˈa lˈuɡaɾ sˈaŋ pinakadˈaku ŋˈa kumpˈaɲa pˈaŋ kˈahoj kˈaɡ laɡaɾˈiʔan sˈa kalibˈutan , ʔˈaŋ ʔinsˈulaɾ lˈumbeɾ kˈompaɲ ʔˈilko , ŋˈa ɡinapanaɡʔijˈahan sˈaŋ mˈaŋa ʔameɾikˈano . ʔˈaŋ ʔˈilko nˈaɡa ʔˈubɾa sˈaŋ mˈaŋa haɾdwˈoʔod lˈumbeɾ ŋˈa kilˈala sˈa bˈiloɡ ŋˈa kalibˈutan kˈaɡ ɡˈina ʔˈekspoɾt sˈa ʔestˈados ʔunˈidos .
Ang Fabrica lng sa Pilipinas ang may kaugalingon nga zip code kasubong sang mga banwa kag siyudad. Ang Fabrica, gina-angot sang duha ka kumpanya pang telegrama nga gina padalagan sang Radio Communications of the Philippines, Inc. (RCPI) kag sang Philippine Telephone and Telegraph Company (PT & T).	ʔˈaŋ pabɾˈika lŋ sˈa pilipˈinas ʔˈaŋ mˈaj kaʔuɡalˈiŋon ŋˈa sˈip kˈode kasˈuboŋ sˈaŋ mˈaŋa bˈanwa kˈaɡ sijˈudad . ʔˈaŋ pabɾˈika , ɡinaʔˈaŋot sˈaŋ dˈuha kˈa kumpˈaɲa pˈaŋ teleɡɾˈama ŋˈa ɡˈina padalˈaɡan sˈaŋ ɾadˈiʔo kommunikatˈiʔons ʔˈop thˈe philippˈines , ʔˈink . ɾkpˈi kˈaɡ sˈaŋ philippˈine telephˈone ʔˈand telˈeɡɾaph kˈompaɲ pt kˈaɡ t .
Apang sadtong 1976, nagsarado ang operasyon sang ILCO sa Fabrica tungod sa kakulang na sang mga kahoy, kag ang baryo nangin isa na lamang kabahin sang nagligad.	ʔˈapaŋ sˈadtoŋ ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kapitˈuʔan kˈaɡ ʔˈanum , naɡsaɾˈado ʔˈaŋ ʔopeɾˈasjon sˈaŋ ʔˈilko sˈa pabɾˈika tˈuŋod sˈa kakˈulaŋ nˈa sˈaŋ mˈaŋa kˈahoj , kˈaɡ ʔˈaŋ bˈaɾjo nˈaŋin ʔˈisa nˈa lˈamaŋ kabˈahin sˈaŋ naɡlˈiɡad .
Base sa 2024 sensus, ini may populasyon nga 1,902,590. Ang zip code sini 1000 (CPO).	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat sˈensus , ʔˈini mˈaj populˈasjon ŋˈa ʔˈisa kˈa mˈiljon kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ dˈuha kˈa lˈibo kˈaɡ lˈima kˈa ɡˈatos kˈaɡ kasijˈaman . ʔˈaŋ sˈip kˈode sˈini ʔˈisa kˈa lˈibo kpˈo .
Ang Pulilan amo una nga klase nga banwa nga makita sa probinsya sang Bulacan, Pilipinas. 39.89 kilometrong kuwadrado ang kalaparon sang iya duta kag makita sya sa una nga distrito. Base senso sang 2024, may populasyon ini nga 111,384. Ang kodigong ZIP sini amo ang 3005.	ʔˈaŋ pulˈilan ʔˈamo ʔˈuna ŋˈa klˈase ŋˈa bˈanwa ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ bulˈakan , pilipˈinas . katlˈoʔan kˈaɡ sˈijam pˈunto wˈalo sˈijam kilomˈetɾoŋ kuwadɾˈado ʔˈaŋ kalapˈaɾon sˈaŋ ʔˈija dˈuta kˈaɡ makˈita sjˈa sˈa ʔˈuna ŋˈa distɾˈito . bˈase sˈenso sˈaŋ dˈuha kˈa lˈibo kˈaɡ kaluhˈaʔan kˈaɡ ʔˈapat , mˈaj populˈasjon ʔˈini ŋˈa ʔˈisa kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈisa kˈa lˈibo kˈaɡ tˈatlo kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ ʔˈapat . ʔˈaŋ kodˈiɡoŋ sˈip sˈini ʔˈamo ʔˈaŋ tˈatlo kˈa lˈibo kˈaɡ lˈima .
Tungód nga may 511,820 ka pumuluyò sang túig 2010; iní ang may pinakamadamù nga ginapuy-an nga dakbanwa sa Nakatungdan nga Kabisay-an, kag ika-17 sa Pilipínas. Kabahin iní sang Kinalapdan nga Bacolod, upód ang kadakbanwahan sang Silay kag Talisay.	tˈuŋod ŋˈa mˈaj lˈima kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈisa kˈa lˈibo kˈaɡ wˈalo kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈa pumulˈujo sˈaŋ tˈuʔiɡ dˈuha kˈa lˈibo kˈaɡ napˈulo , ʔˈini ʔˈaŋ mˈaj pinakamadˈamu ŋˈa ɡinapˈujʔan ŋˈa dakbˈanwa sˈa nakatˈuŋdan ŋˈa kabisˈajʔan , kˈaɡ ʔˈika napˈulo kˈaɡ pˈito sˈa pilipˈinas . kabˈahin ʔˈini sˈaŋ kinalˈapdan ŋˈa bakˈolod , ʔˈupod ʔˈaŋ kadakbanwˈahan sˈaŋ sˈilaj kˈaɡ talˈisaj .
Ang Uetersen [] isa ka barrio sa sur nga parte sang Alemanya, sa tunga sang Pinneberg kag Schleswig-Holstein, malapit sa suba sang Pinnau. Uetersen kag may populasyon nga 17.865 ka pumuluyo (sang tuig 2007).	ʔˈaŋ ʔuʔetˈeɾsen ʔˈisa kˈa baɾˈiʔo sˈa sˈuɾ ŋˈa pˈaɾte sˈaŋ ʔalemˈaɲa , sˈa tˈuŋa sˈaŋ pinnˈebeɾɡ kˈaɡ st͡ʃleswiɡʔholstˈeʔin , malˈapit sˈa sˈuba sˈaŋ pinnˈaʔu . ʔuʔetˈeɾsen kˈaɡ mˈaj populˈasjon ŋˈa napˈulo kˈaɡ pˈito . wˈalo kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ lˈima kˈa pumulˈujo sˈaŋ tˈuʔiɡ dˈuha kˈa lˈibo kˈaɡ pˈito .
Base sa 2010 census, ini may populasyon nga 10,525. Ang zip code sini 6602.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa napˈulo kˈa lˈibo kˈaɡ lˈima kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ lˈima . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ dˈuha .
Base sa 2010 census, ini may populasyon nga 9,261. Ang zip code sini 6614.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa sˈijam kˈa lˈibo kˈaɡ dˈuha kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ ʔˈisa . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈapat .
Base sa 2010 census, ini may populasyon nga 25,169. Ang zip code sini 6613.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa kaluhˈaʔan kˈaɡ lˈima kˈa lˈibo kˈaɡ ʔˈisa kˈa ɡˈatos kˈaɡ kanʔˈuman kˈaɡ sˈijam . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ tˈatlo .
Base sa 2010 census, ini may populasyon nga 12,528. Ang zip code sini 6611.	bˈase sˈa dˈuha kˈa lˈibo kˈaɡ napˈulo kˈensus , ʔˈini mˈaj populˈasjon ŋˈa napˈulo kˈaɡ dˈuha kˈa lˈibo kˈaɡ lˈima kˈa ɡˈatos kˈaɡ kaluhˈaʔan kˈaɡ wˈalo . ʔˈaŋ sˈip kˈode sˈini ʔˈanum kˈa lˈibo kˈaɡ ʔˈanum kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ ʔˈisa .
Remedios T. Romualdez an ika-lima nga klase sang munisipalidad nga makita sa probinsya sang Agusan del Norte, Pilipinas. May 79.15 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ɾemedˈiʔos t . ɾomuʔˈaldes ʔˈan ʔikaʔlˈima ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ ʔaɡˈusan dˈel nˈoɾte , pilipˈinas . mˈaj kapitˈuʔan kˈaɡ sˈijam pˈunto ʔˈisa lˈima kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
President Carlos P. Garcia an ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Bohol, Pilipinas. May 54.82 kilometro kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	pɾesˈident kˈaɾlos p . ɡaɾkˈiʔa ʔˈan ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ bˈohol , pilipˈinas . mˈaj kalˈimʔan kˈaɡ ʔˈapat pˈunto wˈalo dˈuha kilomˈetɾo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang M'lang una nga klase sang munisipalidad nga makita sa probinsya sang Cotabato, Pilipinas. May 312.13 kwadrado ini nga kalaparon kag ini kabahin sang ika-tatlo nga distrito kongresyonal.	ʔˈaŋ mʔlˈaŋ ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ kotabˈato , pilipˈinas . mˈaj tˈatlo kˈa ɡˈatos kˈaɡ napˈulo kˈaɡ dˈuha pˈunto ʔˈisa tˈatlo kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔtˈatlo ŋˈa distɾˈito koŋɾesjˈonal .
Ang Braulio E. Dujali ika-apat nga klase sang munisipalidad nga makita sa probinsya sang Davao del Norte, Pilipinas. May 91 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ bɾaʔulˈiʔo ʔˈe . duhˈali ʔikaʔˈapat ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ dabˈaʔo dˈel nˈoɾte , pilipˈinas . mˈaj kasijˈaman kˈaɡ ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Ang Datu Blah T. Sinsuat una nga klase sang munisipalidad nga makita sa probinsya sang Maguindanao del Norte, Pilipinas. May 147.21 kwadrado ini nga kalaparon kag ini kabahin sang una nga distrito kongresyonal.	ʔˈaŋ dˈatu blˈah t . sinsˈuʔat ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ maɡindanˈaʔo dˈel nˈoɾte , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kapʔˈatan kˈaɡ pˈito pˈunto dˈuha ʔˈisa kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔˈuna ŋˈa distɾˈito koŋɾesjˈonal .
Ang General Salipada K. Pendatun n/a nga klase sang munisipalidad nga makita sa probinsya sang Maguindanao del Sur, Pilipinas. May 189.37 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ ɡenˈeɾal salipˈada k . pendˈatun n ʔˈa ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ maɡindanˈaʔo dˈel sˈuɾ , pilipˈinas . mˈaj ʔˈisa kˈa ɡˈatos kˈaɡ kawalˈuʔan kˈaɡ sˈijam pˈunto tˈatlo pˈito kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
Medyo mabudlay intyendihon kag hambalon ini sang mga pamulongpulong sang Hiligaynon (Ilonggo) kag Kinaray-a tungod sa isa ka tunog nga ginarepresentar sa ila panulat paagi sa letra 'e'. Ang 'e' nga ini daw 'l' sa hiligaynon ukon 'r' sa Kinaray-a.	mˈedjo mabˈudlaj ʔintjendˈihon kˈaɡ hambˈalon ʔˈini sˈaŋ mˈaŋa pamuloŋpˈuloŋ sˈaŋ hiliɡˈajnon ʔilˈoŋɡo kˈaɡ kinaɾˈajʔa tˈuŋod sˈa ʔˈisa kˈa tˈunoɡ ŋˈa ɡinaɾepɾesˈentaɾ sˈa ʔˈila panˈulat paʔˈaɡi sˈa lˈetɾa ʔˈeʔ . ʔˈaŋ ʔˈeʔ ŋˈa ʔˈini dˈaw ʔlʔ sˈa hiliɡˈajnon ʔˈukon ʔɾʔ sˈa kinaɾˈajʔa .
Sang 14 anyos na siya naimprenta ang iya primero nga sugilambong (ukon nobela) nga ginngalanang 'Ang Mga Tunoc Sang Isa Ca Bulac'. Ginahimo niya ini bisan babayi siya kag ang iya ginapangsulan halos lalaki kag sa ina nga tiyempo indi ginaseryosohan ang mga babayi nga manogsulat. Ogani ginabawalan na sang iloy ni Magdalena magsulat, apang sige-sige pa ang iya sulat.	sˈaŋ napˈulo kˈaɡ ʔˈapat ʔˈaɲos nˈa sˈija naʔimpɾˈenta ʔˈaŋ ʔˈija pɾimˈeɾo ŋˈa suɡilˈamboŋ ʔˈukon nobˈela ŋˈa ɡinŋalˈanaŋ ʔˈaŋ mˈaŋa tˈunok sˈaŋ ʔˈisa kˈa bˈulakʔ . ɡinahˈimo nˈija ʔˈini bˈisan babˈaji sˈija kˈaɡ ʔˈaŋ ʔˈija ɡinapaŋsˈulan hˈalos lalˈaki kˈaɡ sˈa ʔˈina ŋˈa tijˈempo ʔˈindi ɡinaseɾjosˈohan ʔˈaŋ mˈaŋa babˈaji ŋˈa manoɡsˈulat . ʔoɡˈani ɡinabawˈalan nˈa sˈaŋ ʔˈiloj nˈi maɡdalˈena maɡsˈulat , ʔˈapaŋ siɡeʔsˈiɡe pˈa ʔˈaŋ ʔˈija sˈulat .
Ang iya nga pinakabantog nga binalaybay 'Ang guitara', ginabasa kag ginaestudua sang mga estudyante at iskolar tubtob sa gihapon. Ang iban niya nga mabantog nga sinulat amo ang sugilanon "Si Anabella", ang mga nobela "Sa Kaapang sang Inaway", "Ang Dalaga sa Tindahan" kag "Ang Kahapon sang Panay".	ʔˈaŋ ʔˈija ŋˈa pinakabˈantoɡ ŋˈa binalˈajbaj ʔˈaŋ ɡitˈaɾaʔ , ɡinabˈasa kˈaɡ ɡinaʔestudˈuʔa sˈaŋ mˈaŋa ʔestudjˈante ʔˈat ʔiskˈolaɾ tˈubtob sˈa ɡihˈapon . ʔˈaŋ ʔˈiban nˈija ŋˈa mabˈantoɡ ŋˈa sinˈulat ʔˈamo ʔˈaŋ suɡilˈanon sˈi ʔanabˈelja , ʔˈaŋ mˈaŋa nobˈela sˈa kaʔˈapaŋ sˈaŋ ʔinˈawaj , ʔˈaŋ dalˈaɡa sˈa tindˈahan kˈaɡ ʔˈaŋ kahˈapon sˈaŋ pˈanaj .
Sia ang manogsulat sang 'Fray Butod', isa ka obra nga pampakaladlaw (Satirical Work), tuhoy sa isa ka matambok nga pari.	sˈiʔa ʔˈaŋ manoɡsˈulat sˈaŋ ʔpɾˈaj bˈutodʔ , ʔˈisa kˈa ʔˈobɾa ŋˈa pampakalˈadlaw satiɾˈikal wˈoɾk , tˈuhoj sˈa ʔˈisa kˈa matˈambok ŋˈa pˈaɾi .
Ang lugar may ara man punerarya, nga sadtong tiempo indi pa gid uso sa mga tuig 1960's.	ʔˈaŋ lˈuɡaɾ mˈaj ʔˈaɾa mˈan puneɾˈaɾja , ŋˈa sˈadtoŋ tiʔˈempo ʔˈindi pˈa ɡˈid ʔˈuso sˈa mˈaŋa tˈuʔiɡ ʔˈisa kˈa lˈibo kˈaɡ sˈijam kˈa ɡˈatos kˈaɡ kanʔˈuman ʔs .
Ang Brooke's Point una nga klase sang munisipalidad nga makita sa probinsya sang Palawan, Pilipinas. May 1303.4 kwadrado ini nga kalaparon kag ini kabahin sang ika-duha nga distrito kongresyonal.	ʔˈaŋ bɾoʔˈokeʔs pˈoʔint ʔˈuna ŋˈa klˈase sˈaŋ munisipalˈidad ŋˈa makˈita sˈa pɾobˈinsja sˈaŋ palˈawan , pilipˈinas . mˈaj ʔˈisa kˈa lˈibo kˈaɡ tˈatlo kˈa ɡˈatos kˈaɡ tˈatlo pˈunto ʔˈapat kwadɾˈado ʔˈini ŋˈa kalapˈaɾon kˈaɡ ʔˈini kabˈahin sˈaŋ ʔikaʔdˈuha ŋˈa distɾˈito koŋɾesjˈonal .
