# Indonesian ⟨e⟩ pepet/taling lexicon — CROSS-SOURCE CONSENSUS (wikipron ind ∩ kaikki ind).
# Latin ⟨e⟩ conflates pepet /ə/ and taling /e/~/ɛ/; the rule engine defaults pepet. Each entry pins the
# taling quality ONLY where BOTH independent human referees agree on the ⟨e⟩ pattern (single shared
# signature; homograph/variant words where the sources disagree are abstained). e vs ɛ preserved where the
# sources also agree exactly, else the taling mid /e/. Non-⟨e⟩ segments + stress are OUR rule output.
# Generated by tools/referee-eval — do not hand-edit. 2742 entries.
abegrin	abeɡrˈin
pencetak	pənt͡ʃetˈaʔ
pencetakan	pənt͡ʃɛtˈakan
pencopet	pənt͡ʃˈopɛt
pendek	pɛndˈɛʔ
pendesain	pəndesˈain
pendeta	pəndɛtˈa
penelepon	pənelepˈon
peneleponan	pənelepˈonan
penembak	pənɛmbˈaʔ
penerapi	pənerˈapi
penganggaran	peŋaŋɡˈaran
pengawet	pəŋˈawɛt
pengawetan	pəŋawɛtˈan
pengedar	pəŋedˈar
pengekor	pəŋekˈor
pengeksekusi	pəŋɛʔsəkˈusi
pengeksekusian	pəŋɛʔsəkusˈian
pengeksploitasi	pəŋɛʔsploitˈasi
pengeksploitasian	pəŋɛʔsploitasˈian
pengen	pɛŋˈɛn
pengerek	pəŋerˈɛʔ
penggeledahan	pəŋɡəledˈahan
penggerek	pəŋɡerˈɛʔ
pengin	pɛŋˈin
pengindeks	pəŋˈindɛʔs
pengindonesiaan	pəŋindonɛsiˈaan
penguin	peŋˈuin
penguretan	pəŋuretˈan
penis	pɛnˈis
peniten	penˈitən
penitensi	penitɛnsˈi
pensil	pɛnsˈil
pentana	pɛntˈana
penyenggol	pəɲɛŋɡˈol
penyenggolan	pəɲɛŋɡˈolan
penyeret	pəɲɛrˈɛt
pepek	pɛpˈeʔ
pepermin	pepərmˈin
pepes	pepˈɛs
pepsin	pɛpsˈin
per	pˈɛr
perak	perˈaʔ
perbedaan	pərbɛdˈaan
perbedakan	pərbedˈakan
perbeden	pərbɛdˈən
perdebatan	pərdebˈatan
perdesaan	pərdɛsˈaan
peredaran	pəredˈaran
pereduksi	pəredˈuʔsi
perekrutan	pərɛʔrˈutan
perelek	perelˈeʔ
perenial	perenˈial
perenialisme	perenialˈismə
peres	pɛrˈɛs
perfek	pərfˈɛʔ
perfeksi	pərfɛʔsˈi
perfeksionis	pərfɛʔsiˈonis
perfeksionisme	pərfɛʔsionˈismə
perfektur	pərfɛʔtˈur
perforasi	pɛrforˈasi
perforator	pɛrforˈator
pergeseran	pərɡesɛrˈan
perhotelan	pərhotɛlˈan
perifer	perˈifɛr
periferal	periferˈal
perikop	perˈikop
perimeter	perimetˈər
periskop	perˈiskop
peritoneum	peritoneˈum
peritonitis	peritonˈitis
perkamen	pɛrkˈamɛn
perkemahan	perkemˈahan
perkeretaapian	pərkəretaapˈian
perkolasi	pɛrkolˈasi
perkolator	pɛrkolˈator
permanen	pərmˈanɛn
peroleh	pərˈolɛh
perolehan	pərolɛhˈan
peron	perˈon
pers	pˈɛrs
persen	pərsˈɛn
persentil	pərsɛntˈil
persero	pərserˈo
persetan	pərsetˈan
persetankan	pərsetˈankan
persik	pɛrsˈiʔ
persisten	pərsˈistɛn
persneling	pərsnelˈiŋ
personel	pərsˈonɛl
pertelevisian	pərtelevisˈian
perversi	pɛrvɛrsˈi
pes	pˈɛs
pesantren	pəsˈantrɛn
pesarium	pesarˈium
pesero	pəserˈo
pesimis	pesˈimis
pesimisme	pesimˈismə
pesimistis	pesimˈistis
pesta	pɛstˈa
pestisida	pɛstisˈida
pet	pˈɛt
petak	petˈaʔ
peterseli	petərselˈi
petroleum	petroleˈum
petromaks	pɛtrˈomaʔs
peyorasi	pejorˈasi
pigmen	pˈiɡmɛn
piket	pˈikɛt
pilpres	pˈilprɛs
pines	pˈinɛs
pinset	pˈinsɛt
pirenofor	pirenˈofor
piroksen	pirˈoʔsɛn
piroteknik	pirotɛʔnˈiʔ
plaket	plˈakɛt
planet	plˈanɛt
planetari	planetˈari
planetarium	planetarˈium
planeter	planetˈɛr
planimetri	planimetrˈi
platelet	platelˈət
plebian	plebˈian
pleidoi	pleˈidoi
pleno	plenˈo
pleret	plɛrˈɛt
pneumatik	pneumˈatiʔ
pneumatika	pneumatˈika
pneumatis	pneumˈatis
pneumonia	pneumonˈia
poleksosbudhankam	polɛʔsosbudhˈankam
polemologi	polemolˈoɡi
poles	pˈolɛs
poliester	poliɛstˈər
polimer	polˈimɛr
polimerisasi	polimerisˈasi
polisentrisme	polisɛntrˈismə
politeisme	politeˈismə
polones	polˈonɛs
poltek	pˈoltɛʔ
ponsel	pˈonsɛl
porifera	poriferˈa
posel	pˈosɛl
posesi	posesˈi
postel	pˈostɛl
potret	pˈotret
praasesmen	praasɛsmˈən
praktek	prˈaʔtɛʔ
preambul	preˈambul
prediktor	predˈiʔtor
prefasi	prefˈasi
prefek	prefˈɛʔ
prefektur	prefɛʔtˈur
preferensi	prefərɛnsˈi
prefiks	prefˈiʔs
prei	preˈi
preipal	prɛˈipal
prekursor	prekˈursor
prelat	prelˈat
prelatur	prelˈatur
prelatus	prelˈatus
prelude	prelˈudə
prematur	premˈatur
premi	premˈi
premier	premˈiɛr
prenatal	prenˈatal
preoksigenasi	preoʔsiɡenˈasi
preparasi	preparˈasi
preparat	prepˈarat
preposisi	preposˈisi
prerogatif	preroɡˈatif
pres	prˈɛs
presbiter	prɛsbˈitɛr
presbiterat	prɛsbiterˈat
presbiterial	prɛsbiterˈial
presbiterian	prɛsbiterˈian
preseden	presedˈɛn
presensi	presɛnsˈi
presentasi	presɛntˈasi
presentil	presɛntˈil
preservasi	presɛrvˈasi
presiden	presˈidɛn
presidium	presidˈium
presipitat	presipˈitat
preskripsi	prɛsʔrˈipsi
preskriptif	prɛsʔrˈiptif
prestise	prɛstˈisə
presto	prɛstˈo
presumsi	presˈumsi
pretensi	pretɛnsˈi
pretensius	pretɛnsˈius
prevensi	prevɛnsˈi
preventif	prevɛntˈif
primer	prˈimɛr
prioritet	priorˈitɛt
privilegi	privileɡˈi
problem	prˈoblem
problematis	problemˈatis
prodeo	prodeˈo
produsen	prodˈusɛn
profesioal	profɛsiˈoal
profesional	profɛsiˈonal
profesionalisme	profesionalˈismə
profesionalitas	profesionalˈitas
profesor	profɛsˈor
profetis	profetˈis
progres	prˈoɡrɛs
progresi	proɡresˈi
progresivisme	proɡresivˈismə
progresivitas	proɡresivˈitas
prokem	prˈokɛm
promes	prˈomɛs
prominen	promˈinɛn
promovenda	promovɛndˈa
promovendus	promovɛndˈus
propeler	propelˈər
prosede	prosedˈə
proses	prˈosɛs
prosesi	prosesˈi
prospektus	prospɛʔtˈus
protein	proteˈin
proteinuria	proteinurˈia
proteksionis	protɛʔsiˈonis
proteksionisme	protɛʔsionˈismə
protektif	protɛʔtˈif
protektorat	protɛʔtˈorat
proteolisis	proteolˈisis
protes	prˈotɛs
protese	protesˈə
protesis	protesˈis
proyek	prˈojɛʔ
proyeksi	projɛʔsˈi
proyektor	projɛʔtˈor
pseudonim	pseudˈonim
pulmoner	pulmˈonɛr
pure	pˈure
rabies	rabˈiɛs
raden	rˈadɛn
raket	rˈakɛt
rasberi	rasberˈi
rase	rˈase
reaktans	reˈaʔtans
reaktansi	reaʔtˈansi
realistis	realˈistis
realita	realˈita
realitas	realˈitas
realitet	realˈitɛt
reanimasi	reanimˈasi
reasuransi	reasurˈansi
reboisasi	reboisˈasi
redenominasi	redenominˈasi
reduksi	redˈuʔsi
reduksionisme	reduʔsionˈismə
redundansi	redundˈansi
referendaris	refərɛndˈaris
referendum	refərɛndˈum
refleks	rɛflˈɛʔs
refleksi	reflɛʔsˈi
reflektif	reflɛʔtˈif
reforestasi	reforɛstˈasi
reformasi	reformˈasi
reformis	refˈormis
reformisme	reformˈismə
refraksi	refrˈaʔsi
refraktor	refrˈaʔtor
regel	reɡˈəl
regio	reɡˈio
region	reɡˈion
regional	reɡiˈonal
regionalisme	reɡionalˈismə
register	reɡˈistər
registri	reɡˈistri
regol	reɡˈol
regresi	reɡresˈi
regulator	reɡulˈator
reguler	rɛɡˈulɛr
rehabilitasi	rehabilitˈasi
rehat	rehˈat
reka	rekˈa
rekaan	rekˈaan
rekening	rekənˈiŋ
reklame	rɛʔlˈamə
rekod	rekˈod
rekomendasi	rekomendˈasi
rekonsiliasi	rekonsiliˈasi
rekonstruksi	rekonstrˈuʔsi
rekonstruktif	rekonstrˈuʔtif
rekrutmen	reʔrˈutmən
rektal	rɛʔtˈal
rektor	rɛʔtˈor
rektorat	rɛʔtˈorat
rektum	rɛʔtˈum
rela	relˈa
relaksasi	relaʔsˈasi
relasi	relˈasi
relawan	relˈawan
relevan	rɛləvˈan
relevansi	reləvˈansi
reli	relˈi
reliabel	reliˈabəl
reliabilitas	reliabilˈitas
relikui	rɛlikˈui
relokasi	relokˈasi
rem	rˈɛm
remeh	remˈɛh
remisi	remˈisi
remiten	remˈitɛn
rendemen	rɛndəmˈɛn
rengo	reŋˈo
renovasi	rɛnovˈasi
renstra	rɛnstrˈa
rente	rɛntˈə
renten	rɛntˈən
renteng	rɛntˈɛŋ
renvoi	rɛnvˈoi
reorganisasi	reorɡanisˈasi
reparasi	reparˈasi
repelan	repelˈan
repertoar	repərtˈoar
replika	replˈika
replikasi	rɛplikˈasi
replikon	replˈikon
represi	represˈi
represif	represˈif
reproduksi	reprodˈuʔsi
republik	repˈubliʔ
republikan	republˈikan
republiken	republˈikɛn
reputasi	reputˈasi
resep	rəsˈɛp
resepsionis	rəsɛpsiˈonis
reseptor	resɛptˈor
reserve	rəservˈə
reses	resˈɛs
resesi	rɛsɛsˈi
residen	resˈidɛn
residensi	residɛnsˈi
residensial	rəsidɛnsˈial
residu	resˈidu
resiliensi	resiliɛnsˈi
resimen	resˈimɛn
resiprositas	resiprosˈitas
resisi	resˈisi
resistan	resˈistan
resistans	resˈistans
resistansi	resistˈansi
resistensi	resistɛnsˈi
resistor	resˈistor
resleting	reslɛtˈiŋ
resonansi	resonˈansi
resorpsi	resˈorpsi
responden	rɛspˈondɛn
responsif	rɛspˈonsif
responsorium	rɛsponsorˈium
restitusi	rɛstitˈusi
restoran	restˈoran
restorasi	restorˈasi
restrukturisasi	restruʔturisˈasi
resume	resˈume
resusitasi	resusitˈasi
retail	retˈail
retaliasi	retaliˈasi
retensi	rətɛnsˈi
retina	retˈina
retinoblastoma	retinoblastˈoma
retorika	retorˈika
retoris	retˈoris
retorsi	retˈorsi
retraktor	retrˈaʔtor
retret	rɛtrˈɛt
retribusi	rɛtribˈusi
retroperitoneal	retroperitoneˈal
retus	retˈus
reumatik	reumˈatiʔ
revaluasi	revaluˈasi
revetmen	revɛtmˈɛn
revisionis	revisiˈonis
revisionisme	revisionˈismə
reviu	rɛvˈiu
revolusioner	revolusiˈoner
revolusionis	revolusiˈonis
rewel	rɛwˈɛl
riketsia	rikɛtsˈia
robek	rˈobɛʔ
roilen	roˈilɛn
rolet	rˈolɛt
rubela	rubɛlˈa
sake	sˈake
sakramen	saʔrˈamɛn
sakramentalia	saʔramɛntalˈia
salpeter	salpɛtˈər
sanering	sanerˈiŋ
sange	sˈaŋe
saniter	sanˈitɛr
sarasehan	sarasɛhˈan
sarden	sˈardɛn
sardencis	sardɛnt͡ʃˈis
sareh	sˈarɛh
sarekat	sarekˈat
saset	sˈasɛt
saudade	saudˈade
sayet	sˈajɛt
sebebas	səbebˈas
sebeda	səbɛdˈa
seberserak	səbərserˈaʔ
sedaerah	sədaerˈah
sedatif	sedˈatif
sedenter	sedentˈɛr
sedimen	sedˈimɛn
sedimentasi	sedimɛntˈasi
seekor	səekˈor
segel	sɛɡˈəl
segmen	sɛɡmˈɛn
sehat	sehˈat
seher	sehˈər
sein	seˈin
seinendan	seinendˈan
seismik	seˈismiʔ
seismolog	seismˈoloɡ
seismologi	seismolˈoɡi
seismologiwan	seismoloɡˈiwan
sek	sˈɛʔ
seken	sɛkˈən
sekertaris	sɛkərtˈaris
sekjen	sɛʔd͡ʒˈən
sekong	sekˈoŋ
sekresi	səʔresˈi
sekretariat	seʔrətarˈiat
sekretaris	sɛʔrətˈaris
sekring	seʔrˈiŋ
seksi	sɛʔsˈi
seksionalisme	sɛʔsionalˈismə
sektarian	seʔtarˈian
sekte	sɛʔtˈə
sekunder	səkˈundɛr
sel	sˈɛl
seledri	səledrˈi
selektif	səlɛʔtˈif
selendang	səlendˈaŋ
selenium	selenˈium
selepetan	sələpɛtˈan
selibasi	selibˈasi
selo	sɛlˈo
selulosa	sɛlulˈosa
semafor	semˈafor
semang	semˈaŋ
semantik	sɛmˈantiʔ
semantis	sɛmˈantis
sematerialistis	səmaterialˈistis
semester	səmɛstˈər
seminari	sɛminˈari
senator	senˈator
sendok	sɛndˈoʔ
seng	sˈeŋ
senggol	sɛŋɡˈol
senggolan	sɛŋɡˈolan
sengkek	səŋkˈɛʔ
sengklek	seŋʔlˈɛʔ
senilis	senˈilis
senior	senˈior
sensasi	sɛnsˈasi
sensasional	sɛnsasiˈonal
sensei	sɛnseˈi
sensitivitas	sɛnsitivˈitas
senso	sɛnsˈo
sensori	sɛnsˈori
sensorik	sɛnsˈoriʔ
sensoris	sɛnsˈoris
sensus	sensˈus
senter	sɛntˈər
sentimen	sɛntˈimɛn
sentimental	sɛntimɛntˈal
sentra	sɛntrˈa
sentral	sɛntrˈal
sentralisme	sɛntralˈismə
sentralistis	sɛntralˈistis
sentrifugal	sɛntrifˈuɡal
sentrifus	sɛntrˈifus
senyur	seɲˈur
sep	sˈɛp
sepeda	səpɛdˈa
sepede	səpedˈe
sepek	səpˈɛʔ
sepen	səpˈɛn
sepia	sepˈia
seprei	səpreˈi
sepsis	sɛpsˈis
septa	sɛptˈa
septik	sɛptˈiʔ
septuaginta	sɛptuaɡˈinta
septum	sɛptˈum
serakkan	serˈaʔkan
serbet	sərbˈɛt
serdik	sɛrdˈiʔ
serealistis	sərealˈistis
serebelum	serebelˈum
serebral	serebrˈal
serebri	sərebrˈi
serebrum	serebrˈum
seremoni	seremˈoni
serenade	serənˈadə
seri	serˈi
serif	serˈif
seriosa	seriˈosa
sero	serˈo
serong	sɛrˈoŋ
sersi	sɛrsˈi
sertifikat	sertifˈikat
serundeng	sərˈundɛŋ
serviks	sɛrvˈiʔs
servis	sɛrvˈis
seser	sɛsˈɛr
seserak	səserˈaʔ
sesi	sesˈi
sesobek	səsˈobɛʔ
sespan	sɛspˈan
set	sˈɛt
setan	setˈan
setelan	sətɛlˈan
seteleng	setelˈɛŋ
setem	sətˈɛm
seterserak	sətərserˈaʔ
setra	setrˈa
sewa	sewˈa
sewaka	sewˈaka
sewu	sɛwˈu
siesta	siɛstˈa
sigaret	siɡˈarɛt
sikloheksana	siʔlohɛʔsˈana
silet	sˈilɛt
siluet	silˈuɛt
simetri	simetrˈi
simetris	simɛtrˈis
sinden	sˈindɛn
sineas	sineˈas
sinergi	sinɛrɡˈi
sinestesia	sinɛstesˈia
sinetron	sinɛtrˈon
singkek	sˈiŋkeʔ
sinkretis	sinʔretˈis
sinkretisme	sinʔretˈismə
sinse	sˈinse
sintesis	sintesˈis
sinyalemen	siɲaləmˈɛn
sirkuler	sirkˈulɛr
sistemik	sistemˈiʔ
sistemis	sistemˈis
sistole	sistˈole
skabies	skabˈiɛs
skelet	skelˈɛt
skema	skemˈa
skematik	skemˈatiʔ
skematis	skemˈatis
skena	skenˈa
skep	skˈɛp
skeptis	skɛptˈis
sketsel	skɛtsˈəl
skizofrenia	skizofrenˈia
slendro	slɛndrˈo
slenger	slɛŋˈər
sleper	slɛpˈər
snelhecter	snɛlhɛt͡ʃtˈer
sobek	sˈobɛʔ
softeks	sˈoftɛʔs
sokbreker	soʔbrekˈər
soleh	sˈolɛh
solider	solˈidɛr
solven	sˈolvɛn
soneta	sonetˈa
songket	sˈoŋkɛt
sorbet	sˈorbɛt
sore	sˈore
sosek	sˈosɛʔ
soteriologi	soteriolˈoɡi
spektakuler	spɛʔtakˈulɛr
spektral	spɛʔtrˈal
spektroskop	spɛʔtrˈoskop
spektrum	spɛʔtrˈum
spekuk	spekˈuʔ
spekulas	spekˈulas
sperma	spɛrmˈa
spermatogenesis	spɛrmatoɡenesˈis
spesi	spesˈi
spesial	spesˈial
spesialis	spɛsiˈalis
spesialisasi	spesialisˈasi
spesialisme	spesialˈismə
spesialitas	spesialˈitas
spesies	spɛsˈiɛs
spesifik	spɛsˈifiʔ
spesifikasi	spesifikˈasi
spesifisitas	spesifisˈitas
spesimen	spesˈimen
spirometer	spiromɛtˈər
stasioner	stasiˈonɛr
steger	steɡˈər
stek	stˈeʔ
steker	stekˈər
steling	stɛlˈiŋ
stem	stˈɛm
stempel	stɛmpˈəl
stenografi	stenoɡrˈafi
stensil	stɛnsˈil
step	stˈɛp
stepa	stepˈa
ster	stˈɛr
stereo	stereˈo
stereotipe	stereotˈipə
sterilisasi	sterilisˈasi
stetoskop	stetˈoskop
stoikiometri	stoikiometrˈi
strategi	strateɡˈi
subjek	sˈubd͡ʒɛʔ
sugestif	suɡɛstˈif
suiseki	suisekˈi
sukarela	sukarelˈa
sukarelawan	sukarelˈawan
sukses	sˈuʔsɛs
sukseskan	suʔsɛskˈan
suplemen	supləmˈɛn
suplementer	supləmɛntˈɛr
supremasi	supremˈasi
surealisme	surealˈismə
surpres	sˈurprɛs
survei	surveˈi
suspensi	suspɛnsˈi
suwer	sˈuwer
swamedikasi	swamɛdikˈasi
sweter	swetˈər
syuriken	ʃurˈikɛn
tabebuya	tabebˈuja
tablet	tˈablɛt
tafeta	tafɛtˈa
tajen	tˈad͡ʒen
takeyari	takejˈari
takometer	takometˈər
talen	tˈalɛn
talenta	talɛntˈa
tantiem	tantˈiɛm
taoge	taˈoɡe
tarekat	tarɛkˈat
target	tˈarɡɛt
tauke	taˈuke
te	tˈɛ
tega	teɡˈa
tegek	teɡˈeʔ
tegel	teɡˈəl
teh	tˈɛh
teis	teˈis
teja	ted͡ʒˈa
tek	tˈɛʔ
tekad	tekˈad
tekidanto	tekidˈanto
teknik	tɛʔnˈiʔ
teknikus	tɛʔnˈikus
teknis	tɛʔnˈis
teknisi	tɛʔnˈisi
teknokrasi	tɛʔnoʔrˈasi
teknokrat	tɛʔnˈoʔrat
teknokratik	tɛʔnoʔrˈatiʔ
teknokratis	tɛʔnoʔrˈatis
teknokratisme	tɛʔnoʔratˈismə
teknologi	tɛʔnolˈoɡi
teko	tekˈo
teks	tˈɛʔs
tekstur	tɛʔstˈur
tektonik	tɛʔtˈoniʔ
tektonis	tɛʔtˈonis
tel	tˈɛl
telefon	telefˈon
telefonan	telefˈonan
telegraf	teleɡrˈaf
telegrafi	teleɡrˈafi
telegrafis	teleɡrˈafis
telegram	teleɡrˈam
telekomunikasi	telekomunikˈasi
teleks	telˈɛʔs
telemetri	telemɛtrˈi
telepati	telepˈati
teleponan	telepˈonan
teleskop	teleskˈop
televisi	televˈisi
telfon	tɛlfˈon
telfonan	tɛlfˈonan
telis	telˈis
telkom	tɛlkˈom
telpon	tɛlpˈon
telponan	tɛlpˈonan
tembak	tembˈaʔ
tembereng	təmberˈeŋ
tembok	tembˈoʔ
temlar	tɛmlˈar
tempel	tɛmpˈɛl
tempeleng	təmpelˈɛŋ
temperamen	tɛmpərˈamɛn
temperatur	tempərˈatur
tempo	tɛmpˈo
tempong	tɛmpˈoŋ
temporer	tɛmpˈorɛr
tenda	tɛndˈa
tendensi	tɛndɛnsˈi
tendensius	tɛndɛnsˈius
tender	tɛndˈər
tenge	teŋˈe
tengger	tɛŋɡˈɛr
tenggeran	tɛŋɡɛrˈan
tenggeret	təŋɡɛrˈɛt
tengok	teŋˈoʔ
tenis	tenˈis
tensi	tɛnsˈi
tensimeter	tɛnsimetˈər
tentakel	tɛntˈakəl
tentatif	tɛntˈatif
tentir	tɛntˈir
teodolit	teodˈolit
teofani	teofˈani
teokrasi	teoʔrˈasi
teokratis	teoʔrˈatis
teologi	teolˈoɡi
teorema	teorɛmˈa
teoretikus	teoretˈikus
teori	teˈori
teosis	teˈosis
teosofi	teosˈofi
teosofis	teosˈofis
teosuf	teˈosuf
tepar	tɛpˈar
tepo	tepˈo
tepos	tepˈos
ter	tˈɛr
terabit	terˈabit
terabita	terabˈita
terakota	terakˈota
terapeutik	terapeˈutiʔ
terapeutis	terapeˈutis
terapis	terˈapis
teratogen	teratˈoɡɛn
teratologi	teratolˈoɡi
terbebas	tərbebˈas
terbebaskan	tərbebˈaskan
terbeda	tərbɛdˈa
terdenaturasi	tərdenaturˈasi
terealistis	tərealˈistis
terein	təreˈin
terekonstruksi	tərekonstrˈuʔsi
tereksekusi	tərɛʔsəkˈusi
tering	terˈiŋ
teritorium	teritorˈium
teriyaki	tɛrijˈaki
terkonsentrasi	tərkonsentrˈasi
term	tˈɛrm
termal	tɛrmˈal
termanifestasi	tərmanifɛstˈasi
termaterialistis	tərmaterialˈistis
termin	tɛrmˈin
terminator	terminˈator
terminologi	tɛrminolˈoɡi
terminologis	tɛrminolˈoɡis
termis	tɛrmˈis
termistor	tɛrmˈistor
termodinamika	tɛrmodinamˈika
termometer	tɛrmometˈər
termoregulasi	tɛrmoreɡulˈasi
termos	tɛrmˈos
termostat	tɛrmˈostat
terobsesi	tərobsɛsˈi
terong	tɛrˈoŋ
terorisme	terorˈismə
terpede	tərpedˈe
terpeka	tərpekˈa
terpeleset	tərpəlesˈet
terpentin	tɛrpəntˈin
tersegel	tərseɡˈəl
tersenggol	tərsɛŋɡˈol
terserak	tərserˈaʔ
tersertifikasi	tərsertifikˈasi
tersier	tɛrsˈiɛr
tertempel	tərtɛmpˈɛl
terwelu	tərwɛlˈu
tes	tˈɛs
tesaurus	tesaˈurus
tesertifikasi	təsertifikˈasi
tesis	tesˈis
tespen	tespˈen
tetanus	tetˈanus
tetesan	tɛtɛsˈan
tetralogi	tetralˈoɡi
tewas	tewˈas
tiket	tˈikɛt
timses	tˈimsɛs
tiren	tˈirɛn
tisane	tisˈane
tituler	titˈulɛr
toge	tˈoɡe
toilet	toˈilɛt
tokcer	tˈoʔt͡ʃɛr
tokek	tˈokɛʔ
toreador	toreˈador
torpedo	torpedˈo
totaliter	totalˈitɛr
totaliterisme	totalitɛrˈismə
tragedi	traɡedˈi
trajektori	trad͡ʒɛʔtˈori
transenden	transɛndˈɛn
transendens	transɛndˈɛns
transendensi	transɛndɛnsˈi
transendental	transɛndɛntˈal
trapesium	trapesˈium
trapezoid	trapezˈoid
travesti	travɛstˈi
trayek	trˈajɛʔ
trek	trˈɛʔ
trekpen	trɛʔpˈɛn
trekstang	trɛʔstˈaŋ
trema	tremˈa
tremor	tremˈor
tren	trˈen
tres	trˈɛs
trimester	trimɛstˈər
tripleks	trˈiplɛʔs
triteisme	triteˈismə
trompet	trˈompɛt
tumben	tˈumbɛn
tungsten	tˈuŋstɛn
turbulen	turbˈulɛn
turbulensi	turbulɛnsˈi
turne	tˈurne
tustel	tˈustɛl
ukulele	ukulelˈe
ultraviolet	ultraviˈolɛt
ureter	uretˈər
varietas	varietˈas
ve	vˈɛ
vektor	vɛʔtˈor
velum	velˈum
vena	venˈa
venipunktur	venipˈunʔtur
ventral	ventrˈal
ventrikel	vɛntrˈikəl
ventrikulus	vɛntrikˈulus
verano	verˈano
verbal	vɛrbˈal
verbalisme	vɛrbalˈismə
verifikasi	vɛrifikˈasi
verset	vərsˈɛt
versi	vɛrsˈi
verso	vɛrsˈo
verstek	vərstˈɛʔ
versus	vɛrsˈus
vertebra	vɛrtebrˈa
vespa	vɛspˈa
vestibula	vɛstibˈula
vestibular	vɛstibˈular
veteriner	vetərˈinɛr
vetsin	vɛtsˈin
vinyet	vˈiɲɛt
virulen	virˈulɛn
visioner	visiˈoner
volunter	volˈunter
vuvuzela	vuvuzelˈa
waarmerking	waarmɛrkˈiŋ
walet	wˈalet
wanprestasi	wanprestˈasi
warnet	wˈarnet
wasrey	wˈasrɛj
we	wˈe
web	wˈɛb
webinar	webˈinar
wedang	wedˈaŋ
weker	wekˈər
werek	werˈəʔ
werpak	wɛrpˈaʔ
werving	wɛrvˈiŋ
wesel	wesˈəl
wisesa	wisesˈa
wiweka	wiwekˈa
xenofobia	ksenofobˈia
xerografi	kseroɡrˈafi
ye	jˈe
yel	jˈel
yen	jˈen
yeriken	jerˈiken
yeye	jejˈe
yubileum	jubileˈum
yukensi	jukensˈi
yurisprudensi	jurisprudensˈi
zazen	zˈazɛn
zebra	zebrˈa
zebu	zebˈu
zen	zˈen
zendeling	zendəlˈiŋ
zending	zendˈiŋ
zenit	zenˈit
zeolit	zeˈolit
zero	zerˈo
zester	zɛstˈər
zet	zˈet
zimogen	zimˈoɡen
