敵わな	かなわな
油田	ゆでん
油揚げ	あぶらあげ
癒着	ゆちゃく
輸液	ゆえき
輸血	ゆけつ
輸出	ゆしゅつ
輸出入	ゆしゅつにゅう
輸送	ゆそう
輸入	ゆにゅう
只	ただ
唯一	ゆいいつ
只今	ただいま
唯物論	ゆいぶつろん
優位	ゆうい
優越	ゆうえつ
優越感	ゆうえつかん
優雅	ゆうが
優遇	ゆうぐう
優秀	ゆうしゅう
優柔不断	ゆうじゅうふだん
優勝	ゆうしょう
優勢	ゆうせい
優生	ゆうせい
優先	ゆうせん
優先権	ゆうせんけん
優先的	ゆうせんてき
優待	ゆうたい
優等生	ゆうとうせい
優美	ゆうび
優良	ゆうりょう
優劣	ゆうれつ
勇み足	いさみあし
勇敢	ゆうかん
勇気	ゆうき
勇士	ゆうし
勇者	ゆうしゃ
勇壮	ゆうそう
勇断	ゆうだん
勇猛	ゆうもう
友	とも
友愛	ゆうあい
友好	ゆうこう
友情	ゆうじょう
友人	ゆうじん
友達	ともだち
友釣り	ともづり
友邦	ゆうほう
幽閉	ゆうへい
幽霊	ゆうれい
悠々自適	ゆうゆうじてき
悠久	ゆうきゅう
悠長	ゆうちょう
憂国	ゆうこく
憂慮	ゆうりょ
有	ゆう
有する	ゆうする
有りそう	ありそう
有りのまま	ありのまま
有り触れた	ありふれた
有難うございます	ありがとうございます
有様	ありさま
有意義	ゆういぎ
有益	ゆうえき
有価証券	ゆうかしょうけん
有害	ゆうがい
有感地震	ゆうかんじしん
有機	ゆうき
有給	ゆうきゅう
有形	ゆうけい
有権者	ゆうけんしゃ
有限	ゆうげん
有限会社	ゆうげんがいしゃ
有効	ゆうこう
有罪	ゆうざい
有志	ゆうし
有識者	ゆうしきしゃ
有終	ゆうしゅう
有償	ゆうしょう
有人	ゆうじん
有数	ゆうすう
有線	ゆうせん
有頂天	うちょうてん
有毒	ゆうどく
有能	ゆうのう
有望	ゆうぼう
有無	うむ
有名	ゆうめい
有名人	ゆうめいじん
有名無実	ゆうめいむじつ
有用	ゆうよう
有料	ゆうりょう
有力	ゆうりょく
猶予	ゆうよ
由	よし
由緒	ゆいしょ
由来	ゆらい
裕福	ゆうふく
誘い水	さそいみず
誘因	ゆういん
誘拐	ゆうかい
誘致	ゆうち
誘導	ゆうどう
誘発	ゆうはつ
誘惑	ゆうわく
遊び場	あそびば
遊び相手	あそびあいて
遊園地	ゆうえんち
遊郭	ゆうかく
遊戯	ゆうぎ
遊休	ゆうきゅう
遊興	ゆうきょう
遊撃	ゆうげき
遊撃手	ゆうげきしゅ
遊女	ゆうじょ
遊説	ゆうぜい
遊牧	ゆうぼく
遊離	ゆうり
郵政省	ゆうせいしょう
郵送	ゆうそう
郵便為替	ゆうびんかわせ
郵便局	ゆうびんきょく
雄大	ゆうだい
雄弁	ゆうべん
融合	ゆうごう
融資	ゆうし
融雪	ゆうせつ
昨夜	ゆうべ
夕刊	ゆうかん
夕刻	ゆうこく
夕焼け	ゆうやけ
夕食	ゆうしょく
夕日	ゆうひ
夕暮れ	ゆうぐれ
夕方	ゆうがた
夕霧	ゆうぎり
夕立	ゆうだち
予て	かねて
予め	あらかじめ
予科	よか
予感	よかん
予期	よき
予見	よけん
予後	よご
予行	よこう
予告	よこく
予算	よさん
予習	よしゅう
予審	よしん
予選	よせん
予想	よそう
予想外	よそうがい
予測	よそく
予断	よだん
予知	よち
予定	よてい
予備	よび
予備校	よびこう
予備知識	よびちしき
予備費	よびひ
予報	よほう
予防	よぼう
予防接種	よぼうせっしゅ
予防線	よぼうせん
予約	よやく
余りに	あまりに
余韻	よいん
余暇	よか
余技	よぎ
余興	よきょう
余計	よけい
余罪	よざい
よそ見	よそみ
余剰	よじょう
余震	よしん
余勢	よせい
余談	よだん
余地	よち
余熱	よねつ
余念	よねん
余波	よは
余白	よはく
余分	よぶん
余命	よめい
余裕	よゆう
余力	よりょく
余録	よろく
与党	よとう
与野党	よやとう
預金	よきん
用船	ようせん
傭兵	ようへい
幼なじみ	おさななじみ
幼魚	ようぎょ
幼子	おさなご
幼児	ようじ
幼時	ようじ
幼女	ようじょ
幼少	ようしょう
幼生	ようせい
幼稚	ようち
幼稚園	ようちえん
幼虫	ようちゅう
幼年	ようねん
妖怪	ようかい
妖精	ようせい
容易	ようい
容器	ようき
容疑	ようぎ
容疑者	ようぎしゃ
容姿	ようし
容赦	ようしゃ
容積	ようせき
容態	ようだい
容認	ようにん
容量	ようりょう
揚げ	あげ
揚げ物	あげもの
擁する	ようする
擁立	ようりつ
曜日	ようび
様	さま
様子	ようす
様式	ようしき
様相	ようそう
洋菓子	ようがし
洋画	ようが
洋楽	ようがく
洋間	ようま
洋館	ようかん
洋裁	ようさい
洋式	ようしき
洋室	ようしつ
洋酒	ようしゅ
洋書	ようしょ
洋食	ようしょく
洋風	ようふう
洋服	ようふく
溶液	ようえき
溶解	ようかい
溶岩	ようがん
溶鉱炉	ようこうろ
溶剤	ようざい
溶接	ようせつ
溶媒	ようばい
溶融	ようゆう
用	よう
用意	ようい
用具	ようぐ
用件	ようけん
用語	ようご
用紙	ようし
用事	ようじ
用心	ようじん
用心棒	ようじんぼう
用水	ようすい
用地	ようち
用途	ようと
用品	ようひん
用法	ようほう
用量	ようりょう
用例	ようれい
窯	かま
窯業	ようぎょう
窯元	かまもと
羊	ひつじ
羊肉	ようにく
羊毛	ようもう
葉	は
葉巻	はまき
葉書	はがき
要する	ようする
要するに	ようするに
要員	よういん
要因	よういん
要求	ようきゅう
要件	ようけん
要綱	ようこう
要項	ようこう
要塞	ようさい
要旨	ようし
要請	ようせい
要素	ようそ
要点	ようてん
要望	ようぼう
要領	ようりょう
謡曲	ようきょく
踊り子	おどりこ
踊り場	おどりば
遥か	はるか
陽炎	かげろう
陽気	ようき
陽光	ようこう
陽子	ようし
陽性	ようせい
陽電子	ようでんし
養育	よういく
養鶏	ようけい
養蚕	ようさん
養子	ようし
養子縁組	ようしえんぐみ
養女	ようじょ
養殖	ようしょく
養成	ようせい
養生	ようじょう
養豚	ようとん
養父	ようふ
養母	ようぼ
養老院	ようろういん
抑圧	よくあつ
抑止	よくし
抑制	よくせい
抑揚	よくよう
抑留	よくりゅう
欲	よく
欲する	ほっする
欲求	よっきゅう
欲望	よくぼう
浴室	よくしつ
浴場	よくじょう
浴槽	よくそう
翌月	よくげつ
翌週	よくしゅう
翌日	よくじつ
翌年	よくねん
翼	つばさ
羅漢	らかん
羅針盤	らしんばん
羅列	られつ
裸	はだか
裸眼	らがん
裸足	はだし
裸体	らたい
裸婦	らふ
来	らい
来援	らいえん
来月	らいげつ
来航	らいこう
来襲	らいしゅう
来週	らいしゅう
来世	らいせ
来店	らいてん
来日	らいにち
来年	らいねん
来賓	らいひん
来訪	らいほう
来歴	らいれき
雷雨	らいう
雷鳴	らいめい
落ち着いた	おちついた
落ち度	おちど
落とし穴	おとしあな
落下	らっか
落下傘	らっかさん
落語	らくご
落語家	らくごか
落差	らくさ
落札	らくさつ
落書き	らくがき
落成	らくせい
落成式	らくせいしき
落石	らくせき
落第	らくだい
落胆	らくたん
落盤	らくばん
落雷	らくらい
酪農	らくのう
乱雑	らんざつ
乱射	らんしゃ
乱闘	らんとう
乱入	らんにゅう
乱発	らんぱつ
乱舞	らんぶ
乱暴	らんぼう
乱脈	らんみゃく
乱用	らんよう
乱立	らんりつ
卵	たまご
卵黄	らんおう
卵管	らんかん
卵子	らんし
卵巣	らんそう
卵白	らんぱく
卵胞	らんぽう
嵐	あらし
欄	らん
欄外	らんがい
欄干	らんかん
藍	あい
蘭	らん
蘭学	らんがく
利	り
利益	りえき
利回り	りまわり
利害	りがい
利権	りけん
利己	りこ
利口	りこう
利子	りし
利潤	りじゅん
利殖	りしょく
利息	りそく
利点	りてん
利得	りとく
利尿	りにょう
利払い	りばらい
利用	りよう
利用者	りようしゃ
利率	りりつ
履き古し	はきふるし
履行	りこう
履修	りしゅう
履歴	りれき
履歴書	りれきしょ
梨	なし
理化学	りかがく
理科	りか
理解	りかい
理学	りがく
理学部	りがくぶ
理系	りけい
理工	りこう
理工学部	りこうがくぶ
理事	りじ
理性	りせい
理想	りそう
理想主義	りそうしゅぎ
理想的	りそうてき
理念	りねん
理髪	りはつ
理非	りひ
理不尽	りふじん
理由	りゆう
理容師	りようし
理論	りろん
裏	うら
裏金	うらがね
裏口	うらぐち
裏山	うらやま
裏手	うらて
裏切り者	うらぎりもの
裏側	うらがわ
裏打ち	うらうち
裏地	うらじ
裏通り	うらどおり
裏庭	うらにわ
裏道	うらみち
裏表	うらおもて
裏腹	うらはら
裏方	うらかた
裏面	うらめん
裏木戸	うらきど
裏目	うらめ
裏門	うらもん
裏話	うらばなし
里	り
里帰り	さとがえり
里子	さとご
離宮	りきゅう
離婚	りこん
離散	りさん
離脱	りだつ
離乳	りにゅう
離反	りはん
離別	りべつ
離陸	りりく
陸	りく
陸運	りくうん
陸軍	りくぐん
陸上	りくじょう
陸上競技	りくじょうきょうぎ
陸戦	りくせん
陸路	りくろ
律儀	りちぎ
律令	りつりょう
率	りつ
立ち食い	たちぐい
立ち読み	たちよみ
立ち話	たちばなし
立案	りつあん
立脚	りっきゃく
立憲	りっけん
立候補	りっこうほ
立春	りっしゅん
立証	りっしょう
立場	たちば
立正佼成会	りっしょうこうせいかい
立体	りったい
立派	りっぱ
立腹	りっぷく
立方	たちかた
立方体	りっぽうたい
立法	りっぽう
立法府	りっぽうふ
略	りゃく
略語	りゃくご
略式	りゃくしき
略取	りゃくしゅ
略称	りゃくしょう
略歴	りゃくれき
流	りゅう
流れ星	ながれぼし
流れ弾	ながれだま
流域	りゅういき
流儀	りゅうぎ
流刑	りゅうけい
流血	りゅうけつ
流行歌	りゅうこうか
流産	りゅうざん
流出	りゅうしゅつ
流水	りゅうすい
流星	りゅうせい
流石	さすが
流体	りゅうたい
流暢	りゅうちょう
流通	りゅうつう
流動	りゅうどう
流動的	りゅうどうてき
流入	りゅうにゅう
流派	りゅうは
流氷	りゅうひょう
流布	るふ
流用	りゅうよう
流量	りゅうりょう
流浪	るろう
留意	りゅうい
留学	りゅうがく
留学生	りゅうがくせい
留守	るす
留守番	るすばん
留置	りゅうち
留保	りゅうほ
硫黄	いおう
硫酸	りゅうさん
粒	つぶ
粒子	りゅうし
粒状	りゅうじょう
隆起	りゅうき
隆盛	りゅうせい
竜宮	りゅうぐう
旅	たび
旅館	りょかん
旅客	りょかく
旅客機	りょかくき
旅券	りょけん
旅行	りょこう
旅行者	りょこうしゃ
旅人	たびびと
旅先	たびさき
旅団	りょだん
旅程	りょてい
旅費	りょひ
旅路	たびじ
了	りょう
了解	りょうかい
僚船	りょうせん
僚友	りょうゆう
両院	りょういん
両家	りょうけ
両岸	りょうがん
両眼	りょうがん
両極	りょうきょく
両軍	りょうぐん
両国	りょうこく
両氏	りょうし
両者	りょうしゃ
両手	りょうて
両人	りょうにん
両性	りょうせい
両替	りょうがえ
両党	りょうとう
両日	りょうじつ
両方	りょうほう
両名	りょうめい
両面	りょうめん
両雄	りょうゆう
両様	りょうよう
両用	りょうよう
両翼	りょうよく
両立	りょうりつ
両輪	りょうりん
両隣	りょうどなり
両論	りょうろん
両腕	りょううで
寮	りょう
寮生	りょうせい
寮母	りょうぼ
料	りょう
料金	りょうきん
料亭	りょうてい
料理	りょうり
料理屋	りょうりや
猟	りょう
猟犬	りょうけん
猟師	りょうし
猟銃	りょうじゅう
療法	りょうほう
療養	りょうよう
糧食	りょうしょく
良かったら	よかったら
良好	りょうこう
良妻	りょうさい
良識	りょうしき
良質	りょうしつ
良心	りょうしん
良心的	りょうしんてき
良性	りょうせい
良品	りょうひん
量	りょう
量感	りょうかん
量産	りょうさん
量子	りょうし
量的	りょうてき
陵	みささぎ
領域	りょういき
領事	りょうじ
領事館	りょうじかん
領収	りょうしゅう
領収書	りょうしゅうしょ
領地	りょうち
領土	りょうど
領有	りょうゆう
力	ちから
力いっぱい	ちからいっぱい
力学	りきがく
力作	りきさく
力仕事	ちからしごと
力士	りきし
力試し	ちからだめし
力持ち	ちからもち
力説	りきせつ
力戦	りきせん
力走	りきそう
力添え	ちからぞえ
力点	りきてん
力投	りきとう
力量	りきりょう
緑	みどり
緑色	みどりいろ
緑青	ろくしょう
緑地	りょくち
倫理	りんり
倫理学	りんりがく
倫理的	りんりてき
厘	りん
林	はやし
林学	りんがく
林間	りんかん
林業	りんぎょう
林檎	りんご
林道	りんどう
林立	りんりつ
臨界	りんかい
臨機応変	りんきおうへん
臨月	りんげつ
臨時	りんじ
臨終	りんじゅう
臨床	りんしょう
臨場感	りんじょうかん
輪	わ
輪ゴム	わゴム
輪廻	りんね
輪郭	りんかく
輪切り	わぎり
輪転機	りんてんき
輪番	りんばん
隣	となり
隣家	りんか
隣人	りんじん
隣席	りんせき
隣接	りんせつ
鱗	うろこ
瑠璃	るり
塁	るい
塁審	るいしん
涙	なみだ
涙声	なみだごえ
累計	るいけい
累進	るいしん
累積	るいせき
類	るい
類似	るいじ
類人猿	るいじんえん
類推	るいすい
令	れい
令嬢	れいじょう
令状	れいじょう
例えば	たとえば
例会	れいかい
例外	れいがい
例外的	れいがいてき
例示	れいじ
例証	れいしょう
例題	れいだい
例年	れいねん
例文	れいぶん
冷え性	ひえしょう
冷や飯	ひやめし
冷害	れいがい
冷気	れいき
冷却	れいきゃく
冷却期間	れいきゃくきかん
冷遇	れいぐう
冷厳	れいげん
冷酷	れいこく
冷笑	れいしょう
冷水	れいすい
冷静	れいせい
冷戦	れいせん
冷蔵	れいぞう
冷蔵庫	れいぞうこ
冷淡	れいたん
冷徹	れいてつ
冷凍	れいとう
冷凍庫	れいとうこ
冷凍食品	れいとうしょくひん
冷房	れいぼう
礼	れい
礼儀	れいぎ
礼金	れいきん
礼賛	らいさん
礼状	れいじょう
礼節	れいせつ
礼拝	れいはい
礼服	れいふく
鈴	すず
零	れい
零下	れいか
零細	れいさい
零時	れいじ
零点	れいてん
霊	れい
霊安室	れいあんしつ
霊園	れいえん
霊界	れいかい
霊感	れいかん
霊魂	れいこん
霊長	れいちょう
齢	よわい
暦	こよみ
歴史	れきし
歴史的	れきしてき
歴戦	れきせん
歴代	れきだい
歴任	れきにん
歴訪	れきほう
列	れつ
列挙	れっきょ
列国	れっこく
列車	れっしゃ
列席	れっせき
列島	れっとう
劣悪	れつあく
劣化	れっか
劣勢	れっせい
劣等感	れっとうかん
烈震	れっしん
裂け目	さけめ
廉価	れんか
廉売	れんばい
恋	こい
恋愛	れんあい
恋人	こいびと
恋文	こいぶみ
煉瓦	れんが
練習	れんしゅう
蓮	はす
蓮華	れんげ
連歌	れんが
連休	れんきゅう
連係	れんけい
連携	れんけい
連結	れんけつ
連行	れんこう
連合	れんごう
連合会	れんごうかい
連鎖	れんさ
連座	れんざ
連載	れんさい
連勝	れんしょう
連戦	れんせん
連想	れんそう
連続	れんぞく
連打	れんだ
連帯	れんたい
連隊	れんたい
連中	れんちゅう
連動	れんどう
連日	れんじつ
連覇	れんぱ
連敗	れんぱい
連発	れんぱつ
連峰	れんぽう
連邦	れんぽう
連盟	れんめい
連用	れんよう
連絡	れんらく
連絡先	れんらくさき
連立	れんりつ
錬金術	れんきんじゅつ
路肩	ろかた
路線	ろせん
路地	ろじ
路傍	ろぼう
露	つゆ
露光	ろこう
露骨	ろこつ
露出	ろしゅつ
露呈	ろてい
露天	ろてん
露天風呂	ろてんぶろ
露店	ろてん
労	ろう
労苦	ろうく
労災	ろうさい
労災保険	ろうさいほけん
労作	ろうさく
労使	ろうし
労組	ろうそ
労賃	ろうちん
労働委員会	ろうどういいんかい
労働運動	ろうどううんどう
労働者	ろうどうしゃ
労働省	ろうどうしょう
労働条件	ろうどうじょうけん
労働組合	ろうどうくみあい
労働争議	ろうどうそうぎ
労働党	ろうどうとう
労働力	ろうどうりょく
労農	ろうのう
労務	ろうむ
労力	ろうりょく
労連	ろうれん
廊下	ろうか
朗らか	ほがらか
朗詠	ろうえい
朗読	ろうどく
朗報	ろうほう
楼閣	ろうかく
浪花節	なにわぶし
浪人	ろうにん
浪費	ろうひ
漏洩	ろうえい
漏出	ろうしゅつ
狼	おおかみ
老朽	ろうきゅう
老後	ろうご
老子	ろうし
老若男女	ろうにゃくなんにょ
老人	ろうじん
老人ホーム	ろうじんホーム
老人性	ろうじんせい
老衰	ろうすい
老婆	ろうば
老齢	ろうれい
蝋燭	ろうそく
六角	ろっかく
六十四分音符	ろくじゅうしぶおんぷ
録音	ろくおん
録音テープ	ろくおんテープ
録画	ろくが
論ずる	ろんずる
論外	ろんがい
論議	ろんぎ
論客	ろんきゃく
論拠	ろんきょ
論考	ろんこう
論旨	ろんし
論者	ろんしゃ
論証	ろんしょう
論説	ろんせつ
論戦	ろんせん
論争	ろんそう
論調	ろんちょう
論点	ろんてん
論評	ろんぴょう
論文	ろんぶん
論理	ろんり
論理的	ろんりてき
倭人	わじん
和	わ
和英	わえい
和音	わおん
和歌	わか
和菓子	わがし
和解	わかい
和牛	わぎゅう
和語	わご
和紙	わし
和室	わしつ
和尚	おしょう
和食	わしょく
和製	わせい
和装	わそう
和風	わふう
和服	わふく
和文	わぶん
和平	わへい
和訳	わやく
和洋	わよう
和洋折衷	わようせっちゅう
話し方	はなしかた
話術	わじゅつ
話題	わだい
賄賂	わいろ
脇	わき
脇役	わきやく
惑星	わくせい
枠	わく
枠内	わくない
鷲	わし
藁	わら
椀	わん
湾	わん
湾岸	わんがん
湾曲	わんきょく
腕	うで
腕時計	うでどけい
腕章	わんしょう
腕前	うでまえ
腕組み	うでぐみ
腕白	わんぱく
腕立て伏せ	うでたてふせ
腕力	わんりょく
丼	どんぶり
乖離	かいり
傲慢	ごうまん
冤罪	えんざい
几帳面	きちょうめん
刹那	せつな
咀嚼	そしゃく
咄嗟に	とっさに
哺乳	ほにゅう
哺乳類	ほにゅうるい
喘息	ぜんそく
嗚呼	ああ
嗜好	しこう
嘔吐	おうと
嘴	くちばし
嘸	さぞ
囃子	はやし
埃	ほこり
毀損	きそん
夭折	ようせつ
婉曲	えんきょく
屏風	びょうぶ
箒	ほうき
彗星	すいせい
彷彿	ほうふつ
忖度	そんたく
恍惚	こうこつ
恣意	しい
恫喝	どうかつ
罹患	りかん
戌	いぬ
拉致	らち
拮抗	きっこう
捏造	ねつぞう
掏摸	すり
掟	おきて
揶揄	やゆ
攘夷	じょうい
旁	つくり
曖昧	あいまい
曰く	いわく
杞憂	きゆう
梟	ふくろう
楷書	かいしょ
椰子	やし
檻	おり
うつ病	うつびょう
洒落	しゃれ
渾然	こんぜん
瀟洒	しょうしゃ
炒飯	チャーハン
炸裂	さくれつ
焜炉	こんろ
燻蒸	くんじょう
爬虫類	はちゅうるい
猜疑	さいぎ
琥珀	こはく
瑕疵	かし
瑣末	さまつ
瘤	こぶ
皺	しわ
眩暈	めまい
瞑想	めいそう
瞼	まぶた
瞽女	ごぜ
矮小	わいしょう
碌に	ろくに
稍	やや
筐体	きょうたい
籤	くじ
くじ引き	くじびき
絆	きずな
煌びやか	きらびやか
緻密	ちみつ
罠	わな
羞恥	しゅうち
肛門	こうもん
脛	すね
膠原病	こうげんびょう
臍	へそ
舅	しゅうと
苺	いちご
茗荷	みょうが
茣蓙	ござ
薔薇	ばら
バラ色	バラいろ
蕾	つぼみ
蜃気楼	しんきろう
蝸牛	かたつむり
訃報	ふほう
訛り	なまり
詭弁	きべん
謳歌	おうか
贅沢	ぜいたく
贔屓	ひいき
踵	かかと
躊躇	ちゅうちょ
躾	しつけ
逍遥	しょうよう
鋏	はさみ
鍼灸	しんきゅう
隕石	いんせき
笑窪	えくぼ
鞦韆	ぶらんこ
餃子	ギョーザ
饂飩	うどん
饒舌	じょうぜつ
麒麟	きりん
黎明	れいめい
黴	カビ
ばい菌	ばいきん
鼾	いびき
愛想	あいそ
愛憎	あいぞう
愛着	あいちゃく
悪口	あっこう
悪阻	つわり
悪霊	あくりょう
案文	あんぶん
依存	いぞん
横糸	よこいと
亥	い
一家	いっか
一家言	いっかげん
一回転	いっかいてん
一筋	ひとすじ
一隅	いちぐう
一言	ひとこと
一個人	いっこじん
一行	いちぎょう
一昨日	おととい
一昨年	おととし
一山	ひとやま
一子	いっし
一時	いちじ
一所	いっしょ
一色	いっしょく
一人	ひとり
一世	いっせい
一生	いっしょう
一声	いっせい
一節	いっせつ
一度	いちど
一日	いちにち
一年	いちねん
一筆	いっぴつ
一物	いちもつ
一夜	いちや
陰陽	いんよう
右側	みぎがわ
右端	みぎはし
雨脚	あまあし
雨水	あまみず
雨模様	あまもよう
卯	う
永久	えいきゅう
疫病	えきびょう
益	えき
円滑	えんかつ
円形	えんけい
塩	しお
塩害	えんがい
塩水	しおみず
奥地	おくち
奥底	おくそこ
翁	おきな
黄昏	たそがれ
黄色	きいろ
俺	おれ
音	おと
音色	ねいろ
下唇	したくちびる
下段	げだん
下半期	しもはんき
下半身	かはんしん
化粧	けしょう
化粧水	けしょうすい
仮名	かめい
何	なに
何故	なぜ
何時でも	いつでも
何処	どこ
加重	かじゅう
夏草	なつくさ
台詞	せりふ
暇	ひま
河口	かこう
火傷	やけど
花園	はなぞの
荷役	にやく
絵師	えし
海神	かいじん
海鳥	うみどり
絵馬	えま
外界	がいかい
外側	そとがわ
蛙	かえる
格好いい	かっこいい
角界	かくかい
割賦	かっぷ
乾物	かんぶつ
冠	かんむり
幹	みき
管	かん
嗽	うがい
眼鏡	メガネ
雁	がん
願望	がんぼう
寄贈	きぞう
捨て子	すてご
鬼神	きしん
偽物	にせもの
吉祥天	きっしょうてん
脚力	きゃくりょく
給油所	きゅうゆじょ
旧型	きゅうがた
旧版	きゅうはん
魚	さかな
共存	きょうぞん
興	きょう
近々	ちかぢか
金色	きんいろ
九	きゅう
軍兵	ぐんぴょう
軽やか	かろやか
決定版	けっていばん
兼業	けんぎょう
嫌気	いやき
研究所	けんきゅうじょ
見栄	みえ
元凶	げんきょう
元金	がんきん
元利	がんり
弦	つる
現存	げんぞん
古寺	こじ
古物	こぶつ
古文	こぶん
古文書	こもんじょ
古本	ふるほん
固執	こしつ
顧客	こきゃく
五月雨	さみだれ
五重	いつえ
五色	ごしき
後々	あとあと
口腔	こうこう
口数	くちかず
工場	こうじょう
溝	みぞ
甲	こう
甲板	かんぱん
紅	くれない
紅色	べにいろ
紅葉	こうよう
行き	いき
行き違い	いきちがい
行き止まり	いきどまり
行き来	ゆきき
行く	いく
行く末	ゆくすえ
鋼板	こうはん
高名	こうめい
合点	がてん
合板	ごうはん
合併	がっぺい
黒衣	こくい
黒煙	こくえん
黒白	くろしろ
黒髪	くろかみ
此奴	こいつ
頃	ころ
今昔	こんじゃく
今朝	けさ
今日	きょう
今年	ことし
今夕	こんせき
昆布	こんぶ
紺屋	こうや
魂	たましい
左側	ひだりがわ
最上	さいじょう
最中	さいちゅう
裁定	さいてい
昨日	きのう
桜花	おうか
鮭	さけ
殺戮	さつりく
三	さん
三角形	さんかくけい
三宝	さんぽう
三方	さんぼう
三味線	しゃみせん
惨敗	ざんぱい
四	し
姉妹	しまい
師走	しわす
施行	しこう
枝葉	えだは
私事	しじ
詩歌	しいか
歯痛	しつう
磁場	じば
七色	なないろ
七夕	たなばた
舎	しゃ
借家	しゃくや
借家人	しゃくやにん
寂然	せきぜん
主客	しゅかく
主従	しゅうじゅう
主人	しゅじん
修業	しゅうぎょう
醜女	しゅうじょ
十	じゅう
十四	じゅうし
十指	じっし
十七	じゅうなな
十八番	おはこ
渋面	じゅうめん
縦横	じゅうおう
重荷	おもに
重厚	じゅうこう
重傷	じゅうしょう
重複	ちょうふく
重宝	ちょうほう
出漁	しゅつりょう
出国	しゅっこく
出所	しゅっしょ
出水	しゅっすい
出生	しゅっしょう
春雨	はるさめ
順風	じゅんぷう
初産	ういざん
助言	じょげん
女形	おんながた
傷	きず
商人	しょうにん
小便	しょうべん
少女	しょうじょ
手のひら	てのひら
消耗	しょうもう
上着	うわぎ
上院	じょういん
上座	かみざ
上唇	うわくちびる
上皮	うわかわ
上方	じょうほう
丈夫	じょうぶ
乗客	じょうきゃく
情緒	じょうちょ
信	しん
誠	まこと
寝台	しんだい
深紅	しんく
真っ直ぐ	まっすぐ
真っ白	まっしろ
人々	ひとびと
人影	ひとかげ
人心	じんしん
人身	じんしん
人数	にんずう
人頭税	じんとうぜい
人文	じんぶん
人目	ひとめ
人力	じんりき
水鳥	みずとり
数	かず
正気	しょうき
正道	せいどう
西方	せいほう
石綿	いしわた
赤色	あかいろ
先行き	さきゆき
先ごろ	さきごろ
千代	ちよ
川面	かわも
扇形	おうぎがた
船底	せんてい
前足	まえあし
前歯	まえば
前半	ぜんはん
前輪	ぜんりん
良し悪し	よしあし
全国	ぜんこく
全治	ぜんち
嘗て	かつて
早急	そうきゅう
草木	くさき
足跡	あしあと
他人	たにん
他薦	たせん
代替	だいたい
大河	たいが
大将	たいしょう
凧	たこ
脱衣所	だついじょ
谷	たに
端	はし
値	あたい
弛緩	しかん
築城	ちくじょう
茶店	さてん
中指	なかゆび
昼間	ひるま
朝飯	あさめし
直	じき
直球	ちょっきゅう
直輸入	ちょくゆにゅう
佃	つくだ
弟	おとうと
弟子	でし
敵	てき
天の川	あまのがわ
天皇	てんのう
天神	てんじん
天地	てんち
店	みせ
伝言	でんごん
途中	とちゅう
島国	しまぐに
東側	ひがしがわ
東風	ひがしかぜ
灯	ひ
等	など
頭数	あたまかず
頭打ち	あたまうち
働き手	はたらきて
同人	どうじん
同胞	どうほう
銅	どう
読本	とくほん
凸凹	でこぼこ
内々	うちうち
内海	ないかい
内外	ないがい
内宮	ないくう
内示	ないじ
内分泌	ないぶんぴつ
内幕	うちまく
南瓜	かぼちゃ
南西	なんせい
南側	みなみがわ
南東	なんとう
南氷洋	なんひょうよう
二七日	ふたなぬか
二食	にしょく
二人	ふたり
二人前	ににんまえ
日数	にっすう
日本	にほん
乳牛	にゅうぎゅう
乳首	ちくび
乳母	うば
乳房	ちぶさ
入り口	いりぐち
入水	じゅすい
年々	ねんねん
年月	としつき
年頭	ねんとう
年表	ねんぴょう
此の	この
派出所	はしゅつじょ
梅雨	つゆ
売春婦	ばいしゅんふ
博	はく
拍子	ひょうし
柏	かしわ
白髪	しらが
八	はち
八つ	やっつ
八本	はちほん
発足	ほっそく
半月	はんげつ
半日	はんにち
半年	はんとし
帆船	はんせん
美男子	びだんし
鼻血	はなぢ
鼻紙	はながみ
鼻息	はないき
匹	ひき
俵	たわら
氷室	ひむろ
氷水	こおりみず
氷柱	つらら
品	しな
賓客	ひんきゃく
不治	ふじ
不知火	しらぬい
不定	ふてい
夫婦	ふうふ
富者	ふしゃ
武士	ぶし
風穴	かざあな
風車	ふうしゃ
風邪	かぜ
副官	ふくかん
副読本	ふくとくほん
分泌	ぶんぴつ
文書	ぶんしょ
平均	へいきん
平地	へいち
別人	べつじん
別名	べつめい
編者	へんしゃ
保育所	ほいくしょ
保健所	ほけんじょ
保養所	ほようじょ
墓参り	はかまいり
墓石	ぼせき
墓地	ぼち
宝物	たからもの
方々	かたがた
頬	ほお
北国	きたぐに
北側	きたがわ
北東	ほくとう
北風	きたかぜ
牧場	ぼくじょう
本文	ほんぶん
凡人	ぼんじん
毎月	まいつき
毎年	まいとし
末っ子	すえっこ
末弟	ばってい
末路	まつろ
末裔	まつえい
万	まん
万華鏡	まんげきょう
万人	ばんにん
万全	ばんぜん
万能	ばんのう
万物	ばんぶつ
密入国	みつにゅうこく
明後日	あさって
明日	あした
面	つら
暴言	ぼうげん
盲信	もうしん
妄想	もうそう
木目	もくめ
問屋	とんや
門	もん
夜行	やこう
夜半	やはん
夜話	やわ
融通	ゆうずう
夕飯	ゆうはん
予言	よげん
よそ行き	よそゆき
余人	よじん
預かり所	あずかりじょ
浴衣	ゆかた
翌朝	よくあさ
