á	a³¹
chóng-ngiù	t͡sɔŋ³¹ ŋiu¹¹
chong-ngoi	t͡sɔŋ⁵³⁻⁵⁵ ŋoɪ⁵³
chóng-sù	t͡sɔŋ³¹ su¹¹
chóng-sù-é	t͡sɔŋ⁵³⁻⁵⁵ su¹¹ ʋe³¹
chóng-vuk	t͡sɔŋ³¹ ʋʊk̚¹
chu-chhak	t͡su⁵³⁻⁵⁵ t͡sʰak̚¹
chû-chhṳ-é	t͡su⁴⁴⁻³⁵ t͡sʰz̩⁵³⁻⁵⁵ e³¹
chû-chòng	t͡su⁴⁴⁻³⁵ t͡sʰɔŋ¹¹
chû-é	t͡su⁴⁴⁻³⁵ ʋe³¹
chṳ-fu̍k	t͡sz̩⁵³ fʊk̚⁵
chû-fùng	t͡su⁴⁴⁻³⁵ fʊŋ¹¹
chû-ha̍p	t͡sz̩⁴⁴ hap̚⁵
chṳ̂-heu	t͡sz̩⁴⁴⁻³⁵ heu⁵³
chû-hiat	t͡su⁴⁴⁻³⁵ hiat̚¹
chû-hói	t͡su⁴⁴⁻³⁵ hoɪ³¹
chṳ̂-kiên	t͡sz̩⁴⁴ kian⁴⁴
chṳ-kîm	t͡sz̩⁵³ kim⁴⁴
chû-kiok	t͡su⁴⁴⁻³⁵ kʰiɔk̚¹
chṳ́-kiông	t͡sz̩³¹ kiɔŋ⁴⁴
chû-kô	t͡su⁴⁴ ko⁴⁴
chú-koet	t͡sz̩³¹ kuɛt̚¹
chû-kôn	t͡su⁴⁴ kɔn⁴⁴
chû-làn	t͡su⁴⁴⁻³⁵ lan¹¹
chû-li	t͡su⁴⁴⁻³⁵ li⁵³
chṳ̂-liau	t͡sz̩⁴⁴⁻³⁵ liau⁵³
chû-mà	t͡su⁴⁴⁻³⁵ ma¹¹
chṳ́-mòi	t͡sz̩³¹ moɪ¹¹
chu-muk	t͡su⁵³⁻⁵⁵ mʊk̚¹
chṳ́-nàm-chṳ̂m	t͡sz̩³¹ nam¹¹ t͡səm⁴⁴
chṳ́-ńg	t͡sz̩³¹ n̩³¹
chu-ngà	t͡su⁵³⁻⁵⁵ ŋa¹¹
chṳ̂-ngièn	t͡sz̩⁴⁴⁻³⁵ ŋian¹¹
chú-ngìn	t͡su³¹ ŋin¹¹
chṳ̂-ngoi	t͡sz̩⁴⁴⁻³⁵ ŋoɪ⁵³
chṳ́-ôi	t͡sz̩³¹ oɪ⁴⁴
chṳ̂-pài	t͡sz̩⁴⁴⁻³⁵ piɛt̚¹
chṳ́-phau	t͡sz̩³¹ pʰau⁵³
chṳ́-phau-é	t͡sz̩³¹ pʰau⁵³⁻⁵⁵ ʋe³¹
chṳ́-set	t͡sz̩³¹ sət̚¹
chṳ-séu	t͡sz̩⁵³⁻⁵⁵ sau³¹
chú-si̍t	t͡su³¹ ɕit̚⁵
chṳ́-só	t͡sz̩³¹ sau³¹
chṳ́-suk	t͡sz̩³¹ sʊk̚¹
chṳ́-sûn	t͡sz̩³¹ sun⁴⁴
chú-sṳ̍t	t͡su³¹ sət̚⁵
chû-thèu-phì	t͡su⁴⁴⁻³⁵ tʰeu¹¹ pʰi¹¹
chu-thin	t͡su⁵³⁻⁵⁵ tʰin⁵³
chṳ-thu	t͡sz̩⁵³⁻⁵⁵ tu⁵³
chû-tú	t͡su⁴⁴⁻³⁵ tu³¹
chú-yeu	t͡su³¹ iau⁵³
chṳ́-yeu-é	t͡sz̩³¹ iau⁵³⁻⁵⁵ ʋe³¹
chu-yi	t͡su⁵³⁻⁵⁵ i⁵³
chu-yîm	t͡su⁵³ im⁴⁴
chṳ̂-yit	t͡sz̩⁴⁴⁻³⁵ it̚¹
chû-yù	t͡su⁴⁴⁻³⁵ iu¹¹
chui-hó	t͡suɪ⁵³⁻⁵⁵ hau³¹
chuk-fuk	t͡sʊk̚¹ fʊk̚¹
chuk-kô	t͡sʊk̚¹ kau⁴⁴
chuk-me̍t	t͡sʊk̚¹ mɛt̚⁵
chuk-sún	t͡sʊk̚¹ sun³¹
chuk-ya̍p	t͡sʊk̚¹ iap̚⁵
chṳ̂m-chiú	t͡səm⁴⁴⁻³⁵ t͡ɕiu³¹
chṳ̂m-ngién	t͡səm⁴⁴⁻³⁵ ŋian³¹
chṳ́m-thèu	t͡səm³¹ tʰeu¹¹
chṳ́m-thèu-thoi	t͡səm³¹ tʰeu¹¹ tʰoɪ⁵³
chún-chet	t͡sun³¹ t͡sɛt̚¹
chṳn-chhôn	t͡sən⁵³ t͡sʰɔn⁴⁴
chṳn-chhṳ	t͡sən⁵³⁻⁵⁵ t͡sʰz̩⁵³
chṳ̂n-chû	t͡ɕin⁴⁴ t͡su⁴⁴
chṳ̂n-chṳn	t͡sən⁴⁴⁻³⁵ t͡sən⁵³
chṳn-fú	t͡sən⁵³⁻⁵⁵ fu³¹
chṳn-khok	t͡sən⁵³⁻⁵⁵ kʰɔk̚¹
chṳ́n-ngièn	t͡sən³¹ ŋian¹¹
chṳn-ngìn	t͡sən⁵³⁻⁵⁵ ŋin¹¹
chún-phi	t͡sun³¹ pʰi⁵³
chṳ̂n-sit	t͡sən⁴⁴⁻³⁵ ɕit̚¹
chṳn-tông	t͡sən⁵³ tɔŋ⁴⁴
chung-é	t͡sʊŋ⁵³⁻⁵⁵ ŋe³¹
chûng-fà	t͡sʊŋ⁴⁴⁻³⁵ fa¹¹
chung-fûng	t͡sʊŋ⁵³ fʊŋ⁴⁴
chûng-ho̍k	t͡sʊŋ⁴⁴ hɔk̚⁵
chung-khin-téu	t͡sʊŋ⁵³⁻⁵⁵ in⁵³⁻⁵⁵ teu³¹
chúng-khiung	t͡sʊŋ³¹ kʰiʊŋ⁵³
chûng-kiên	t͡sʊŋ⁴⁴ kian⁴⁴
chûng-koet	t͡sʊŋ⁴⁴⁻³⁵ kuɛt̚¹
chûng-ngièn	t͡sʊŋ⁴⁴⁻³⁵ ŋian¹¹
chûng-su	t͡sʊŋ⁴⁴⁻³⁵ su⁵³
chûng-vùn	t͡sʊŋ⁴⁴⁻³⁵ ʋun¹¹
chung-yi	t͡sʊŋ⁵³⁻⁵⁵ i⁵³
duk-sṳp	tʊk̚¹ səp̚¹
dûng-phién	tʊŋ⁴⁴⁻³⁵ pʰiɛn³¹
êm-thùn-é	ɛm⁴⁴⁻³⁵ tʰun¹¹ ne³¹
fâ-chhièn	fa⁴⁴⁻³⁵ t͡ɕʰiɛn¹¹
fà-chhoi	fat̚¹ t͡sʰoɪ⁵³
fâ-chhoi	fa⁴⁴⁻³⁵ t͡sʰoɪ⁵³
fa-chông	fa⁵³ t͡sɔŋ⁴⁴
fâ-chuk	fa⁴⁴⁻³⁵ t͡sʊk̚¹
fa-ho̍k	fa⁵³ hɔk̚⁵
fa-kâ	fa⁵³ ka⁴⁴
fà-khièu	fa¹¹ kʰiau¹¹
fâ-khieu	fa⁴⁴⁻³⁵ kʰiau⁵³
fâ-làm	fa⁴⁴⁻³⁵ lam¹¹
fâ-miàng	fa⁴⁴⁻³⁵ miaŋ¹¹
fa-ngî	fa⁵³ ŋi⁴⁴
fâ-phan	fa⁴⁴⁻³⁵ pʰan⁵³
fâ-phìn	fa⁴⁴⁻³⁵ pʰiaŋ¹¹
fâ-san-piang	fa⁴⁴⁻³⁵ san⁵³⁻⁵⁵ piaŋ⁵³
fâ-sîm	fa⁴⁴ ɕim⁴⁴
fâ-tan	fa⁴⁴⁻³⁵ tan⁵³
fâ-thi	fa⁴⁴⁻³⁵ tʰi⁵³
fâ-vùn	fa⁴⁴⁻³⁵ ʋun¹¹
fài-sân	faɪ¹¹ san⁴⁴
fam-chhui	fam⁵³⁻⁵⁵ t͡sʰuɪ⁵³
fam-fap	fam⁵³⁻⁵⁵ fap̚¹
fam-ngìn	fam⁵³⁻⁵⁵ ŋin¹¹
fàm-sòn	fam¹¹ sɔn¹¹
fan-chen	fan⁵³⁻⁵⁵ t͡sɛn⁵³
fân-chhan	fan⁴⁴⁻³⁵ t͡sʰan⁵³
fân-é	fan⁴⁴⁻³⁵ ne³¹
fân-khiò	fan⁴⁴⁻³⁵ kʰio¹¹
fân-kién	fan⁴⁴⁻³⁵ kian³¹
fàn-kín	fan¹¹ kin⁵³
fan-lat	fan⁵³⁻⁵⁵ lat̚¹
fan-so̍k-é	fan⁵³ sɔk̚⁵ e³¹
fân-sù	fan⁴⁴⁻³⁵ su¹¹
fân-theu	fan⁴⁴⁻³⁵ tʰeu⁵³
fân-theu-yìn	fan⁴⁴⁻³⁵ tʰeu⁵³⁻⁵⁵ in¹¹
fân-theu-yù	fan⁴⁴⁻³⁵ tʰeu⁵³⁻⁵⁵ iu¹¹
fan-tiam	fan⁵³⁻⁵⁵ tiam⁵³
fán-tui	fan³¹ tuɪ⁵³
fap-koet	fap̚¹ kuɛt̚¹
fa̍t-chhièn	fat̚⁵ t͡ɕʰiɛn¹¹
fat-chhòi	fat̚¹ t͡sʰoɪ¹¹
fat-chhut	fat̚¹ t͡sʰut̚¹
fat-fó	fat̚¹ fo³¹
fat-gau	fat̚¹ kau⁵³
fat-khién	fat̚¹ kʰɛn³¹
fat-kông	fat̚¹ kuɔŋ⁴⁴
fat-ngie̍t	fat̚¹ ŋiat̚⁵
fat-pán	pɔt̚¹ pan³¹
fat-phêu	fat̚¹ pʰiau⁵³
fat-sa	fat̚¹ sa⁵³
fat-sên	fat̚¹ sɛn⁴⁴
fat-sêu	fat̚¹ sau⁴⁴
fat-sṳ	fat̚¹ sz̩⁵³
fat-thien	fat̚¹ tʰiɛn⁵³
fa̍t-thung	fat̚⁵ tʰʊŋ⁵³
fì-fu̍k	fi¹¹ fʊk̚⁵
fì-hiông	fi¹¹ hiɔŋ⁴⁴
fî-kî	fi⁴⁴ ki⁴⁴
fì-ku	fi¹¹ ku⁵³
fi-lu	iu⁵³⁻⁵⁵ lu⁵³
fi-ngàm	fi⁵³⁻⁵⁵ ŋam¹¹
fî-sòng	fi⁴⁴⁻³⁵ sɔŋ¹¹
fi-yàm	fi⁵³⁻⁵⁵ iam¹¹
fî-yàm-chéu-piak	fi⁴⁴⁻³⁵ iam¹¹ t͡seu³¹ piak̚¹
fì-yi	fi¹¹ it̚¹
fó-chhâ	fo³¹ t͡sʰa⁴⁴
fó-chhâ-cham	fo³¹ t͡sʰa⁴⁴⁻³⁵ t͡sam⁵³
fó-chhâ-lu	fo³¹ t͡sʰa⁴⁴⁻³⁵ lu⁵³
fò-fu̍k	fo¹¹ fʊk̚⁵
fó-hi	fo³¹ hi⁵³
fó-khiàm	fo³¹ kʰiam¹¹
fó-pá	fo³¹ pa³¹
fo-pi	fo⁵³⁻⁵⁵ pi⁵³
fó-thien	fo³¹ tʰiɛn⁵³
fó-yàm-chhùng	fo³¹ iam¹¹ t͡sʰʊŋ¹¹
fôi-set	foɪ⁴⁴⁻³⁵ sɛt̚¹
fôn-hí	fɔn⁴⁴⁻³⁵ hi³¹
fôn-ngiàng-kông-lìm	fɔn⁴⁴⁻³⁵ ŋiaŋ¹¹ kuɔŋ⁴⁴⁻³⁵ lim¹¹
fong-hi	fɔŋ⁵³⁻⁵⁵ hi⁵³
fong-ká	fɔŋ⁵³⁻⁵⁵ ka³¹
fông-mien	fɔŋ⁴⁴⁻³⁵ miɛn⁵³
fông-ngièn	fɔŋ⁴⁴⁻³⁵ ŋian¹¹
fông-phien	fɔŋ⁴⁴⁻³⁵ pʰiɛn⁵³
fong-sîm	fɔŋ⁵³ ɕim⁴⁴
fông-sṳt	fɔŋ⁴⁴⁻³⁵ sət̚¹
fù-chêu	fu¹¹ t͡ɕiau⁴⁴
fù-chêu-fún	fu¹¹ t͡ɕiau⁴⁴⁻³⁵ fun³¹
fu-chit	fu⁵³⁻⁵⁵ t͡ɕit̚¹
fù-khì	fu¹¹ kʰi¹¹
fu-khiun	fu⁵³⁻⁵⁵ kʰiun⁵³
fu-kiok	fu⁵³⁻⁵⁵ kiɔk̚¹
fú-kôa	fu³¹ kua⁴⁴
fu-kui	fu⁵³⁻⁵⁵ kuɪ⁵³
fù-lì	fu¹¹ li¹¹
fu-mû	fu⁵³ mu⁴⁴
fù-nàm	fu¹¹ nam¹¹
fu-ngia̍p	fu⁵³ ŋiap̚⁵
fu-ngìn-kâ	fu⁵³⁻⁵⁵ ŋin¹¹ ka⁴⁴
fu-nong	fu⁵³⁻⁵⁵ nɔŋ⁵³
fù-pet	fu¹¹ pɛt̚¹
fù-phit	fu¹¹ pit̚¹
fú-sàng	fu³¹ saŋ¹¹
fu-tâm	fu⁵³ tam⁴⁴
fu-thèu	fu⁵³⁻⁵⁵ tʰeu¹¹
fú-thèu-khiàm	fu³¹ tʰeu¹¹ kʰiam¹¹
fu-thoi-é	fu⁵³⁻⁵⁵ tʰoɪ⁵³⁻⁵⁵ e³¹
fu̍k-chha̍p	fʊk̚⁵ t͡sʰap̚⁵
fuk-chû	fʊk̚¹ t͡su⁴⁴
fu̍k-fa̍t	fʊk̚⁵ fat̚⁵
fu̍k-fa̍t-chiet	fʊk̚⁵ fat̚⁵ t͡ɕiɛt̚¹
fuk-hi	fʊk̚¹ hi⁵³
fuk-kien	fʊk̚¹ kian⁵³
fu̍k-sṳ	fʊk̚⁵ sz̩⁵³
fu̍k-vu	fʊk̚⁵ ʋu⁵³
fûng-chhâ	fʊŋ⁴⁴ t͡sʰa⁴⁴
fùng-chó	fʊŋ¹¹ t͡sau³¹
fûng-hiám	fʊŋ⁴⁴⁻³⁵ hiam³¹
fûng-kín	fʊŋ⁴⁴⁻³⁵ kin³¹
fùng-mô-nài	fʊŋ¹¹ mau⁴⁴⁻³⁵ naɪ¹¹
fùng-pâu	fʊŋ¹¹ pau⁴⁴
fûng-súi-sîn-sâng	fʊŋ⁴⁴⁻³⁵ suɪ³¹ ɕin⁴⁴ saŋ⁴⁴
fung-sṳ̀n	fʊŋ⁵³⁻⁵⁵ sən¹¹
fùng-theu	fʊŋ¹¹ tʰeu⁵³
fu̍t-kau	fut̚⁵ kau⁵³
fu̍t-sân	fut̚⁵ san⁴⁴
fu̍t-thò	hɛt̚⁵ tʰau¹¹
gi-chhòi	ki⁵³⁻⁵⁵ t͡sʰaɪ¹¹
ha-chṳ	ha⁵³⁻⁵⁵ t͡sz̩⁵³
hâ-chu	ha⁴⁴⁻³⁵ t͡su⁵³
hâ-chu-thèu	ha⁴⁴⁻³⁵ t͡su⁵³⁻⁵⁵ tʰeu¹¹
ha-ha	ha⁵³⁻⁵⁵ ha⁵³
hà-kûng	ha¹¹ kʊŋ⁴⁴
hâ-liòng	ha⁴⁴⁻³⁵ liɔŋ¹¹
hà-mà	ha¹¹ ma¹¹
ha-mùn	ha⁵³⁻⁵⁵ mun¹¹
ha-ngi-pái	ha⁵³⁻⁵⁵ ŋi⁵³⁻⁵⁵ paɪ³¹
ha-pá-é	ha⁵³⁻⁵⁵ pa³¹ (ʋ)e³¹
ha-pái	ha⁵³⁻⁵⁵ paɪ³¹
hâ-poi	ha⁴⁴⁻³⁵ poɪ⁵³
ha-thiên	ha⁵³ tʰiɛn⁴⁴
ha-vî-ì	ha⁵³ ʋi⁴⁴⁻³⁵ i¹¹
hài-châng	haɪ¹¹ t͡saŋ⁴⁴
hài-tái	haɪ¹¹ taɪ³¹
hak-kâ	hak̚¹ ka⁴⁴
hak-kâ-fa	hak̚¹ ka⁴⁴⁻³⁵ fa⁵³
hak-kâ-ngìn	hak̚¹ ka⁴⁴⁻³⁵ ŋin¹¹
ha̍k-lón	hak̚⁵ lɔn³¹
ham-cho	ham⁵³⁻⁵⁵ t͡so⁵³
hàn-chhièn	han¹¹ t͡ɕʰiɛn¹¹
han-chhoi	han⁵³⁻⁵⁵ t͡sʰoɪ⁵³
hán-é	han³¹ ne³¹
hàn-he	han¹¹ he⁵³
hàn-yû	han¹¹ iu⁴⁴
hâng-lak	haŋ⁴⁴⁻³⁵ lak̚¹
hàng-lu	haŋ¹¹ lu⁵³
hàng-san	haŋ¹¹ san⁵³
hàng-vì	haŋ¹¹ ʋi¹¹
ha̍p-chok	hap̚⁵ t͡sɔk̚¹
ha̍p-chok-sa	hap̚⁵ t͡sɔk̚¹ sa⁴⁴
ha̍p-é	hap̚⁵ pe³¹
ha̍p-kîm	hap̚⁵ kim⁴⁴
ha̍p-lî	hap̚⁵ li⁴⁴
ha̍p-sṳt	hap̚⁵ sət̚¹
hau-sṳ̍t	hau⁵³ sət̚⁵
hau-sṳ̍t-nân-cho	hau⁵³ sət̚⁵ lan⁴⁴⁻³⁵ t͡so⁵³
hau-teu	hau⁵³⁻⁵⁵ teu⁵³
het-liùng-kông	hɛt̚¹¹ liʊŋ¹¹ kɔŋ⁴⁴
het-set	hɛt̚¹ sɛt̚¹
hèu-kô	heu¹¹ ko⁴⁴
héu-lân	heu³¹ lan⁴⁴
hèu-lièn	heu¹¹ liɛn¹¹
heu-lòi	heu⁵³⁻⁵⁵ loɪ¹¹
heu-ngièn	heu⁵³⁻⁵⁵ ŋian¹¹
heu-ngit	heu⁴⁴⁻³⁵ ŋit̚¹
heu-ôi	heu⁵³ oɪ⁴⁴
heu-poi	heu⁵³⁻⁵⁵ poɪ⁵³
heu-sâng	heu⁵³ saŋ⁴⁴
heu-sâng-é	heu⁵³ saŋ⁴⁴⁻³⁵ ŋe³¹
héu-súi	heu³¹ suɪ³¹
hi-chhâ	hi⁵³ t͡sʰa⁴⁴
hí-chhû	hi³¹ t͡sʰz̩⁴⁴
hi-chṳt	hi⁵³⁻⁵⁵ t͡sət̚¹
hí-fôn	hi³¹ fɔn⁴⁴
hí-fûng	hi³¹ fʊŋ⁴⁴
hi-kâ	fi⁵³ ka⁴⁴
hí-ka	hi³¹ ka⁵³
hi-khiak	hi⁵³⁻⁵⁵ kʰiak̚¹
hí-kut	hi³¹ kut̚¹
hî-lia̍p	hi⁴⁴ lap̚⁵
hi-li̍t	hi⁵³ lit̚⁵
hi-mak	hi⁵³⁻⁵⁵ mak̚¹
hí-phién	pʰiɛn³¹ hi³¹
hi-sòn	hi⁵³⁻⁵⁵ sɔn¹¹
hí-sṳ̂n	hi³¹ sən⁴⁴
hi-tên	hi⁵³ tən⁴⁴
hí-thèu	hi³¹ tʰeu¹¹
hia̍p-hâ	hiap̚¹ ha⁴⁴
hia̍p-ngi	hiap̚⁵ ŋi⁵³
hiáu-tet	hiau³¹ tɛt̚¹
hien-chhai	hian⁵³⁻⁵⁵ t͡sʰaɪ⁵³
hien-chhièn	hian⁵³⁻⁵⁵ t͡ɕʰiɛn¹¹
hién-fap	hian³¹ fap̚¹
hien-ha	hian⁵³⁻⁵⁵ ha⁵³
hién-kûng	hian⁵³ kʊŋ⁴⁴
hièn-sûn	hian¹¹ sun⁴⁴
hiet-kón	hiat̚¹ kuɔn³¹
hiet-set	hiat̚¹ sət̚¹
hiet-sin	hiat̚¹ ɕin⁵³
hiet-ya	hiat̚¹ ia⁵³
hiô-é	hio⁴⁴⁻³⁵ (ʋ)e³¹
hiông-ha	hiɔŋ⁴⁴⁻³⁵ ha⁵³
hiông-kóng	hiɔŋ⁴⁴⁻³⁵ kuɔŋ³¹
hiông-kóng-kiok	hiɔŋ⁴⁴⁻³⁵ kuɔŋ³¹ kiɔk̚¹
hiông-kû	hiɔŋ⁴⁴ ku⁴⁴
hiông-liau	hiɔŋ⁴⁴⁻³⁵ liau⁵³
hiông-lù	hiɔŋ⁴⁴⁻³⁵ lu¹¹
hióng-lùi-kûng	hiɔŋ³¹ luɪ¹¹ kʊŋ⁴⁴
hiong-ngit-khùi	hiɔŋ⁵³⁻⁵⁵ ŋit̚¹ kʰuɪ¹¹
hióng-su	hiɔŋ³¹ su⁵³
hiûng-ngà-li	hiʊŋ⁴⁴⁻³⁵ ŋa¹¹ li⁵³
hiûng-thi	hiʊŋ⁴⁴⁻³⁵ tʰi⁵³
hó-chhói	hau³¹ t͡sʰoɪ³¹
hò-fâ	ho¹¹ fa⁴⁴
hò-hâi	ho¹¹ haɪ⁴⁴
hò-lak	ho¹¹ lak̚¹
hò-làn	ho¹¹ lan¹¹
hò-nàm	ho¹¹ nam¹¹
hò-pâu	ho¹¹ pau⁴⁴
hò-pet	ho¹¹ pɛt̚¹
hó-sîm-chho̍k-lùi-tá	hau³¹ ɕim⁴⁴ t͡sʰɔk̚⁵ luɪ¹¹ ta³¹
hói-khiéu	hoɪ³¹ kʰeu³¹
hói-kôan	hoɪ³¹ kuan⁴⁴
hói-mi	hoɪ³¹ mi⁵³
hói-nàm	hoɪ³¹ nam¹¹
hói-ngoi	hoɪ³¹ ŋoɪ⁵³
hói-súi	hoɪ³¹ suɪ³¹
hói-sùn	hoɪ³¹ sun¹¹
hói-tai	hoɪ³¹ taɪ⁵³
hói-thân	hoɪ³¹ tʰan⁴⁴
ho̍k-fi	hɔk̚⁵ fi⁵³
ho̍k-káu	hɔk̚⁵ kau³¹
ho̍k-ló	hɔk̚⁵ lau³¹
ho̍k-ló-fa	hɔk̚⁵ lau³¹ fa⁵³
ho̍k-ló-mà	hɔk̚⁵ lau³¹ ma¹¹
ho̍k-ló-ngìn	hɔk̚⁵ lau³¹ ŋin¹¹
ho̍k-si̍p	hɔk̚⁵ ɕip̚⁵
ho̍k-thòng	hɔk̚⁵ tʰɔŋ¹¹
hòn-lu	hɔn¹¹ lu⁵³
hòn-mô	hɔn¹¹ mau⁴⁴
hòn-thiên	hɔn¹¹ tʰiɛn⁴⁴
hong-chhòng	hɔŋ⁵³⁻⁵⁵ t͡sʰɔŋ¹¹
hòng-chû	hɔŋ¹¹ t͡su⁴⁴
hong-é	hɔŋ⁵³⁻⁵⁵ ŋe³¹
iá-phién	ke³¹ pʰiɛn³¹
in-é	in⁵³⁻⁵⁵ ne³¹
iòng-é	iɔŋ¹¹ ŋe³¹
iòng-mà	iɔŋ¹¹ ma¹¹
ka-chông	ka⁵³ t͡sɔŋ⁴⁴
kâ-hiông	ka⁴⁴ hiɔŋ⁴⁴
ká-khì	ka³¹ kʰi¹¹
kâ-kôn	ka⁴⁴ kuɔn⁴⁴
kâ-kûng	ka⁴⁴ kʊŋ⁴⁴
ká-lám	kam³¹ lam³¹
kâ-ngiòng	ka⁴⁴⁻³⁵ ŋiɔŋ¹¹
kâ-pî	ka⁴⁴ fi⁴⁴
kâ-sán	ka⁴⁴⁻³⁵ san³¹
kâ-sṳ̀n	ka⁴⁴⁻³⁵ sən¹¹
kâ-thìn	ka⁴⁴⁻³⁵ tʰin¹¹
kâ-vu	ka⁴⁴⁻³⁵ ʋu⁵³
kâ-yù	ka⁴⁴⁻³⁵ iu¹¹
kak-lì	kak̚¹ li¹¹
kak-piak	kak̚¹ piak̚¹
kám-chhia	kam³¹ t͡ɕʰia⁵³
kám-chhìn	kam³¹ t͡ɕʰin¹¹
kâm-é	kam⁴⁴⁻³⁵ me³¹
kâm-kie	kam⁴⁴⁻³⁵ ke⁵³
kám-kok	kam³¹ kɔk̚¹
kám-séu	kam³¹ sau³¹
kâm-suk	kam⁴⁴⁻³⁵ ɕiʊk̚¹
kám-thung	kam³¹ tʰʊŋ⁵³
kâng-thiap	kaŋ⁴⁴⁻³⁵ tʰiap̚¹
kâng-thièn	kaŋ⁴⁴⁻³⁵ tʰiɛn¹¹
kâu-chhûn	kau⁴⁴ t͡sʰun⁴⁴
kâu-kôn	kau⁴⁴ kɔn⁴⁴
kâu-liù	kau⁴⁴⁻³⁵ liu¹¹
kau-sṳt	kau⁵³⁻⁵⁵ sət̚¹
kâu-thai	kau⁴⁴⁻³⁵ taɪ⁵³
kâu-yí	kau⁵³⁻⁵⁵ i³¹
kau-yuk	kau⁵³⁻⁵⁵ iʊk̚¹
ke-ha	ke⁵³⁻⁵⁵ ha⁵³
ke-ke	ke⁵³⁻⁵⁵ ke⁵³
ke-phién	ke⁵³⁻⁵⁵ pʰiɛn³¹
ke-têu	ke⁵³ teu⁴⁴
kháu-li	kʰau³¹ li⁵³
khâu-mùn	kʰiau⁴⁴⁻³⁵ mun¹¹
khî-chhie̍t	kʰi⁴⁴ t͡ɕʰiɛt̚⁵
khì-koai	kʰi¹¹ kuaɪ⁵³
khì-phàn	kʰi¹¹ pʰan¹¹
khì-sṳ̍t	kʰi¹¹ sət̚⁵
khì-thâ	kʰi¹¹ tʰa⁴⁴
khia-pá	kʰia⁵³⁻⁵⁵ pa³¹
khiàm-é	kʰiam¹¹ me³¹
khiam-sṳ	kʰiam⁵³⁻⁵⁵ sz̩⁵³
khie-chṳ́	kʰe⁵³⁻⁵⁵ t͡sz̩³¹
khie-kô	kʰe⁵³ ko⁴⁴
khie-yok	kʰe⁵³⁻⁵⁵ iɔk̚¹
khièn-thèu	kʰian¹¹ tʰeu¹¹
khiet-chhu̍k	kʰɛt̚¹ seu⁵³
khiêu-é	kʰiau⁴⁴⁻³⁵ ʋe³¹
khiêu-thèu	kʰiau⁴⁴⁻³⁵ tʰeu¹¹
khiòng-tho	kʰiɔŋ¹¹ tʰau⁵³
khiù-hài	kʰiu¹¹ haɪ¹¹
khiû-kûng	kʰiu⁴⁴ kʊŋ⁴⁴
khiu-la̍k	kʰiu⁵³ lak̚⁵
khiû-mê	kʰiu⁴⁴ me⁴⁴
khiu-ngièn	kʰiu⁵³⁻⁵⁵ ŋian¹¹
khiuk-chhak	kʰiut̚¹ t͡sʰak̚¹
khiuk-fâ	kʰiʊk̚¹ fa⁴⁴
khiùn-chhoi	kʰiun¹¹ t͡sʰoɪ⁵³
khiung-fò	kʰiʊŋ⁵³⁻⁵⁵ fo¹¹
khiung-ha	kʰiʊŋ⁵³⁻⁵⁵ ha⁵³
khiung-yà-kok-ôi	kʰiʊŋ⁵³⁻⁵⁵ ia¹¹ kɔk̚¹ oɪ⁴⁴
khô-ho̍k	kʰo⁴⁴ hɔk̚⁵
khô-muk	kʰuo⁴⁴⁻³⁵ mʊk̚¹
khó-nèn	kʰo³¹ nɛn¹¹
khôa-chan	kʰua⁴⁴⁻³⁵ t͡san⁵³
khôa-chióng	kʰua⁴⁴⁻³⁵ t͡ɕiɔŋ³¹
khoai-chhoi	kʰuaɪ⁵³⁻⁵⁵ t͡sʰoɪ⁵³
khoai-chhoi-fâ	kʰuaɪ⁵³⁻⁵⁵ t͡sʰoɪ⁵³ fa⁴⁴
khoai-é	kʰuaɪ⁵³⁻⁵⁵ e³¹
khoai-thùng	kʰuaɪ⁵³⁻⁵⁵ tʰʊŋ¹¹
khoan-thai-tú	kʰuan⁵³⁻⁵⁵ tʰaɪ⁵³⁻⁵⁵ tu³¹
khôi-chán	kʰoɪ⁴⁴⁻³⁵ t͡san³¹
khôi-fi	kʰoɪ⁴⁴⁻³⁵ fi⁵³
khôi-fûng	kʰoɪ⁴⁴ fʊŋ⁴⁴
khôi-kông	kʰoɪ⁴⁴ kuɔŋ⁴⁴
khôi-kûng	kʰoɪ⁴⁴ kʊŋ⁴⁴
khôi-long-fu	kʰoɪ⁴⁴ nɔŋ⁴⁴⁻³⁵ fu⁵³
khok-sṳ̍t	kʰɔk̚¹ sət̚⁵
khok-thin	kʰɔk̚¹ tʰin⁵³
khon-hi	kʰɔn⁵³⁻⁵⁵ hi⁵³
khon-khiâng	kʰɔn⁵³ kʰiaŋ⁴⁴
khon-lòi	kʰɔn⁵³⁻⁵⁵ loɪ¹¹
khon-m̀-hí	kʰɔn⁵³⁻⁵⁵ m̩¹¹ hi³¹
khon-phiang	kʰɔn⁵³⁻⁵⁵ pʰiaŋ⁵³
khòng-fûng	kʰuɔŋ¹¹ fʊŋ⁴⁴
khong-kûng	kuaŋ³¹ kʊŋ⁴⁴
khú-miang	kʰu³¹ miaŋ⁵³
khùi-fâ	kʰuɪ¹¹ fa⁴⁴
khûng-vi	kʰʊŋ⁴⁴⁻³⁵ ʋi⁵³
kî-chhòng	ki⁴⁴⁻³⁵ t͡sʰɔŋ¹¹
