# Hebrew (he) pronunciation lexicon — skeleton (unvocalized) <TAB> niqqud (vocalized). A LOOKUP layer for the
# Phase-A wordlist: a Hebrew Wikipedia frequency ranking (hewiki dump, CC-BY-SA — ranking only; the niqqud
# content is Phonikud output validated by ReNikud, both CC-BY — see tools/hebrew/build-lexicon.py).
# neural path: a known skeleton renders via phonemizeWord(niqqud) — i.e. through OUR g2p, so it auto-tracks our
# canonical convention (the glottal rule etc.). OOV words + HOMOGRAPHS fall through to the context tagger.
# Built (tools/hebrew/build-lexicon.py): Phonikud's diacritization of the frequency list, VALIDATED where our
# g2p rendering of it agrees with ReNikud (audio-supervised), with homograph skeletons EXCLUDED (left to the
# tagger's context). Net-positive on BOTH referees — human Nakdimon holdout 86.5→87.8, independent gt.tsv
# 64.8→66.7. Eval-validated; the niqqud is a reading only (rendered through our convention, never PK's IPA).
של	שֶׁל
מופיעות	מוֹפִיעוֹת
שעמד	שֶׁעָמַד
וילנה	וִילְנָה
דמוקרטי	דֵּמוֹקְרָטִי
המהיר	הַמָּהִיר
בעצמה	בְּעַצְמָהּ
הנקראת	הַנִּקְרֵאת
ההודעה	הַהוֹדָעָה
הקטנים	הַקְּטַנִּים
תקן	תֶּקֶן
קש	קַשׁ
מוצר	מוּצָר
שקיבלו	שֶׁקִּיבְּלוּ
מציעה	מַצִּיעָה
החול	הַחוֹל
תביעה	תְּבִיעָה
מרבי	מְרַבִּי
הכלא	הַכֶּלֶא
ממשלות	מֶמְשָׁלוֹת
העצמי	הָעַצְמִי
אוסטין	אוֹסְטִין
החסימה	הַחֲסִימָה
הפרסי	הַפַּרְסִי
חקלאית	חַקְלָאִית
נזכר	נִזְכַּר
שלילית	שְׁלִילִית
ההגירה	הַהֲגִירָה
תעשיות	תַּעֲשִׂיּוֹת
מובן	מוּבָן
הקוראים	הַקּוֹרְאִים
העתיד	הֶעָתִיד
פולני	פּוֹלָנִי
מסעות	מַסָּעוֹת
יומן	יוֹמָן
עירונית	עִירוֹנִית
העבדים	הָעֲבָדִים
התקיפה	הַתְּקִיפָה
אורלינס	אוֹרְלִינְס
משפטיים	מִשְׁפָּטִיִּים
סיפורה	סִיפּוּרָה
דרישות	דְּרִישׁוֹת
במשפטים	בְּמִשְׁפָּטִים
המתח	הַמֶּתַח
מלכות	מַלְכוּת
תופעת	תּוֹפַעַת
משתתף	מִשְׁתַּתֵּף
אלופים	אַלּוּפִים
התפשטות	הִתְפַּשְּׁטוּת
לטענת	לְטַעֲנַת
סגירת	סְגִירַת
נדרשת	נִדְרֶשֶׁת
הרגיל	הָרָגִיל
טנק	טַנְק
המוצר	הַמּוּצָר
הדפוס	הַדְּפוּס
החוג	הַחוּג
להורים	לַהוֹרִים
לצמצם	לְצַמְצֵם
שנבנו	שֶׁנִּבְנוּ
ורז	וְרָז
הומוסקסואלים	הוֹמוֹסֶקְסוּאָלִים
ללונדון	לְלוֹנְדוֹן
אקדמיה	אָקָדֶמְיָה
לארבעה	לְאַרְבָּעָה
חלום	חֲלוֹם
לוסי	לוּסִי
מתים	מֵתִים
מגלים	מְגַלִּים
דיור	דִּיּוּר
לוד	לוֹד
וניהול	וְנִיהוּל
תומכת	תּוֹמֶכֶת
התשיעית	הַתְּשִׁיעִית
שרדו	שָׂרְדוּ
גרמניים	גֶּרְמָנִיִּים
ממשחק	מִמִּשְׂחָק
בהפקה	בַּהֲפָקָה
אמרו	אָמְרוּ
החירות	הַחֵירוּת
ריגול	רִיגּוּל
הגזע	הַגֶּזַע
המרכזיות	הַמֶּרְכָּזִיּוֹת
חומות	חוֹמוֹת
מחשש	מֵחֲשָׁשׁ
עצמאיים	עַצְמָאִיִּים
החג	הַחַג
אט	אַט
היוצר	הַיּוֹצֵר
ברקע	בָּרֶקַע
המכשיר	הַמַּכְשִׁיר
הרפובליקני	הָרֶפּוּבְּלִיקָנִי
מלאכה	מְלָאכָה
חמצן	חַמְצָן
המזכיר	הַמַּזְכִּיר
להתמקד	לְהִתְמַקֵּד
הקמתו	הֲקָמָתוֹ
לאלה	לְאֵלֶּה
אביר	אָבִיר
אנטישמיות	אַנְטִישֵׁמִיּוּת
הולכים	הוֹלְכִים
היותר	הַיּוֹתֵר
לקסיקון	לֶקְסִיקוֹן
דינו	דִּינוֹ
ממלא	מְמַלֵּא
יעד	יַעַד
תחושה	תְּחוּשָׁה
לניצחון	לְנִיצָּחוֹן
העור	הָעוֹר
מרחוק	מֵרָחוֹק
הטילים	הַטִּילִים
נחלת	נַחֲלַת
שואל	שׁוֹאֵל
להכיל	לְהָכִיל
הברונזה	הַבְּרוֹנְזָה
ההסכמה	הַהַסְכָּמָה
מתבצעת	מִתְבַּצַּעַת
עתיק	עַתִּיק
חינוכית	חִינּוּכִית
עשיתי	עָשִׂיתִי
למשתמשים	לַמִשְׁתַּמְּשִׁים
עמים	עַמִּים
מנהלים	מְנַהֲלִים
מצטרף	מִצְטָרֵף
ההנחה	הַהֲנָחָה
ההסבר	הַהֶסְבֵּר
בחלקה	בְּחֶלְקָה
עשור	עָשׂוֹר
בכדי	בִּכְדִי
להגיב	לְהָגִיב
הכותב	הַכּוֹתֵב
תשתית	תַּשְׁתִּית
אימוץ	אִימּוּץ
בגדוד	בַּגְּדוּד
הבכיר	הַבָּכִיר
העמוד	הָעַמּוּד
הטכנולוגי	הַטֶּכְנוֹלוֹגִי
וישראל	וְיִשְׂרָאֵל
החטופים	הַחֲטוּפִים
מפעילה	מַפְעִילָה
הגברת	הַגְּבֶרֶת
מהמקום	מֵהַמָּקוֹם
המחתרת	הַמַּחְתֶּרֶת
מוגן	מוּגָן
קלאסי	קְלָאסִי
ממשלתיים	מֶמְשַׁלְתִּיִּים
להאמין	לְהַאֲמִין
המושבים	הַמּוֹשָׁבִים
איברים	אֵיבָרִים
להביע	לְהַבִּיעַ
הנמצאת	הַנִּמְצֵאת
נפגעים	נִפְגָּעִים
והוקרה	וְהוֹקָרָה
אוסטרים	אוֹסְטְרִים
הגבולות	הַגְּבוּלוֹת
שבויים	שְׁבוּיִים
לסירוגין	לְסֵירוּגִין
סלובקיה	סְלוֹבַקְיָה
האפשר	הָאֶפְשָׁר
מקרא	מִקְרָא
שקיבלה	שֶׁקִּיבְּלָה
ושינויים	וְשִׁינּוּיִים
פטירת	פְּטִירַת
הופעתה	הוֹפָעָתָהּ
פלסטין	פָלַסְטִין
ויכוח	וִיכּוּחַ
מעצר	מַעֲצָר
תחתון	תַּחְתּוֹן
הקרה	הַקָּרָה
הקרובים	הַקְּרוֹבִים
בריאיון	בְּרֵיאָיוֹן
מתברר	מִתְבָּרֵר
בעזה	בְּעַזָּה
לקחה	לָקְחָה
שוטר	שׁוֹטֵר
כלכליות	כַּלְכָּלִיּוֹת
הודה	הוֹדָה
הדורות	הַדּוֹרוֹת
מרכזיות	מֶרְכָּזִיּוֹת
איסלנד	אִיסְלַנְד
ההשכלה	הַהַשְׂכָּלָה
קסם	קֶסֶם
התאבדות	הִתְאַבְּדוּת
ממשיכה	מַמְשִׁיכָה
הממצאים	הַמִּמְצָאִים
תכנות	תִּכְנוּת
הנחיתה	הַנְּחִיתָה
הליכה	הֲלִיכָה
פרשים	פָּרָשִׁים
אנטון	אַנְטוֹן
הימין	הַיָּמִין
והוביל	וְהוֹבִיל
קלוד	קְלוֹד
כתבים	כַּתָבִים
בארבעה	בְּאַרְבָּעָה
דאלאס	דָּאלָאס
מחול	מָחוֹל
חייבת	חַיֶּיבֶת
בארגנטינה	בְּאַרְגֶּנְטִינָה
ממשלתית	מֶמְשַׁלְתִּית
הסיפורים	הַסִּיפּוּרִים
מיטשל	מִיטְשֶׁל
קולה	קוֹלָה
לאן	לְאָן
הטורקים	הַטּוּרְקִים
שהופך	שֶׁהוֹפֵךְ
לקונגרס	לַקּוֹנְגְּרֵס
שלומי	שְׁלוֹמִי
הדעות	הַדֵּעוֹת
מופעים	מוֹפָעִים
גרשון	גֵּרְשׁוֹן
צפת	צְפַת
הנבחרות	הַנִּבְחָרוֹת
בגוגל	בְּגוּגֶל
בילה	בִּילָה
בארכיון	בָּאַרְכִיּוֹן
להתקדם	לְהִתְקַדֵּם
כהנא	כַּהֲנָא
תפס	תָּפַס
הסופרים	הַסּוֹפְרִים
לרוסיה	לְרוּסְיָה
שכבת	שִׁכְבַת
רה	רָה
זהים	זֵהִים
הופכים	הוֹפְכִים
החזקה	הַחֲזָקָה
בקרה	בַּקָּרָה
מערת	מְעֲרַת
יצרנית	יַצְרָנִית
קיצור	קִיצּוּר
שאנשים	שֶׁאֲנָשִׁים
למועדון	לַמּוֹעֲדוֹן
נושאת	נוֹשֵׂאת
שפעלה	שֶׁפָּעֲלָה
הצגה	הַצָּגָה
הסנאטור	הַסֵּנָאטוֹר
חסימה	חֲסִימָה
הנדסת	הַנְדָּסַת
שיתף	שִׁיתֵּף
להתפתח	לְהִתְפַּתֵּחַ
המלאה	הַמְּלֵאָה
הקורס	הַקּוּרְס
כרם	כֶּרֶם
כמלך	כְּמֶלֶך
התינוק	הַתִּינוֹק
אונו	אוֹנוֹ
למקור	לַמָּקוֹר
הצהריים	הַצׇּהֳרַיִים
ניצן	נִיצָּן
ספרית	סִפְרִית
חבריה	חֲבֵרֶיהָ
בוגרים	בּוֹגְרִים
יפנים	יַפָּנִים
החלקים	הַחֲלָקִים
גדות	גָּדּוֹת
תמיר	תָּמִיר
האגדה	הָאַגָּדָה
נעלם	נֶעֱלָם
האינתיפאדה	הָאִינְתִיפָאדָה
הקישורים	הַקִּישּׁוּרִים
פשוטים	פְּשׁוּטִים
מכוח	מִכּוֹחַ
המשא	הַמַּשָּׂא
נוצרית	נוֹצְרִית
בעבודות	בַּעֲבוֹדוֹת
קרינה	קְרִינָה
יציב	יַצִּיב
הזרוע	הַזְּרוֹעַ
מקצועות	מִקְצוֹעוֹת
תקדים	תַּקְדִּים
בגליל	בַּגָּלִיל
ריבוי	רִיבּוּי
הכבד	הַכָּבֵד
לאיטליה	לְאִיטַלְיָה
יפנית	יַפָּנִית
זוכים	זוֹכִים
הטוענים	הַטּוֹעֲנִים
העיניים	הָעֵינַיִים
עתיקות	עַתִּיקוֹת
לסגת	לָסֶגֶת
בהשפעת	בְּהַשְׁפָּעַת
שיהיו	שֶׁיִּהְיוּ
החקלאי	הַחַקְלָאִי
החיל	הַחֵיל
הליברלית	הַלִּיבֵּרָלִית
העורכים	הָעוֹרְכִים
עות	עוֹת
סיימו	סִייְּמוּ
השלכות	הַשְׁלָכוֹת
בנצי	בֶּנְצִי
בממשלת	בְּמֶמְשֶׁלֶת
לביא	לָבִיא
שהדבר	שֶׁהַדָּבָר
ויחד	וְיַחַד
יהלום	יַהֲלוֹם
מצטיין	מִצְטַיֵּין
דפנה	דַּפְנָה
הבוגרים	הַבּוֹגְרִים
ביפנית	בְּיַפָּנִית
ותרבות	וְתַרְבּוּת
לקוחות	לָקוֹחוֹת
לפסנתר	לְפְּסַנְתֵּר
בון	בּוֹן
חתימה	חֲתִימָה
הדמוקרטיה	הַדֵּמוֹקְרַטְיָה
אוטובוס	אוֹטוֹבּוּס
ארגן	אֲרְגֵּן
התת	הַתָּת
הטבלה	הַטַּבְלָה
מילון	מִילּוֹן
האביב	הָאָבִיב
דרישה	דְּרִישָׁה
גרעינית	גַּרְעִינִית
מאחור	מֵאָחוֹר
קולינס	קוֹלִינְס
בראשו	בְּרֹאשׁוֹ
תצוגה	תְּצוּגָה
תפוצה	תְּפוּצָה
הערכות	הַעֲרָכוֹת
ממשיכים	מַמְשִׁיכִים
בפורמט	בְּפוֹרְמָט
לצלם	לְצַלֵּם
חומה	חוֹמָה
גרף	גְּרָף
ראתה	רָאֲתָה
באתלטיקה	בְּאַתְלֵטִיקָה
תשובות	תְּשׁוּבוֹת
קבוצתי	קְבוּצָתִי
טוענת	טוֹעֶנֶת
איבדה	אִיבְּדָה
בקולג	בְּקוֹלֶג
אלכוהול	אַלְכּוֹהוֹל
דרכם	דַּרְכָּם
הכיתוב	הַכִּיתּוּב
מרקס	מַרְקְס
הפצת	הֲפָצַת
פריצת	פְּרִיצַת
הפלילי	הַפְּלִילִי
טכניקות	טֶכְנִיקוֹת
מלטה	מָלְטָה
רומי	רוֹמִי
מנצחת	מְנַצַּחַת
לאמץ	לְאַמֵּץ
תצלום	תַּצְלוּם
הגג	הַגַּג
מחדל	מֶחְדָּל
מחשבה	מַחְשָׁבָה
אסורה	אֲסוּרָה
בטבלה	בַּטַּבְלָה
מתמקד	מִתְמַקֵּד
הצבעים	הַצְּבָעִים
דויד	דָּוִיד
מאפיין	מְאַפְיֵין
המושבות	הַמּוֹשָׁבוֹת
לעזרה	לְעֶזְרָה
אמיתית	אֲמִיתִּית
בהוראת	בְּהוֹרָאַת
אלבמה	אַלְבָּמָה
הקדמי	הַקִּדְמִי
הקאמרי	הַקָּאמֵרִי
וחברת	וְחֶבְרַת
ביבר	בִּיבֶּר
חותם	חוֹתֵם
הנוצרי	הַנּוֹצְרִי
החקיקה	הַחֲקִיקָה
הגלריה	הַגָּלֶרְיָה
חגיגות	חֲגִיגוֹת
מפי	מִפִּי
חש	חָשׁ
טקסטים	טֶקְסְטִים
עשורים	עֲשׂוֹרִים
להפחית	לְהַפְחִית
השמאלית	הַשְּׂמָאלִית
וייתכן	וְיִיתָּכֵן
הצבאיים	הַצְּבָאִיִּים
שיחקו	שִׂיחֲקוּ
המסחרי	הַמִּסְחָרִי
למאבק	לַמַּאֲבָק
אזרחיים	אֶזְרָחִיִּים
ניקי	נִיקִי
לארגן	לְאַרְגֵּן
תעמולה	תַּעֲמוּלָה
הכתוב	הַכָּתוּב
כאמצעי	כְּאֶמְצָעִי
חמה	חַמָּה
מתנגדים	מִתְנַגְּדִים
הקלטה	הַקְלָטָה
להעברת	לְהַעֲבָרַת
ועיצוב	וְעִיצּוּב
תפילת	תְּפִילַּת
לעצמם	לְעַצְמָם
טרנסג	טְרַנְסְג
סגנונות	סִגְנוֹנוֹת
קץ	קֵץ
מרכיבים	מַרְכִּיבִים
לארבע	לְאַרְבַּע
האתרים	הָאֲתָרִים
יבשת	יַבֶּשֶׁת
ספרותית	סִפְרוּתִית
פרישה	פְּרִישָׁה
תוצרת	תּוֹצֶרֶת
שלמים	שְׁלֵמִים
דמוגרפיה	דֵּמוֹגְרַפְיָה
מודלים	מוֹדֵלִים
הפאנצר	הַפָּאנְצֶר
המכללות	הַמִּכְלָלוֹת
הרמה	הֲרָמָה
הסרטן	הַסַּרְטָן
הנוגע	הַנּוֹגֵעַ
סטודיו	סְטוּדְיוֹ
הרבנות	הָרַבָּנוּת
דיזל	דִּיזֶל
דיגיטלי	דִּיגִיטָלִי
התנגדו	הִתְנַגְּדוּ
עצום	עָצוּם
נדחה	נִדְחָה
קלייר	קְלַיֵיר
זמנים	זְמַנִּים
בארבע	בְּאַרְבַּע
הלטיני	הַלָּטִינִי
יודעת	יוֹדַעַת
משימת	מְשִׂימַת
בהסכם	בְּהֶסְכֵּם
במידת	בְּמִידַּת
בלחץ	בְּלַחַץ
מטרתו	מַטְּרָתוֹ
מהמפלגה	מֵהַמִּפְלָגָה
אחיות	אֲחָיוֹת
הפילהרמונית	הַפִילְהַרְמוֹנִית
גרוע	גָּרוּעַ
אוקראינים	אוּקְרָאִינִים
למערב	לַמַּעֲרָב
דמשק	דַמֶּשֶׂק
פרנקל	פְרֶנְקֶל
מדרגות	מַדְרֵגוֹת
דקל	דֶּקֶל
פלדה	פְּלְדָה
יזרעאל	יִזְרְעֶאל
הסוציאל	הַסּוֹצְיָאל
סיפון	סִיפּוּן
באגף	בָּאֲגַף
חוברת	חוֹבֶרֶת
ציפור	צִיפּוֹר
במכתב	בְּמִכְתָּב
נדמה	נִדְמֶה
הביטוח	הַבִּיטּוּחַ
בחלקים	בַּחֲלָקִים
אנציקלופדי	אֶנְצִיקְלוֹפֶּדִי
הממלכתי	הַמַּמְלַכְתִּי
כוחה	כּוֹחָה
טומי	טוֹמִי
העממי	הָעֲמָמִי
נה	נָה
הגבעה	הַגִּבְעָה
חבלה	חַבָּלָה
ויסקונסין	וִיסְקוֹנְסִין
בקירוב	בְּקֵירוּב
בוטינסקי	בּוֹטִינְסְקִי
מצאה	מָצְאָה
לפיד	לַפִּיד
ותיקים	וָתִיקִים
הזמין	הִזְמִין
שיותר	שֶׁיּוֹתֵר
סטטוס	סְטָטוּס
לתולדות	לְתוֹלְדוֹת
האירי	הָאִירִי
ושלוש	וְשָׁלוֹשׁ
יתכן	יִתָּכֵן
חלבונים	חֶלְבּוֹנִים
הזדמנויות	הִזְדַּמְּנוּיוֹת
הקומית	הַקּוֹמִית
ההכרה	הַהַכָּרָה
יורד	יוֹרֵד
גלגל	גַּלְגַּל
משרדים	מִשְׂרָדִים
מחייב	מְחַיֵּיב
הסיכוי	הַסִּיכּוּי
קרלו	קַרְלוֹ
משלושה	מִשְּׁלוֹשָׁה
נורית	נוֹרִית
בטון	בֵּטוֹן
לפולין	לְפּוֹלִין
פגישה	פְּגִישָׁה
אגדות	אַגָּדוֹת
לעורר	לְעוֹרֵר
קורפוס	קוֹרְפּוּס
גאגא	גָּאגָא
הכותבים	הַכּוֹתְבִים
המלחמות	הַמִּלְחָמוֹת
השטן	הַשָּׂטָן
במהלכו	בְּמַהֲלָכוֹ
שהצליח	שֶׁהִצְלִיחַ
בעצמם	בְּעַצְמָם
בפיזיקה	בְּפִיזִיקָה
כמויות	כַּמּוּיוֹת
טבריה	טְבֶרְיָה
מרוסיה	מֵרוּסְיָה
הגיבור	הַגִּיבּוֹר
לקיבוץ	לַקִּיבּוּץ
שהשתתפו	שֶׁהִשְׁתַּתְּפוּ
ווד	ווֹד
הראשונית	הָרִאשׁוֹנִית
משתרע	מִשְׂתָּרֵעַ
חמושים	חֲמוּשִׁים
מגילת	מְגִילַּת
המיקום	הַמִּיקּוּם
מונע	מוֹנֵעַ
האמינו	הֶאֱמִינוּ
קולו	קוֹלוֹ
התאריך	הַתַּאֲרִיךְ
חימוש	חִימּוּשׁ
ייחודיים	יִיחוּדִיִּים
נפות	נָפוֹת
לונג	לוֹנְג
בהפועל	בְּהַפּוֹעֵל
לגלם	לְגַלֶם
נורמן	נוֹרְמָן
לכימיה	לְכִימְיָה
חתימת	חֲתִימַת
תרשים	תַּרְשִׁים
לסיוע	לְסִיּוּעַ
הרבי	הָרַבִּי
לרדת	לָרֶדֶת
תזונה	תְּזוּנָה
רפי	רָפִי
קונטיקט	קוֹנְטִיקְט
עשירה	עֲשִׁירָה
דינה	דִּינָה
בעבור	בַּעֲבוּר
אירי	אִירִי
שומרון	שׁוֹמְרוֹן
ניקסון	נִיקְסוֹן
עצומה	עֲצוּמָה
וקבע	וְקָבַע
בסמים	בְּסָמִים
ניהלה	נִיהֲלָה
והיתרים	וְהֶיתֵּרִים
געש	גַּעַשׁ
אורגון	אוֹרְגּוֹן
אזהרה	אַזְהָרָה
סימפסון	סִימְפְּסוֹן
נטע	נֶטַע
חרף	חֵרֶף
המוסדות	הַמּוֹסָדוֹת
אימן	אִימָן
חבורה	חֲבוּרָה
משרה	מִשְׂרָה
שעד	שֶׁעַד
מערות	מְעָרוֹת
הפורום	הַפוֹרוּם
נפלה	נָפְלָה
נסים	נִסִּים
התפקידים	הַתַּפְקִידִים
הכפרים	הַכְּפָרִים
סטאר	סְטָאר
רפורמות	רֵפוֹרְמוֹת
פיניקס	פִינִיקְס
נפשית	נַפְשִׁית
לורה	לוֹרָה
במינכן	בְּמִינְכֶן
מדען	מַדְּעָן
והאחרון	וְהָאַחֲרוֹן
לואיז	לוֹאִיז
הורוביץ	הוֹרוֹבִיץ
הרכס	הָרֶכֶס
העצמאית	הָעַצְמָאִית
פוטין	פּוּטִין
במוסד	בַּמּוֹסָד
קדוש	קָדוֹשׁ
הוספתי	הוֹסַפְתִּי
צל	צֵל
האבולוציה	הָאֵבוֹלוּצְיָה
לתל	לְתֵל
חופים	חוֹפִים
הקצה	הַקָּצֶה
פלילי	פְּלִילִי
אמריקן	אָמֵרִיקָן
להעריך	לְהַעֲרִיךְ
הובא	הוּבָא
חריף	חָרִיף
מסילות	מְסִילּוֹת
בסיכון	בְּסִיכּוּן
הטבעית	הַטִּבְעִית
מעיד	מֵעִיד
בשיעור	בְּשִׁיעוּר
ציונים	צִיּוֹנִים
חובת	חוֹבַת
בטרור	בְּטֵרוֹר
הפזמונים	הַפִּזְמוֹנִים
עז	עַז
ואדי	וָאדִי
שייכת	שַׁיֶּיכֶת
הצביע	הִצְבִּיעַ
אוקלהומה	אוֹקְלָהוֹמָה
חזקות	חֲזָקוֹת
חשד	חֲשָׁד
הפיכה	הֲפִיכָה
ההתפתחות	הַהִתְפַּתְּחוּת
פילוסופים	פִילוֹסוֹפִים
לנין	לֵנִין
קראתי	קָרָאתִי
ריקו	רִיקוֹ
סוחרים	סוֹחֲרִים
שה	שֶׁה
שרמן	שֶׁרְמָן
האיראנית	הָאִירָאנִית
השיפוט	הַשִּׁיפּוּט
החיסון	הַחִיסּוּן
אזכור	אִזְכּוּר
התומכים	הַתּוֹמְכִים
הסמוכים	הַסְּמוּכִים
בידור	בִּידּוּר
החשובות	הַחֲשׁוּבוֹת
במרחבים	בַּמֶּרְחָבִים
ביקורו	בִּיקּוּרוֹ
הכיכר	הַכִּיכָּר
לזיהוי	לְזִיהוּי
הסימפונית	הַסִּימְפוֹנִית
מחיקת	מְחִיקַת
הדוק	הָדוּק
כיכבה	כִּיכְּבָה
כמחליף	כְּמַחֲלִיף
טיעון	טִיעוּן
הסלע	הַסֶּלַע
נפרדות	נִפְרָדוֹת
כנציג	כְּנָצִיג
למסלול	לְמַּסְלוּל
הבולטות	הַבּוֹלְטוֹת
שאל	שָׁאַל
בפולנית	בְּפּוֹלָנִית
אינטר	אִינְטֶר
קדומים	קְדוּמִים
הז	הַז
ציונה	צִיּוֹנָה
ההפרדה	הַהַפְרָדָה
שנקבע	שֶׁנִּקְבַּע
סירות	סִירוֹת
תקלות	תַּקָּלוֹת
ההכרזה	הַהַכְרָזָה
שמופיע	שֶׁמּוֹפִיעַ
כמזכיר	כְּמַזְכִּיר
הבקשה	הַבַּקָּשָׁה
מתבצע	מִתְבַּצֵּעַ
הרפובליקנים	הָרֶפּוּבְּלִיקָנִים
פרנקו	פְרַנְקוֹ
נשמר	נִשְׁמַר
פז	פָּז
תחתית	תַּחְתִּית
המרכיבים	הַמַּרְכִּיבִים
האלימות	הָאַלִּימוּת
השמיים	הַשָּׁמַיִים
בעונות	בְּעוֹנוֹת
ההחלטות	הַהַחְלָטוֹת
עבורם	עֲבוּרָם
קתולית	קָתוֹלִית
להיבחר	לְהִיבָּחֵר
סחורות	סְחוֹרוֹת
ולהם	וְלָהֶם
לחשב	לְחַשֵׁב
סיון	סִיּוֹן
העלו	הֶעֲלוּ
חדרים	חֲדָרִים
דיסק	דִּיסְק
ירדו	יָרְדוּ
הגשם	הַגֶּשֶׁם
דיבור	דִּיבּוּר
חטיבות	חֲטִיבוֹת
סינית	סִינִית
רמלה	רָמְלֶה
ואפשר	וְאֶפְשָׁר
מדיסון	מֵדִיסוֹן
ספינה	סְפִינָה
תגובת	תְּגוּבַת
קאן	קָאן
הממלכתית	הַמַּמְלַכְתִּית
בהירות	בְּהִירוּת
חסימות	חֲסִימוֹת
לציור	לְצִיּוּר
פלג	פֶּלֶג
בדרכם	בְּדַרְכָּם
סקי	סְקִי
השפיע	הִשְׁפִּיעַ
רציף	רָצִיף
ונשים	וְנָשִׁים
מעניק	מַעֲנִיק
התקציב	הַתַּקְצִיב
בפי	בְּפִי
הנוגעים	הַנּוֹגְעִים
שלכם	שֶׁלָּכֶם
ברטון	בֶּרְטוֹן
שהובילה	שֶׁהוֹבִילָה
חוקרת	חוֹקֶרֶת
הטכניון	הַטֶּכְנִיּוֹן
הפסיקה	הִפְסִיקָה
לינץ	לִינְץ
אפרת	אֶפְרָת
מרגיש	מַרְגִּישׁ
חוב	חוֹב
הציבוריים	הַצִּיבּוּרִיִּים
עמיר	עָמִיר
למחנות	לַמַחֲנוֹת
העשירית	הָעֲשִׂירִית
למושל	לַמּוֹשֵׁל
האיום	הָאִיּוּם
מוסרי	מוּסָרִי
שתיהן	שְׁתֵּיהֶן
טמפ	טֶמְפּ
הפסוק	הַפָּסוּק
נאמנות	נֶאֱמָנוּת
ביטל	בִּיטֵּל
פוסטר	פּוֹסְטֶר
האלוף	הָאַלּוּף
אמנותי	אׇמָּנוּתִי
סיבת	סִיבַּת
ענן	עָנָן
אגדה	אַגָּדָה
זעם	זַעַם
רגשית	רִגְשִׁית
הטנקים	הַטַּנְקִים
שהופיע	שֶׁהוֹפִיעַ
במי	בְּמִי
ניתנים	נִיתָּנִים
פלטפורמה	פְּלַטְפוֹרְמָה
להתגבר	לְהִתְגַּבֵּר
אבטחה	אַבְטָחָה
פציעה	פְּצִיעָה
איציק	אִיצִיק
מיקרוסופט	מִיקְרוֹסוֹפְּט
דליה	דַּלְיָה
לשמאל	לַשְּׂמֹאל
מכירים	מַכִּירִים
דירות	דִּירוֹת
לתיקון	לְתִיקּוּן
מיכה	מִיכָה
לרצח	לְרֶצַח
מגדיר	מַגְדִּיר
הצאר	הַצָּאר
במרבית	בְּמַרְבִּית
הביצוע	הַבִּיצּוּעַ
פין	פִּין
מונקו	מוֹנְקוֹ
אתגר	אֶתְגָּר
בונד	בּוֹנְד
הצלחתו	הַצְלָחָתוֹ
תיכוני	תִּיכוֹנִי
הבטיח	הִבְטִיחַ
הדמוקרטים	הַדֵּמוֹקְרָטִים
צרפתיות	צָרְפָתִיּוֹת
מצה	מַצָה
השירותים	הַשֵּׁירוּתִים
רוזנברג	רוֹזֶנְבֵּרְג
חיזוק	חִיזּוּק
מלכתחילה	מִלְּכַתְּחִילָּה
במימון	בְּמִימּוּן
עיתונאית	עִיתּוֹנָאִית
מתקדמת	מִתְקַדֶּמֶת
הרבות	הָרַבּוֹת
הרשמיים	הָרִשְׁמִיִּים
כיפת	כִּיפַּת
מחבל	מְחַבֵּל
תרבויות	תַּרְבּוּיוֹת
באים	בָּאִים
טורפים	טוֹרְפִים
שיוך	שִׁיּוּך
אפיק	אָפִיק
המטען	הַמִּטְעָן
אוסלו	אוֹסְלוֹ
שמורת	שְׁמוּרַת
הוק	הוֹק
רונלד	רוֹנַלְד
מהצבא	מֵהַצָּבָא
השחמט	הַשַּׁחְמָט
שגויה	שְׁגוּיָה
כדורים	כַּדּוּרִים
שמא	שֶׁמָּא
גיר	גִּיר
הסיור	הַסִּיּוּר
ניסיתי	נִיסִּיתִי
משתתפות	מִשְׁתַּתְּפוֹת
ברון	בָּרוֹן
ואלו	וְאֵלּוּ
תקליטור	תַּקְלִיטוֹר
פלישת	פְּלִישַׁת
קונצ	קוֹנְצ
ביבשת	בַּיַּבֶּשֶׁת
להשכלה	לְהַשְׂכָּלָה
שנוסדה	שֶׁנּוֹסְדָה
משפיע	מַשְׁפִּיעַ
הסורית	הַסּוּרִית
המניות	הַמְּנָיוֹת
פיו	פִּיו
הפחות	הַפָּחוֹת
תכנים	תְּכָנִים
אוהבת	אוֹהֶבֶת
המעשה	הַמַּעֲשֶׂה
והעיר	וְהָעִיר
בבלגיה	בְּבֶּלְגִּיָּה
הנדרש	הַנִּדְרָשׁ
ריטה	רִיטָה
מפגשים	מִפְגָּשִׁים
בנזין	בֶּנְזִין
יפתח	יִפְתַּח
צמיחה	צְמִיחָה
לעצמה	לְעַצְמָהּ
שבטי	שִׁבְטִי
האמנותי	הָאׇמָּנוּתִי
מוכנים	מוּכָנִים
הציעה	הִצִּיעָה
תמכה	תָּמְכָה
הארגונים	הָאִרְגּוּנִים
בעיבוד	בְּעִיבּוּד
אנושיים	אֱנוֹשִׁיִּים
הרגליים	הָרַגְלַיִים
