مقدمة	مُقَدَّمَ
للحرز	لِلْحِرْز
فحفظها	فَحَفِظَهَا
مجاهر	مُجَاهِر
ولاد	وِلَاد
كالولاد	كَالْوِلَاد
كالخاطئ	كَالْخَاطِئ
بالتمول	بِالتَّمَوُّل
يتساهلون	يَتَسَاهَلُون
بالتافه	بِالتَّافِه
الحرض	الْحَرَض
والسرجين	وَالسِّرْجِين
بإحرازها	بِإِحْرَازِهَا
يحرزون	يُحْرِزُون
لتفاهتها	لِتَفَاهَتِهَا
والكيزان	وَالْكِيزَان
للإراقة	لِلْإِرَاقَ
التلهي	التَّلَهِّي
للتلهي	لِلتَّلَهِّي
فيسرق	فَيَسْرِق
بالفسطاط	بِالْفُسْطَاط
بالجوالق	بِالْجُوَالِق
فاستيفاء	فَاسْتِيفَاء
ومستحقه	وَمُسْتَحِقُّه
فتمامه	فَتَمَامُه
كالعصير	كَالْعَصِير
قطعناه	قَطَعْنَاه
بأحصن	بِأَحْصَن
جدعناه	جَدَعْنَاه
للبلى	لِلْبِلَى
فالكفن	فَالْكَفَن
إحرازا	إحْرَازا
مصرورة	مَصْرُورَ
مصرورا	مَصْرُورا
المنتبه	الْمُنْتَبِه
فالتبع	فَالتَّبَع
فقصده	فَقَصْدُه
جوالقا	جُوَالِقا
والتافه	وَالتَّافِه
مرعاها	مَرْعَاهَا
ومعتاد	وَمُعْتَاد
فانتقصت	فَانْتَقَصَتْ
كالنقصان	كَالنُّقْصَان
وبتضمين	وَبِتَضْمِين
طحنها	طَحَنَهَا
وخصومته	وَخُصُومَتِه
كتبدل	كَتَبَدُّل
باطشة	بَاطِشَ
كاليمنى	كَالْيُمْنَى
بالبطش	بِالْبَطْش
إيمانهما	إيمَانِهِمَا
ملئت	مُلِئَتْ
أصدقكما	أُصَدِّقُكُمَا
وأغرمكما	وَأُغَرِّمُكُمَا
شككنا	شَكَكْنَا
بغائبة	بِغَائِبَ
فالشبهة	فَالشُّبْهَ
متمكنة	مُتَمَكِّنَ
فتعديل	فَتَعْدِيل
فللتعارض	فَلِلتَّعَارُض
منزجرا	مُنْزَجِرا
بإنشائها	بِإِنْشَائِهَا
السفرجل	السَّفَرْجَل
والتفاح	وَالتُّفَّاح
السفرجلا	السَّفَرْجَلَا
وخاطه	وَخَاطَه
كالصبغ	كَالصَّبْغ
صاغها	صَاغَهَا
بالنسج	بِالنَّسْج
فسرقته	فَسَرَقَتْه
فالقاطع	فَالْقَاطِع
سرقات	سَرِقَات
بخصومتهم	بِخُصُومَتِهِمْ
السرقات	السَّرِقَات
سرقاته	سَرِقَاتِه
للسرقات	لِلسَّرِقَات
يدريان	يَدْرِيَان
أدني	أَدْنَيْ
كالمحلة	كَالْمَحَلَّ
التفاهة	التَّفَاهَ
المحرزة	الْمُحْرَزَ
فالصنعة	فَالصَّنْعَ
الأبنوس	الْأَبَنُوس
ورثتهم	وَرَثَتِهِمْ
وتأويلهم	وَتَأْوِيلِهِمْ
وبثبوت	وَبِثُبُوت
فوزان	فَوِزَان
بالإحبال	بِالْإِحْبَال
لتقادم	لِتَقَادُم
لتضاعف	لِتَضَاعُف
فليتحرز	فَلْيَتَحَرَّزْ
بجهده	بِجَهْدِه
والمنتهي	وَالْمُنْتَهِي
مباسطة	مُبَاسَطَ
فيتطرق	فَيَتَطَرَّق
خصومتها	خُصُومَتِهَا
بالهرب	بِالْهَرَب
الثابتين	الثَّابِتَيْن
يسرقها	يَسْرِقُهَا
سرقتها	سَرِقَتِهَا
كالمدعي	كَالْمُدَّعِي
غصبتك	غَصَبْتُك
وإكذاب	وَإِكْذَاب
نسرقه	نَسْرِقْه
سرقنا	سَرَقْنَا
سرقناه	سَرَقْنَاه
فانتفاؤه	فَانْتِفَاؤُه
فانتفاء	فَانْتِفَاء
يصلبهم	يَصْلُبُهُمْ
لغلظ	لِغِلَظ
الإشهار	الْإِشْهَار
فينزجر	فَيَنْزَجِر
بالعرنيين	بِالْعُرَنِيِّين
ليموتوا	لِيَمُوتُوا
للاشتهار	لِلِاشْتِهَار
فيخلي	فَيُخَلِّي
بالجراحات	بِالْجِرَاحَات
استوجبوا	اسْتَوْجَبُوا
لوالي	لِوَالِي
متحتم	مُتَحَتِّم
فأنه	فَأَنَّه
فباشرت	فَبَاشَرَتْ
مباشرون	مُبَاشِرُون
وباشروا	وَبَاشَرُوا
يوجدوا	يُوجَدُوا
نفيهم	نَفْيِهِمْ
فيقتلونهم	فَيَقْتُلُونَهُمْ
فلأوليائه	فَلِأَوْلِيَائِه
أتأخذ	أَتَأْخُذ
أتقتل	أَتَقْتُل
يعزرون	يُعَزَّرُون
والأحرار	وَالْأَحْرَار
والمجاهرة	وَالْمُجَاهَرَ
بالتطرق	بِالتَّطَرُّق
لمنعتهم	لِمَنَعَتِهِمْ
وشوكتهم	وَشَوْكَتِهِمْ
يغيث	يُغِيث
متحتما	مُتَحَتِّما
دمهم	دَمِهِمْ
لتوبته	لِتَوْبَتِه
للمستأمنين	لِلْمُسْتَأْمَنِين
مبطلين	مُبْطِلَيْن
الممتنعين	الْمُمْتَنِعِين
بالأحسن	بِالْأَحْسَن
المارقين	الْمَارِقِين
والناكثين	وَالنَّاكِثِين
والقاسطين	وَالْقَاسِطِين
ويتمكنوا	وَيَتَمَكَّنُوا
يتفرغوا	يَتَفَرَّغُوا
أيدك	أَيَّدَك
وبالمؤمنين	وَبِالْمُؤْمِنِين
كشجاعة	كَشَجَاعَ
كحذر	كَحَذِر
كحرص	كَحِرْص
يوصيه	يُوصِيه
ويكمنون	وَيَكْمُنُون
والمدد	وَالْمَدَد
غزى	غُزّى
فالمجاهد	فَالْمُجَاهِد
بالشيوخ	بِالشُّيُوخ
فادعوهم	فَادْعُوهُمْ
تحصنوا	تَحَصَّنُوا
يعلموهم	يُعْلِمُوهُمْ
لالتزامهم	لِالْتِزَامِهِمْ
لامتناعهم	لِامْتِنَاعِهِمْ
وبقبول	وَبِقَبُول
فأرادوكم	فَأَرَادُوكُمْ
تنزلوهم	تُنْزِلُوهُمْ
وتخلية	وَتَخْلِيَ
ممتنعين	مُمْتَنِعِين
وخفر	وَخَفَر
الخفير	الْخَفِير
خفيرا	خَفِيرا
وللمساكين	وَلِلْمَسَاكِين
غنائمكم	غَنَائِمِكُمْ
ليتامى	لِيَتَامَى
لفقرائهم	لِفُقَرَائِهِمْ
لأقرباء	لِأَقْرِبَاء
وسهما	وَسَهْما
لأغنيائهم	لِأَغْنِيَائِهِمْ
احتشاما	احْتِشَاما
توليني	تُوَلِّيَنِي
وبالمسلمين	وَبِالْمُسْلِمِين
داهيا	دَاهِيا
فأعطيتهم	فَأَعْطَيْتَهُمْ
بالقربى	بِالْقُرْبَى
نوفلا	نَوْفَلا
وتعاقدوا	وَتَعَاقَدُوا
يجالسوا	يُجَالِسُوا
يكلموهم	يُكَلِّمُوهُمْ
وتعاقد	وَتَعَاقَد
العلهز	الْعِلْهِز
وببيان	وَبِبَيَان
فبنو	فَبَنُو
وعوضكم	وَعَوَّضَكُمْ
المستولى	الْمُسْتَوْلَى
المستولي	الْمُسْتَوْلِي
للمستولي	لِلْمُسْتَوْلِي
هرمزان	هُرْمُزَان
وأبقيت	وَأَبْقَيْت
فصك	فَصَكّ
دماميل	دَمَامِيل
فأبنا	فَأُبْنَا
واستغنيت	وَاسْتَغْنَيْت
اكفني	اكْفِنِي
يعجزون	يَعْجِزُون
فأجازهما	فَأَجَازَهُمَا
يمرضها	يُمَرِّضَهَا
المنهزمين	الْمُنْهَزِمِين
طالبوه	طَالَبُوه
ألجئوه	أَلْجَئُوه
فيجاهد	فَيُجَاهِد
لقابض	لِقَابِض
فاغز	فَاغْز
اغز	اُغْز
الأعزب	الْأَعْزَب
ليأمنوا	لِيَأْمَنُوا
يوقره	يُوَقِّرُه
يمدهم	يَمُدَّهُمْ
للوقعة	لِلْوَقْعَ
للمدد	لِلْمَدَد
فأدركوهم	فَأَدْرَكُوهُمْ
بيهود	بِيَهُود
فأسلما	فَأَسْلَمَا
وغيظ	وَغَيْظ
كالاستعانة	كَالِاسْتِعَانَ
براية	بِرَايَ
يفادى	يُفَادَى
اعتمدا	اعْتَمَدَا
والمفاداة	وَالْمُفَادَا
استرقاقهم	اسْتِرْقَاقُهُمْ
وربطوه	وَرَبَطُوه
عاقبت	عَاقَبْت
ليصيبوا	لِيُصِيبُوا
أمعنوا	أَمْعَنُوا
لاستدلال	لِاسْتِدْلَال
بمنسوخ	بِمَنْسُوخ
لتنكسر	لِتَنْكَسِر
لأخيط	لِأَخِيط
يمعنوا	يُمْعِنُوا
تعقر	تُعْقَر
ويلقوا	وَيَلْقَوْا
لقوتهم	لِقُوَّتِهِمْ
فيقرون	فَيُقَرُّون
يرهقهما	يُرْهِقَهُمَا
المبعث	الْمَبْعَث
ويشتمون	وَيَشْتُمُون
المقومة	الْمُقَوِّمَ
يقوون	يَقْوُون
أبنا	أَبَنَّا
صبحهم	صُبْحِهِمْ
والمكاتل	وَالْمَكَاتِل
ويقطعوا	وَيَقْطَعُوا
تخربوا	تُخَرِّبُوا
وممكن	وَمُمْكِن
تلهيا	تَلَهِّيا
كبتا	كَبْتا
والتغريق	وَالتَّغْرِيق
وتحريق	وَتَحْرِيق
منعناهم	مَنَعْنَاهُمْ
تحريق	تَحْرِيق
يخرجوها	يُخْرِجُوهَا
كروا	كَرُّوا
ينصرهم	يَنْصُرُهُمْ
قاهرون	قَاهِرُون
مقهورون	مَقْهُورُون
المنهزم	الْمُنْهَزِم
ظفروا	ظَفِرُوا
يصبغوا	يَصْبُغُوا
بسلة	بِسَلَّ
لظهره	لِظَهْرِه
يستصحبوا	يَسْتَصْحِبُوا
فللعلم	فَلِلْعِلْم
فيعالج	فَيُعَالِج
بنشابة	بِنُشَّابَ
أيلحق	أَيَلْحَق
شركوهم	شَرَكُوهُمْ
بالمباشر	بِالْمُبَاشِر
غزي	غَزِيّ
موطئ	مَوْطِئ
يمشيهم	يُمْشِيَهُمْ
أطاقوا	أَطَاقُوا
وبتركه	وَبِتَرْكِه
ليتقووا	لِيَتَقَوَّوْا
فيستعينوا	فَيَسْتَعِينُوا
يعقرها	يَعْقِرُهَا
فالذبح	فَالذَّبْح
والإحراق	وَالْإِحْرَاق
يستنصره	يَسْتَنْصِرُه
الأتلدا	الْأَتْلَدَا
أخلفوك	أَخْلَفُوك
الموعدا	الْمَوْعِدَا
ميثاقك	مِيثَاقَك
المؤكدا	الْمُؤَكَّدَا
بالوتير	بِالْوَتِير
وقتلونا	وَقَتَلُونَا
وسجدا	وَسُجّدَا
تستهل	تَسْتَهِلّ
الحطابين	الْحَطَّابِين
اقتحمت	اقْتَحَمْت
لأقتله	لِأَقْتُلَه
سروري	سُرُورِي
لشيئا	لَشَيْئا
وقينتين	وَقَيْنَتَيْن
المرحمة	الْمَرْحَمَ
بقيله	بِقِيلِه
للرقاب	لِلرِّقَاب
والحلل	وَالْحُلَل
وباسم	وَبِاسْم
بفرسانك	بِفُرْسَانِك
ورجالتك	وَرَجَّالَتِك
رجالة	رَجَّالَ
متعارض	مُتَعَارِض
وأبقينا	وَأَبْقَيْنَا
والمقرف	وَالْمُقْرِف
للبراذين	لِلْبَرَاذِين
أذكرته	أَذَكَرَتْه
والهرب	وَالْهَرَب
والبرذون	وَالْبِرْذَوْن
العجمي	الْعَجَمِيّ
ذكت	ذَكَتْ
للقهر	لِلْقَهْر
كالشركاء	كَالشُّرَكَاء
وبامتناع	وَبِامْتِنَاع
للمماليك	لِلْمَمَالِيك
يلحقهما	يَلْحَقُهُمَا
بأفراس	بِأَفْرَاس
لفرسين	لِفَرَسَيْن
المبارزين	الْمُبَارِزِين
الجنائب	الْجَنَائِب
بغنائم	بِغَنَائِم
شريكهم	شَرِيكُهُمْ
يلحقانه	يَلْحَقَانِه
تنفيل	تَنْفِيل
وضمني	وَضِمْنِيّ
بالتنفيل	بِالتَّنْفِيل
ومخاطرة	وَمُخَاطَرَ
فاستخرجته	فَاسْتَخْرَجْتُه
شابين	شَابَّيْن
صاحبكما	صَاحِبُكُمَا
واختصما	وَاخْتَصَمَا
أرياني	أَرِيَانِي
أثخناه	أَثْخَنَاه
رويعي	رُوَيْعِي
الدبرة	الدَّبْرَ
فألقيته	فَأَلْقَيْتُه
فرعوني	فِرْعَوْنِي
خامسه	خَامِسُه
منعدما	مُنْعَدِما
لاستبعاد	لِاسْتِبْعَاد
وبالشركة	وَبِالشَّرِكَ
أوقت	أُوَقِّت
أحرزوه	أَحْرَزُوه
كالرقاب	كَالرِّقَاب
والمعني	وَالْمَعْنِيّ
بوفاق	بِوِفَاق
جازاهم	جَازَاهُمْ
والمفارقة	وَالْمُفَارَقَ
لشرهم	لِشَرِّهِمْ
يحرزوها	يُحْرِزُوهَا
يملكوها	يَمْلِكُوهَا
فيعتدل	فَيَعْتَدِل
فأحرزوه	فَأَحْرَزُوه
يحرزوه	يُحْرِزُوه
بمحترمة	بِمُحْتَرَمَ
وأحرزوه	وَأَحْرَزُوه
فيعوضه	فَيُعَوِّضُه
كالجوهر	كَالْجَوْهَر
مرعيا	مَرْعِيّا
مكناه	مَكَّنَّاه
للمأسور	لِلْمَأْسُور
بالثمنين	بِالثَّمَنَيْن
تاوية	تَاوِيَ
يفديها	يَفْدِيَهَا
ففداها	فَفَدَاهَا
فالغصب	فَالْغَصْب
تؤسر	تُؤْسَر
مأسورة	مَأْسُورَ
فالحر	فَالْحُرّ
فداهما	فَدَاهُمَا
بأمرهما	بِأَمْرِهِمَا
بمنزلتهما	بِمَنْزِلَتِهِمَا
ببيعهم	بِبَيْعِهِمْ
وليأمن	وَلِيَأْمَن
قسمتهم	قِسْمَتَهُمْ
الآسر	الْآسِر
فإسلامهم	فَإِسْلَامُهُمْ
أمناهم	أَمَّنَّاهُمْ
أسروهم	أَسَرُوهُمْ
ممتنعون	مُمْتَنِعُون
فالثابت	فَالثَّابِت
والمفاعلة	وَالْمُفَاعَلَ
فأسرت	فَأَسَرَتْ
ومدائنهم	وَمَدَائِنِهِمْ
بأطفال	بِأَطْفَال
والتحقت	وَالْتَحَقَتْ
والمنقولات	وَالْمَنْقُولَات
فأجعل	فَأَجْعَل
فأحرزوا	فَأَحْرَزُوا
لاغتنام	لِاغْتِنَام
ودورا	وَدُورا
بالغانمين	بِالْغَانِمِين
بفيء	بِفَيْء
محرزين	مُحْرِزِين
فيملكونه	فَيَمْلِكُونَه
بالاغتنام	بِالِاغْتِنَام
اقتسموه	اقْتَسَمُوه
فكبرا	فَكَبُرَا
فأمانه	فَأَمَانُه
أمانها	أَمَانُهَا
حموين	حَمَوَيْن
أتجيرين	أَتُجِيرِين
وأخرجته	وَأَخْرَجَتْه
وبالمال	وَبِالْمَال
يخافهم	يَخَافُهُمْ
بتنفيل	بِتَنْفِيل
للتنفيل	لِلتَّنْفِيل
للمنفل	لِلْمُنْفَل
والموهوم	وَالْمَوْهُوم
للخارجين	لِلْخَارِجِين
المصيصة	الْمِصِّيصَ
توطنهم	تَوَطُّنَهُمْ
بالسرية	بِالسَّرِيَّ
أمصار	أَمْصَار
ويمدهم	وَيَمُدُّهُمْ
ويجترئ	وَيَجْتَرِئ
نصرتهم	نُصْرَتَهُمْ
المصيبين	الْمُصِيبِين
ويمده	وَيَمُدُّه
كالداخل	كَالدَّاخِل
فيتمحض	فَيَتَمَحَّض
اكتسابا	اكْتِسَابا
المتلصص	الْمُتَلَصِّص
فيشاركونه	فَيُشَارِكُونَه
فيتخلق	فَيَتَخَلَّق
والغازي	وَالْغَازِي
وفرقنا	وَفَرَّقْنَا
يغزوا	يَغْزُوا
والتناصر	وَالتَّنَاصُر
دينارك	دِينَارَك
تمسها	تَمَسَّهَا
قابوس	قَابُوس
بالإلقاء	بِالْإِلْقَاء
ويعظه	وَيَعِظُه
فيشوشون	فَيُشَوِّشُون
والمعتمل	وَالْمُعْتَمِل
ويتختم	وَيَتَخَتَّم
بحقن	بِحَقْن
فيتفاوت	فَيَتَفَاوَت
لأطاقت	لَأَطَاقَتْ
فخراج	فَخَرَاج
وعقوبات	وَعُقُوبَات
بالمملوكية	بِالْمَمْلُوكِيَّ
وطريقنا	وَطَرِيقُنَا
كالنفقات	كَالنَّفَقَات
استذلال	اسْتِذْلَال
واستصغاره	وَاسْتِصْغَارُه
بتعطيله	بِتَعْطِيلِه
خزائنهم	خَزَائِنِهِمْ
المتقشفة	الْمُتَقَشِّفَ
توطنت	تَوَطَّنَتْ
بالتوطن	بِالتَّوَطُّن
والموادعة	وَالْمُوَادَعَ
استنقذهم	اسْتَنْقَذَهُمْ
ليرتد	لِيَرْتَدّ
ويقري	وَيَقْرِي
يزاحمون	يُزَاحِمُون
موادعتهم	مُوَادَعَتِهِمْ
يجيبهم	يُجِيبُهُمْ
بالخندق	بِالْخَنْدَق
أصرفهم	أَصْرِفَهُمْ
يلتزمون	يَلْتَزِمُون
يخمسها	يُخَمِّسُهَا
ونصالحكم	وَنُصَالِحُكُمْ
تتناولهم	تَتَنَاوَلُهُمْ
جعلوهم	جَعَلُوهُمْ
بجعلهم	بِجَعْلِهِمْ
بالموادعة	بِالْمُوَادَعَ
ورقيقهم	وَرَقِيقِهِمْ
استفادوا	اسْتَفَادُوا
تملكوا	تَمَلَّكُوا
ينقادوا	يَنْقَادُوا
موادعين	مُوَادِعِين
لإحرازه	لِإِحْرَازِه
ليحملوا	لِيَحْمِلُوا
واستهداه	وَاسْتَهْدَاه
يحملوا	يَحْمِلُوا
لقتلتك	لَقَتَلْتُك
كلفناه	كَلَّفْنَاه
يفتعل	يُفْتَعَل
يزدان	يَزْدَان
يشاركوه	يُشَارِكُوه
يؤوى	يُؤْوَى
داينوه	دَايَنُوه
غصبهم	غَصَبَهُمْ
غصبوه	غَصَبُوه
بأمانهم	بِأَمَانِهِمْ
للتقوم	لِلتَّقَوُّم
فالمنافي	فَالْمُنَافِي
فمقبول	فَمَقْبُول
بمنعتهم	بِمَنَعَتِهِمْ
للمستأمن	لِلْمُسْتَأْمَن
يشتريهم	يَشْتَرِيَهُمْ
السابين	السَّابِين
ملكوهم	مَلَكُوهُمْ
نغدر	نَغْدِر
سبوهم	سَبَوْهُمْ
المستأمنون	الْمُسْتَأْمَنُون
والمستأمنون	وَالْمُسْتَأْمَنُون
بمهلة	بِمُهْلَ
طينتم	طَيَّنْتُمْ
برغيف	بِرَغِيف
والاستتابة	وَالِاسْتِتَابَ
ويتبرأ	وَيَتَبَرَّأ
بتائب	بِتَائِب
ساووا	سَاوَوْا
وترجحوا	وَتَرَجَّحُوا
الكسبين	الْكَسْبَيْن
والمكتسب	وَالْمُكْتَسَب
ومدبريه	وَمُدَبَّرِيه
آجاله	آجَالِه
بالمالكية	بِالْمَالِكِيَّ
كالمقضي	كَالْمَقْضِيّ
تنافيهما	تَنَافِيهِمَا
المقهور	الْمَقْهُور
يستدلان	يَسْتَدِلَّان
الحربيات	الْحَرْبِيَّات
وباللحاق	وَبِاللَّحَاق
أجزية	أَجْزِيَ
تحرض	تُحَرِّض
أردفتها	أَرْدَفْتهَا
فأهوت	فَأَهْوَتْ
فنخصه	فَنَخُصُّه
ونحمله	وَنَحْمِلُه
وتحرض	وَتُحَرِّض
ضربن	ضَرَبْن
كالأصلية	كَالْأَصْلِيَّ
فالحبس	فَالْحَبْس
وأجبرت	وَأُجْبِرَتْ
كأحرارهم	كَأَحْرَارِهِمْ
ارتددن	ارْتَدَدْن
يسبين	يُسْبَيْن
كالحربية	كَالْحَرْبِيَّ
مقهورة	مَقْهُورَ
فتسترق	فَتُسْتَرَقّ
لحاقها	لِحَاقِهَا
وتحبس	وَتُحْبَس
وأمرتهم	وَأَمَرَتْهُمْ
بإجبارها	بِإِجْبَارِهَا
كجنايتهم	كَجِنَايَتِهِمْ
وغلبوا	وَغَلَبُوا
بأمانه	بِأَمَانِه
فأهلها	فَأَهْلُهَا
وأجبروا	وَأُجْبِرُوا
بولدهما	بِوَلَدِهِمَا
للمرتدين	لِلْمُرْتَدِّين
بالحربيين	بِالْحَرْبِيِّين
يتباين	يَتَبَايَن
وملكوها	وَمَلَكُوهَا
كمشركي	كَمُشْرِكِي
جناة	جُنَا
يطيقونهم	يُطِيقُونَهُمْ
وادعوهم	وَادَعُوهُمْ
وتسترق	وَتُسْتَرَقّ
فيجبرون	فَيُجْبَرُون
كالمرتدين	كَالْمُرْتَدِّين
توطنوا	تَوَطَّنُوا
وتنوخ	وَتَنُوخ
يستنصرون	يَسْتَنْصِرُون
بغنيمة	بِغَنِيمَ
والتحقوا	وَالْتَحَقُوا
يشاركوهم	يُشَارِكُوهُمْ
فيقاتلوا	فَيُقَاتِلُوا
كالمتلصص	كَالْمُتَلَصِّص
فإسلامه	فَإِسْلَامُه
واقرار	وَاقَرَار
والأصالة	وَالْأَصَالَ
كالسابق	كَالسَّابِق
فجرينا	فَجَرَيْنَا
لارتداده	لِارْتِدَادِه
حرمانهم	حِرْمَانِهِمْ
يهيجون	يُهَيِّجُون
أيقظها	أَيْقَظَهَا
لأقتلنه	لَأَقْتُلَنَّه
ليقتلنك	لَيَقْتُلَنَّك
فاشتمه	فَاشْتُمْه
يتفاقم	يَتَفَاقَم
ليشوشوا	لِيُشَوِّشُوا
وتفويضه	وَتَفْوِيضِه
يعزرهم	يُعَزِّرُهُمْ
للتعزير	لِلتَّعْزِير
قاتلناهم	قَاتَلْنَاهُمْ
فئتهم	فِئَتِهِمْ
فئته	فِئَتَه
وسلاحهم	وَسِلَاحِهِمْ
دروعا	دُرُوعا
أغصبا	أَغَصْبا
استبعادا	اسْتِبْعَادا
لارتكابها	لِارْتِكَابِهَا
فيمسكه	فَيُمْسِكُه
بالمحاجة	بِالْمُحَاجَّ
تأويلهم	تَأْوِيلُهُمْ
متوافرين	مُتَوَافِرِين
أفتيهم	أُفْتِيهِمْ
خطؤهم	خَطَؤُهُمْ
للمنعة	لِلْمَنَعَ
ممتثلون	مُمْتَثِلُون
انضموا	انْضَمُّوا
فحكمهم	فَحُكْمُهُمْ
والمنجنيق	وَالْمَنْجَنِيق
فدماء	فَدِمَاء
فغدر	فَغَدَر
ينبغ	يَنْبَغ
يحبسونهم	يَحْبِسُونَهُمْ
بغدر	بِغَدْر
رهننا	رَهْنَنَا
الدوانيقي	الدَّوَانِيقِيّ
للباغي	لِلْبَاغِي
قتالهن	قِتَالُهُنّ
ففسقهم	فَفِسْقُهُمْ
دماءنا	دِمَاءَنَا
فاستعملوا	فَاسْتَعْمَلُوا
بغسلهم	بِغُسْلِهِمْ
للعادل	لِلْعَادِل
فيحرمه	فَيُحَرِّمُه
ويقتله	وَيَقْتُلُه
فقتاله	فَقِتَالُه
لقتاله	لِقِتَالِه
يسبوا	يُسْبَوْا
يملكونهم	يَمْلِكُونَهُمْ
لإعزاز	لِإِعْزَاز
يقاتلان	يُقَاتِلَان
الشاد	الشَّادّ
بالمفازة	بِالْمَفَازَ
واستهلكوا	وَاسْتَهْلَكُوا
لتجرد	لِتَجَرُّد
ليعيده	لِيُعِيدَه
بجند	بِجُنْد
يستخلفونه	يَسْتَخْلِفُونَه
وقصدوا	وَقَصَدُوا
فأعان	فَأَعَان
ناقضين	نَاقِضِين
يخالطون	يُخَالِطُون
فدعهم	فَدَعْهُمْ
للإصرار	لِلْإِصْرَار
يحثون	يَحْثُون
بنيتهم	بِنِيَّتِهِمْ
جيفته	جِيفَتِه
لتحريضهم	لِتَحْرِيضِهِمْ
بالمفاداة	بِالْمُفَادَا
يأتوكم	يَأْتُوكُمْ
أعطونا	أَعْطُونَا
بالمقاتل	بِالْمُقَاتِل
تقويتهم	تَقْوِيَتَهُمْ
فأحرزوها	فَأَحْرَزُوهَا
كالمأمور	كَالْمَأْمُور
كسلامة	كَسَلَامَ
ليحبسها	لِيَحْبِسَهَا
ليعيد	لِيُعِيد
فيؤمرون	فَيُؤْمَرُون
يملكوهم	يَمْلِكُوهُمْ
بمصادفة	بِمُصَادَفَ
كالمفعول	كَالْمَفْعُول
أثير	أُثِير
ووزير	وَوَزِير
بالسماحة	بِالسَّمَاحَ
فأوغلوا	فَأَوْغِلُوا
تبغضوا	تُبَغِّضُوا
مستحسنا	مُسْتَحْسَنا
فالترجيح	فَالتَّرْجِيح
بالخفاء	بِالْخَفَاء
والعقبى	وَالْعُقْبَى
وترجحت	وَتَرَجَّحَتْ
بالمؤثر	بِالْمُؤَثِّر
والكرخي	وَالْكَرْخِيّ
وعورته	وَعَوْرَتُه
كالركبة	كَالرُّكْبَ
لتعامل	لِتَعَامُل
الإبداء	الْإِبْدَاء
الاتزار	الِاتِّزَار
دلى	دَلَّى
وار	وَار
بصرهما	بَصَرُهُمَا
السوأتين	السَّوْأَتَيْن
كالسرة	كَالسُّرَّ
والغشيان	وَالْغَشَيَان
يتجردان	يَتَجَرَّدَان
فالرأس	فَالرَّأْس
والإكليل	وَالْإِكْلِيل
فليجتنب	فَلْيَجْتَنِبْ
كالأمهات	كَالْأُمَّهَات
أقبلي	أَقْبِلِي
مذعورا	مَذْعُورا
بابنتي	بِابْنَتِي
هودج	هَوْدَج
ارتجز	ارْتَجَز
يابن	يَابْن
ليعرفن	لِيَعْرِفْن
ليسافر	لِيُسَافِر
وينزلها	وَيُنْزِلُهَا
كالمحارم	كَالْمَحَارِم
تغمز	تَغْمِز
ناولت	نَاوَلَتْ
بإبداء	بِإِبْدَاء
فالرخصة	فَالرُّخْصَ
بمصافحتها	بِمُصَافَحَتِهَا
بيعتها	بَيْعَتِهَا
لتمرضه	لِتُمَرِّضَه
وتفلي	وَتُفَلِّي
يصافحها	يُصَافِحَهَا
ليوجه	لِيُوَجَّه
يرميهم	يَرْمِيهِمْ
أبصرها	أَبْصَرَهَا
بتأمل	بِتَأَمُّل
فليضعها	فَلْيَضَعْهَا
وتصفها	وَتَصِفُهَا
لبدنها	لِبَدَنِهَا
فعزله	فَعَزَلَه
والخافضة	وَالْخَافِضَ
الاحتقان	الِاحْتِقَان
والاحتقان	وَالِاحْتِقَان
دواءها	دَوَاءَهَا
فقبضها	فَقَبَضَهَا
تداوي	تُدَاوِي
يداويها	يُدَاوِيهَا
للأجنبيات	لِلْأَجْنَبِيَّات
ومرادهما	وَمُرَادُهُمَا
للاستخدام	لِلِاسْتِخْدَام
فتبدي	فَتُبْدِي
الخصى	الْخُصَى
بالاختلاط	بِالِاخْتِلَاط
ماوية	مَاوِيّ
بالمحكم	بِالْمُحْكَم
وعودي	وَعَوْدِي
مضجعك	مَضْجَعَك
بالسرة	بِالسُّرَّ
يغسلوها	يَغْسِلُوهَا
فأولياؤها	فَأَوْلِيَاؤُهَا
يممنه	يَمَّمْنَه
علموهم	عَلِّمُوهُمْ
يغسلنه	يُغَسِّلْنَه
كالعاقلة	كَالْعَاقِلَ
وارتكابه	وَارْتِكَابِه
بالفاسق	بِالْفَاسِق
المستورين	الْمَسْتُورِين
وبالرق	وَبِالرِّقّ
والمستور	وَالْمَسْتُور
فيتأيد	فَيَتَأَيَّد
يلتزمان	يَلْتَزِمَان
فدعوه	فَدَعُوه
الحالان	الْحَالَان
فاستشارهم	فَاسْتَشَارَهُمْ
أتفر	أَتَفِرّ
فنجي	فَنُجِّي
أشيم	أَشْيَم
الضبابي	الضَّبَابِيّ
وبطلب	وَبِطَلَب
فكسرتها	فَكَسَرَتْهَا
بلحوم	بِلُحُوم
بإهدار	بِإِهْدَار
ارتضعا	ارْتَضَعَا
ومفارقتها	وَمُفَارَقَتِهَا
بمائي	بِمَائِي
طأ	طَأْ
أتطعمين	أَتُطْعِمِين
ويشتريها	وَيَشْتَرِيهَا
واستفت	وَاسْتَفْت
بقالا	بَقَّالا
وغصبني	وَغَصَبَنِي
غصبني	غَصَبَنِي
جحدني	جَحَدَنِي
وقبضتها	وَقَبَضْتهَا
كالفروج	كَالْفُرُوج
