# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبادیات	آبادُیات
پوجک	پُوجک
پور	پُور
پورا	پُورا
پورب	پُورب
پوربی	پُوربی
پوروی	پُوروی
پورٹ	پورْٹ
پوری	پُوری
پوست	پوسْت
پولس	پُولس
پوناوالا	پُوناوالا
پونم	پُونم
پوچھ	پُوچھ
پوچھتاچھ	پُوچھتاچھ
پوچھنا	پُوچھنا
پوکیمون	پوکیَمون
پٹواریو	پٹوارُیو
پٹواریوں	پٹوارُیوں
پٹیل	پٹیَل
پچھتر	پچھَتر
پڑیا	پڑُیا
پژمردگی	پژمرْدگی
پکھڑی	پکھَڑی
پکھیرو	پکھیَرُو
پھاٹکوں	پھاٹَکوں
پھرپھرانا	پھرْپھرانا
پھلیل	پھلیَل
پھوار	پھِوار
پھول	پھُول
پھولنا	پھُولنا
پھولو	پھُولو
پھولوں	پھُولوں
پھونک	پھُونْک
پھوٹنا	پھُوٹنا
پھوپھا	پھُوپھا
پھوپھی	پھُوپھی
پھپھیرا	پھپھیَرا
پھڑیا	پھڑُیا
پھیرا	پھیَرا
پھیرنا	پھیَرنا
پھینکنا	پھیَنْکنا
پھیپھڑا	پھیَپھڑا
پھیپھڑے	پھیَپھڑے
پہلو	پہلُو
پیا	پُیا
پیارو	پُیارو
پیاروں	پُیاروں
پیام	پُیام
پیانو	پُیانو
پیرج	پیَرج
پیرس	پیَرس
پیرو	پیرُو
پیش	پیَش
پیشاب	پیَشاب
پیشانی	پیَشانی
پیشوا	پیَشوا
پیشکش	پیَشکش
پیشگی	پیَشگی
پیشہ	پیَشہ
پیشی	پیَشی
پیلیا	پیلُیا
پیندا	پیَندا
پینسل	پیَنسل
پیوندھ	پُیونَدھَ
پیٹ	پیَٹ
پیٹرول	پیَٹرول
پیٹھا	پیَٹھا
پیٹی	پیَٹی
پیپسی	پیَپسی
پیچ	پیَچ
پیچش	پیَچش
پیچیدہ	پیَچیدہ
پیڑ	پیَڑ
پیکھنا	پیَکھنا
پیے	پُیے
چارسدہ	چارْسدہ
چاشت	چاشْت
چاقو	چاقُو
چاند	چانْد
چانگچون	چانْگچُون
چاچو	چاچُو
چاکلیٹ	چاکلیَٹ
چبوترا	چبُوترا
چتر	چتْر
چترکوٹ	چتْرکُوٹ
چتور	چتُور
چتھڑیا	چتھڑُیا
چدکڑ	چدَکڑ
چرخ	چرْخ
چرمروگ	چرْمروگ
چرپرا	چرْپرا
چرچ	چرْچ
چست	چسْت
چشتیاں	چشتُیاں
چشم	چشْم
چغد	چغْد
چلو	چلُو
چلچتر	چلچترَ
چمبیلی	چمبیَلی
چمو	چمُو
چمیلی	چمیَلی
چند	چنْد
چندر	چنْدْر
چندربھاگا	چنْدْربھاگا
چنگڑا	چنْگڑا
چنیوٹ	چنُیوٹ
چوالیس	چِوالیس
چواوا	چِواوا
چوت	چُوت
چوتر	چُوتر
چوتڑ	چُوتڑ
چوتیا	چُوتُیا
چوتیاگری	چُوتُیاگَری
چورا	چُورا
چوزہ	چُوزہ
چوسنا	چُوسنا
چول	چُول
چولھا	چُولْھا
چومنا	چُومنا
چونا	چُونا
چوچک	چُوچک
چوچی	چُوچی
چوڑی	چُوڑی
چوکنا	چُوکنا
چوں	چُوں
چوہا	چُوہا
چوہڑا	چُوہڑا
چٹیا	چٹُیا
چپقلش	چپْقلش
چپچپا	چپْچپا
چپکو	چپکُو
چچیرا	چچیَرا
چڑیا	چڑُیا
چڑیل	چڑیَل
چکتا	چکَتا
چکر	چکْر
چگونہ	چگُونہ
چھتیں	چھتیَں
چھلانگ	چھلانْگ
چھوارے	چھِوارے
چھونا	چھُونا
چھوٹ	چھُوٹ
چھوٹنا	چھُوٹنا
چھوچھا	چھُوچھا
چھٹپٹانا	چھٹْپٹانا
چھٹیاں	چھٹُیاں
چھٹیوں	چھٹُیوں
چھپکلی	چھپْکلی
چھہ	چھِہ
چھیاسٹھ	چھُیاسٹھ
چھیاسی	چھُیاسی
چھیالیس	چھُیالیس
چھیانوے	چھُیانوے
چھید	چھیَد
چھیدنا	چھیَدنا
چھینا	چھیَنا
چھینک	چھینْک
چھینی	چھیَنی
چھیڑ	چھیَڑ
چھیڑنا	چھیَڑنا
چیتانا	چیَتانا
چیری	چیَری
چیزیں	چیزیَں
چیس	چیَس
چیلا	چیَلا
چین	چیَن
چینا	چیَنا
چیچنیا	چیَچنیا
چیچک	چیَچک
چیچین	چیَچیَن
چیک	چیَک
چیکو	چیکُو
چیکیا	چیَکُیا
ڈاڈو	ڈاڈُو
ڈاکو	ڈاکُو
ڈاکیا	ڈاکُیا
ڈراما	ڈْراما
ڈمبوداس	ڈمبُوداس
ڈمرو	ڈمرُو
ڈنمارک	ڈنمارْک
ڈنک	ڈنْک
ڈوبنا	ڈُوبنا
ڈومین	ڈومیَن
ڈونگر	ڈُونگر
ڈگمگانا	ڈگْمگانا
ڈھشوم	ڈھشُوم
ڈھنگ	ڈھنْگ
ڈھونڈنا	ڈھُونْڈْنا
ڈھونڈھ	ڈھُونْڈھ
ڈھونگ	ڈھونْگ
ڈھیر	ڈھیَر
ڈیرہ	ڈیَرہ
ڈیٹ	ڈیَٹ
ڈیٹابیس	ڈیَٹابیَس
ڈیڑھ	ڈیَڑھ
ڑھ	ڑھَ
ژیان	ژُیان
ژیاں	ژُیاں
کابلی	کابَلی
کابوس	کابُوس
کاجو	کاجُو
کارتوس	کارتُوس
کارروائی	کاررِوائی
کارٹون	کارٹُون
کارڈ	کارْڈ
کارکردگی	کارکرْدگی
کاغذوں	کاغَذوں
کالو	کالُو
کامسوتر	کامسُوتْر
کبج	کبْج
کبوتر	کبُوتر
کبڈی	کبَڈی
کبک	کبْک
کبھو	کبھُو
کدو	کدُو
کراچوی	کراچِوی
کرتوت	کرتُوت
کردنت	کْردنْت
کردھ	کْردھ
کرستان	کْرستان
کرسمس	کْرسمس
کرنو	کرَنو
کرنوں	کرَنوں
کرنیں	کرَنیَں
کرودھ	کْرودھ
کروس	کْرُوس
کرپا	کْرپا
کرپور	کرپُور
کرپیا	کْرپیا
کرکرا	کرْکرا
کرکلا	کرْکلا
کریا	کْرُیا
کریلا	کریَلا
کسیرا	کسیَرا
کشت	کشْت
کشتیاں	کشتُیاں
کشتیوں	کشتُیوں
کشدر	کْشدْر
کشدھا	کْشدھا
کشری	کْشری
کشف	کشْف
کشما	کْشما
کشٹ	کشْٹ
کشیترفل	کْشیَتْرفل
کشیپ	کْشیَپ
کلاس	کْلاس
کلب	کْلب
کلرک	کْلرْک
کلفٹن	کْلفٹن
کلنگ	کلنْگ
کلو	کلُو
کلوٹا	کلُوٹا
کلیجا	کلیَجا
کلیجی	کلیَجی
کلیسیا	کلیسُیا
کمبخت	کمبخْت
کمبوڈیا	کمبوڈُیا
کمبھ	کمْبھ
کمبھکار	کمْبھکار
کمدنی	کمَدَنی
کملا	کمَلا
کملائی	کمَلائی
کمپ	کمْپ
کمپنی	کمْپنی
کمیٹی	کمیَٹی
کند	کنْد
کندرا	کنْدرا
کنشت	کنشْت
کنٹرول	کنْٹْرول
کنکریٹ	کنْکْریٹ
کنگارو	کنگارُو
کنھیں	کنْھیَں
کنیاکماری	کنیاکَماری
کوآلا	کْوآلا
کوا	کِوا
کوارک	کوارْک
کواڑ	کِواڑ
کواں	کِواں
کوبا	کُوبا
کوبڑ	کُوبڑ
کوت	کُوت
کوجنا	کُوجنا
کودنا	کُودنا
کورٹ	کورْٹ
کوریا	کورُیا
کوریائی	کورُیائی
کوسووو	کوسْووو
کوشکا	کوشَکا
کولر	کُولر
کولمبیا	کولمبُیا
کولہا	کُولہا
کووں	کِووں
کوٹنا	کُوٹنا
کوپی	کُوپی
کوچ	کُوچ
کوچہ	کُوچہ
کوڑا	کُوڑا
کوہلو	کوہلُو
کوی	کِوی
کٹھنائی	کٹھَنائی
کٹھیار	کٹھُیار
کپور	کپُور
کچالو	کچالُو
کچومر	کچُومر
کچھوا	کچھِوا
ککرمتا	ککرْمتا
ککش	ککْش
کھانگ	کھانْگ
کھجلی	کھجَلی
کھجور	کھجُور
کھدیڑنا	کھدیَڑنا
کھرجو	کھرجُو
کھلکڑ	کھلَکڑ
کھلیانا	کھلُیانا
کھمیر	کھْمیَر
کھنڈرات	کھنْڈرات
کھنڈروں	کھنْڈروں
کھوا	کھْوا
کھود	کھُود
کھٹیا	کھٹُیا
کھڑوس	کھڑُوس
کھڑیا	کھڑُیا
کھیت	کھیَت
کھیتو	کھیَتو
کھیتوں	کھیَتوں
کھید	کھیَد
کھیل	کھیَل
کھیلا	کھیَلا
کھیلتے	کھیَلتے
کھیلنا	کھیَلنا
کھینا	کھیَنا
کھیپ	کھیَپ
کیاری	کُیاری
کیتکی	کیَتکی
کیجریوال	کیَجرِیوال
کیرل	کیَرل
کیرلا	کیَرَلا
کیسر	کیَسر
کیسری	کیَسری
کیش	کیَش
کیلا	کیَلا
کیلی	کیَلی
کیمیا	کیمُیا
کیمیائی	کیمُیائی
کیندرت	کیَنْدْرت
کینیا	کینُیا
کیوی	کِیوی
کیک	کیَک
کیکڑا	کیَکڑا
گاتر	گاتْر
گانڈ	گانْڈ
گانڈو	گانڈُو
گبرو	گبرُو
گجھیا	گجھُیا
گدگدانا	گدْگدانا
گدھیاں	گدھُیاں
گدھیو	گدھُیو
گدھیوں	گدھُیوں
گرام	گْرام
گرامر	گْرامر
گربھ	گرْبھ
گرد	گرْد
گردنوں	گرْدنوں
گردنیں	گرْدنیَں
گردوارہ	گرْدوارہ
گرز	گرْز
گرفت	گرفْت
گرم	گرْم
گرماگرم	گرماگرْم
گرمکھی	گرْمکھی
گرمیاں	گرمُیاں
گرمیو	گرمُیو
گرمیوں	گرمُیوں
گرنتھ	گرنْتھ
گرو	گرُو
گروپ	گْرُوپ
گرہ	گْرِہ
گریانا	گرُیانا
گریبان	گریَبان
گریس	گْریس
گریشم	گْریشْم
گریگوری	گْریَگوری
گشت	گشْت
گشتیاں	گشتُیاں
گشتیو	گشتُیو
گشتیوں	گشتُیوں
گفتگو	گفْتْگُو
گلاس	گْلاس
گلاسگو	گْلاسگو
گلانی	گْلانی
گلمچھا	گلْمچھا
گلچھرا	گلْچھرا
گلیارا	گلُیارا
گلیانا	گلُیانا
گلیاں	گلُیاں
گلیو	گلُیو
گلیوں	گلُیوں
گند	گنْد
گندمی	گنْدمی
گندگی	گنْدگی
گندھ	گنْدھ
گنیش	گنیَش
گوا	گْوا
گوارہ	گِوارہ
گواہ	گِواہ
گواہاٹی	گِواہاٹی
گواہی	گِواہی
گورداسپور	گورداسپُور
گورمنٹ	گورمنْٹ
گوسفند	گوسفنْد
گوشت	گوشْت
گولگپا	گولْگپا
گونج	گُونْج
گونگا	گُونگا
گوٹیاں	گوٹُیاں
گوٹیو	گوٹُیو
گوٹیوں	گوٹُیوں
گوڑھا	گُوڑھا
گوگرد	گوگرْد
گوگل	گُوگل
گپت	گپْت
گڑگڑانا	گڑْگڑانا
گڑیا	گڑُیا
گھرم	گھرْم
گھریلو	گھریَلُو
گھمنڈ	گھمنْڈ
گھمکڑ	گھمَکڑ
گھوس	گھُوس
گھومنا	گھُومنا
گھونٹ	گھُونْٹ
گھٹیا	گھٹُیا
گھڑیال	گھڑُیال
گھڑیالی	گھڑُیالی
گھیر	گھیَر
گھیرا	گھیَرا
گھیرنا	گھیَرنا
گھییا	گھِییا
گیا	گُیا
گیانا	گُیانا
گیرو	گیَرُو
گیسو	گیَسُو
گیم	گیَم
گیند	گیَنْد
گیندوں	گیَندوں
گیندیں	گیَندیَں
گینڈا	گیَنڈا
ہاجرہ	ہاجَرہ
ہارون	ہارُون
ہانڈیاں	ہانڈُیاں
ہانڈیو	ہانڈُیو
ہانڈیوں	ہانڈُیوں
ہانکنا	ہانْکْنا
ہوبارٹ	ہوبارْٹ
ہوشنگ	ہوشنْگ
ہوشیار	ہوشُیار
ہونٹ	ہونْٹ
ہونٹھ	ہونْٹھ
ہینگ	ہینْگ
۔جیوی	۔جِیوی
