# Danish pronunciation lexicon — word<TAB>IPA. From the NST Danish lexicon (Nasjonalbiblioteket /
# Sprakbanken, sbr-26), CC0 / public domain, ∩ the top-50k OpenSubtitles da frequency list (hermitdave
# FrequencyWords, CC BY-SA). Narrow convention: r-vocalisation ɐ, stop lenition, soft-d ð, length ː,
# stød ˀ. Shortest NST variant. Built by tools/danish/build_da_nst.py. The BiLSTM/rule handle OOV.
jeg	ˈjɑj
tynget	ˈtøŋəð
falskt	ˈfalˀsɡd
galgen	ˈɡaljən
tidsrejse	ˈtiðsˌʁɑjsə
skriftemål	ˈsɡʁefdəˌmɔːˀl
nils	ˈnels
blegemiddel	ˈblɑjəˌmiðˀəl
facilitet	fasiliˈteːˀd
målte	ˈmɔːˀldə
svulmer	ˈsvulmɐ
hævngerrig	ˈhɛwnˌɡɛɐi
plæne	ˈplɛːnə
spidser	ˈsbesɐ
jernet	ˈjɛɐˀnəð
kollapset	koˈlɑbsəð
egetræ	ˈeːəˌtʁeːˀ
solveig	ˈsoːlˌvɑjˀ
udforsker	ˈuðˌfɒːˀsɡɐ
sadistisk	saˈdisdisɡ
snesevis	ˈsneːsəˌviːˀs
brownies	ˈbʁɑwnis
viger	ˈviːˀɐ
uforberedt	ˈufɒːbəˌʁeːˀd
drazen	ˈdʁɑːsen
køkkenbordet	ˈkøɡənˌboɐˀəð
kessler	ˈkɛslɐ
tøjlerne	ˈtɐjlɐnə
stålet	ˈsdɔːˀləð
statisk	ˈsdaːˀdisɡ
klumme	ˈklɔmə
attraktive	ˈatʁɑɡˌtiːˀvə
endestationen	ˈɛnəsdaˌʃoːˀnən
rengøringen	ˈʁeːnˌɡœːˀˌʁeŋˀən
kiksede	ˈkiɡsəðə
stoddere	ˈsdɐdɐɐ
hæmmer	ˈhɛmɐ
invalid	envaˈliðˀ
overvundet	ˈɐwɐˌvɔnˀəð
læremester	ˈlɛːɐˌmɛsdɐ
ultralyd	ˈultʁɑˌlyðˀ
medsammensvorne	ˈmɛðsɑmənˌsvoɐˀnə
havearbejde	ˈhaːvəɑːˌbɑjˀdə
opsøgt	ˈɐbˌsøɡd
lungekræft	ˈlɔŋəˌkʁɛfd
ulrich	ˈulˀʁeɡ
apokalypsen	ɑpokaˈlybsən
clemens	ˈkleːˀməns
nedlagde	ˈneðˌlaːə
vildkat	ˈvilˌkad
forærede	fɒˈɛːˀɐðə
tendenser	tɛnˈdɛnˀsɐ
forværret	fɒˈvɛːˀɐð
bryg	ˈbʁøɡ
rebeller	ʁeˈbɛlˀɐ
breaking	ˈbʁejɡeŋ
høvl	ˈhœwˀl
nødderne	ˈnøðˀɐnə
afvigende	ˈɑwˌviːˀənə
lak	ˈlɑɡ
citys	ˈsidis
ovale	oˈvaːˀlə
bangebuks	ˈbɑŋəˌbɔɡs
bandemedlem	ˈbandəmɛðˌlɛmˀ
selvmedlidenhed	ˈsɛlmɛðliðənˌheðˀ
fanatikere	faˈnaːˀdiɡɐɐ
kriminalinspektør	kʁimiˈnaːˀlensbɛɡˌtøɐˀ
ægteskabelige	ɛɡdəˈsɡaːˀbəˌliːˀə
hannen	ˈhanˀən
fastsætte	ˈfasdˌsɛdə
brusebadet	ˈbʁuːsəˌbaðˀəð
pælen	ˈpɛːˀlən
taknemlige	tɑˈɡnɛmˀˌliːˀə
jacksonville	ˈdjaɡsenˌvil
påtrængende	ˈpɐˌtʁɛŋˀənə
fratage	ˈfʁɑˌtaːˀ
elm	ˈɛlˀm
negere	ˈneːɐɐ
registrering	ʁeɡiˈsdʁeɐˀeŋ
kameramand	ˈkaːˀməʁɑˌmanˀ
venskabs	ˈvɛnˌsɡaːˀbs
mole	ˈmoːlə
prioriteter	pʁioɐiˈteːˀdɐ
kontinentet	kɐntiˈnɛnˀdəð
alkoholikere	alɡoˈhoːˀliɡɐɐ
spadsere	sbaˈseːˀɐ
dæknavn	ˈdɛɡˌnɑwˀn
armand	ɑˈmɑŋ
hjemsted	ˈjɛmˌsdɛð
krypt	ˈkʁybd
særeste	ˈsɛːɐsdə
midtpunkt	ˈmedˌpɔŋˀd
slagene	ˈslaːˀənə
amnesti	ɑmnɛˈsdiːˀ
selskabets	ˈsɛlˌsɡaːˀbəðs
bruser	ˈbʁuːˀsɐ
ordspil	ˈoɐˌsbel
udgøre	ˈuðˌɡœːˀɐ
stederne	ˈsdɛːðɐnə
fodboldkamp	ˈfoðbɐldˌkɑmˀb
francois	fʁɑŋˈswɑ
prinser	ˈpʁensɐ
ophør	ˈɐbˌhøɐˀ
tiltrak	ˈtelˌtʁɑɡ
syltede	ˈsyldəðə
brochuren	bʁoˈʃyːɐn
pander	ˈpanɐ
dragerne	ˈdʁɑːwɐnə
kriminalpolitiet	kʁimiˈnaːˀlpoliˌtiːˀəð
pure	ˈpuːɐ
forslået	fɒˈslɔːˀəð
fabian	ˈfaːˀbjan
underværker	ˈɔnɐˌvɛɐɡɐ
shell	ˈʃɛl
løbetur	ˈløːbəˌtuɐˀ
neglelak	ˈnɑjləˌlɑɡ
energisk	eˈnɛɐˀɡisɡ
klienterne	kliˈɛnˀdɐnə
meisner	ˈmɑjˀsnɐ
williamson	ˈwiljamˌsɐn
svedte	ˈsveːˀdə
dansker	ˈdansɡɐ
lygterne	ˈløɡdɐnə
duftede	ˈdɔfdəðə
fortsættelse	ˈfɒːdˌsɛdə
udstoppet	ˈuðˌsdɐbəð
gyldent	ˈɡylˀend
kosmiske	ˈkɐsmisɡə
magte	ˈmɑɡdə
pesos	ˈpeːsɒs
inferno	enˈfɛɐno
sangerinde	sɑŋɐˈenə
slåskampe	ˈslɐsˌkɑmbə
tilbagetog	teˈbaːəˌtɔw
opkaldene	ˈɐbˌkalˀənə
spekulation	sbeɡulaˈʃoːˀn
komfortabelt	kɐmfɒˈtaːˀbəld
tyrkiske	ˈtyɐˀɡisɡə
isbjerget	ˈiːsˌbjɛɐˀwəð
tilmeldt	ˈtelˌmɛlˀd
ventil	venˈtiːˀl
harrington	ˈhaʁeŋten
oplys	ˈɐˌblyːˀs
blødsøden	ˈbløðˌsøðˀən
tissemand	ˈtisəˌmanˀ
afskedsfest	ˈɑwsɡəðsˌfɛsd
skizofren	sɡidsoˈfʁeːˀn
domhuset	ˈdɐmˌhuːˀsəð
levn	ˈlɛwˀn
importeret	empɒˈteːˀɐð
stensikker	ˈsdeːnˈseɡɐ
ønsketænkning	ˈønsɡəˌtɛŋɡneŋ
tommel	ˈtɐməl
opsnappet	ˈɐbˌsnɑbəð
bassam	baˈsɑm
ralf	ˈʁɑlˀf
cigaretten	siɡɑˈʁɛdən
stemple	ˈsdɛmblə
eleven	eˈleːˀvən
deodorant	deodoˈʁɑnˀd
delegerede	deləˈɡeːˀɐðə
smede	ˈsmeːðə
holdets	ˈhɐlˀəðs
fejret	ˈfɑjʁɐð
lænede	ˈlɛːnəðə
slankekur	ˈslɑŋɡəˌkuɐˀ
orientere	ɒiənˈteːˀɐ
mohammed	moˈhɑməð
stats	ˈsdaːˀds
anstrenger	ˈanˌsdʁɛŋˀɐ
fugt	ˈfɔɡd
hushjælp	ˈhuːsˌjɛlˀb
fordømme	fɒˈdœmˀə
håndværkere	ˈhɐnˌvɛɐɡɐɐ
udfyldte	ˈuðˌfylˀdə
hjertetilfælde	ˈjɛɐdətelˌfɛlˀə
indelukket	ˈenəˌlɔɡəð
rune	ˈʁuːnə
henvendte	ˈhɛnˌvɛnˀdə
juble	ˈjublə
lovgivning	ˈlɐwˌɡiːˀneŋ
ultra	ˈultʁɑ
aktie	ˈɑɡʃə
forløber	fɒˈløːˀbɐ
patruljere	patʁulˈjeːˀɐ
klat	ˈklad
skrigene	ˈsɡʁiːˀənə
mix	ˈmeɡs
kollaps	koˈlɑbs
lærredet	ˈlɛːɐðəð
hvorimod	ˈvɒːˀiˌmoðˀ
fortaler	ˈfɒːˌtaːlɐ
campingtur	ˈkambeŋˌtuɐˀ
førstepladsen	ˈfœɐsdəˌplasən
distribution	disdʁibuˈʃoːˀn
formiddags	ˈfɒːmiˌdaːˀs
nikke	ˈneɡə
lowe	ˈlɐwə
kraftværket	ˈkʁɑfdˌvɛɐɡəð
immigranter	imiˈɡʁɑnˀdɐ
rekognoscering	ʁekɐnoˈseɐˀeŋ
variation	vɑiaˈʃoːˀn
resultere	ʁesulˈteːˀɐ
rækkefølgen	ˈʁɛɡəˌføljən
toeren	ˈtoːˀɐɐn
dynamic	dɑjˈnamiɡ
sløset	ˈsløːsəð
diktere	diɡˈteːˀɐ
jule	ˈjuːlə
krebs	ˈkʁɛbs
lokalsamfundet	loˈkaːˀlsɑmˌfɔnˀəð
varmeste	ˈvɑːməsdə
teknologisk	tɛɡnoˈloːˀisɡ
overtagelse	ˈɐwɐˌtaːˀəlsə
tørster	ˈtœɐsdɐ
insider	ˈenˌsɑjdɐ
forvandlingen	fɒˈvanˀˌleŋˀən
gearkassen	ˈɡiɐˌkasən
brase	ˈbʁɑːsə
anonymitet	anonymiˈteːˀd
næsebor	ˈnɛːsəˌboɐˀ
organiske	ɒˈɡaːˀnisɡə
sladrehank	ˈslaðʁɐˌhɑŋˀɡ
velbefindende	ˈvɛlbəˌfenˀənə
kropssprog	ˈkʁɐbsˌsbʁɔwˀ
horehus	ˈhoːɐˌhuːˀs
undvegne	ˈɔnˌveːˀnə
infrarød	ˈenfʁɑˌʁøðˀ
ferdinand	ˈfɛɐˀdiˌnanˀ
medfølende	ˈmɛðˌføːˀlənə
justeret	juˈsdeːˀɐð
kastes	ˈkasdəs
fejlagtigt	fɑjˈlɑɡdid
kragerne	ˈkʁɑːwɐnə
fæstningen	ˈfɛsdˌneŋˀən
eskadrille	esɡaˈdʁiljə
århundredes	ɒːˈhunʁɐðəs
kikke	ˈkiɡə
undlad	ˈɔnˌlaðˀ
sydsiden	ˈsyðˌsiːðən
lagret	ˈlaːʁɐð
langsigtet	ˈlɑŋˌseɡdəð
vægte	ˈvɛɡdə
blodprøverne	ˈbloðˌpʁøːvɐnə
forretningspartner	fɒˈʁɛdneŋsˌpɑːdnɐ
krøb	ˈkʁøːˀb
uforsigtig	ufɒˈseɡdi
vaskemaskinen	ˈvasɡəmaˌsɡiːnən
kløgt	ˈkløɡd
forvrænget	fɒˈvʁɛŋˀəð
vulgær	vulˈɡɛɐˀ
tyrker	ˈtyɐˀɡɐ
topløs	ˈtɐbˌløːˀs
rytterne	ˈʁydɐnə
pågreb	ˈpɐˌɡʁeːˀb
zhang	ˈdjɑŋ
danskere	ˈdansɡɐɐ
synsvinkel	ˈsyːˀnsˌveŋˀɡəl
aflåst	ˈɑwˌlɔːˀsd
økologiske	økoˈloːˀisɡə
stykkerne	ˈsdøɡɐnə
hunner	ˈhunˀɐ
tjenerne	ˈtjɛːnɐnə
uddød	ˈuðˌdøðˀ
kønsdele	ˈkœnˀsˌdeːlə
fremlægger	ˈfʁɛmˌlɛɡɐ
bøffen	ˈbøfən
fordrukken	fɒˈdʁɔɡən
hovedrolle	ˈhoːəðˌʁɐlə
thing	ˈteŋˀ
tropisk	ˈtʁoːˀbisɡ
kraniebrud	ˈkʁɑːˀnjəˌbʁuð
afblæst	ˈɑwˌblɛːˀsd
inhalator	enhaˈlaːtɒ
korsfæstet	ˈkɒːsˌfɛsdəð
justitsminister	juˈsdidsmiˌnisdɐ
bess	ˈbɛs
oversæt	ˈɐwɐˌsɛd
ytringsfrihed	ˈydʁeŋsfʁiˌheðˀ
aviv	aˈviw
disko	ˈdisɡo
monitor	ˈmɐnitɒ
trust	ˈtʁuːˀsd
udrustet	ˈuðˌʁɔsdəð
ufarlig	ˈuˌfɑːli
juletid	ˈjuːləˌtiðˀ
finansierede	finanˈʃeːˀɐðə
tordenvejr	ˈtoɐdənˌvɛɐˀ
mas	ˈmaːˀs
etnisk	ˈɛdnisɡ
annullere	anuˈleːˀɐ
neurotisk	nœwˈʁoːˀdisɡ
tomrummet	ˈtɐmˌʁɔmˀəð
begivenheden	beˈɡiːˀvənˌheðˀən
erfaret	ɛɐˈfɑːˀɐð
udstråling	ˈuðˌsdʁɔːˀleŋ
vidundere	ˈviðˌɔnˀɐɐ
konkrete	kɐŋˈkʁeːˀdə
hentydning	ˈhɛnˌtyðˀneŋ
gnid	ˈɡniðˀ
strukturen	sdʁuɡˈtuːˀɐn
tilværelsen	ˈtelˌvɛːˀɐlsən
dokumenteret	doɡumɛnˈteːˀɐð
sygesikring	ˈsyːəˌseɡʁeŋ
flække	ˈflɛɡə
vandmelon	ˈvanməˌloːˀn
komplekst	kɐmˈplɛɡsd
kartoflerne	kɑˈtɐflɐnə
afstamning	ˈɑwˌsdɑmˀneŋ
cølibat	søliˈbaːˀd
saboterede	saboˈteːˀɐðə
toyota	toˈjoːta
terningen	ˈtɛɐˌneŋˀən
takle	ˈtɑɡlə
revnet	ˈʁɛwnəð
modtagelig	moðˈtaːˀəli
karret	ˈkɑːˀɐð
festerne	ˈfɛsdɐnə
skeer	ˈsɡeːɐ
arbejdes	ˈɑːˌbɑjˀdəs
gyldigt	ˈɡyldid
glasskår	ˈɡlasˌsɡɒːˀ
oprettede	ˈɐˌbʁɛdəðə
tysklands	ˈtysɡˌlanˀs
receptionist	ʁesɛbʃoˈnisd
rashid	ʁɑˈʃid
overvandt	ˈɐwɐˌvanˀd
michele	miˈʃɛl
illusionen	iluˈʃoːˀnən
ørne	ˈœɐnə
infektioner	enfɛɡˈʃoːˀnɐ
sværgede	ˈsvɛɐwəðə
vagthund	ˈvɑɡdˌhunˀ
konsekvensen	kɐnsəˈkvɛnˀsən
forlystelsespark	fɒˈløsdəlsəsˌpɑːɡ
møl	ˈmøl
björn	ˈbjœɐˀn
blinkende	ˈblenɡənə
lyshårede	ˈlyːsˌhɒːˀɐðə
blodtørstige	ˈbloðˌtœɐˌsdiːˀə
demens	deˈmɛnˀs
indrette	ˈenˌʁɛdə
skilsmisser	ˈsɡelˀˌsmisɐ
forlængelse	fɒˈlɛŋˀəlsə
åbenhed	ˈɔːbənˌheðˀ
småbørn	ˈsmɐˌbœɐˀn
knægtens	ˈknɛɡdəns
krater	ˈkʁɑːˀdɐ
psykiatere	syɡiˈaːˀdɐɐ
mareridtet	ˈmɑːɐˌʁidəð
groves	ˈɡʁɐwəs
stunts	ˈsdɐnds
skandalen	sɡanˈdaːlən
retsforfulgt	ˈʁɛdsfɒˌfulˀd
spiral	sbiˈʁɑːˀl
nordsiden	ˈnoɐˌsiːðən
bygningens	ˈbyˌɡneŋˀəns
forsvunden	fɒˈsvɔnˀən
forvirringen	fɒˈviːˀˌʁeŋˀən
samvær	ˈsɑmˌvɛɐˀ
bedømmer	beˈdœmˀɐ
beskederne	beˈsɡeðˀɐnə
henvender	ˈhɛnˌvɛnˀɐ
dampen	ˈdɑmˀbən
blitz	ˈblids
kongeriger	ˈkɐŋəˌʁiːɐ
spinder	ˈsbenˀɐ
solopgangen	ˈsoːlɐbˌɡɑŋˀən
support	suˈpɒːd
dåb	ˈdɔːˀb
elton	ˈɛlten
stødet	ˈsdøðˀəð
hundse	ˈhɔnsə
udnævnte	ˈuðˌnɛwˀndə
larver	ˈlɑːvɐ
oraklet	oˈʁɑɡləð
franck	ˈfʁɑŋˀɡ
abrahams	ˈaːbʁɑˌhɑms
opsejling	ˈɐbˌsɑjˀleŋ
antikrist	ˈantiˌkʁesd
lungen	ˈlɔŋən
bidrog	ˈbiˌdʁoːˀ
pia	ˈpiːa
uberegnelig	ubeˈʁɑjˀnəli
gådefulde	ˈɡɔːðəˌfulˀə
solbrillerne	ˈsoːlˌbʁelɐnə
vrangen	ˈvʁɑŋˀən
hovedmistænkt	ˈhoːəðmisˌtɛŋˀd
nektar	ˈnɛɡˌtɑːˀ
sovetryne	ˈsɐwəˌtʁyːnə
måner	ˈmɔːnɐ
fuldfører	ˈfulˌføːˀɐ
autocamperen	ˈɑwtoˌkaːmbɐɐn
logbog	ˈlɐɡˌbɔwˀ
gudinden	ɡuðˈenən
kometen	koˈmeːˀdən
modbevise	ˈmoðbəˌviːˀsə
salinger	ˈsalenˌdje
reservere	ʁesɛɐˈveːˀɐ
curt	ˈkuɐˀd
vige	ˈviːə
mysterie	myˈsdeɐˀjə
fusionen	fuˈʃoːˀnən
navngivet	ˈnɑwnˌɡiːˀəð
heraf	ˈheɐˀˌaː
draper	dʁɑˈpeɐˀ
krypten	ˈkʁybdən
offentlighedens	ˈɐfendliˌheðˀəns
ibrahim	ˈiːbʁɑhim
udretter	ˈuðˌʁɛdɐ
nærliggende	ˈnɛɐˌleɡənə
genopstandelse	ˈɡɛnɐbˌsdanˀəlsə
konfiskerede	kɐnfiˈsɡeːˀɐðə
næst	ˈnɛsd
hollandske	ˈhɐˌlanˀsɡə
befriende	beˈfʁiːˀənə
opdelt	ˈɐbˌdeːˀld
ricks	ˈʁeɡs
marlon	ˈmɑːlɐn
stub	ˈsdub
ihærdig	iˈhɛɐˀdi
biller	ˈbilɐ
påskønne	ˈpɐˌsɡœnˀə
kriminalkommissær	kʁimiˈnaːˀlkɐmiˌsɛɐˀ
trylleri	tʁyləˈʁiːˀ
fritiden	ˈfʁiˌtiðˀən
pansret	ˈpansʁɐð
invitationer	envitaˈʃoːˀnɐ
motorkontoret	ˈmoːtɒkɐnˌtoːˀɐð
kommoden	koˈmoːðən
velsigner	vɛlˈsiːˀnɐ
ophidser	ˈɐbˌhisɐ
urørlig	uˈʁœɐˀli
beate	beˈaːˀdə
dukkert	ˈdɔɡɐd
officeren	ɐfiˈseːˀɐn
bankboksen	ˈbɑŋɡˌbɐɡsən
gennemsnittet	ˈɡɛnəmˌsnidəð
hvalpene	ˈvalbənə
permanente	pɛɐmaˈnɛnˀdə
dong	ˈdɐŋ
kontinenter	kɐntiˈnɛnˀdɐ
distraherende	disdʁɑˈheːˀɐnə
lavine	laˈviːnə
receptionisten	ʁesɛbʃoˈnisdən
mortimer	ˈmɒːtimɐ
martine	mɑˈtiːnə
befrielse	beˈfʁiːˀəlsə
plankton	ˈplɑŋtɐn
introducerer	entʁoduˈseːˀɐ
gennemsnitlige	ˈɡɛnəmˌsnidˌliːˀə
knivene	ˈkniːvənə
saras	ˈsɑːʁɑs
spolerede	sboˈleːˀɐðə
billigste	ˈbilisdə
forstørre	fɒˈsdœːˀɐ
slettes	ˈslɛdəs
verdensmesterskabet	ˈvɛɐdənsmɛsdɐˌsɡaːˀbəð
genoplivet	ˈɡɛnɐbˌliːˀvəð
grufulde	ˈɡʁuːˌfulˀə
golfbane	ˈɡɐlˀfˌbaːnə
søges	ˈsøːəs
krølle	ˈkʁølə
bbc	beːbeːˈseːˀ
skørtejæger	ˈsɡœɐdəˌjɛːɐ
anstalt	ˈanˌsdalˀd
knoer	ˈknoːˀɐ
prikken	ˈpʁeɡən
motorhjelmen	ˈmoːtɒˌjɛlˀmən
bys	ˈbyːˀs
pornostjerne	ˈpɒːnoˌsdjɛɐnə
ajour	aˈʃuɐ
denis	ˈdɛnis
kiss	ˈkis
underholdt	ˈɔnɐˌhɐlˀd
asteroiden	asdəɐoˈiːðən
tænkning	ˈtɛŋɡneŋ
krydsord	ˈkʁysˌoɐˀ
bagels	ˈbɛjɡels
trues	ˈtʁuːəs
retningslinjer	ˈʁɛdneŋsˌlinjɐ
touch	ˈtɐdʃ
afspiller	ˈɑwˌsbelˀɐ
forpustet	fɒˈpuːˀsdəð
hjalmar	ˈjalˀmɑ
sygemeldt	ˈsyːəˌmɛlˀd
rygsøjlen	ˈʁøɡˌsɐjlən
sioux	ˈsuː
jets	ˈdjɛds
opsigt	ˈɐbˌseɡd
skolepige	ˈsɡoːləˌpiːə
elevatorer	eləvaˈtoːɐ
udgravningen	ˈuðˌɡʁɑwˀˌneŋˀən
åen	ˈɔːˀən
minimere	miniˈmeːˀɐ
mistro	ˈmisˌtʁoːˀ
berit	ˈbeɐid
bittert	ˈbedɐd
navlestrengen	ˈnɑwləˌsdʁɛŋˀən
hestesko	ˈhɛsdəˌsɡoːˀ
medlemskab	ˈmɛðlɛmˌsɡaːˀb
grækere	ˈɡʁeːˀɡɐɐ
instinktivt	ˈensdeŋˌtiwˀd
identiteten	idɛntiˈteːˀdən
græker	ˈɡʁeːˀɡɐ
jarlen	ˈjɑːˀlən
nørderne	ˈnœɐˀdɐnə
bombefly	ˈbɔmbəˌflyːˀ
rumskibe	ˈʁɔmˌsɡiːbə
neutralt	nɛwˈtʁɑːˀld
seruminstituttet	ˈseɐɔmensdiˌtudəð
niller	ˈnelˀɐ
ledede	ˈleːðəðə
resulterede	ʁesulˈteːˀɐðə
spilleren	ˈsbelɐɐn
nådige	ˈnɔːðˌiːˀə
anse	ˈanˌseːˀ
krigsstien	ˈkʁiːsˌsdiːˀən
elly	ˈɛli
forstoppelse	fɒˈsdɐbəlsə
hændelserne	ˈhɛnəlsɐnə
togene	ˈtɔwənə
hysteri	hysdəˈʁiːˀ
fitness	ˈfidnes
mordvåbenet	ˈmoɐˌvɔːˀbənəð
grejet	ˈɡʁɑjˀəð
dunke	ˈdɔŋɡə
samledes	ˈsɑmləðəs
ulykkeligt	uˈløɡəlid
zeuthen	ˈsɐjˀdən
import	emˈpɒːd
ideel	idəˈɛlˀ
eneboer	ˈeːnəˌboːˀɐ
slang	ˈslaːŋ
græshopper	ˈɡʁɛsˌhɐbɐ
fyrtårn	ˈfyɐˌtɒːˀn
bajere	ˈbɑjˀɐɐ
visionær	ˈviʃoˌnɛɐˀ
sangere	ˈsɑŋɐɐ
hykleri	hyɡləˈʁiːˀ
kølige	ˈkøːˌliːˀə
uregelmæssigheder	ˈuˌʁeːˀəlmɛsiˌheðˀɐ
absorbere	ɑbsɒˈbeːˀɐ
donner	ˈdɐnˀɐ
livskraft	ˈliwsˌkʁɑfd
impulsivt	ˈempulˌsiwˀd
medvirke	ˈmɛðˌviɐɡə
bermuda	bɛɐˈmuːda
levy	ˈleːvi
begavede	beˈɡaːˀvəðə
folden	ˈfɐlˀən
skalkeskjul	ˈsɡalɡəˌsɡjuːˀl
perlerne	ˈpɛɐlɐnə
ambulancer	ɑmbuˈlɑŋsɐ
ansøgninger	ˈanˌsøːˀˌneŋˀɐ
kompagnoner	ˈkɐmbaˌnjɐŋˀɐ
pistolskud	piˈsdoːˀlˌsɡuð
fristelser	ˈfʁesdəlsɐ
ventilen	vɛnˈtiːˀlən
beretning	beˈʁɛdneŋ
drømmepige	ˈdʁɐməˌpiːə
vellidt	ˈvɛlˌlid
bæltestedet	ˈbɛldəˌsdɛðˀəð
trylledrik	ˈtʁyləˌdʁeɡ
sikkerhedsforanstaltninger	ˈseɡɐhəðsfɒanˌsdalˀdˌneŋˀɐ
blodprøven	ˈbloðˌpʁøːvən
livsfarlig	ˈliwsˌfɑːli
konkurrencer	kɐŋɡuˈʁɑŋsɐ
efteraber	ˈɛfdɐˌaːˀbɐ
nada	ˈnaːda
drikken	ˈdʁeɡən
autorisation	ɑwtoɐisaˈʃoːˀn
fedter	ˈfedɐ
nicolas	ˈneɡolas
mobning	ˈmɐbneŋ
hønsene	ˈhœnˀsənə
henning	ˈhɛneŋ
omslag	ˈɐmˌslaːˀ
kvalmende	ˈkvalmənə
hedning	ˈheðneŋ
marsvin	ˈmɑːˌsviːˀn
kompenserer	kɐmbənˈseːˀɐ
afspærringen	ˈɑwˌsbɛːˀˌʁeŋˀən
konerne	ˈkoːnɐnə
tremmerne	ˈtʁɛmɐnə
arabien	ɑˈʁɑːˀbjən
pumperne	ˈpɔmbɐnə
dukkerne	ˈdɔɡɐnə
sikkerhedsbæltet	ˈseɡɐhəðsˌbɛldəð
kolera	ˈkoːˀləˌʁɑ
dusinvis	duˈsiːˀnˌviːˀs
pudsede	ˈpusəðə
serverne	ˈsœːvɐnə
velsignelser	vɛlˈsiːˀnəlsɐ
patriotisme	patʁioˈtismə
udstødningen	ˈuðˌsdøðˀˌneŋˀən
skæl	ˈsɡɛlˀ
pilgrimme	ˈpilˌɡʁemə
jacky	ˈdjaki
geometri	ɡeoməˈtʁiːˀ
frelste	ˈfʁɛlˀsdə
rendt	ˈʁɛnˀd
kænguru	kɛŋˈɡuːʁu
spredning	ˈsbʁeðneŋ
indvie	ˈenˌviːˀ
meddelere	ˈmɛðˌdeːˀlɐɐ
laugesen	ˈlɑwɡəsən
slagsmålet	ˈslɑwsˌmɔːˀləð
sirenen	siˈʁeːnən
fragter	ˈfʁɑɡdɐ
bevidste	beˈvesdə
forsamlingen	fɒˈsɑmˀˌleŋˀən
vandring	ˈvɑndʁeŋ
strejf	ˈsdʁɑjˀf
schweizisk	ˈsvɑjˀdsisɡ
gebyr	ɡeˈbyɐˀ
initiativet	initiaˈtiːˀvəð
rampe	ˈʁɑmbə
windsor	ˈwenˌsɐ
forske	ˈfɒːsɡə
identificeres	idɛntifiˈseːˀɐs
gennemsnitlig	ˈɡɛnəmˌsnidli
formodning	fɒˈmoðˀneŋ
opstilling	ˈɐbˌsdelˀeŋ
snothvalp	ˈsnɐdˌvalˀb
ork	ˈɒːˀɡ
patruljevogn	paˈtʁuljəˌvɐwˀn
koncentrationen	kɐnsəntʁɑˈʃoːˀnən
forpost	ˈfɒːˌpɐsd
krigeren	ˈkʁiːɐɐn
træthed	ˈtʁɛdˌheðˀ
satsning	ˈsadsneŋ
omslaget	ˈɐmˌslaːˀəð
hjemsøgte	ˈjɛmˌsøɡdə
kvadrant	kvaˈdʁɑnˀd
stønnen	ˈsdœnən
søsyg	ˈsøːsyːˀ
førend	ˈfœɐˀˌɛn
krystallerne	kʁyˈsdalˀɐnə
herkomst	ˈhɛɐˌkɐmˀsd
blanca	ˈblɑŋɡa
indretning	ˈenˌʁɛdneŋ
gill	ˈɡil
tud	ˈtuðˀ
frisbee	ˈfʁisbi
vandrende	ˈvɑndʁɐnə
atombomber	aˈtoːˀmˌbɔmbɐ
strategiske	sdʁɑˈteːˀɡisɡə
fælt	ˈfɛːˀld
mistanken	ˈmisˌtɑŋɡən
adskillelse	ˈaðˌsɡelˀəlsə
marino	mɑˈʁiːno
højdepunktet	ˈhɐjˀdəˌpɔŋˀdəð
udhvilet	ˈuðˌviːˀləð
mislykkede	ˈmiˌsløɡəðə
sørensen	ˈsœːˀɐnsən
fortællinger	fɒˈtɛlˀˌeŋˀɐ
oprørte	ˈɐbˌʁœɐˀdə
kæmpende	ˈkɛmbənə
fjendtlighed	ˈfjendliˌheðˀ
billioner	bilˈjoːˀnɐ
hung	ˈhɔŋ
linser	ˈlensɐ
kiosk	kiˈɐsɡ
udspurgt	ˈuðˌsbuɐˀd
sidelæns	ˈsiːðəˌlɛnˀs
stahl	ˈʃdɑːl
fæhoved	ˈfɛːˀˌhoːəð
marcherede	mɑˈʃeːˀɐðə
partners	ˈpɑːdnɐs
luftvåben	ˈlɔfdˌvɔːˀbən
forneden	fɒˈneːðən
caribien	kɑˈʁiːˀbjən
lagkage	ˈlɑwˌkaːə
gardinet	ɡɑˈdiːˀnəð
dominans	domiˈnanˀs
uvist	ˈuˌvesd
holdspiller	ˈhɐlˀˌsbelɐ
fotograferede	fotoɡʁɑˈfeːˀɐðə
firkantet	ˈfiɐˌkanˀdəð
blomstrende	ˈblɐmsdʁɐnə
sygepasser	ˈsyːəˌpasɐ
hebraisk	heˈbʁɑːˀisɡ
uddannelsen	ˈuðˌdanˀəlsən
revolvermand	ʁeˈvɐlˀvɐˌmanˀ
stær	ˈsdɛɐˀ
filet	fiˈle
chateau	ʃaˈto
hæmmet	ˈhɛməð
bizar	biˈsɑːˀ
demonstrationer	demɐnsdʁɑˈʃoːˀnɐ
higer	ˈhiːɐ
fascist	faˈsisd
ristede	ˈʁesdəðə
stimulerende	sdimuˈleːˀɐnə
eunice	ˈjuːnis
synden	ˈsønˀən
elektriker	eˈlɛɡtʁiɡɐ
ludwig	ˈluðˀvi
