# Welsh LEXICON — word<TAB>IPA, for words the rules mis-derive (per-word ⟨ae⟩/⟨ai⟩ quality, ⟨y⟩-obscure
# irregulars, loan vowels, monosyllable length). kaikki.org Wiktionary Welsh (CC-BY-SA), NORTH-WALES pron,
# stress re-placed to our convention. Regen: tools/gen/build-cy-kaikki-dict.mts.
a	ˈaː
pegwn	pˈɛɡʊn
peintiwr	pˈeᶦntjʊr
peintwyr	pˈeᶦntwɨr
peiriannydd	peᶤrjˈanɨð
peli	pˈɛlɪ
pellter	pˈɛɬdɛr
pencampwr	pɛŋkˈampʊr
pencampwriaeth	pˌɛŋkampˈʊrjaᶤθ
pencampwyr	pɛŋkˈampwɨr
pendefig	pɛndˈɛvɪɡ
penfelynwyrdd	pˌɛnvɛlˈənwɨrð
penglog	pˈɛŋɡlɔɡ
pengoch	pˈɛŋɡɔχ
pengwin	pˈɛŋɡwɪn
penillion	pɛnˈɪɬjɔn
pennill	pˈɛnɪɬ
pensaer	pˈɛnsaːᶤr
pensaernïaeth	pˌɛnsaᶤrnˈiːaᶤθ
pensil	pˈɛnsɪl
petroliwm	pɛtrˈɔljʊm
petryal	pɛtrˈɨːal
pharti	fˈartɪ
phartner	fˈartnar
pheidio	feˈidjɔ
phencampwriaeth	fˌɛŋkampˈʊrjaᶤθ
phenglog	fˈɛŋɡlɔɡ
phoeth	fˈoːᶤθ
phrifddinas	friːvðˈɪnas
phriodi	friˈɔdi
phwysig	fˈʊᶤsɪɡ
pibell	pˈɪbɛɬ
pibgorn	pˈɪbɡɔrn
pibydd	pˈɪbɨð
pic	pˈɪk
picell	pˈɪkɛɬ
picoch	pˈɪkɔχ
pidyn	pˈɪdɨn
pigddu	pˈɨɡðɨ
pigfain	pˈɪɡvaᶦn
pigfelyn	pɨɡvˈɛlɨn
piglas	pˈɪɡlas
pigyn	pˈɪɡɨn
pila	pˈɪla
pilen	pˈɪlɛn
pin	pˈiːn
pinc	pˈɪŋk
pincod	pˈɪŋkɔd
pinwydd	pˈɪnwɨð
piod	pˈiːɔd
pip	pˈɪp
piper	pˈɪpɪd
piso	pˈɪsɔ
piston	pˈɪsdɔn
piwi	pˈɪᶷɪ
piws	pˈɪᶷs
plaen	plˈaːᶤn
planhigion	planhˈɪɡjɔn
planhigyn	planhˈɪɡɨn
plastig	plˈasdɪɡ
platinwm	platˈɪnʊm
plisgyn	plˈɪsɡɨn
plismon	plˈɪsmɔn
plismyn	plˈɪsmɨn
plymiwr	plˈəmjʊr
pob	pˈoːb
poen	pˈoːᶤn
poeni	pˈɔᶤnɪ
poeth	pˈoːᶤθ
poethi	pˈɔᶤθɨ
polisi	pɔlˈɪsi
posib	pˈɔsɪb
post	pˈoːsd
posteri	pɔsdˈɛri
postio	pˈɔsdjɔ
potasiwm	pɔtˈasjʊm
potel	pˈɔtal
prancio	prˈaŋkjɔ
presgripsiwn	prɛsɡrˈɪpʃʊn
prifardd	prˈɪvarð
prifathrawes	prˌɪvaθrˈaᶷɛs
prifathro	prɪvˈaθrɔ
prifddinas	priːvðˈɪnas
priffordd	prˈɪfɔrð
prin	prˈɪn
prinder	prˈɪnder
printio	prˈɪntjɔ
priod	prˈiɔd
proffidiol	prɔfˈɪdjɔl
protest	prˈɔtɛsd
protestio	prɔtˈɛsdjɔ
prysg	prˈɨːsɡ
prysglwyni	prəsɡlˈʊᶤnɪ
prysgwydd	prˈɨsɡwɨð
pur	pˈɨːr
pwerdy	puˈɛrdɨ
pweru	pʊˈɛrɨ
pwmpen	pˈʊmpan
pwnc	pˈʊŋk
pwy	pˈuːᶤ
pwyll	pˈuːᶤɬ
pwynt	pˈuːᶤnt
pwys	pˈuːᶤs
pwysig	pˈʊᶤsɪɡ
pwysigrwydd	pʊᶤsˈɪɡrʊᶤð
pwyth	pˈuːᶤθ
pyramid	pɨrˈamɪd
pâst	pˈaːsd
recriwtiaid	rɛkrˈɪᶷtjaᶦd
refferendwm	rˌɛfɛrˈɛndum
restr	rˈɛsdr
rew	rˈeːᶷ
rhaeadr	r̥ˈeᶤadr
rhag	r̥ˈaɡ
rhaglen	r̥ˈaɡlan
rhaglenni	r̥aɡlˈɛnɪ
rhagori	r̥aɡˈɔrɪ
rhagrith	r̥ˈaɡrɪθ
rhaw	r̥ˈaːᶷ
rheini	r̥ˈeᶦnɪ
rheol	r̥ˈeːɔl
rheoli	r̥ɛˈɔlɪ
rhestr	r̥ˈɛsdr
rhestri	r̥ˈɛsdri
rhew	r̥ˈeːᶷ
rhewi	r̥ˈɛᶷɪ
rhewlif	r̥ˈɛᶷlɪv
rhewlifoedd	r̥ɛᶷlˈɪvɔᶤð
rhiain	r̥ˈiaᶦn
rhiant	r̥ˈiːant
rhifo	r̥ˈɪvɔ
rhigol	r̥ˈɪɡɔl
rhin	r̥ˈiːn
rhingyll	r̥ˈɨnɡɨɬ
rhinoseros	r̥ˌɪnɔsˈɛrɔs
rhiw	r̥ˈɪᶷ
rhosmari	r̥ɔsmˈarɪ
rhostio	r̥ˈɔsdjɔ
rhwyd	r̥ˈuːᶤd
rhwydd	r̥ˈuːᶤð
rhwyf	r̥ˈuːᶤv
rhwyg	r̥ˈuːᶤɡ
rhwyll	r̥ˈuːᶤɬ
rhwym	r̥ˈuːᶤm
rhwysg	r̥ˈuːᶤsɡ
rhwystr	r̥ˈʊᶤsdr
rhwystredig	r̥ʊᶤsdrˈɛdɪɡ
rhwystro	r̥ˈʊᶤsdrɔ
rhyddfreiniwr	r̥əðvrˈeᶦnjʊr
rhyddfrydiaeth	r̥ˌɪðvrɪðjˈaɪθ
rhyddfrydol	r̥ɨːðvrˈədɔl
rhyddhad	r̥ˈəðhaːd
rhyddid	r̥ˈəðɪd
rhyfelwyr	r̥əvˈɛlwɨr
rhyngwladol	r̥əŋwlˈadɔl
rhywogaeth	r̥ɪᶷˈɔɡaᶤθ
roedd	rˈoːᶤð
rwyd	rˈuːᶤd
rwyf	rˈuːᶤv
rwyt	rˈuːᶤt
ryddid	rˈəðɪd
rydw	rˈədu
ryfelwyr	rəvˈɛlwɨr
saer	sˈaːᶤr
saeth	sˈaːᶤθ
saethu	sˈeᶤθɨ
saethwr	sˈeᶤθʊr
saethwyr	sˈeᶤθwɨr
saethyddiaeth	seᶤθˈəðjaᶤθ
safonedig	sˌavɔnˈɛdɪɡ
salw	sˈalu
sanctaidd	sˈaŋktaᶦð
sancteiddrwydd	saŋktˈeᶦðrʊᶤð
sarhad	sˈarhaːd
sarhaus	sˈarhaᶤs
sbeislyd	sbˈeᶤslɨd
sberm	spˈɛrm
sboncen	sbˈɔŋkɛn
sbring	sbrˈɪŋ
sbriws	sbrˈɪᶷs
sect	kˈarvan
sefyllfaoedd	sˌɛvəɬvˈaːɔᶤð
seiclwyr	sˈeᶦklwɨr
seidr	sˈeᶦdɪr
selsig	sˈɛlsɪɡ
sgil	sɡˈiːl
sgiwen	sɡˈiᶷɛn
sgrin	sɡrˈiːn
sgwad	sɡwˈad
sgwrs	sɡˈʊrs
sgìl	sɡˈɪl
siani	ʃˈanɪ
siaradwyr	ʃarˈadwɨr
sicr	sˈɪkɪr
sicrwydd	sˈɪkrʊᶤð
sidan	sˈɪdan
sidanaidd	sɪdˈanaᶦð
sied	ʃˈɛd
sifil	sˈɪvɪl
silff	ʃˈɪlf
silicon	sɪlˈɪkɔn
silindr	sˈɪlɪndr
sillaf	sˈɪɬav
sillafu	sɪɬˈavɨ
silwair	sˈɪlwaᶦr
sin	sˈiːn
sinc	sˈɪŋk
sinema	sɪnˈɛma
sinsir	sˈɪnsɪr
sioe	ʃˈoːᶤ
siomedig	ʃɔmˈɛdɪɡ
sionc	ʃˈɔŋk
siopwyr	ʃˈɔpwɨr
sirol	sˈɪrɔl
siwr	ʃˈuːr
siwt	sˈɪᶷt
sodiwm	sˈɔdjʊm
solid	sˈɔlɪd
sorgwm	sˈɔrɡʊm
stadiwm	sdˈadjʊm
staen	sdˈaːᶤn
staff	sdˈaf
stamp	sdˈamp
stemar	sdˈɛmar
stemio	sdˈɛmjɔ
stigma	stˈɪɡma
stiwdio	sdˈɪᶷdjɔ
stopio	sdˈɔpjɔ
stori	sdˈɔrɪ
storm	sdˈɔrm
straeon	sdrˈeᶤɔn
streic	sdrˈeᶦk
streicio	sdrˈeᶦkjɔ
streip	sdrˈeᶦp
strwythur	sdrˈʊᶤθɨr
strwythuro	sdrʊᶤθˈɨrɔ
stryd	sdrˈɨːd
stwnsh	sdˈʊnʃ
stêm	sdˈeːm
stŵr	sdˈuːr
sur	sˈɨːr
sustem	sˈɨsdɛm
swil	swˈɪl
swllt	sˈuːɬd
swydd	sˈuːᶤð
swyddfeydd	sˈʊᶤðveᶤð
swyn	sˈuːᶤn
sy	sˈɨː
sydd	sˈɨːð
sylfaenol	səlvˈeᶤnɔl
sylw	sˈɨlʊ
symbol	sˈɨmbɔl
syn	sˈɨːn
synagog	sɨnˈaɡɔɡ
synnwyr	sˈənwɨr
synthesis	sɨnθˈɛsɪs
system	sˈɨsdɛm
sïedn	sˈiːɛdn
ta	tˈa
tab	tˈab
taeog	tˈeᶤɔɡ
tanbaid	tˈambaᶦd
taniwr	tˈanjʊr
tanwydd	tˈanwɨð
targed	tˈarɡad
tarw	tˈaru
tegwch	tˈɛɡʊχ
teirw	tˈeᶦru
telid	tˈɛlɪd
telir	tˈɛlɪr
terfysgwr	tɛrvˈəsɡʊr
testun	tˈɛsdɨn
tew	tˈeːᶷ
tewbig	tˈɛᶷbɪɡ
teyrn	tˈeᶤrn
teyrnas	tˈeᶤrnas
teyrnged	tˈeᶤrŋɡɛd
thematig	θɛmˈatɪɡ
theyrnas	θˈeᶤrnas
thipyn	θˈɪpɨn
thraed	θrˈaːᶤd
thraeth	θrˈaːᶤθ
thrigain	θrˈɪɡaᶦn
thriongl	θrˈiːɔŋl
throed	θrˈoːᶤd
throes	θrˈoːᶤs
thrwyn	θrˈuːᶤn
thywyll	θˈəᶷɨɬ
tila	tˈɪla
timoedd	tˈɪmɔᶤð
tin	tˈiːn
tinfelyn	tɪnvˈɛlɨn
tingoch	tˈɪŋɡɔχ
tipyn	tˈɪpɨn
tir	tˈiːr
tiroedd	tˈɪrɔᶤð
titw	tˈɪtʊ
titwod	tˈɪtwɔd
tiwb	tˈɪᶷb
tiwtor	tˈɪᶷtɔr
toddi	tˈɔðɪ
toes	tˈoːᶤs
tomi	tˈɔmɪ
torri	tˈɔrɪ
tost	tˈoːsd
traean	trˈeᶤan
traed	trˈaːᶤd
traeth	trˈaːᶤθ
traethawd	trˈeᶤθaᶷd
traethu	trˈeᶤθɨ
traw	trˈaːᶷ
trawst	trˈaᶷsd
trefedigaeth	trˌɛvɛdˈɪɡaᶤθ
treiddio	treˈiðjɔ
trew	trˈeːᶷ
triawd	trˈiːaᶷd
tric	trˈɪk
trigain	trˈɪɡaᶦn
trigo	trˈɪɡɔ
trilliw	trˈɪɬɪᶷ
trin	trˈiːn
triniaeth	trˈɪnjaᶤθ
triongl	trˈiːɔŋl
trist	trˈiːsd
tristwch	trˈɪsdʊχ
troed	trˈoːᶤd
troelli	trˈɔᶤɬɪ
troes	trˈoːᶤs
tros	trˈɔs
trueni	triˈɛnɨ
trwsio	trˈʊsjɔ
trwstan	trˈʊsdan
trwy	trˈuːᶤ
trwyn	trˈuːᶤn
trwyth	trˈuːᶤθ
tryfesur	trəmˈɛsɨr
tryloyw	trəlˈɔᶤʊ
tryloywder	trəlˈɔᶤwdɛr
trywydd	trˈəᶷɨð
tsili	tʃˈɪlɪ
tsimpansî	tʃɪmpˈansiː
tua	tˈɨːa
tuag	tˈɨːaɡ
tuedd	dˈɨːɛð
twinc	twˈɪŋk
twyll	tˈuːᶤɬ
tybiwyd	tˈəbjʊᶤd
tyst	tˈɨːsd
tystio	tˈəsdjɔ
tywod	tˈəwɔd
tywodfaen	təᶷˈɔdvaᶤn
tywydd	tˈəᶷɨð
tywyll	tˈəᶷɨɬ
tywyllu	təᶷˈəɬɨ
tywyn	tˈəwɨn
ucheldir	ɨχˈɛldɪr
uchelwydd	ɨχˈɛlwɨð
ugain	ˈɪɡaᶦn
ugeinfed	ɪɡˈeᶦnvɛd
unedig	ɨnˈɛdɪɡ
ungellog	amlɡˈɛɬɔɡ
unig	ˈɨnɪɡ
unigol	ɨnˈɪɡɔl
unigolyn	ˌɨnɪɡˈɔlɨn
uniongyrchol	ˌɨnjɔŋɡˈərχɔl
unir	ˈɨnɪr
unit	ˈɨnɪt
unrhyw	ˈɨnr̥ɨᶷ
urddwisg	ˈɨrðwɪsɡ
us	ˈɨs
ustus	ˈɨsdɨs
uwch	ˈɨᶷχ
uwchben	ˈɨᶷχbɛn
uwchlaw	ˈɨᶷχlaːᶷ
uwchradd	ˈɨᶷχrað
uwchraddiad	ɨᶷχrˈaðjad
uwchraddio	ɨᶷχrˈaðjɔ
uwd	ˈɨᶷd
wael	wˈaːᶤl
wallt	wˈaːɬd
wanwyn	wˈanwɨn
wddw	ˈʊðu
weddïo	wɛðˈɪɔ
weinidog	weᶦnˈɪdɔɡ
weinidogion	wˌeᶦnɪdˈɔɡjɔn
weithiwr	wˈeᶦθjʊr
weledig	wɛlˈɛdɪɡ
wenith	wˈɛnɪθ
weriniaeth	wɛrˈɪnjaᶤθ
werinwyr	wɛrˈɪnwɨr
win	wˈiːn
winwns	wˈɪnʊns
wlad	wlˈaːd
wladfa	wlˈadva
wladgarol	wladɡˈarɔl
wledydd	wlˈɛdɨð
wlyb	wlˈɨːb
wna	wnˈaː
wnaethon	wnˈeᶤθɔn
wnes	wnˈeːs
wrando	wrˈandɔ
wraniwm	ʊrˈanjʊm
wreiddiol	wrˈeᶦðjɔl
wres	wrˈeːs
wresogi	wrɛsˈɔɡɪ
wrthi	ˈʊrθɪ
wrywaidd	ʊrˈəᶷaᶦð
wy	ˈuːᶤ
wybod	wˈɨbɔd
wybodaeth	wəbˈɔdaᶤθ
wych	wˈɨːχ
wydr	wˈɨdr
wyf	ˈuːᶤv
wyn	wˈɨn
wynepgoch	ʊᶦnˈɛpɡɔχ
wynt	wˈɨnt
wys	wˈɨːs
wysg	ˈuːᶤsɡ
wystl	wˈɨsdl
wyth	ˈuːᶤθ
ymaelodi	ˌəmeᶤlˈɔdɪ
ymaith	ˈəmaːᶤθ
ymarfer	əmˈarvar
ymbil	ˈəmbɪl
ymddeol	əmðˈeːɔl
ymddiddan	əmðˈɪðan
ymddiddori	ˌəmðɪðˈɔrɪ
ymddiheuro	ˌəmðɪhˈeᶤrɔ
ymddiried	əmðˈɪrjɛd
ymdoddi	əmdˈɔðɪ
ymdreiddio	ˌəmdreˈiðjɔ
ymenyn	mˈɛnɨn
ymestyn	əmˈɛsdɨn
ymffrostio	əmfrˈɔsdjɔ
ymgeiswyr	əmɡˈeᶦswɨr
ymgorffori	ˌəmɡɔrfˈɔrɪ
ymgyfarwyddo	ˌəmɡəvarwˈɨðɔ
ymgynnull	əmɡˈənɪɬ
ymhen	ˈəm̥ɛn
ymhlith	ˈəm̥liːθ
ymladdfeydd	əmlˈaðveᶤð
ymladdwyr	əmlˈaðwɨr
ymysg	ˈəmɨːsɡ
ynni	ˈənɪ
ysbrydolrwydd	ˌəsbrədˈɔlruᶤð
ysbïo	əsbˈiːɔ
ysgallen	sɡˈaɬan
ysgrif	ˈəsɡrɪv
ysgrifbin	əsɡrˈɪvbɪn
ysgrifennodd	sɡwˈɛnɔð
ysgrifennydd	ˌəsɡrɪvˈɛnɨð
ysgrifenyddes	ˌəsɡrɪvɛnˈəðɛs
ysmygwr	əsmˈəɡʊr
ystad	ˈəsdad
ystlum	ˈəsdlɨm
ystlys	ˈəsdlɨs
ystod	ˈəsdɔd
ystrad	ˈəsdrad
ystryw	ˈəsdrɨᶷ
ystyr	ˈəsdɨr
ystyriaeth	əsdˈərjaᶤθ
ystyried	əsdˈərjɛd
â	ˈa
âi	ˈaːᶦ
ïodin	iːˈɔdɪn
ïon	ˈiːɔn
ŵydd	ˈuːᶤð
ŵyl	ˈuːᶤl
ŵyn	ˈuːᶤn
ŵyr	ˈuːᶤr
