# Punjabi CROSS-SCRIPT restoration lexicon — real Shahmukhi spelling ⇥ GOLD canonical IPA.
# The IPA comes from the VOWELED Gurmukhi sister-spelling (kaikki dual-script pairs) via our Gurmukhi g2p,
# so it restores the short vowels + majhūl و/ی + retroflex ن/ݨ the Shahmukhi abjad drops. CC-BY-SA (kaikki).
# SECOND SOURCE: pa↔pnb Wikipedia TITLE pairs (Wikidata sitelinks; 18,930 dual-wiki articles), word-aligned
# positionally when token counts match — every pair clears the same skeleton gate (a re-worded title
# differs in its plain consonants and is dropped: ਮਹਾਤਮਾ/موہن). Titles are CC-BY-SA like the rest.
# Consonant-skeleton gated. Regenerate: tools/perso-arabic/build_gurmukhi_shahmukhi.ts
آؤچ	ˈaːʊt͡ʃ
شرین	ʃəɾˈiːn
شرینواسن	ʃɾiːnɪʋˈaːsən
شریپاد	ʃəɾiːpˈaːd̪
شریکانت	ʃɾiːkˈãn̪t̪
شرییانکا	ʃɾiːjˈãŋkaː
شستر	ʃˈəst̪əɾ
ششی	ʃˈəʃiː
شعلے	ʃˈoːleː
شعیب	ʃˈoːɪb
شفائی	ʃəfˈaːiː
شفتل	ʃˈəft̪əl
شفقت	ʃˈəfqət̪
شفیع	ʃˈəfiː
شلاگھا	ʃəlˈaː˥˩ɡaː
شلر	ʃˈɪləɾ
شلمالی	ʃaːlˈəmliː
شلپا	ʃˈɪlpaː
شمار	ʃʊmˈaːɾ
شمبورسکا	ʃˈɪ̃mboːɾəskaː
شمتا	ʃˈəmt̪aː
شمس	ʃˈəməs
شمسی	ʃˈəmsiː
شمشاد	ʃəmʃˈaːd̪
شمشان	ʃəmʃˈaːn
شمشیر	ʃəmʃˈiːɾ
شمع	ʃˈəmaː
شملا	ʃˈɪmlaː
شملہ	ʃˈɪmlaː
شموئل	ʃəmuːˈeːl
شمیتا	ʃˈəmɪt̪aː
شمیل	ʃəmˈiːl
شمیم	ʃəmˈiːm
شمیمہ	ʃaːmˈiːmaː
شن	ʃˈʊn
شناخت	ʃənˈaːxət̪
شناختی	ʃənˈaːxt̪iː
شناواترا	ʃɪnaːʋaːt̪ˈaːɾaː
شندے	ʃˈɪ̃n̪d̪eː
شنکر	ʃˈə̃ŋkəɾ
شنگو	ʃˈɪ̃ŋɡoː
شنگھائی	ʃˈə̃˥˩ŋɡaːiː
شنگیٹ	ʃɪ̃ŋɡˈeːʈ
شوا	ʃˈɪʋaː
شوال	ʃəʋˈaːl
شوالک	ʃɪʋˈaːlɪk
شوبرت	ʃˈuːbɾəʈ
شوبھا	ʃˈoː˥˩baː
شوبھانگی	ʃʊ˥˩bˈãŋɡiː
شوجی	ʃˈʊd͡ʒiː
شوخا	ʃˈoːxaː
شودر	ʃˈuːd̪əɾ
شورش	ʃˈoːɾɪʃ
شوری	ʃˈoːɾeː
شوماکر	ʃuːmˈaːkəɾ
شونٹر	ʃˈɔ̃ɳʈəɾ
شووانا	ʃoːʋˈaːnaː
شوک	ʃˈoːk
شوکت	ʃˈɔːkət̪
شوکلے	ʃˈɔːkliː
شوگون	ʃˈoːɡʊn
شویتا	ʃəʋˈeːt̪aː
شٹ	ʃˈəʈ
شپرا	ʃˈɪpɾaː
شک	ʃˈəkː
شکار	ʃɪkˈaːɾ
شکارا	ʃɪkˈaːɾaː
شکاگو	ʃɪkˈaːɡoː
شکتی	ʃˈəkt̪iː
شکر	ʃˈəkːəɾ
شکرا	ʃˈɪkɾaː
شکروار	ʃʊkːəɾʋˈaːɾ
شکرہ	ʃˈɪkɾaː
شکلا	ʃˈʊklaː
شکنتلا	ʃəkˈʊ̃n̪t̪əlaː
شکور	ʃəkˈuːɾ
شکوہ	ʃɪkˈoːɦ
شکھا	ʃˈɪkʰaː
شکیب	ʃaːkˈeːb
شکیرا	ʃaːkˈeːɾaː
شکیل	ʃəkˈiːl
شگر	ʃˈʊɡəɾ
شگرد	ʃˈəɡɪɾəd̪
شگفتہ	ʃəɡˈʊft̪aː
شگمو	ʃˈɪɡmoː
شگن	ʃˈəɡən
شگون	ʃˈəɡʊn
شہاب	ʃəɦˈaːb
شہادت	ʃəɦˈaːd̪ət̪
شہباز	ʃəɦɪbˈaːz
شہد	ʃˈəɦɪd̪
شہر	ʃˈəɦɪɾ
شہراں	ʃˈəɦɪɾã
شہرزاد	ʃəɦɪɾzˈaːd̪
شہروں	ʃˈəɦɪɾõ
شہری	ʃˈəɦɪɾiː
شہریار	ʃəɦɪɾjˈaːɾ
شہریت	ʃəɦɪɾˈiːət̪
شہزاد	ʃəɦɪzˈaːd̪
شہزادا	ʃˈaːɦzaːd̪aː
شہزادہ	ʃəɦɪzˈaːd̪aː
شہزادی	ʃəɦɪzˈaːd̪iː
شہزادے	ʃəɦzˈaːd̪eː
شہلا	ʃˈaːɦlaː
شہنائی	ʃəɦɪnˈaːiː
شہناز	ʃəɦɪnˈaːz
شہنشاہ	ʃəɦɪnʃˈaːɦ
شہید	ʃəɦˈiːd̪
شہیدی	ʃəɦˈiːd̪iː
شہین	ʃəɦˈiːn
شی	ʃˈiː
شیاما	ʃəjˈaːmaː
شیبا	ʃˈeːbaː
شیتل	ʃˈiːt̪əl
شیخ	ʃˈeːx
شیخوپورا	ʃeːxˈuːpʊɾaː
شیر	ʃˈeːɾ
شیراز	ʃiːɾˈaːz
شیرازی	ʃeːɾˈaːziː
شیرانی	ʃɪɾˈaːniː
شیراکامی	ʃɪɾˈaːkmiː
شیرل	ʃˈeːɾɪl
شیرمال	ʃˈiːɾməl
شیرمین	ʃˈeːɾmən
شیروانی	ʃˈeːɾʋaːniː
شیرپا	ʃˈeːɾpaː
شیرگل	ʃˈeːɾɡɪlː
شیری	ʃˈɛːɾiː
شیریں	ʃˈiːɾĩ
شیزہ	ʃˈiːzaː
شیش	ʃˈiːʃ
شیشا	ʃˈiːʃaː
شیشناگ	ʃeːʃnˈaːɡ
شیشہ	ʃˈiːʃaː
شیطان	ʃɛːt̪ˈaːn
شیلا	ʃˈiːlaː
شیلی	ʃˈɛːliː
شیمونوسیکی	ʃɪmoːnˈoːskiː
شیمپین	ʃãmpˈeːn
شین	ʃˈeːn
شینا	ʃˈiːnaː
شینائے	ʃɪnˈoːeː
شینجینی	ʃˈɪ̃ɲd͡ʒɪniː
شینزین	ʃeːnzˈeːn
شینل	ʃənˈɛːlː
شینکی	ʃˈɪ̃ŋkaːiː
شیٹی	ʃˈɛːʈiː
شیپلے	ʃˈeːpleː
شیک	ʃˈeːk
شیکائی	ʃɪkˈaːiː
شیکسپیر	ʃeːkəspˈiːəɾ
شیکوکو	ʃɪkˈoːkuː
شیکھا	ʃˈɪkʰaː
شیکھر	ʃˈeːkʰəɾ
شیگیرو	ʃɪɡˈeːɾuː
شے	ʃˈɛː
صائب	sˈaːɪb
صائمہ	sˈaːɪmaː
صابر	sˈaːbəɾ
صابن	sˈaːbəɳ
صابݨ	sˈaːbəɳ
صاحب	sˈaːɦɪb
صاحباں	sˈaːɦɪbã
صاحبہ	sˈaːɦɪbaː
صاف	sˈaːf
صافی	sˈaːfiː
صالح	sˈaːlɪɦ
صالحہ	səlˈiːɦaː
صبا	sˈəbaː
صباء	sˈəbaː
صبح	sˈʊbɦaː
صبر	sˈəbəɾ
صبری	sˈaːbɾiː
صبور	səbˈuːɾ
صبیحا	səbˈiːɦaː
صبیحہ	səbˈiːɦaː
صحت	sˈɪɦət̪
صحرا	sˈəɦɪɾaː
صحرائی	səɦɪɾˈaːiː
صحن	sˈəɦən
صدام	səd̪ˈaːm
صدر	sˈəd̪əɾ
صدی	sˈəd̪iː
صراحی	sʊɾˈaːɦiː
صراف	səɾˈaːf
صرف	sˈɪɾəf
صفت	sˈɪfət̪
صفدر	sˈəfd̪əɾ
صفر	sˈɪfəɾ
صفرا	sˈəfɾaː
صفہ	sˈəfaː
صلیب	səlˈiːb
صلیبی	səlˈiːbiː
صمد	sˈəməd̪
صندل	sˈə̃n̪d̪əl
صندلی	sˈə̃n̪d̪əliː
صندوق	sə̃n̪d̪ˈuːq
صنعا	sˈənaː
صنعتی	sˈənəət̪iː
صنم	sˈənəm
صوبہ	sˈuːbaː
صوبیدار	suːbeːd̪ˈaːɾ
صوبے	sˈuːbeː
صوفی	sˈuːfiː
صہبائی	səɦɪbˈaːiː
ضبط	zˈəbət̪
ضرور	zəɾˈuːɾ
ضرورت	zəɾˈuːɾət̪
ضروری	zəɾˈuːɾiː
ضلع	zˈɪlaː
ضمانت	zəmˈaːnət̪
ضمیر	zəmˈiːɾ
طائف	t̪ˈaːɪf
طالب	t̪ˈaːlɪb
طاہر	t̪ˈaːɦɪɾ
طاہرہ	t̪ˈaːɦɪɾaː
طب	t̪ˈɪbː
طباشیر	t̪əbaːʃˈiːɾ
طبلہ	t̪ˈəblaː
طبی	t̪ˈɪbːiː
طبیعت	t̪əbˈiːət̪
طرابلس	t̪əɾˈaːbləs
طرب	t̪ˈəɾəb
طرحاں	t̪ˈəɾɦã
طرزی	ʈˈaːɾziː
طرف	t̪ˈəɾəf
طرفين	t̪əɾfˈɛːn
طریقہ	t̪əɾˈiːqaː
طغرل	t̪ˈʊɣɾɪl
طفیل	t̪ʊfˈɛːl
طلائی	t̪ʊlˈaːiː
طلاق	t̪əlˈaːq
طلحہ	t̪ˈəlɦaː
طلعت	t̪ˈələt̪
طوبا	t̪ˈuːbaː
طور	t̪ˈɔːɾ
طوطا	t̪ˈoːt̪aː
طوفان	t̪uːfˈaːn
ظاہر	zˈaːɦəɾ
ظریف	zəɾˈiːf
ظفر	zˈəfəɾ
ظفرنامہ	zəfəɾnˈaːmaː
ظلم	zˈʊləm
ظلمی	zˈʊlmiː
ظہور	zəɦˈuːɾ
ظہیر	zəɦˈiːɾ
عائزہ	ˈaːɪzaː
عائشہ	ˈaːɪʃaː
عابد	ˈaːbɪd̪
عابدہ	ˈaːbɪd̪aː
عابدی	ˈəbd̪iː
عادل	ˈaːd̪ɪl
عارف	ˈaːɾɪf
عارفہ	ˈaːɾfaː
عاصمہ	ˈəsmaː
عاطف	ˈaːt̪ɪf
عالم	ˈaːləm
عالمپوری	aːlˈəmpʊɾiː
عالمی	ˈaːlmiː
عام	ˈaːm
عامر	ˈaːmɪɾ
عبادی	eːbˈaːd̪iː
عباس	əbːˈaːs
عباسی	əbːˈaːsiː
عبدالعلی	əbd̪uːlˈaːliː
عبدالکریم	əbd̪ʊlːəkɾˈiːm
عبرانی	ɪbɾˈaːniː
عبید	oːbˈɛːd̪
عبیدہ	ʊbˈɛːd̪aː
عثمان	ʊsmˈaːn
عثمانی	ʊsmˈaːniː
عجائب	əd͡ʒˈaːɪb
عجب	ˈəd͡ʒəb
عجوبے	əd͡ʒˈuːbeː
عدالت	əd̪ˈaːlət̪
عدنان	əd̪nˈaːn
عدیلہ	əd̪ˈiːlaː
عذرا	ˈaːzɾaː
عراق	ɪɾˈaːq
عرب	ˈəɾəb
عربی	ˈəɾbiː
عرس	ˈʊɾəs
عرش	ˈəɾəʃ
عرشی	ˈəɾʃiː
عرض	ˈəɾəz
عرضی	ˈəɾziː
عرعر	eːɾˈaːɾ
عرفات	əɾaːfˈaːt̪
عرفان	ɪɾfˈaːn
عرفانہ	əɾfˈaːnaː
عرق	ˈəɾəq
عروب	əɾˈuːb
عریج	əɾˈiːd͡ʒ
عریشہ	əɾˈiːʃaː
عریف	əɾˈiːf
عزت	ˈɪzːət̪
عزرائیل	əzɾaːˈiːl
عزیز	əzˈiːz
عزیزی	əzˈiːziː
عسکری	əsˈəkɾiː
عشتار	ɪʃt̪ˈaːɾ
عشرت	ˈɪʃɾət̪
عشقا	ˈɪʃqaː
عشقو	ˈɪʃqoː
عشقوں	ˈɪʃqõ
عشقے	ˈɪʃqeː
عشنا	ˈʊʃnaː
عصمت	ˈɪsmət̪
عطا	ˈət̪ːaː
عطاء	ˈət̪aː
عطر	ˈət̪əɾ
عطرے	ˈət̪ɾeː
عطش	ˈət̪əʃ
عظما	ˈʊzmaː
عظمی	ˈʊzmaː
عفریت	ɪfɾˈiːt̪
عقل	ˈəqəl
عقیدہ	əqˈiːd̪aː
علاؤ	əlˈaːʊ
علائی	əlˈaːiː
علاج	ɪlˈaːd͡ʒ
علامہ	əlːˈaːmaː
علوی	ˈəlʋiː
علی	ˈəliː
علیحدہ	ˈəlɦɪd̪aː
علیزادہ	əliːzˈaːd̪aː
علیزہ	əlˈiːzaː
علیزے	əlˈiːz
علیشا	əlˈiːʃaː
علیشبہ	əlˈiːʃbaː
علینہ	əlˈiːnaː
علیپور	əlˈiːpʊɾ
عمائمہ	oːmˈaːɪmaː
عمارت	ɪmˈaːɾət̪
عمان	ʊmˈaːn
عمانوئیل	ɪmɛːnˈuːəl
عمده	ˈʊmd̪aː
عمر	ˈʊməɾ
عمران	ɪmɾˈaːn
عمیرہ	əmˈiːɾaː
عناب	ʊnˈaːb
عنابہ	ə̃nˈaːbaː
عنابی	ʊnˈaːbiː
عنان	ə̃nˈaːn
عندلیب	ə̃n̪d̪aːlˈiːb
عنوان	ənʋˈaːn
عوام	əʋˈaːm
عوامی	əʋˈaːmiː
عورت	ˈɔːɾət̪
عورتاں	ˈɔːɾt̪ã
عہدہ	ˈoːɦd̪aː
عید	ˈiːd̪
عیدی	ˈiːd̪iː
عیسائی	ɪsˈaːiː
عیسی	ˈiːsaː
عینک	ˈɛːɳək
عینی	ˈɛːniː
عیݨک	ˈɛːɳək
غازی	ɣˈaːziː
غافل	ɣˈaːfɪl
غالب	ɣˈaːlɪb
غدر	ɣˈəd̪əɾ
غذا	ɣˈəzaː
غرض	ɣˈəɾəz
غریب	ɣəɾˈiːb
غریبی	ɣəɾˈiːbiː
غزالہ	ɣəzˈaːlaː
غزالی	ɣəzˈaːliː
غزل	ɣˈəzəl
غزنوی	ɣəzˈənʋiː
غزہ	ɣˈəzaː
غسل	ɣˈʊsəl
غصہ	ɣˈʊsːaː
غفاری	ɣəfˈaːɾiː
غلام	ɣʊlˈaːm
غلاماں	ɣʊlˈaːm
غلط	ɣˈələt̪
غلطی	ɣˈəlt̪iː
غم	ɣˈəm
غنیمت	ɣənˈiːmət̪
فاؤ	fˈaːoː
فاؤنڈیشن	faːˈʊ̃ɳɖeːʃən
فائدہ	fˈaːɪd̪aː
فائرفاکس	faːɪɾfˈɔːkəs
فائلز	faːˈiːləz
فائی	fˈaːiː
فاتحہ	fˈaːt̪ɪɦaː
فار	fˈaːɾ
فارسی	fˈaːɾsiː
فارم	fˈaːɾəm
فارمولا	fˈaːɾmuːlaː
فارو	fˈəɾoː
فاروق	faːɾˈuːq
فاس	fˈaːs
فاسفورس	fˈaːsfoːɾəs
فاسو	fˈaːsoː
فاضلکا	faːzˈɪlkaː
فاضلی	fˈaːzliː
فاطمہ	fˈaːt̪ɪmaː
فاف	fˈaːf
فانی	fˈaːniː
فاکلینڈ	faːklˈɛ̃ɳɖ
فاکنر	fˈaːknəɾ
فتح	fˈət̪ɪɦ
فتحی	fət̪ˈeːɦiː
فتنانی	fət̪nˈaːniː
فتنہ	fˈɪt̪naː
فتوا	fˈət̪ʋaː
فتوی	fˈət̪ʋaː
فجر	fˈəd͡ʒəɾ
فجی	fˈɪd͡ʒiː
فخر	fˈəxəɾ
فدا	fˈɪd̪aː
فدوا	fəd̪ˈaːʋ
فرائیڈ	fəɾˈaːɪɖ
فراز	fəɾˈaːz
فراسٹ	fəɾˈɔːsəʈ
فرانکو	fəɾˈãŋkoː
فراڈے	fɛːɾˈaːɖeː
فراہانی	fəɾaːɦˈaːniː
فرح	fˈəɾɦaː
فرحت	fˈəɾɦət̪
فرخزاد	fəɾʊxzˈaːd̪
فرد	fˈəɾəd̪
فردوسی	fɪɾd̪ˈɔːsiː
فرزند	fəɾzˈə̃n̪d̪
فرش	fˈəɾəʃ
فرشتہ	fəɾˈɪʃt̪aː
فرض	fˈəɾəz
فرعون	fɪɾəˈɔːn
فرق	fˈəɾəq
فرماؤنا	fəɾmˈaːʊɳaː
فرمان	fəɾmˈaːn
فرمی	feːˈəɾmiː
فرنٹ	fəɾˈə̃ɳʈ
فرنگی	fɪɾˈə̃ŋɡiː
فرنیچر	fəɾnˈiːt͡ʃəɾ
فروغ	fəɾˈuːɣ
فرڈیننڈ	fəɾd̪iːnˈə̃n̪d̪
فریحہ	fəɾˈiːɦaː
فرید	fəɾˈiːd̪
فریدون	feːɾeːd̪ˈuːn
فریدکوٹی	fəɾˈiːd̪koːʈiː
فریدہ	fəɾˈiːd̪aː
فرینڈز	fɾˈɛ̃ɳɖəz
فرینکفرٹ	fəɾˈãŋkəfʊɾəʈ
فریڈرک	fɾˈɛːɖɾɪk
فریڈمین	fəɾiːɖmˈɛːn
فزان	fəzːˈaːn
فسانۂ	fəsˈaːnaː
فصل	fˈəsəl
فضل	fˈɛːzəl
فضولی	fəzˈuːliː
فضیلہ	fəzˈiːlaː
فقیر	fəqˈiːɾ
فلامنکو	fəleːmˈẽŋkoː
فلامینٹ	fɪlaːmˈɛ̃ɳʈ
فلحال	fɪlɦˈaːl
فلسطین	fələst̪ˈiːn
فلسطینی	fələst̪ˈiːn
فلسفہ	fəlˈəsfaː
فلسفے	fəlˈəsfeː
فلم	fˈɪləm
فلماں	fˈɪlmã
فلمفیئر	fɪləmfˈeːəɾ
فلمی	fˈɪlmiː
فلوجا	fəlˈuːd͡ʒaː
فلودہ	fəlˈuːd̪aː
فلورس	fəlˈoːɾəs
فلورین	fəloːɾˈiːn
فلوریڈا	fəlˈɔːɾɪɖaː
فلپائن	fɪlpˈiːn
فلک	fˈələk
فن	fˈɪn
فنلینڈ	fɪnlˈɛ̃ɳɖ
فنکار	fəŋkˈaːɾ
فو	fˈoː
فواد	fəʋˈaːd̪
فوج	fˈɔːd͡ʒ
فوجا	fˈɔːd͡ʒaː
فوربس	fˈoːɾbəs
فورٹ	fˈoːɾəʈ
فورڈ	fˈoːɾəɖ
فون	fˈaːn
فونسیکا	fˈoːnseːkaː
فونٹین	fɔ̃ɳʈˈeːn
فوٹون	foːʈˈɔːn
فوٹونا	fʊt̪ˈuːnaː
فوٹوگرافی	foːʈˈoːɡɾaːfiː
فوڑ	fˈoːɽ
فڈل	fiːd̪ˈeːl
فکر	fˈɪkəɾ
فگار	fɪɡˈaːɾ
فہد	fˈəɦəd̪
فہرست	fˈɪɦɾɪsət̪
فہمیدہ	fəɦɪmˈiːd̪aː
فیئرویل	feːəɾʋˈɛːlː
فیبوناچی	fiːboːnˈaːt͡ʃiː
فیتہ	fˈiːt̪aː
فیدرا	fˈiːd̪ɾaː
فیر	fˈeːɾ
فیروز	fɪɾˈoːz
فیروزه	fiːɾˈoːzaː
فیروزپوری	fɪɾˈoːzpʊɾiː
فیروزہ	fiːɾˈoːzaː
فیشن	fˈɛːʃən
فیصل	fˈɛːsəl
فیض	fˈɛːz
فیلڈز	fˈiːlɖəz
فیلکس	fˈɛːlɪkəs
فیلیسیٹی	fɛːlˈiːsɪʈiː
فیلینی	fɛːlˈiːniː
فینل	fˈeːnɪl
فیڈریکو	fɛːɖeːɾˈiːkoː
فیکٹر	fˈɛːkʈəɾ
فیہ	fˈiːɦeː
قازق	qəzˈaːq
قازقستان	qəzaːqɪst̪ˈaːn
قافلہ	qˈaːflaː
قرآن	qʊɾəˈaːn
قراقرم	qəɾˈaːqʊɾəm
قربان	qʊɾbˈaːn
قسم	qˈɪsəm
قسمت	qˈɪsmət̪
قسمے	qˈəsmeː
قصہ	qˈɪsːaː
قصیدہ	qəsˈiːd̪aː
قلفی	qˈʊlfiː
قلم	qˈələm
قمر	qˈəməɾ
قوالی	qəʋːˈaːliː
قوم	qˈɔːm
قیمت	qˈiːmət̪
قیمہ	qˈiːmaː
لئی	lˈəiː
لا	lˈaː
لاء	lˈaː
لاؤزی	laːˈoːziː
لاؤس	lˈaːʊs
لائبریری	laːɪbɾˈeːɾiː
لائف	laːˈiːf
لائلپوری	laːˈɪlpʊɾiː
لائن	laːˈiːn
لائنز	lˈaːɪnəz
لائڈن	lˈaːɪɖən
لائیبریری	laːɪbɾˈeːɾiː
لائیف	laːˈiːf
لائین	lˈoːɪn
لائیڈ	lˈaːɪɖ
لابراڈور	laːbɾaːɖˈoːɾ
لابھ	lˈaː˥˩b
لاج	lˈaːd͡ʒ
لاجمی	lˈaːd͡ʒmiː
لاجپت	lˈaːd͡ʒpət̪
لادن	laːd̪ˈeːn
لادھا	lˈaː˥˩d̪aː
لارا	lˈaːɾaː
لارج	lˈaːɾəd͡ʒ
لارس	lˈaːɾəs
لارڈ	lˈaːɾəɖ
لارڈی	lˈoːɾɖeː
لارکن	lˈaːɾkɪn
لاری	lˈaːɾiː
لاریسا	laːɾˈiːsaː
لازم	lˈaːzəm
لاس	lˈaːs
لاش	lˈaːʃ
لاطینی	laːt̪ˈiːniː
لافارگ	laːfˈaːɾəɡ
لال	lˈaːl
لالا	lˈaːlaː
لالن	lˈaːlən
لالو	lˈaːluː
لالوانی	lˈaːlʋaːniː
لالٹین	laːlʈˈɛːɳ
لالچ	lˈaːlət͡ʃ
لالچی	lˈaːlt͡ʃiː
لالہ	lˈaːlaː
لالی	lˈaːliː
لام	lˈaːm
لاما	lˈaːmaː
لامبا	lˈãmbaː
لانگھا	lˈã˥˩ŋɡaː
لاوا	lˈaːʋaː
لاورن	laːʋˈeːɾən
لاپکا	lˈaːpəkːaː
لاڈو	lˈaːɖoː
لاڈی	lˈaːɖiː
لاڑا	lˈaːɽaː
لاڑی	lˈaːɽiː
لاک	lˈɔːk
لاکھ	lˈaːkʰaː
لاکھا	lˈaːkʰaː
لاکھانی	ləkʰˈaːniː
لاگا	lˈaːɡaː
لاگرتھم	lˈaːɡɾɪt̪ʰəm
لاگرلوف	laːɡeːɾlˈoːf
لاگو	lˈaːɡuː
لاگوس	laːɡˈoːs
لاہنا	lˈaːɦʊɳaː
لاہور	laːɦˈɔːɾ
لاہڑی	lˈaːɦɪɽiː
لباس	lɪbˈaːs
لبانکی	lʊbˈaːŋkiː
لبانہ	lʊbˈaːɳaː
لبریشن	lɪbɾˈeːʃən
لبنا	lˈʊbnaː
لبنان	lɪbnˈaːn
لبنانی	lɪbnˈaːniː
لبھت	lˈə˥˩bət̪
لت	lˈət̪ː
لتا	lˈət̪aː
لتر	lˈɪt̪ːəɾ
لتھ	lˈət̪ʰː
لتھئیے	lət̪ʰːəˈiːeː
لتھا	lˈət̪ʰːaː
لتھاں	lˈət̪ʰːã
لتھدا	lˈət̪ʰːəd̪aː
لتھدی	lˈət̪ʰːəd̪iː
لتھدے	lˈət̪ʰːəd̪eː
لتھن	lˈət̪ʰːəɳ
لتھنا	lˈət̪ʰːəɳaː
لتھو	lˈət̪ʰːoː
لتھی	lˈət̪ʰːiː
لتھیاں	lˈət̪ʰːɪjã
لتھے	lˈət̪ʰːeː
لجا	lˈəd͡ʒːaː
لحاظ	lɪɦˈaːz
لد	lˈəd̪ː
لدئیے	ləd̪ːəˈiːeː
لداخ	ləd̪ːˈaːx
لداں	lˈəd̪ːã
لددا	lˈəd̪ːəd̪aː
لددی	lˈəd̪ːəd̪iː
لددے	lˈəd̪ːəd̪eː
لدر	lˈɪɖəɾ
لدن	lˈəd̪ːəɳ
لدنا	lˈəd̪ːəɳaː
لدو	lˈəd̪ːoː
لدھا	lˈə˥˩d̪ːaː
لدی	lˈəd̪ːiː
لدیں	lˈəd̪ːẽ
لدے	lˈəd̪ːeː
لزے	lˈiːz
لسا	lˈɪsːaː
لسوڑا	ləsˈuːɽaː
لسٹ	lˈɪsəʈ
لسی	lˈəsːiː
لسݨ	lˈəsəɳ
لشکارا	lɪʃkˈaːɾaː
لطف	lˈʊt̪əf
لعل	lˈaːl
لفافہ	ləfˈaːfaː
لفظ	lˈəfəz
لقا	lˈəqaː
للت	lˈəlɪt̪
للتامبکا	ləlɪt̪ˈaːmbɪkaː
للتوں	lˈəlt̪õ
للی	lˈʊlːiː
للیتا	lˈəlɪt̪aː
للیٹ	lɪlˈeːʈ
لما	lˈə̃maː
لمبا	lˈə̃mbaː
لمبائی	lˈə̃mbaːiː
لمبڑدار	lə̃mbəɽd̪ˈaːɾ
لمبڑی	lˈũmbəɽiː
لمبینی	lˈʊ̃mbɪniː
لمجاؤ	lˈaːmd͡ʒaːoː
لملٹا	lˈəmlət̪ːaː
لمى	lˈə̃miː
لن	lˈə̃n
لندن	lˈə̃ɳɖən
لنٹن	lˈɪ̃ɳʈən
لنڈا	lˈɪ̃ɳɖaː
لنڈی	lˈə̃ɳɖiː
لنکا	lˈə̃ŋkaː
لنکن	lˈɪ̃ŋkən
لنکیش	lə̃ŋkˈeːʃ
لنگر	lˈə̃ŋɡəɾ
لنگور	lə̃ŋɡˈuːɾ
لنگھانا	lˈə̃˥˩ŋɡaːʊɳaː
لنگی	lˈʊ̃ŋɡiː
لو	lˈoː
لوئی	lˈuːiː
لوئیس	lʊˈiːs
لوئیگی	lʊˈiːɡiː
لوبھ	lˈoː˥˩b
لوتھ	lˈoːt̪ʰ
لوتھر	loːt̪ʰˈaːɾ
لوتھل	lˈoːt̪ʰəl
لوجک	lˈɔːd͡ʒɪk
لودویک	lˈʊd̪ʋɪk
لودھی	lˈoː˥˩d̪iː
لورا	lˈɔːɾaː
لوری	lˈoːɾiː
لورین	lɔːɾˈeːn
لوساکا	lʊsˈaːkaː
لوسنا	lˈuːsɳaː
لوسی	lˈuːsiː
لوسیل	luːsˈɛːl
لوسݨ	lˈuːsəɳ
لوط	lˈuːt̪
لولا	lˈuːlaː
لولارک	loːlˈaːɾək
لولتا	lˈoːlɪt̪aː
لولٹ	lˈoːləʈ
لولیتا	lˈoːlɪt̪aː
لوم	lˈoːmeː
لومبڑ	lˈũmbəɽ
لومبڑی	lˈũmbəɽiː
لومرور	loːmɾˈoːɾ
لوممبا	ləmˈũmbaː
لون	lˈuːɳ
لونا	lˈuːɳaː
لونگئی	lˈõŋɡəiː
لونگی	lˈũŋɡiː
لونی	lˈuːɳiː
لوپامدرا	loːpaːmˈʊd̪ɾaː
لوپامودرا	loːpaːmˈʊd̪ɾaː
لوپز	lˈoːpəz
لوپیز	loːpˈeːz
لوچ	lˈoːt͡ʃ
لوچنا	lˈoːt͡ʃɳaː
لوڑ	lˈoːɽ
لوک	lˈoːk
لوکائی	loːkˈaːiː
لوکاں	lˈoːkã
لوکتنتر	loːkt̪ˈə̃n̪t̪əɾ
لوکتے	lˈoːkt̪eː
لوکدھارا	lˈoː˥˩kd̪aːɾaː
لوکی	lˈoːkiː
لوکیانووچ	lʊkiːjaːnˈoːʋɪt͡ʃ
لوگان	lˈoːɡən
لوگو	lˈoːɡoː
لوں	lˈũ
لوہا	lˈoːɦaː
لوہار	lʊɦˈaːɾ
لوہاری	loːɦˈaːɾiː
لوہڑی	lˈoːɦɽiː
لوہیا	loːɦˈiːaː
لوینا	ləʋˈiːnaː
لوݨ	lˈuːɳ
لٹ	lˈʊʈː
لٹر	lˈiːʈəɾ
لٹریچر	lɪʈɾˈeːt͡ʃəɾ
لٹل	lˈɪʈəl
لٹورا	ləʈˈoːɾaː
لٹویائی	lˈaːt̪ʋiːaːiː
لپی	lˈɪpiː
لچھمن	lˈət͡ʃʰməɳ
لچھن	lˈət͡ʃʰːəɳ
لڈو	lˈəɖːuː
لڈی	lˈʊɖːiː
لڑائی	ləɽˈaːiː
لڑائیاں	ləɽaːˈiːã
لڑاکا	ləɽˈaːkaː
لڑنا	lˈəɽnaː
لک	lˈəkː
لکا	lˈəkːaː
لکاؤ	lʊkˈaːoː
لکائی	lʊkˈaːiː
لکائیاں	lʊkaːˈiːã
لکائیو	lʊkaːˈiːʋ
لکائیں	lʊkˈaːĩ
لکائیے	lʊkaːˈiːeː
لکائے	lʊkˈaːeː
لکابالی	lɪkaːbˈaːliː
لکار	ləkˈaːɾ
لکان	lʊkˈaːɳ
