# Persian (fa) abjad → IPA gold — the SHORT-VOWEL RESTORATION target. Fully-voweled human pronunciations
# from wikipron fas_arab BROAD (CC0/CC-BY-SA, Wiktionary), deduped; single-letter name citations dropped;
# homograph variants kept as extra tab fields (a word is credited if ANY variant matches). This is the
# data fa's restorer should train/lookup on (abjad↔IPA), vs the current Arabic-Tashkeela harakat silver.
آئین	ʔaːjiːn	ʔaːʔiːn
آئینه	ʔaːʔiːna
سیاه‌پوست	sijaːhpoːst
سیاه‌پوش	sijaːhpoːʃ
سیاه‌چشم	sijaːht͡ʃaʃm
سیاه‌گوش	sijaːhɡoːʃ
سیاوش	sijaːwaʃ
سیب	seːb
سیبویه	seːbuːja
سیج	seːd͡ʒ
سیجناک	seːd͡ʒnaːk
سیخ	siːx
سید	sajjid
سیر	sajr	seːr	siːr
سیرت	siːrat
سیردریا	siːrdarjaː
سیزده	seːzdah
سیستان	siːstaːn
سیصد	seːsad
سیطره	sajtara
سیل	sajl
سیلاب	sajlaːb
سیلابی	sajlaːbiː
سیلاس	siːlɒːs
سیلان	sajalaːn	sajlaːn
سیلو	silu
سیلی	siːliː
سیم	sijum	siːm
سیما	siːmaː
سیماب	siːmaːb
سیمرغ	siːmurɣ
سیمین	siːmiːn
سیم‌کش	siːmkaʃ	siːmkuʃ
سین	siːn
سینا	siːnaː
سینه	siːna
سینی	siːniː
سیه	sijah
سیچغنه	siːt͡ʃaɣana	siːt͡ʃaɣna	siːt͡ʃuɣana	siːt͡ʃuɣna
سیک	siːk
سیگار	siːɡaːr
سی‌ام	sijum
سی‌امین	sijumiːn
شؤم	ʃuʔm
شاب	ʃaːb
شاباش	ʃaːbaːʃ
شات	ʃɒːt
شاخ	ʃaːx
شاخص	ʃaːxis
شاخه	ʃaːxa
شاد	ʃaːd
شاداب	ʃaːdaːb
شادروان	ʃaːdrawaːn	ʃaːdurwaːn
شادمان	ʃaːdmaːn
شادمهر	ʃaːdmihr
شادی	ʃaːdiː
شاذ	ʃaːð
شار	ʃaːr
شاریدن	ʃaːriːdan
شاش	ʃaːʃ
شاشو	ʃaːʃuː
شاشیدن	ʃaːʃiːdan
شاطی	ʃaːtiː
شاعر	ʃaːʔir
شاعرانه	ʃaːʔiraːna
شاعره	ʃaːʔira
شال	ʃaːl
شالیزار	ʃaːliːzaːr
شال‌گردن	ʃaːlɡardan
شام	ʃaːm
شامل	ʃaːmil
شامه	ʃaːmma
شامپو	ʃaːmpuː
شانزده	ʃaːnzdah
شانه	ʃaːna
شانه‌بسر	ʃaːnabasar
شاه	ʃaːh
شاهان	ʃaːhaːn
شاهانه	ʃaːhaːna
شاهد	ʃaːhid
شاهدخت	ʃaːhduxt
شاهراه	ʃaːhraːh
شاهرخ	ʃaːhrux
شاهزاده	ʃaːhzaːda
شاهزادگان	ʃaːhzaːdaɡaːn
شاهقلی	ʃaːhquliː
شاهنامه	ʃaːhnaːma
شاهنامه‌خوان	ʃaːhnaːmaxʷaːn
شاهنامه‌خوانی	ʃaːhnaːmaxʷaːniː
شاهنشاه	ʃaːhanʃaːh
شاهنشاهی	ʃaːhanʃaːhiː
شاهکار	ʃaːhkaːr
شاهی	ʃaːhiː
شاهیدن	ʃaːhiːdan
شاهین	ʃaːhiːn
شاه‌توت	ʃaːhtuːt
شاه‌دانه	ʃaːhdaːna
شاه‌مات	ʃaːhmaːt
شاه‌ماهی	ʃaːhmaːhiː
شاورما	ʃaːwirmaː
شاورماها	ʃaːwirmaːhaː
شاپور	ʃaːpuːr
شاکی	ʃaːkiː
شاگرد	ʃaːɡird̪
شایان	ʃaːjaːn
شاید	ʃaːjad
شایع	ʃaːjiʔ
شایعات	ʃaːjiʔaːt
شایعه	ʃaːjiʔa
شب	ʃab
شباط	ʃubaːt
شبانه	ʃabaːna
شبانه‌روز	ʃabaːnaroːz
شباهت	ʃabaːhat
شباهنگ	ʃabaːhanɡ
شبح	ʃabah
شبستان	ʃabistaːn
شبنم	ʃabnam
شبه	ʃibh
شبکه	ʃabaka
شبکیه	ʃabakija
شبگیر	ʃabɡiːr
شبی	ʃabiː
شبیه	ʃabiːh
شب‌بو	ʃabboː
شب‌بوی	ʃabboːj
شب‌پره	ʃabpara
شب‌کور	ʃabkoːr
شتا	ʃitaː
شتاب	ʃitaːb
شتافتن	ʃitaːftan
شتر	ʃutur
شترخار	ʃuturxaːr
شترغار	ʃuturɣaːr
شترمرغ	ʃuturmurɣ
شترگاوپلنگ	ʃuturɡaːwpalanɡ
شته	ʃata
شتوی	ʃatawiː
شجاع	ʃud͡ʒaːʔ
شجاعت	ʃad͡ʒaːʔat	ʃud͡ʒaːʔat
شجر	ʃad͡ʒar
شجره	ʃad͡ʒara
شجریان	ʃad͡ʒarijaːn
شحنه	ʃahna
شخشیدن	ʃaxʃiːdan
شخص	ʃaxs
شخصیت	ʃaxsijjat
شخودن	ʃaxuːdan
شد	ʃud
شدت	ʃiddat
شدن	ʃudan
شدنی	ʃudaniː
شدنی‌تر	ʃudaniːtar
شدنی‌ترین	ʃudaniːtariːn
شدید	ʃadiːd	ʃaðiːð
شر	ʃarr
شراب	ʃaraːb
شرارت	ʃaraːrat
شرافت	ʃaraːfat
شربت	ʃarbat
شرزه	ʃarza
شرزه‌شیر	ʃarzaʃeːr
شرزه‌پلنگ	ʃarzapalanɡ
شرط	ʃart
شرع	ʃarʔ
شرعی	ʃarʔiː
شرفا	ʃurafaː
شرق	ʃarq
شرقی	ʃarqiː
شرم	ʃarm
شرمسار	ʃarmsâr
شرمنده	ʃarmanda	ʃarminda
شرنگ	ʃaranɡ
شروان	ʃirwaːn
شروانشاه	ʃirwaːnʃaːh
شروانشاهان	ʃirwaːnʃaːhaːn
شروانی	ʃirwaːniː
شرور	ʃuruːr
شروع	ʃuruːʔ
شرک	ʃirk
شرکت	ʃirkat
شریان	ʃirjaːn
شریعت	ʃariːʔat
شریف	ʃariːf
شریک	ʃariːk
شست	ʃast
شستشو	ʃustuʃoː
شستن	ʃustan
شش	ʃaʃ	ʃuʃ
ششت	ʃuʃt
ششقاقل	ʃaʃqaːqul
ششم	ʃaʃum
شصت	ʃast
شطرنج	ʃatrand͡ʒ
شطرنج‌باز	ʃatrand͡ʒbaːz
شعار	ʃiʔaːr
شعاع	ʃuʔaːʔ
شعب	ʃoʔæb
شعبان	ʃaʔbaːn
شعبه	ʃuʔba
شعر	ʃiʔr
شعرا	ʃuʔaraː
شعف	ʃaʔaf
شعله	ʃuʔla
شعور	ʃuʔuːr
شعیب	ʃuʔajb
شغاد	ʃaɣaːd
شغال	ʃaɣaːl
شغال‌ها	ʃoɣɒːlɒː	ʃæɣɒːlhɒː
شغل	ʃuɣl
شفا	ʃifaː
شفاء	ʃifaːʔ
شفابخش	ʃafaːbaxʃ
شفاخانه	ʃifaːxaːna
شفاف	ʃaffaːf
شفاهی	ʃifaːhiː
شفتالو	ʃaftaːluː
شفق	ʃafaq
شفقت	ʃafaqat	ʃafqat
شفيع	ʃafiːʔ
شقاقل	ʃaqaːqul
شقرا	ʃaqraː
شقی	ʃaqiː
شل	ʃal	ʃil	ʃol
شلغم	ʃalɣam
شلف	ʃalf
شلق	ʃalq
شله	ʃula
شلوار	ʃalwaːr
شلوغ‌تر	ʃoluːɣtæɾ
شلوغ‌ترین	ʃoluːɣtæɾiːn
شلیک	ʃilliːk
شما	ʃumaː
شمار	ʃumaːr
شماره	ʃumaːra
شماریدن	ʃumaːriːdan
شمال	ʃamaːl	ʃimaːl	ʃumaːl
شمالی	ʃamaːliː	ʃimaːliː	ʃumaːliː
شمایل	ʃamaːjil
شمردن	ʃumurdan
شمس	ʃams
شمسی	ʃamsiː
شمشاد	ʃimʃaːd
شمشیر	ʃamʃeːr
شمع	ʃamʔ
شمعدان	ʃamʔdaːn
شمن	ʃaman
شمه	ʃamma
شمولی	ʃumuːliː
شمیم	ʃamiːm
شن	ʃan	ʃin
شنا	ʃinaː
شناخت	ʃinaːxt
شناختن	ʃinaːxtan
شنار	ʃanaːr	ʃinaːr
شناساندن	ʃinaːsaːndan
شناسایی	ʃinaːʃaːjiː
شناسنامه	ʃinaːsnaːma
شنان	ʃunaːn
شناور	ʃinaːwar
شنبلیله	ʃæmbæliːle	ʃæmbæliːlæ
شنبه	ʃanba	ʃanbih
شنفتن	ʃinuftan
شنه	ʃanah	ʃannah
شنو	ʃinaw	ʃunaw
شنوا	ʃinawaː
شنوسه	ʃanuːsa	ʃinuːsa
شنوشه	ʃanuːʃa	ʃinuːʃa
شنگار	ʃanɡaːr	ʃinɡaːr
شنگرف	ʃanɡarf
شنگول	ʃanɡuːl
شنگویر	ʃanɡewir
شنی	ʃiniː
شنیدن	ʃiniːdan	ʃuniːdan
شنیع	ʃaniːʔ
شه	ʃah
شهاب	ʃahaːb
شهادت	ʃahaːdat
شهامت	ʃahaːmat
شهباز	ʃahbaːz
شهبانو	ʃahbaːnoː	ʃahbaːnuː
شهد	ʃahd
شهدا	ʃuhadaː
شهر	ʃahr
شهرام	ʃahraːm
شهرت	ʃuhrat
شهردار	ʃahrdaːr
شهرزاد	ʃahrzaːd
شهرستان	ʃahristaːn
شهره	ʃuhra
شهروز	ʃahroːz
شهروند	ʃahrwand
شهروندی	ʃahrwandiː
شهرک	ʃahrak
شهرکرد	ʃahrikurd
شهری	ʃahriː
شهریار	ʃahrjaːr
شهریه	ʃahrijja
شهریور	ʃahreːwar
شهسوار	ʃahsawaːr
شهلا	ʃahlaː
شهلاچشم	ʃahlaːt͡ʃaʃm
شهلایی	ʃahlaːjiː
شهناز	ʃahnaːz
شهنشاه	ʃahanʃɑːh
شهوانی	ʃahwaːniː
شهوت	ʃahwat
شهوتی	ʃahwatiː
شهود	ʃuhuːd
شهید	ʃahiːd
شو	ʃaw
شوال	ʃawwaːl
شواهد	ʃawaːhid
شوخ	ʃoːx
شوخی	ʃoːxiː
شور	ʃoːr
شورا	ʃuːraː
شوربا	ʃoːrbaː
شورش	ʃoːriʃ
شورشی	ʃoːriʃiː
شوره	ʃoːra
شوروا	ʃoːrwaː
شوریدن	ʃoːriːdan
شوریده	ʃoːriːda
شوش	ʃuːʃ
شوق	ʃawq
شوم	ʃawam	ʃuʔm
شوهر	ʃawhar
شوک	ʃawk
شوکت	ʃawkat
شوکران	ʃawkaraːn
شوی	ʃawiː	ʃiwiː	ʃoːj	ʃuweː	ʃuːj
شوید	ʃiwiːd
شپش	ʃipiʃ	ʃupuʃ
شپش‌ها	ʃepeʃhɒː
شک	ʃak	ʃakk
شکار	ʃikaːr
شکارچی	ʃikaːrt͡ʃiː
شکاری	ʃikaːriː
شکافتن	ʃikaːftan
شکال	ʃekɒːl	ʃokɒːl
شکاک	ʃakkaːk	ʃikaːk
شکایت	ʃikaːjat
شکر	ʃakar	ʃakkar	ʃukr
شکرانه	ʃukraːna
شکرستان	ʃakaristaːn
شکرشکن	ʃakkarʃikan
شکریه	ʃukrijja
شکست	ʃikast
شکستن	ʃikastan
شکستنی	ʃikæst̪æniː
شکسته	ʃikasta
شکسته‌نستعلیق	ʃikastanastaʔliːq
شکستگی	ʃikastaɡiː
شکست‌خورده	ʃikastxʷarda
شکفتن	ʃukuftan
شکل	ʃakl
شکلاتی	ʃokʰolɒtʰi
شکم	ʃikam
شکمی	ʃikamiː
شکنب	ʃikanb
شکنج	ʃikand͡ʒ
شکنجه	ʃikand͡ʒa
شکنجه‌گر	ʃikand͡ʒaɡar
شکوفا	ʃikoːfaː	ʃukoːfaː	ʃukuːfaː
شکوفه	ʃikuːfa	ʃukoːfa
شکوه	ʃakwa	ʃikoːh	ʃukoːh
شکی	ʃakiː
شکیب	ʃakeːb	ʃikeːb
شکیفتن	ʃikeːftan
شگرد	ʃiɡird
شگرفی	ʃaɡarfiː
شگفت	ʃiɡift
شگفت‌زده	ʃiɡiftzada
شیء	ʃajʔ
شیاد	ʃajaːd
شیار	shijaːr
شیاف	ʃijaːf
شیخ	ʃajx
شیخی	ʃajxiː
شید	ʃeːd
شیدا	ʃajdaː
شیده	ʃeːda
شیر	ʃeːr	ʃiːr
شیراز	ʃeːraːz	ʃiːraːz
شیرازی	ʃeːraːziː
شیربها	ʃiːrbahaː
شیرجه	ʃiːrd͡ʒa
شیردار	ʃeːrdaːr	ʃiːrdaːr
شیردال	ʃeːrdaːl
شیرفش	ʃeːrfaʃ
شیرمرد	ʃeːrmard
شیره	ʃiːra
شیروان	ʃeːrwaːn
شیروانشاه	ʃeːrwaːnʃaːh
شیروانی	ʃeːrwaːniː
شیرین	ʃiːreːn	ʃiːriːn
شیرینی	ʃiːriːniː
شیرینی‌فروش	ʃiːriːniːfuroːʃ
شیرین‌بیان	ʃiːriːnbajaːn
شیرین‌تر	ʃiːɾiːntæɾ
شیرین‌ترین	ʃiːɾiːntæɾiːn
شیرین‌کاری	ʃiːriːnkaːriː
شیشه	ʃiːʃa
شیطان	ʃajtaːn
شیطانه	ʃajtaːna
شیطانی	ʃajtaːniː
شیعه	ʃiːʔa
شیعی	ʃiːʔiː
شیفتن	ʃeːftan
شیفته	ʃeːfta
شیفتگی	ʃeːftaɡiː
شینواری	ʃiːnwaːriː
شیهه	ʃiːha
شیوا	ʃeːwaː
شیوع	ʃujuːʔ
شیون	ʃeːwan
شیوه	ʃeːwa
صابئه	saːbiʔa
صابئی	saːbiʔiː
صابون	saːbuːn
صاحب	saːhab	saːhib
صاحبقران	saːhibqiraːn
صاد	saːd
صادر	saːdir
صادرات	saːdiraːt
صادق	saːdiq
صادقی	saːdiqiː
صاعقه	saːʔiqa
صاف	saːf
صالح	saːlih
صامت	saːmit
صبا	sabaː	sibaː
صباح	sabaːh
صباغیان	sabbaːɣijaːn
صبح	subh
صبحانه	subhaːna
صبر	sabr
صبوح	sabuːh
صبور	sabuːr
صبی	sabiː
صبیه	sabijja
صح	sah
صحابت	sahaːbat
صحبت	suhbat
صحت	sihhat
صحرا	sahraː
صحرایی	sahraːjiː
صحن	sahn
صحیح	sahiːh
صخره	saxra
صد	sad
صدا	sadaː
صداقت	sadaːqat
صدد	sadad
صدر	sadr
صدراعظم	sadriʔaʔzam
صدف	sadaf
صدق	sidq
صدقدار	sadaqdaːr
صدقه	sadaqa
صدمه	sadma
صدور	suduːr
صراحت	saraːhat
صراحی	suraːhiː
صراف	sarraːf
صرافی	sarraːfiː
صرب	sirb
صرصر	sarsar
صرع	sarʔ
صرف	sarf	sirf
صرفا	sirfan
صرفه	sarfa
صریح	sariːh
صعب	saʔb
صعود	suʔuːd
صفا	safaː
صفات	sifaːt
صفت	sifat
صفحات	safahaːt
صفحه	safha
صفحه‌کلید	safhakaliːd
صفر	safar	sifr
صفرا	safraː
صفوی	safawiː
صفویه	safawijja
صقلیه	siqillijja
صلاح	salaːh
صلاحیت	salaːhijjat
صلح	sulh
صله	sila
صلی	sallaː
صلیب	saliːb
صمدی	samadiː
صمیم	samiːm
صمیمی	samiːmiː
صنار	sinaːr
صناعت	sanaːʔat	sinaːʔat
صندل	sandal
صندلی	sandaliː
صندوق	sanduːq
صندوقدار	sanduːqdaːr
صندوقچه	sanduːqt͡ʃa
صنع	sunʔ
صنعا	sanʔaː
صنعت	sanʔat
صنعتی	sanʔatiː
صنف	sanf	sinf
صنم	sanam
صنوبر	sanawbar
صهیون	sahjuːn
صهیونی	sahjuːniː
صهیونیست	sahjuːniːst
صهیونیسم	sahjuːniːsm
صوت	sawt
صور	suwar	suːr
صورت	suːrat
صورتى	suːratiː
صورتک	suːratak
صورتی	suːratiː
صورت‌غذا	suːratɣizaː
صوفی	suːfiː
صیاد	sajjaːd
صیام	sijaːm
صیت	siːt
صید	sajd
صیغه	siːɣa
صیقل	sajqal
ضابطه	zaːbita
ضاد	zaːd
ضامن	zaːmin
ضایع	zaːjiʔ
ضبط	zabt
ضحاک	zahhaːk
ضخیم	zaxiːm
ضد	zidd	ziddi
ضدآب	ziddiʔaːb
ضدتانک	zidditaːnk
ضدحمله	ziddihamla
ضدـ	ziddi
ضدقهرمان	ziddiqahramaːn
ضدماهواره	ziddimaːhwaːra
ضدونقیض	ziddunaqiːz
ضدیخ	ziddijax
ضرب	zarb
ضربان	zarabaːn
ضربدر	zarbdar
ضربه	zarba
ضرر	zarar
ضرورت	zaruːrat
ضروری	zaruːriː
ضریح	zariːh
ضعف	zaʔf
ضعیف	zaʔiːf
ضلع	zilʔ
ضمن	zimn
ضمنا	zimnan
ضمنی	zimniː
ضمیر	zamiːr
ضمیمه	zamiːma
ضیا	zijaː
ضیاء	zijaːʔ
ضیافت	zijaːfat
طا	taː
طاء	taːʔ
طائر	taːʔir
طاس	taːs
طاعت	taːʔat
طاق	taːq
طاقت	taːqat
طالب	taːlib
طالبان	taːlibaːn
طالع	taːliʔ
طاها	taːhaː
طاووس	taːwuːs
طب	tibb
طبرستان	tabaristaːn
طبق	tabaq	tibq	tibqi
طبقه	tabaqa
طبل	tabl
طبله	tabla
طبی	tibbiː
طبیب	tabiːb
طبیعت	tabiːʔat
طبیعی	tabiːʔiː
طخار	tuxaːr
طخارستان	tuxaːristaːn
طرابلس	taraːbulus
طراح	taraːh
طراحی	taraːhiː
طراز	taraːz	tiraːz
طراوت	taraːwat
طرب	tarab
طربزون	tarabzuːn
طرح	tarah	tarh
طرد	tard
طرز	tarz
طرطوس	tartuːs
طرف	taraf
طرفدار	tarafdaːr
طرفین	tarafajn
طره	turra
طریق	tariːq
طعم	taʔm
طعنه	taʔna
طغرا	tuɣraː
طفره	tafra
طفل	tifl
طفلک	tiflak
طفولیت	tufuːlijjat
طفیل	tufajl
طلا	telɒː	tilaː
طلائی	tillaːʔiː
طلاق	talaːq
طلاکار	tilaːkaːr
طلاکاری	tilaːkaːriː
طلایی	tillaːjiː
طلب	talab
طلبه	taːliba
طلبیدن	talabiːdan
طلسم	tilism
طلعت	talʔat
طلوع	tuluːʔ
طمطراق	tumturaːq
طمع	tamaʔ
طناب	tanaːb
طناز	tannaːz
طنز	tanz
طنین	taniːn
طهماسب	tahmaːsb
طهمورث	tahmuːras
طوارق	tawaːriq
طوبی	tuːbaː
طور	tawr	tuːr
طوفان	tuːfaːn
طول	tuːl
طولانی	tuːlaːniː
طومار	tuːmaːr
طوی	toːj	tuj
طویله	tawiːla
طی	tajj	tajji
طیاره	tajjaːra
طیب	tajjib	tiːb
طیبه	tajjiba
طیر	tajr
طیف	tajf
ظا	zaː	zaːʔ
ظاء	zaːʔ
ظالم	zaːlim
ظالمانه	zaːlimaːna
ظاهر	zaːhir
ظاهرا	zaːhiran
ظرف	ðarf
ظرفشویی	zarfʃuji
ظرفی	zarfiː
ظرفیت	zarfijjat
ظرف‌ها	ðarfhaː
ظروف	zuruːf
ظریف	zariːf
ظفر	zafar
ظفرآباد	zafaraːbaːd
ظل	zill
ظلم	zulm
ظلمت	zulmat
ظن	zann
ظنین	zaniːn
ظهر	zahr	zuhr
ظهور	zuhuːr
عائشه	ʔaːʔiʃa
عائله	ʔaːʔila
عابد	ʔaːbid
عابر	ʔaːbir
عاج	ʔaːd͡ʒ
عادت	ʔaːdat
عادل	ʔaːdil
عادی	ʔaːdiː
عار	ʔaːr
عارف	ʔaːrif
عاریت	ʔaːrijat
عازم	ʔaːzim
عاشق	ʔaːʃiq
عاشقان	ʔaːʃiqaːn
عاشقانه	ʔaːʃiqaːna
عاشورا	ʔaːʃuːraː
عاصی	ʔaːsiː
عاطر	ʔaːtir
عاطفه	ʔaːtifa
عاطفی	ʔaːtifiː
عاطل	ʔaːtil
عاقبت	ʔaːqibat
عالم	ʔaːlam	ʔaːlim
عالی	ʔaːliː
عالی‌جناب	ʔaːliːd͡ʒanaːb
عام	ʔaːm	ʔaːmm
عامل	ʔaːmil
عامه	ʔaːmma
عامیانه	ʔaːmijaːna
عام‌المنفعه	ʔɒːmolmænfæʔe
عایشه	ʔaːjiʃa
عباء	abɒː
عبادتخانه	ʔibaːdatxaːna
عبارت	ʔibaːrat
عباس	ʔabbaːs
عباسی	abbaːsiː	ʔabbaːsiː
عبث	ʔabas
عبد	ʔabd
عبدالرضا	ʔabdurrizaː
عبدالله	ʔabdullaːh
عبدالمسیح	ʔabdʔulmasiːh
عبرانی	ʔibraːniː
عبرت	ʔibrat
عبری	ʔibriː
عبور	ʔubuːr
عبوس	ʔabuːs
عبید	ʔubajd
عتبات	ʔatabaːt
عتیق	ʔatiːq
عثمان	ʔusmaːn
عثمانی	ʔusmaːniː
عجان	ʔid͡ʒaːn
عجب	ʔad͡ʒab	ʔud͡ʒb
عجز	ʔad͡ʒz
عجله	ʔad͡ʒala
عجم	ʔad͡ʒam
عجمی	ʔad͡ʒamiː
عجوبه	ʔud͡ʒuːba
عجوز	ʔad͡ʒuːz
عجين	ʔad͡ʒiːn
عجیب	ʔad͡ʒiːb
عجیب‌تر	ædʒiːbtæɾ
عجیب‌ترین	ædʒiːbtæɾiːn
عداوت	ʔadaːwat
عدد	ʔadad
عدس	ʔadas
عدسی	ʔadasiː
عدل	ʔadl
عدم	ʔadam
عدن	ʔadan
عده	ʔidda
عدو	ʔaduː	ʔaduːw
عذاب	ʔazaːb
عرابه	ʔarraːba
عراف	ʔarraːf
عراق	ʔaraːq	ʔiraːq
عراقچی	ʔaraːqt͡ʃiː
عراقی	ʔiraːqiː
عرب	ʔarab
عربده	ʔarbada
عربستان	ʔarabistaːn
عربی	ʔarabiː
عرش	ʔarʃ
عرصه	ʔarsa
عرض	ʔaraz	ʔarz	ʔirz
عرضه	ʔarza	ʔurza
عرفان	ʔirfaːn
عرق	ʔaraq	ʔirq
عروس	ʔaruːs
عروسک	ʔaruːsak
عروسی	ʔaruːsiː
عریان	ʔurjaːn
عریانی	ʔurjaːniː
عریض	ʔariːz
عز	ʔizz
عزادار	ʔazaːdaːr
عزاداری	ʔazaːdaːriː
عزت	ʔizzat
عزلت	ʔuzlat
عزم	ʔazm
عزیز	ʔaziːz
عزیزم	ʔaziːzam
عزیمت	ʔaziːmat
عسس	ʔasas
عسل	ʔasal
عشاق	ʔuʃʃaːq
عشرت	ʔiʃrat
عشق	ʔiʃq
عشق‌آباد	ʔiʃqʔaːbaːd
عشوه	ʔiʃwa
عشیره	ʔaʃiːra
عصا	ʔasaː
عصاره	ʔusaːra
عصبانی	ʔasabaːniː
عصبانیت	ʔasabaːnijaːt
عصبی	ʔasabiː
عصب‌شناس	ʔasabʃinaːs
عصر	ʔasr
عصمت	ʔismat
عصیان	ʔisjaːn
عضله	ʔazula
عضو	ʔuzw
عضوها	ozvhɒ	ozvɒ
عضویت	ʔuzwijjat
عطا	ʔataː
عطار	ʔattaːr
عطر	ʔatr	ʔitr
عطسه	ʔatsa
عطیه	ʔatijja
عظم	ʔazm
عظمت	ʔazamat
عظیم	ʔaziːm
عفت	ʔiffat
عفریت	ʔifriːt
عفو	ʔafuww	ʔafw
عفونت	ʔufuːnat
عقاب	ʔiqaːb	ʔuqaːb
عقب	aqb
عقده	ʔuqda
عقرب	ʔaqrab
عقل	ʔaql
عقیده	ʔaqiːda
عقیقه	ʔaqiːqa
عقیله	ʔaqiːla
علاءالدین	ʔalaːʔuddiːn
علاف	ʔallaːf
علاقه	ʔalaːqa
علامت	ʔalaːmat
علاوه	ʔalaːwa	ʔilaːwa
علت	ʔillat
علف	ʔalaf
علم	ʔalam	ʔilm
علما	ʔulamaː
علماء	ʔulamaːʔ
علمی	ʔilmiː
علنی	ʔalaniː
علو	ʔuluww	ʔulw
علوم	ʔuluːm
علوی	ʔalawiː	ʔulwiː
علی	ʔalaj	ʔalaː	ʔaliː
علیرضا	ʔaliːrizaː
علیقلی	ʔaliːquliː
علیم	ʔaliːm
علیه	ʔalajh	ʔalajhi	ʔalijja
علی‌شیر	ʔaliːʃeːr
عمان	ʔammaːn	ʔumaːn
عمدا	ʔamdan
عمدتا	ʔumdatan
عمده	ʔumda
عمده‌فروش	umdafuroːʃ	ʔumdafuroːʃ
عمدی	ʔamdiː
عمر	ʔamr	ʔumar	ʔumr
عمره	ʔumra
عمق	ʔumq
عمل	ʔamal
عملکرد	ʔamalkard
عمه	ʔamma
عمو	amu
عمودی	ʔamuːdiː
عموم	ʔumuːm
عموما	ʔumuːman
عمومی	ʔumuːmiː
عمی	ʔamaː
عمیق	ʔamiːq
عن	ʔan
عناب	ʔannaːb	ʔunnaːb
عنابی	ʔunnaːbiː
عنایت	ʔinaːjat
عنب	ʔinab
عنصر	ʔunsur
عنف	ʔunf
عنفوان	ʔunfuwaːn
عنقا	ʔanqaː
عنوان	ʔunwaːn
عنکبوت	ʔankabuːt
عهد	ʔahd
عهده	ʔuhda
عهد‌نامه	ʔahdnaːma
عوام	ʔawamm
عوامانه	ʔawaːmaːna
عوام‌الناس	ʔawaːmmunnaːs
عود	ʔuːd
عورت	ʔawrat
عوض	ʔiwaz
عکاس	ʔakkaːs
عکاسی	ʔakkaːsiː
عکس	ʔaks
عکسی	ʔaksiː
عیادت	ʔijaːdat
عیار	ʔajjaːr	ʔijaːr
عیاری	ʔajjaːriː
عیال	ʔajaːl	ʔijaːl
عیان	ʔijaːn
عیب	ʔajb
عید	ʔiːd
عیدی	ʔiːdiː
عیسوی	ʔiːsawiː
عیسی	ʔiːsaː
عیش	ʔajʃ
عیلام	ʔiːlaːm
عین	ʔajn
عینک	ʔajnak
عینی	ʔajniː
غار	ɣaːr
غارت	ɣaːrat
غاز	ɣaːz
غافت	ɣaːfat	ɣaːfit
غافث	ɣaːfas	ɣaːfis
غافل	ɣaːfil
غالب	ɣaːlib
غالبا	ɣaːliban
غالیچه	ɣaːliːt͡ʃa
غان	ɣaːn
غایب	ɣaːjib
غایبانه	ɣaːjibaːna
غایت	ɣaːjat
غبار	ɣubaːr
غبغب	ɣabɣab
غذا	ɢezɒː	ɣizaː	ɣiðaː
غر	ɣar
غرامت	ɣaraːmat
غرب	ɣarb
غربت	ɣurbat
غربی	ɣarbiː
غرش	ɣorriʃ
غرض	ɣaraz
غرغر	ɣurɣur
غرفه	ɣurfa
غرق	ɣarq
غره	ɣarra
غروب	ɣuruːb
غرور	ɣuruːr
غریب	ɣariːb
غریبی	ɣariːbiː
غریزه	ɣariːza
غریق	ɣariːq
غریو	ɣareːw~ɣireːw
غزات	ɣuzaːt
غزال	ɣazaːl
غزل	ɣazal
غزنه	ɣazna
غزنی	ɣazniː
غزنین	ɣazniːn
غزه	ɣazza
غسل	ɣusl
غش	ɣaʃ
غصن	ɣusn
غصه	ɣussa
غضب	ɣazab
غضنفر	ɣazanfar
غفلت	ɣaflat
غلام	ɣulaːm
غلامی	ɣulaːmiː
غلبه	ɣalaba
غلتیدن	ɣaltiːdan
غلط	ɣalat	ɣalt
غلغلستان	ɣulɣulistaːn
غلغله	ɣulɣula
غله	ɣalla
غلو	ɣuluw	ɣuluww
غلیظ	ɣaliːz
غلیواج	ɣaleːwaːd͡ʒ
غم	ɣam
غمباد	ɣambaːd
غمناک	ɣamnaːk
غمگسار	ɣamɡusaːr
غمگین	ɣamɡiːn
غمگینی	ɣamɡiːniː
غنودن	ɣonuːdan
غنچه	ɣunt͡ʃa
غنی	ɣaniː
غو	ɣaw
غور	ɣawr	ɣoːr
غوره	ɣoːra
غوری	ɣoːriː
غوریان	ɣoːrijaːn
غوطه	ɣoːta
غوغا	ɣawɣaː
غول	ɣoːl	ɣuːl
غوک	ɣuːk
غژب	ɣuʒb
غژگاو	ɣaʒɡaːw
غیب	ɣajb
غیبت	ɣajbat
غیبه	ɣajba
غیر	ɣajr	ɣajri
غیراختیاری	ɣajriixtijaːriː
غیرانسانی	ɣajriinsaːniː
غیرت	ɣajrat
غیررسمی	ɣajrirasmiː
غیرطبیعی	ɣajritabiːʔiː
غیرـ	ɣajri
غیرقانونی	ɣajriqaːnuːniː
غیرممکن	ɣajrimumkin
غیرمنقول	ɣajrimaɴquːl
